t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.059291,-0.039508,-0.10811,0.40624,1.9015,-0.51668,0.031974,-0.058719,-0.084438,0.065184,0.04277,-0.033141,0.049358,0.059856,-0.0322,0.038391,0.53906,0.96617,-0.0028377,0.084215,-0.011605,-0.01708,0.019072,0.09847,-0.020161,0.0020132,-0.009595,0.0067933,0.1021,0.016464,-0.022724,0.0012905,-0.00049085,0.00063059,0.00015244,0.0040984
0.01,0.052933,-0.033199,-0.10518,0.39962,1.8315,-0.42907,0.027519,-0.052159,-0.080662,0.061521,0.040488,-0.028054,0.04893,0.060764,-0.033066,0.036995,0.54175,0.98329,-0.0059238,0.085004,-0.0099297,-0.017134,0.019688,0.10174,-0.02012,0.0020346,-0.0094889,0.0064812,0.10127,0.016547,-0.022732,0.0012067,-0.00047599,0.00059256,0.0002198,0.0041392
0.02,0.047156,-0.027352,-0.10187,0.39181,1.7572,-0.34833,0.023251,-0.046139,-0.076732,0.057951,0.038177,-0.023373,0.048293,0.061532,-0.033556,0.033825,0.53885,0.99766,-0.0087532,0.085498,-0.0082047,-0.017324,0.020222,0.10455,-0.020071,0.0020514,-0.0094019,0.0062136,0.10084,0.016568,-0.022736,0.0011088,-0.00051329,0.00055945,0.00028635,0.0041632
0.03,0.041547,-0.02186,-0.097231,0.37874,1.6625,-0.27329,0.019119,-0.040391,-0.072061,0.053944,0.035493,-0.01911,0.047378,0.06203,-0.033613,0.028978,0.52961,1.0072,-0.011277,0.085543,-0.0064921,-0.017597,0.020617,0.10668,-0.020015,0.0020657,-0.009336,0.0059977,0.10083,0.016554,-0.022735,0.00099736,-0.0005993,0.00053193,0.00035289,0.0041727
0.04,0.035769,-0.016715,-0.09032,0.35633,1.5319,-0.20416,0.015126,-0.034693,-0.06607,0.049012,0.032115,-0.015305,0.046112,0.062114,-0.033186,0.022617,0.51341,1.0097,-0.013439,0.084971,-0.0048595,-0.017894,0.020813,0.10789,-0.019952,0.0020795,-0.0092921,0.0058381,0.10124,0.016533,-0.022728,0.00087271,-0.00073007,0.00051035,0.00041979,0.0041696
0.05,0.029611,-0.012009,-0.080346,0.32114,1.353,-0.14246,0.011354,-0.028885,-0.058264,0.042785,0.027823,-0.012,0.044437,0.061637,-0.032243,0.015051,0.48995,1.0027,-0.015166,0.08362,-0.0033812,-0.018139,0.02076,0.10796,-0.019883,0.0020939,-0.0092685,0.005729,0.10202,0.01652,-0.022716,0.0007346,-0.00090041,0.00049396,0.00048626,0.0041544
0.06,0.022961,-0.0079057,-0.06671,0.27051,1.1165,-0.090578,0.0079377,-0.022847,-0.048236,0.035018,0.022488,-0.0092075,0.042302,0.060456,-0.030769,0.0067149,0.45932,0.98402,-0.016389,0.081331,-0.002129,-0.018245,0.020414,0.10664,-0.01981,0.00211,-0.0092625,0.0056604,0.10311,0.016526,-0.022698,0.00058264,-0.0011049,0.00048162,0.00055126,0.0041271
0.07,0.017116,-0.0047648,-0.053251,0.21935,0.88661,-0.051974,0.0052242,-0.017557,-0.038594,0.027641,0.01747,-0.0070123,0.039942,0.058812,-0.029029,-0.0016539,0.42569,0.95767,-0.017164,0.078454,-0.0012121,-0.018214,0.019888,0.10439,-0.019734,0.0021284,-0.0092707,0.0056184,0.10446,0.016558,-0.022675,0.00041629,-0.001338,0.00047185,0.0006135,0.0040875
0.08,0.015159,-0.0026885,-0.050501,0.20986,0.83565,-0.024492,0.0035853,-0.015563,-0.036649,0.025668,0.016171,-0.0057231,0.038056,0.057681,-0.027728,-0.0091765,0.39961,0.93967,-0.017852,0.076256,-0.00075347,-0.018248,0.019583,0.10297,-0.019658,0.0021497,-0.0092866,0.0055753,0.10594,0.016622,-0.022647,0.00023604,-0.0015913,0.00046165,0.00067127,0.0040351
0.09,0.015416,-0.00076413,-0.054694,0.22788,0.89903,0.0029723,0.0023975,-0.015497,-0.039681,0.027057,0.017165,-0.0049327,0.03659,0.057102,-0.026791,-0.01611,0.37955,0.93058,-0.018615,0.074774,-0.00053955,-0.0184,0.019497,0.10245,-0.019581,0.0021758,-0.0092981,0.0054714,0.10734,0.016747,-0.022613,4.6866e-05,-0.0018473,0.00044418,0.00072193,0.0039733
0.1,0.015519,0.001486,-0.058644,0.24486,0.95799,0.034646,0.001143,-0.01526,-0.042535,0.028293,0.018103,-0.0040354,0.035225,0.05664,-0.025891,-0.022773,0.36055,0.92331,-0.019354,0.073447,-0.00043278,-0.018585,0.019452,0.10207,-0.019505,0.0022069,-0.0093022,0.0052905,0.10863,0.016935,-0.022574,-0.00015045,-0.0020983,0.00041844,0.00076524,0.0039029
0.11,0.015416,0.0039926,-0.061987,0.25934,1.0069,0.069428,-0.00011047,-0.014825,-0.044973,0.029237,0.018883,-0.0030896,0.033927,0.056228,-0.024993,-0.029137,0.34206,0.91678,-0.020034,0.07219,-0.0004295,-0.01878,0.01942,0.10173,-0.019429,0.0022419,-0.0093006,0.0050379,0.10981,0.017173,-0.022529,-0.00035737,-0.0023425,0.00038599,0.00080177,0.0038231
0.12,0.015224,0.0066822,-0.064957,0.2723,1.0496,0.10633,-0.0012655,-0.014329,-0.047176,0.030029,0.019587,-0.0022125,0.032692,0.055852,-0.024088,-0.035178,0.32391,0.91079,-0.020646,0.070988,-0.00051813,-0.018976,0.019394,0.10141,-0.019351,0.0022803,-0.0092938,0.0047155,0.1109,0.017452,-0.022477,-0.00057472,-0.0025775,0.00034786,0.00083182,0.0037335
0.13,0.014958,0.009513,-0.067486,0.28353,1.0853,0.14472,-0.0022742,-0.013781,-0.0491,0.030662,0.020202,-0.0014336,0.031519,0.0555,-0.023169,-0.040891,0.30598,0.90518,-0.021182,0.069828,-0.00068563,-0.019169,0.019368,0.1011,-0.019273,0.0023214,-0.0092823,0.004325,0.11191,0.017762,-0.022418,-0.00080277,-0.0028013,0.00030484,0.00085559,0.0036338
0.14,0.014614,0.012437,-0.06945,0.29261,1.1122,0.18391,-0.0030955,-0.013163,-0.050651,0.031104,0.020698,-0.00076003,0.030407,0.055164,-0.022227,-0.046281,0.28812,0.89983,-0.021632,0.068704,-0.00091825,-0.019356,0.019338,0.10079,-0.019194,0.0023645,-0.0092662,0.0038679,0.11284,0.018096,-0.022353,-0.0010416,-0.003012,0.00025764,0.00087316,0.0035239
0.15,0.014174,0.015339,-0.070602,0.29867,1.1263,0.22225,-0.0036607,-0.01246,-0.051658,0.031275,0.021005,-0.00023813,0.029369,0.054869,-0.021276,-0.051372,0.27049,0.89513,-0.02201,0.067645,-0.0012073,-0.019541,0.019313,0.10055,-0.019114,0.002409,-0.0092457,0.0033469,0.11369,0.018446,-0.02228,-0.0012907,-0.0032087,0.00020676,0.00088478,0.0034039
0.16,0.013618,0.018066,-0.070675,0.30075,1.1238,0.25757,-0.0039094,-0.011657,-0.051935,0.031088,0.021042,8.7143e-05,0.02842,0.054655,-0.020338,-0.056196,0.25338,0.89177,-0.02234,0.066697,-0.0015498,-0.019738,0.019313,0.10045,-0.019032,0.0024549,-0.0092215,0.0027669,0.11446,0.018811,-0.0222,-0.0015489,-0.0033915,0.00015261,0.00089097,0.0032744
0.17,0.012988,0.020562,-0.069782,0.29941,1.1065,0.2892,-0.0038472,-0.010765,-0.051562,0.030605,0.020845,0.00024072,0.027548,0.054527,-0.01942,-0.060767,0.23684,0.88978,-0.022638,0.065856,-0.0019439,-0.019947,0.01934,0.1005,-0.018949,0.0025018,-0.0091937,0.0021325,0.11517,0.019188,-0.022114,-0.0018149,-0.0035608,9.5435e-05,0.00089231,0.0031363
0.18,0.012368,0.022898,-0.068336,0.29644,1.081,0.31824,-0.0035163,-0.0098137,-0.05083,0.030005,0.02054,0.00028468,0.026722,0.054441,-0.018504,-0.065088,0.22063,0.88848,-0.022898,0.065067,-0.0023823,-0.020154,0.019381,0.10062,-0.018863,0.0025493,-0.0091621,0.001446,0.11581,0.019573,-0.02202,-0.0020876,-0.0037161,3.5354e-05,0.00088918,0.0029901
0.19,0.011816,0.025152,-0.066635,0.29317,1.052,0.34583,-0.0029426,-0.00882,-0.049952,0.029418,0.020218,0.00025957,0.025915,0.054363,-0.017581,-0.069161,0.20461,0.88729,-0.023113,0.064286,-0.0028591,-0.020347,0.019424,0.10077,-0.018777,0.0025969,-0.0091261,0.00070955,0.11636,0.019958,-0.021918,-0.0023655,-0.0038572,-2.752e-05,0.00088191,0.0028364
0.2,0.011318,0.027306,-0.06464,0.28955,1.019,0.37173,-0.0021305,-0.0077505,-0.048895,0.028833,0.01987,0.00019926,0.025125,0.054299,-0.016659,-0.073019,0.18889,0.88633,-0.023296,0.063513,-0.0033748,-0.020527,0.019475,0.10096,-0.018688,0.0026442,-0.0090852,-7.4689e-05,0.11683,0.020339,-0.021809,-0.0026474,-0.0039838,-9.3068e-05,0.00087079,0.002676
0.21,0.010858,0.029327,-0.062282,0.28538,0.98074,0.39552,-0.0010893,-0.0065676,-0.047606,0.028224,0.019478,0.00014588,0.024351,0.05426,-0.01575,-0.076709,0.17361,0.88579,-0.023461,0.062757,-0.0039316,-0.020699,0.019538,0.10121,-0.018598,0.0026907,-0.0090391,-0.00090419,0.11721,0.02071,-0.021691,-0.0029319,-0.0040955,-0.00016116,0.00085607,0.0025096
