t, affine_elevL, affine_elevR, affine_throttle
0,-0.008913,0.0068311,0.00045574
0.01,-0.0073782,0.0034329,0.00018469
0.02,-0.0063617,0.00042421,-6.7307e-05
0.03,-0.0058541,-0.0021642,-0.00029653
0.04,-0.005834,-0.0043108,-0.00050058
0.05,-0.0062679,-0.0060013,-0.00067771
0.06,-0.0071123,-0.0072283,-0.00082663
0.07,-0.0083158,-0.0079947,-0.00094698
0.08,-0.0098197,-0.0083092,-0.0010385
0.09,-0.011558,-0.0081901,-0.0011015
0.1,-0.013455,-0.0076658,-0.0011367
0.11,-0.015436,-0.006769,-0.001145
0.12,-0.017416,-0.0055441,-0.0011275
0.13,-0.019305,-0.004044,-0.001086
0.14,-0.02102,-0.0023245,-0.001022
0.15,-0.022468,-0.00045368,-0.0009378
0.16,-0.02356,0.0014945,-0.00083595
0.17,-0.02422,0.0034455,-0.00071904
0.18,-0.024389,0.0053159,-0.00059029
0.19,-0.024033,0.0070182,-0.00045325
0.2,-0.023135,0.0084665,-0.00031155
0.21,-0.021667,0.0095723,-0.00016917
0.22,-0.019597,0.010249,-3.0179e-05
0.23,-0.01698,0.010411,0.00010132
0.24,-0.014056,0.0099766,0.00022155
0.25,-0.011013,0.0088604,0.00032669
0.26,-0.007899,0.0070095,0.00041368
0.27,-0.0049228,0.0047793,0.00048799
0.28,-0.0023012,0.00259,0.00055665
0.29,3.456e-05,0.00055965,0.0006221
0.3,0.0022344,-0.0013724,0.00068349
0.31,0.0043187,-0.0032513,0.00074014
0.32,0.0062519,-0.0051132,0.00079141
0.33,0.0080177,-0.0069742,0.00083686
0.34,0.0096306,-0.0088473,0.00087609
0.35,0.011101,-0.01073,0.00090888
0.36,0.012416,-0.0126,0.00093524
0.37,0.013557,-0.014432,0.0009552
0.38,0.014507,-0.016182,0.00096891
0.39,0.015245,-0.017789,0.00097652
0.4,0.015755,-0.019193,0.00097818
0.41,0.016014,-0.020313,0.00097374
0.42,0.016002,-0.02106,0.00096275
0.43,0.015697,-0.021348,0.00094474
0.44,0.01509,-0.021108,0.00091828
0.45,0.01418,-0.020293,0.00088138
0.46,0.012973,-0.018863,0.00083203
0.47,0.011482,-0.016775,0.00076762
0.48,0.0097607,-0.014014,0.00068486
0.49,0.0078703,-0.010605,0.00058046
0.5,0.0058809,-0.0066354,0.00045068
0.51,0.0038985,-0.0023409,0.00029216
0.52,0.0020238,0.0020719,0.00010539
0.53,0.00033987,0.0066695,-0.0001073
0.54,-0.0013718,0.011355,-0.0003218
0.55,-0.0031919,0.01611,-0.00052621
0.56,-0.0051131,0.020705,-0.0007153
0.57,-0.0071097,0.024866,-0.00088485
0.58,-0.0091378,0.028597,-0.0010317
0.59,-0.01115,0.031983,-0.0011533
0.6,-0.01308,0.034993,-0.0012483
0.61,-0.014863,0.03756,-0.001316
0.62,-0.016422,0.039643,-0.0013567
0.63,-0.01768,0.041236,-0.001372
0.64,-0.018572,0.042344,-0.0013635
0.65,-0.019036,0.042963,-0.0013338
0.66,-0.019027,0.043086,-0.001286
0.67,-0.018519,0.042708,-0.001223
0.68,-0.017513,0.041821,-0.0011479
0.69,-0.016033,0.040414,-0.0010634
0.7,-0.014128,0.038477,-0.00097182
0.71,-0.011893,0.035992,-0.00087443
0.72,-0.0094462,0.032929,-0.00077169
0.73,-0.0069035,0.029256,-0.00066392
0.74,-0.0043779,0.024895,-0.00055001
0.75,-0.0019939,0.019728,-0.00042794
0.76,8.75e-05,0.013657,-0.00029565
0.77,0.0016836,0.0065933,-0.0001505
0.78,0.0027585,-0.00162,1.0662e-05
0.79,0.0035475,-0.011172,0.00018918
0.8,0.0043615,-0.021449,0.00036854
0.81,0.0052869,-0.032276,0.0005466
