t, affine_elevL, affine_elevR, affine_throttle
0,8.8988e-05,-6.2163e-05,6.9667e-07
0.01,-0.0041992,0.0032547,-4.6998e-05
0.02,-0.0059391,0.0036284,-6.653e-05
0.03,-0.0041464,0.0020166,-5.0582e-05
0.04,-0.0005546,0.00020886,-8.3857e-06
0.05,0.0017982,-0.00072774,2.3591e-05
0.06,0.0024333,-0.0011443,2.4798e-05
0.07,0.001756,-0.00090101,1.3698e-05
0.08,0.00045138,-0.00024755,2.3261e-06
0.09,-0.00063716,0.00037442,-2.8867e-06
0.1,-0.00095115,0.00060317,-2.628e-06
0.11,-0.00072473,0.00049946,-8.4136e-07
0.12,-0.00025055,0.00018547,-2.3002e-07
0.13,0.00018383,-0.00015332,-8.5071e-07
0.14,0.00034732,-0.00030634,-1.6059e-06
0.15,0.00029872,-0.00028149,-1.8094e-06
0.16,0.00012778,-0.00012657,-1.1133e-06
0.17,-4.5728e-05,4.7982e-05,-3.954e-08
0.18,-9.894e-05,9.5562e-05,2.5378e-07
0.19,-6.0125e-05,4.2006e-05,-2.1615e-07
0.2,-2.7724e-06,-1.9584e-05,-7.1163e-07
0.21,-3.9688e-06,8.8401e-06,-2.8038e-07
0.22,-8.4258e-06,3.1437e-05,2.6865e-08
0.23,1.8293e-05,-3.9931e-06,-3.8374e-07
0.24,3.7065e-05,-3.823e-05,-8.2056e-07
0.25,3.4433e-06,-4.9688e-06,-4.4598e-07
0.26,-3.1277e-05,3.8929e-05,1.2324e-07
0.27,-8.8844e-06,1.5031e-05,-1.342e-07
0.28,2.2362e-05,-2.1924e-05,-5.9191e-07
0.29,1.2076e-05,-1.4163e-05,-5.4844e-07
0.3,-2.4214e-05,2.5923e-05,-6.4161e-08
0.31,-8.345e-06,1.0332e-05,-2.2521e-07
0.32,1.9216e-05,-1.9662e-05,-5.7991e-07
0.33,1.7301e-05,-1.9406e-05,-5.9896e-07
0.34,-2.0362e-05,1.96e-05,-1.6204e-07
0.35,-1.5042e-05,1.3881e-05,-2.3134e-07
0.36,9.41e-06,-1.1929e-05,-5.197e-07
0.37,1.7078e-05,-2.0088e-05,-5.9875e-07
0.38,-1.2342e-05,1.1039e-05,-2.6912e-07
0.39,-1.4801e-05,1.3077e-05,-2.7214e-07
0.4,1.3814e-06,-4.5485e-06,-4.5556e-07
0.41,1.0684e-05,-1.4251e-05,-5.3235e-07
0.42,-4.6912e-06,2.7099e-06,-3.5695e-07
0.43,-1.0891e-05,8.9704e-06,-3.1925e-07
0.44,-2.5338e-06,-6.1159e-07,-4.187e-07
0.45,5.553e-06,-9.3456e-06,-4.7829e-07
0.46,-4.3828e-07,-2.2824e-06,-3.9655e-07
0.47,-6.4904e-06,4.2186e-06,-3.5625e-07
0.48,-3.9327e-06,9.8876e-07,-3.9476e-07
0.49,3.4297e-07,-3.8562e-06,-4.2241e-07
0.5,2.8411e-07,-3.6009e-06,-4.0177e-07
0.51,-3.0097e-06,4.9121e-08,-3.7976e-07
0.52,-3.7775e-06,6.8839e-07,-3.8519e-07
0.53,-2.929e-06,-3.7886e-07,-3.8622e-07
0.54,-1.5237e-06,-2.037e-06,-3.85e-07
0.55,-1.5115e-06,-2.1962e-06,-3.8633e-07
0.56,-3.2939e-06,-2.8048e-07,-3.7915e-07
0.57,-5.0665e-06,1.7144e-06,-3.6395e-07
0.58,-3.7466e-06,3.8093e-08,-3.6674e-07
0.59,-9.9719e-07,-3.4497e-06,-3.8475e-07
0.6,-3.0741e-06,-1.1716e-06,-3.7174e-07
0.61,-6.4567e-06,2.7832e-06,-3.4787e-07
0.62,-6.7536e-06,3.0646e-06,-3.4328e-07
0.63,-2.2316e-06,-2.6342e-06,-3.7102e-07
0.64,-3.4446e-06,-1.488e-06,-3.6055e-07
0.65,-7.5766e-06,3.3456e-06,-3.3303e-07
0.66,-8.8482e-06,4.875e-06,-3.2621e-07
