t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.060393,-0.096197,-0.014291,0.10062,0.1959,-1.3714,-0.02502,-0.095112,0.013424,0.045371,0.014021,-0.12573,0.034699,0.080246,-0.081688,-0.37534,1.2437,0.84267,0.028308,0.058403,-0.062679,-0.061672,0.023673,0.10114,-0.0076049,-0.005635,-0.0052819,-0.0068933,0.038096,-0.04873,-0.007218,-0.0034757,-0.00041431,0.000532,0.00016126,-0.0017991
0.01,0.065763,-0.10592,-0.01332,0.12037,0.18633,-1.4986,-0.028556,-0.10344,0.018197,0.051008,0.015926,-0.13689,0.029629,0.068333,-0.073187,-0.34226,1.0989,0.70994,0.024112,0.049241,-0.05608,-0.054708,0.019971,0.087006,-0.0074977,-0.005718,-0.0052092,-0.0067568,0.037346,-0.049275,-0.007176,-0.0035047,-0.00037573,0.00054904,0.00018939,-0.0018376
0.02,0.063806,-0.1041,-0.010333,0.12982,0.15023,-1.4609,-0.027622,-0.10042,0.020479,0.051223,0.015908,-0.133,0.022599,0.053693,-0.059287,-0.28385,0.8793,0.55468,0.018079,0.038585,-0.045371,-0.044397,0.015154,0.06902,-0.007391,-0.0057509,-0.0051665,-0.0067717,0.037071,-0.049208,-0.0071042,-0.0034864,-0.00038418,0.00052976,0.00022071,-0.0018079
0.03,0.054253,-0.089647,-0.0063147,0.12303,0.099134,-1.2474,-0.022309,-0.085459,0.01896,0.044949,0.013727,-0.11324,0.014605,0.036999,-0.041226,-0.20328,0.60519,0.38195,0.011316,0.026713,-0.031547,-0.031245,0.0098161,0.047923,-0.0072907,-0.0057299,-0.0051541,-0.0069616,0.037242,-0.048478,-0.007007,-0.0034165,-0.00044259,0.0004698,0.00025138,-0.0017063
0.04,0.038929,-0.065331,-0.0022845,0.099505,0.045015,-0.90079,-0.014514,-0.061577,0.014181,0.033281,0.0098049,-0.081698,0.0070257,0.020811,-0.022245,-0.11487,0.32463,0.21713,0.0055218,0.015285,-0.017207,-0.017531,0.0048529,0.027013,-0.0072003,-0.0056631,-0.0051677,-0.0073114,0.037767,-0.04718,-0.006897,-0.003301,-0.00054546,0.00037367,0.00027843,-0.0015437
0.05,0.037047,-0.061634,-0.0014238,0.09874,0.036413,-0.84536,-0.011906,-0.057686,0.012461,0.031376,0.0094324,-0.07617,0.0077731,0.020715,-0.024267,-0.12495,0.34972,0.21116,0.0043758,0.015107,-0.018121,-0.018228,0.005118,0.027268,-0.0071155,-0.0055836,-0.0051926,-0.0077156,0.038422,-0.045726,-0.0067944,-0.0031674,-0.00066917,0.00026639,0.00030124,-0.0013629
0.06,0.040034,-0.065448,-0.0013409,0.10798,0.040019,-0.89433,-0.010876,-0.060936,0.011852,0.033184,0.010352,-0.079883,0.010791,0.024336,-0.032311,-0.1638,0.45979,0.23948,0.0036579,0.017599,-0.023142,-0.022768,0.0067167,0.032788,-0.0070327,-0.00552,-0.0052139,-0.0080663,0.038994,-0.04446,-0.0067099,-0.003039,-0.00079037,0.00017103,0.00032008,-0.0011995
0.07,0.042352,-0.068151,-0.0010529,0.11608,0.040619,-0.92759,-0.0095572,-0.063145,0.010929,0.034527,0.011053,-0.082212,0.013256,0.026359,-0.038856,-0.19525,0.54738,0.25092,0.0022738,0.019122,-0.02694,-0.026155,0.0079391,0.03648,-0.0069514,-0.0054712,-0.005232,-0.0083643,0.039492,-0.043364,-0.0066412,-0.0029142,-0.00090788,8.6455e-05,0.00033567,-0.0010515
0.08,0.044722,-0.070872,-0.0006603,0.12462,0.039862,-0.96078,-0.008185,-0.065379,0.0099008,0.035964,0.011723,-0.084546,0.015658,0.027999,-0.045318,-0.22609,0.6331,0.25789,0.00053425,0.020592,-0.030573,-0.029428,0.0091109,0.039973,-0.0068715,-0.0054351,-0.0052471,-0.0086117,0.039927,-0.042414,-0.0065857,-0.0027911,-0.0010212,1.117e-05,0.00034861,-0.00091663
0.09,0.045954,-0.071834,-4.3546e-05,0.1308,0.035358,-0.9697,-0.0065714,-0.066,0.008616,0.036628,0.01203,-0.08482,0.017594,0.028732,-0.050567,-0.25081,0.70153,0.25611,-0.0014629,0.021654,-0.033317,-0.031941,0.010016,0.042466,-0.0067928,-0.0054092,-0.0052596,-0.0088116,0.040308,-0.041577,-0.0065407,-0.0026679,-0.0011304,-5.6513e-05,0.00035926,-0.0007919
0.1,0.046543,-0.071805,0.00068322,0.13557,0.028816,-0.96512,-0.0048684,-0.065736,0.0071657,0.036859,0.012107,-0.083997,0.019235,0.028968,-0.055026,-0.27146,0.75902,0.24981,-0.0035875,0.022593,-0.035473,-0.034002,0.010765,0.044472,-0.006716,-0.0053896,-0.0052699,-0.0089705,0.040646,-0.04081,-0.0065037,-0.002542,-0.0012357,-0.00011875,0.00036774,-0.00067378
0.11,0.046914,-0.071426,0.0014502,0.13981,0.021408,-0.95593,-0.0031715,-0.06518,0.0056409,0.036953,0.012079,-0.082857,0.02069,0.028945,-0.058963,-0.28934,0.80952,0.24131,-0.0057685,0.023566,-0.037231,-0.0358,0.011422,0.046286,-0.0066408,-0.0053747,-0.005278,-0.0090905,0.040945,-0.040092,-0.006473,-0.0024129,-0.0013363,-0.00017637,0.00037436,-0.00056101
0.12,0.047357,-0.071113,0.0022234,0.14416,0.013795,-0.94781,-0.0015144,-0.06471,0.0040824,0.037107,0.012027,-0.081896,0.022021,0.028786,-0.062521,-0.30516,0.85513,0.2318,-0.0079678,0.024648,-0.038691,-0.037432,0.012022,0.048059,-0.006567,-0.0053632,-0.0052841,-0.0091744,0.041211,-0.039411,-0.0064473,-0.0022804,-0.0014316,-0.00022998,0.00037942,-0.00045283
0.13,0.047945,-0.070968,0.0030047,0.1488,0.0060223,-0.94213,0.00010034,-0.064413,0.002508,0.037367,0.011975,-0.081241,0.02327,0.028576,-0.065805,-0.3194,0.8974,0.22209,-0.010155,0.025889,-0.039919,-0.038968,0.012591,0.049903,-0.0064944,-0.0053546,-0.0052881,-0.0092231,0.041442,-0.038762,-0.0064254,-0.0021449,-0.0015203,-0.00027977,0.00038318,-0.00034904
0.14,0.048665,-0.070976,0.0038098,0.15373,-0.0021253,-0.93864,0.001669,-0.06427,0.00094214,0.037728,0.011922,-0.080888,0.024456,0.028374,-0.068878,-0.33234,0.93726,0.21272,-0.012293,0.027323,-0.040956,-0.040452,0.01314,0.051897,-0.006423,-0.0053487,-0.0052895,-0.0092351,0.041633,-0.038144,-0.006406,-0.0020068,-0.0016011,-0.00032559,0.00038581,-0.00024991
0.15,0.049451,-0.071041,0.0046431,0.15876,-0.010756,-0.93604,0.0031901,-0.064192,-0.00060339,0.03814,0.011853,-0.08074,0.025509,0.028157,-0.071576,-0.34321,0.97253,0.20374,-0.014319,0.028895,-0.041706,-0.041797,0.013635,0.053964,-0.0063524,-0.0053454,-0.0052881,-0.0092112,0.041782,-0.037554,-0.0063882,-0.0018669,-0.0016732,-0.0003675,0.00038748,-0.00015534
