t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.0347,-0.080251,-0.081692,0.37536,1.2437,-0.84272,0.028312,-0.058407,-0.062682,0.061678,0.023675,-0.10115,0.060397,0.096204,-0.014292,-0.10063,0.19591,1.3715,-0.025024,0.09512,0.013428,-0.045376,0.014023,0.12574,-0.007605,0.0056351,-0.0052818,0.0068926,0.038095,0.048731,-0.007218,0.0034758,-0.00041419,-0.00053212,0.00016123,0.0017992
0.01,0.02954,-0.068191,-0.072995,0.34139,1.096,-0.70857,0.024064,-0.049144,-0.055942,0.054581,0.019917,-0.086827,0.065563,0.10563,-0.013244,-0.12012,0.18529,1.4945,-0.028475,0.10315,0.01817,-0.050877,0.01587,0.13652,-0.0074977,0.0057181,-0.0052091,0.0067563,0.037345,0.049276,-0.0071761,0.0035048,-0.00037563,-0.00054914,0.00018938,0.0018377
0.02,0.022723,-0.053919,-0.059584,0.28524,0.88366,-0.5569,0.018157,-0.038741,-0.045587,0.044604,0.015232,-0.069313,0.064075,0.10452,-0.010405,-0.13027,0.15123,1.4667,-0.027737,0.10082,0.020551,-0.051423,0.015981,0.13352,-0.007391,0.0057511,-0.0051663,0.0067707,0.037069,0.04921,-0.0071043,0.0034866,-0.000384,-0.00052997,0.0002207,0.0018082
0.03,0.014904,-0.037584,-0.041986,0.20687,0.61626,-0.38772,0.011492,-0.02712,-0.032103,0.031775,0.010005,-0.048689,0.054821,0.090544,-0.0064249,-0.12413,0.10075,1.26,-0.022536,0.08632,0.019129,-0.045388,0.013878,0.11437,-0.0072908,0.00573,-0.005154,0.006961,0.03724,0.048479,-0.0070071,0.0034166,-0.00044248,-0.00046991,0.00025135,0.0017064
0.04,0.0065375,-0.019845,-0.020956,0.10873,0.30605,-0.20765,0.0052802,-0.014612,-0.016276,0.016652,0.0045496,-0.025734,0.037996,0.063883,-0.0021065,-0.097701,0.042315,0.88056,-0.014187,0.060198,0.013941,-0.032584,0.0095517,0.079904,-0.0072003,0.0056636,-0.0051673,0.0073092,0.037762,0.047186,-0.0068972,0.0033014,-0.00054502,-0.00037413,0.0002784,0.0015443
0.05,0.0078832,-0.020939,-0.02457,0.12641,0.35406,-0.21335,0.0044207,-0.015264,-0.018337,0.018432,0.005186,-0.027569,0.03725,0.061946,-0.0014599,-0.099144,0.036978,0.8497,-0.011969,0.057981,0.012508,-0.031526,0.0094876,0.076551,-0.0071156,0.0055835,-0.0051926,0.0077158,0.038422,0.045726,-0.0067944,0.0031673,-0.00066921,-0.00026634,0.00030123,0.0013628
0.06,0.010703,-0.02416,-0.032063,0.16259,0.45627,-0.23779,0.0036319,-0.017475,-0.022967,0.022603,0.0066636,-0.032549,0.03987,0.065196,-0.0013172,-0.10762,0.039622,0.89084,-0.010831,0.0607,0.011814,-0.033061,0.010307,0.079578,-0.0070327,0.0055199,-0.0052139,0.0080665,0.038994,0.044459,-0.0067099,0.0030389,-0.0007904,-0.00017099,0.00032007,0.0011994
0.07,0.013335,-0.026472,-0.039062,0.19623,0.55026,-0.25192,0.0022789,-0.019201,-0.027077,0.02628,0.0079841,-0.036643,0.042653,0.068609,-0.0010938,-0.11675,0.041331,0.93389,-0.0096253,0.063572,0.010982,-0.034749,0.011135,0.082757,-0.0069515,0.0054711,-0.005232,0.0083646,0.039492,0.043363,-0.0066412,0.0029141,-0.0009079,-8.6408e-05,0.00033567,0.0010514
0.08,0.015692,-0.02802,-0.045392,0.22642,0.63411,-0.258,0.00052885,-0.020605,-0.030618,0.029465,0.0091283,-0.04001,0.045046,0.071357,-0.00070433,-0.12534,0.040646,0.96742,-0.0082462,0.065829,0.0099448,-0.036198,0.011813,0.085116,-0.0068715,0.005435,-0.0052471,0.0086119,0.039927,0.042413,-0.0065856,0.0027911,-0.0010213,-1.1126e-05,0.0003486,0.00091655
0.09,0.017642,-0.028805,-0.050701,0.25146,0.70339,-0.25676,-0.0014663,-0.021709,-0.033404,0.032022,0.010043,-0.042577,0.046344,0.072413,-8.6742e-05,-0.13171,0.036195,0.97758,-0.0066318,0.066533,0.0086625,-0.03691,0.012137,0.085493,-0.0067928,0.0054092,-0.0052596,0.0088115,0.040308,0.041577,-0.0065406,0.0026679,-0.0011304,5.6506e-05,0.00035926,0.0007919
0.1,0.019257,-0.02901,-0.055094,0.27179,0.75996,-0.25019,-0.0035899,-0.022625,-0.035517,0.034045,0.010778,-0.044534,0.046682,0.07201,0.00067112,-0.13591,0.02908,0.96789,-0.0048849,0.065923,0.0071785,-0.036959,0.012145,0.084233,-0.006716,0.0053896,-0.0052699,0.0089704,0.040646,0.04081,-0.0065037,0.002542,-0.0012357,0.00011875,0.00036774,0.00067378
