t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.051496,-0.067195,-0.030673,0.28963,0.69715,-0.88164,-0.0045631,-0.058754,-0.027225,0.05129,0.0155,-0.066435,0.051496,0.067196,-0.030664,-0.28963,0.69706,0.88162,-0.0045522,0.058752,-0.027222,-0.05129,0.015499,0.066434,-0.012872,-5.8206e-07,-0.038674,-8.1584e-07,0.3817,-9.9971e-06,-0.038984,-7.2557e-07,-0.013982,1.1266e-07,0.0020622,-3.5403e-07
0.01,0.052883,-0.068136,-0.031904,0.30157,0.72487,-0.89531,-0.005808,-0.059843,-0.028305,0.052557,0.015969,-0.066504,0.052883,0.068136,-0.031895,-0.30157,0.72478,0.89529,-0.0057973,0.059842,-0.028302,-0.052557,0.015968,0.066503,-0.012771,-5.9411e-07,-0.03867,-8.1475e-07,0.38073,-1.0101e-05,-0.038985,-7.3172e-07,-0.014305,1.0859e-07,0.0020807,-3.4847e-07
0.02,0.05403,-0.068858,-0.033,0.31154,0.74983,-0.90626,-0.0070757,-0.060798,-0.029261,0.053669,0.016389,-0.066524,0.05403,0.068858,-0.032992,-0.31154,0.74974,0.90624,-0.0070652,0.060797,-0.029259,-0.053669,0.016388,0.066522,-0.012676,-6.0621e-07,-0.038689,-8.2545e-07,0.38,-1.0205e-05,-0.039028,-7.3649e-07,-0.014581,1.0435e-07,0.0021024,-3.4106e-07
0.03,0.054949,-0.069381,-0.033978,0.31959,0.77222,-0.9147,-0.0083599,-0.06163,-0.0301,0.054632,0.016763,-0.066514,0.054949,0.069381,-0.03397,-0.3196,0.77214,0.91467,-0.0083498,0.061629,-0.030098,-0.054632,0.016763,0.066512,-0.012587,-6.1824e-07,-0.038732,-8.4744e-07,0.37948,-1.0308e-05,-0.039112,-7.398e-07,-0.014815,9.992e-08,0.002127,-3.319e-07
0.04,0.055648,-0.069722,-0.034842,0.32579,0.79206,-0.92079,-0.0096466,-0.062347,-0.030823,0.055451,0.017093,-0.066488,0.055648,0.069722,-0.034834,-0.3258,0.79199,0.92076,-0.0096369,0.062346,-0.030822,-0.055451,0.017092,0.066486,-0.012503,-6.3007e-07,-0.038796,-8.8008e-07,0.37917,-1.0407e-05,-0.039233,-7.4158e-07,-0.015008,9.5321e-08,0.0021544,-3.2108e-07
0.05,0.056136,-0.069895,-0.035594,0.3302,0.80934,-0.92466,-0.010919,-0.062955,-0.031431,0.056129,0.017376,-0.066453,0.056136,0.069894,-0.035587,-0.3302,0.80927,0.92464,-0.01091,0.062953,-0.03143,-0.056128,0.017375,0.06645,-0.012424,-6.4158e-07,-0.038879,-9.2259e-07,0.37902,-1.05e-05,-0.039389,-7.4175e-07,-0.015163,9.0527e-08,0.0021842,-3.0872e-07
0.06,0.056422,-0.06991,-0.036235,0.33289,0.82406,-0.92643,-0.012159,-0.063456,-0.031926,0.056663,0.017613,-0.066412,0.056421,0.06991,-0.036229,-0.3329,0.82399,0.9264,-0.01215,0.063454,-0.031924,-0.056662,0.017612,0.06641,-0.012351,-6.5263e-07,-0.038978,-9.7403e-07,0.37903,-1.0586e-05,-0.039574,-7.4023e-07,-0.015281,8.5523e-08,0.0022159,-2.9487e-07
0.07,0.056516,-0.069778,-0.036762,0.33394,0.83613,-0.92617,-0.013345,-0.063851,-0.032305,0.057052,0.017801,-0.066365,0.056515,0.069778,-0.036756,-0.33395,0.83608,0.92614,-0.013337,0.063849,-0.032304,-0.057051,0.0178,0.066363,-0.012282,-6.6308e-07,-0.039091,-1.0334e-06,0.37916,-1.0664e-05,-0.039786,-7.3695e-07,-0.015364,8.0295e-08,0.0022491,-2.796e-07
0.08,0.056417,-0.069494,-0.037159,0.33338,0.84532,-0.9238,-0.014453,-0.064128,-0.032564,0.057284,0.017935,-0.066298,0.056416,0.069494,-0.037154,-0.33338,0.84527,0.92377,-0.014446,0.064126,-0.032564,-0.057283,0.017934,0.066295,-0.012218,-6.7284e-07,-0.039216,-1.0994e-06,0.37938,-1.073e-05,-0.04002,-7.3186e-07,-0.015414,7.4817e-08,0.002283,-2.6303e-07
0.09,0.056119,-0.069043,-0.037405,0.33119,0.85123,-0.91905,-0.015451,-0.064263,-0.03269,0.057335,0.018007,-0.066182,0.056118,0.069043,-0.037401,-0.33119,0.85119,0.91902,-0.015445,0.064262,-0.03269,-0.057334,0.018006,0.06618,-0.012159,-6.8181e-07,-0.039349,-1.1705e-06,0.37966,-1.0784e-05,-0.040271,-7.2492e-07,-0.015432,6.9122e-08,0.0023169,-2.4522e-07
