t, affine_elevL, affine_elevR, affine_throttle
0,2.8817e-05,2.8814e-05,-2.2255e-06
0.01,0.0009227,0.00092278,-0.00010841
0.02,0.0014371,0.0014372,-0.0001682
0.03,0.0016195,0.0016197,-0.00018866
0.04,0.0015292,0.0015293,-0.00017703
0.05,0.0012214,0.0012214,-0.00014109
0.06,0.00074771,0.00074775,-8.8456e-05
0.07,0.00020846,0.00020847,-2.6392e-05
0.08,-0.00029346,-0.00029347,3.3296e-05
0.09,-0.00062307,-0.0006231,7.1492e-05
0.1,-0.00077832,-0.00077837,8.8005e-05
0.11,-0.00076083,-0.00076088,8.6014e-05
0.12,-0.00061356,-0.00061362,7.006e-05
0.13,-0.00039483,-0.00039488,4.4815e-05
0.14,-0.00015701,-0.00015704,1.6561e-05
0.15,5.0003e-05,5.0009e-05,-7.46e-06
0.16,0.00018258,0.00018262,-2.2057e-05
0.17,0.00024673,0.00024679,-2.8466e-05
0.18,0.00025737,0.00025745,-2.8558e-05
0.19,0.00022835,0.00022842,-2.4167e-05
0.2,0.00017074,0.00017081,-1.7171e-05
0.21,9.6034e-05,9.608e-05,-9.6496e-06
0.22,1.6926e-05,1.6933e-05,-3.6254e-06
0.23,-4.8963e-05,-4.8997e-05,2.8558e-07
0.24,-8.3996e-05,-8.4063e-05,1.6938e-06
0.25,-9.013e-05,-9.0216e-05,1.5907e-06
0.26,-7.652e-05,-7.6612e-05,7.7502e-07
0.27,-5.1377e-05,-5.146e-05,-2.0205e-07
0.28,-2.3327e-05,-2.3388e-05,-1.1391e-06
0.29,-1.436e-06,-1.4609e-06,-2.0313e-06
0.3,7.5008e-06,7.522e-06,-2.9863e-06
0.31,1.2619e-05,1.2676e-05,-3.827e-06
0.32,1.6245e-05,1.6323e-05,-4.3157e-06
0.33,1.8135e-05,1.822e-05,-4.4054e-06
0.34,1.802e-05,1.8101e-05,-4.1285e-06
0.35,1.5565e-05,1.563e-05,-3.5694e-06
0.36,1.004e-05,1.0076e-05,-2.9545e-06
0.37,1.1116e-06,1.1096e-06,-2.5411e-06
0.38,-5.1734e-06,-5.2107e-06,-2.3899e-06
0.39,-6.734e-06,-6.7967e-06,-2.3746e-06
0.4,-5.1259e-06,-5.2033e-06,-2.4023e-06
0.41,-1.9239e-06,-2.0045e-06,-2.4384e-06
0.42,1.303e-06,1.2313e-06,-2.4712e-06
0.43,3.0171e-06,2.9675e-06,-2.5141e-06
0.44,1.6811e-06,1.6677e-06,-2.6116e-06
0.45,-1.33e-06,-1.3003e-06,-2.7503e-06
0.46,-1.4995e-06,-1.437e-06,-2.815e-06
0.47,2.8626e-07,3.6951e-07,-2.8103e-06
0.48,2.7803e-06,2.8716e-06,-2.7596e-06
0.49,4.7783e-06,4.8646e-06,-2.6946e-06
0.5,5.0655e-06,5.1326e-06,-2.6543e-06
0.51,2.5951e-06,2.6281e-06,-2.6809e-06
0.52,-2.8329e-06,-2.8476e-06,-2.7968e-06
0.53,-5.2358e-06,-5.2934e-06,-2.8442e-06
0.54,-4.106e-06,-4.1951e-06,-2.8011e-06
0.55,-1.0801e-06,-1.1872e-06,-2.7089e-06
0.56,2.213e-06,2.1033e-06,-2.6146e-06
0.57,4.1744e-06,4.0795e-06,-2.5723e-06
0.58,3.1729e-06,3.1129e-06,-2.6369e-06
0.59,-2.6124e-06,-2.6145e-06,-2.8752e-06
0.6,-7.7311e-06,-7.6715e-06,-3.1294e-06
0.61,-7.8828e-06,-7.7769e-06,-3.243e-06
0.62,-4.9291e-06,-4.7941e-06,-3.2436e-06
0.63,-8.0735e-07,-6.6248e-07,-3.1683e-06
0.64,2.5306e-06,2.664e-06,-3.0638e-06
0.65,3.0373e-06,3.1353e-06,-2.9826e-06
0.66,-1.1063e-06,-1.0698e-06,-2.9811e-06
0.67,-8.3824e-06,-8.4253e-06,-3.0113e-06
0.68,-8.5125e-06,-8.6148e-06,-2.7644e-06
0.69,-3.2853e-06,-3.4234e-06,-2.3442e-06
0.7,4.087e-06,3.9363e-06,-1.9092e-06
0.71,1.0331e-05,1.019e-05,-1.6311e-06
0.72,1.212e-05,1.2011e-05,-1.6883e-06
0.73,5.8375e-06,5.7834e-06,-2.2796e-06
0.74,-1.0294e-05,-1.0274e-05,-3.5462e-06
0.75,-2.0883e-05,-2.0796e-05,-4.9354e-06
0.76,-2.1551e-05,-2.1415e-05,-6.0501e-06
0.77,-1.5909e-05,-1.5744e-05,-6.7578e-06
0.78,-7.6328e-06,-7.4629e-06,-6.953e-06
0.79,-4.6985e-07,-3.2025e-07,-6.5403e-06
0.8,1.8116e-06,1.9124e-06,-5.4527e-06
0.81,-3.3021e-06,-3.2799e-06,-3.5714e-06
0.82,-3.0354e-06,-3.102e-06,-3.9475e-07
0.83,1.058e-05,1.0439e-05,3.7381e-06
0.84,3.9465e-05,3.9282e-05,8.1639e-06
0.85,6.773e-05,6.7533e-05,1.1505e-05
0.86,8.2505e-05,8.2324e-05,1.2467e-05
0.87,7.2649e-05,7.2514e-05,9.8041e-06
0.88,2.809e-05,2.8033e-05,2.259e-06
0.89,-5.5118e-05,-5.5074e-05,-1.2618e-05
0.9,-0.00015084,-0.00015071,-3.5318e-05
0.91,-0.00023116,-0.00023099,-6.1611e-05
0.92,-0.000281,-0.00028082,-8.379e-05
0.93,-0.00028683,-0.00028666,-9.4906e-05
0.94,-0.00024023,-0.0002401,-8.8108e-05
0.95,-0.00013782,-0.00013775,-5.5945e-05
0.96,1.312e-05,1.3112e-05,6.0225e-06
0.97,0.00014116,0.00014107,6.8925e-05
0.98,0.00021063,0.00021049,0.00011316
0.99,0.00023059,0.00023043,0.00013719
1,0.0002111,0.00021094,0.00014024
1.01,0.00016186,0.00016172,0.00012151
1.02,9.1647e-05,9.1552e-05,8.0169e-05
1.03,7.0427e-06,7.021e-06,1.2974e-05
1.04,-6.1778e-05,-6.1717e-05,-5.5223e-05
1.05,-9.0031e-05,-8.9902e-05,-9.4374e-05
1.06,-9.0662e-05,-9.0486e-05,-0.00010644
1.07,-7.6479e-05,-7.6282e-05,-9.8252e-05
1.08,-5.8009e-05,-5.7819e-05,-7.6577e-05
1.09,-3.8932e-05,-3.8783e-05,-4.8059e-05
1.1,-1.867e-05,-1.8601e-05,-1.9349e-05
1.11,1.7693e-07,1.3142e-07,3.3311e-06
1.12,3.2444e-06,3.0926e-06,1.6689e-05
1.13,-6.8791e-06,-7.1102e-06,2.2292e-05
1.14,-2.201e-05,-2.2287e-05,2.1945e-05
1.15,-3.5267e-05,-3.5551e-05,1.7401e-05
1.16,-4.0563e-05,-4.0807e-05,1.04e-05
1.17,-3.2386e-05,-3.2538e-05,2.6249e-06
1.18,-7.0502e-06,-7.0522e-06,-4.2826e-06
1.19,1.4346e-05,1.4499e-05,-8.8789e-06
1.2,1.7215e-05,1.7483e-05,-1.11e-05
1.21,7.1925e-06,7.5268e-06,-1.1433e-05
1.22,-8.5814e-06,-8.2311e-06,-1.0406e-05
1.23,-2.3017e-05,-2.2704e-05,-8.5659e-06
1.24,-2.9096e-05,-2.8876e-05,-6.4797e-06
1.25,-1.9204e-05,-1.9135e-05,-4.7829e-06
1.26,1.1497e-06,1.0434e-06,-3.8293e-06
1.27,7.9565e-06,7.7215e-06,-3.2968e-06
1.28,1.1728e-06,8.6768e-07,-2.9935e-06
1.29,-1.2642e-05,-1.2964e-05,-2.8508e-06
1.3,-2.6966e-05,-2.7257e-05,-2.8695e-06
1.31,-3.5216e-05,-3.5432e-05,-3.1019e-06
1.32,-3.1163e-05,-3.1268e-05,-3.6111e-06
1.33,-1.0745e-05,-1.0709e-05,-4.4848e-06
1.34,3.1859e-06,3.3338e-06,-5.1265e-06
1.35,2.1361e-06,2.346e-06,-5.2635e-06
1.36,-7.8969e-06,-7.667e-06,-5.0205e-06
1.37,-2.1157e-05,-2.0943e-05,-4.5623e-06
1.38,-3.2087e-05,-3.1917e-05,-4.0647e-06
1.39,-3.4905e-05,-3.4804e-05,-3.7718e-06
1.4,-2.4775e-05,-2.4759e-05,-3.941e-06
1.41,-1.1124e-05,-1.1187e-05,-4.3394e-06
1.42,-4.0588e-06,-4.1774e-06,-4.5814e-06
1.43,-9.1226e-06,-9.2645e-06,-4.4048e-06
1.44,-1.9349e-05,-1.949e-05,-4.0127e-06
1.45,-2.9226e-05,-2.9345e-05,-3.6086e-06
1.46,-3.4367e-05,-3.4448e-05,-3.3687e-06
1.47,-3.0419e-05,-3.0449e-05,-3.514e-06
1.48,-1.7486e-05,-1.7461e-05,-4.1034e-06
1.49,-1.1731e-05,-1.1667e-05,-4.3879e-06
1.5,-1.4053e-05,-1.397e-05,-4.2778e-06
1.51,-2.0846e-05,-2.0759e-05,-3.913e-06
1.52,-2.8709e-05,-2.8632e-05,-3.458e-06
1.53,-3.4133e-05,-3.4076e-05,-3.0996e-06
1.54,-3.3885e-05,-3.3857e-05,-3.0498e-06
1.55,-2.7422e-05,-2.7428e-05,-3.3875e-06
1.56,-2.0881e-05,-2.0913e-05,-3.7621e-06
1.57,-2.0443e-05,-2.049e-05,-3.7645e-06
1.58,-2.3808e-05,-2.3859e-05,-3.5092e-06
1.59,-2.8765e-05,-2.8812e-05,-3.1234e-06
