t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.047833,-0.089107,-0.07684,0.013088,1.2943,-1.5565,0.035234,-0.12823,-0.056306,0.039157,0.033009,-0.093393,0.047834,0.089107,-0.07684,-0.013089,1.2943,1.5565,0.035234,0.12823,-0.056306,-0.039157,0.033009,0.093394,-0.016549,-4.5485e-09,0.00036191,-3.9595e-10,-0.014286,-5.1136e-08,-0.010988,-2.6852e-09,0.0028163,1.4597e-09,-0.0010318,-5.7601e-10
0.01,0.042654,-0.082132,-0.073882,0.016458,1.2355,-1.4358,0.032375,-0.11824,-0.053282,0.035541,0.031146,-0.087493,0.042654,0.082132,-0.073882,-0.016458,1.2355,1.4358,0.032375,0.11824,-0.053282,-0.035541,0.031146,0.087493,-0.016529,-4.3841e-09,0.00054138,-2.1194e-11,-0.016025,-4.7681e-08,-0.010982,-2.5139e-09,0.0029031,1.4297e-09,-0.0010039,-2.8328e-10
0.02,0.037329,-0.074437,-0.070021,0.022487,1.1627,-1.3027,0.029186,-0.10715,-0.049671,0.031942,0.028946,-0.080542,0.037329,0.074437,-0.070021,-0.022488,1.1627,1.3027,0.029186,0.10715,-0.049671,-0.031942,0.028946,0.080542,-0.016499,-4.4327e-09,0.00070225,2.1737e-10,-0.017361,-4.7829e-08,-0.010969,-2.6454e-09,0.0029537,1.461e-09,-0.00096592,-1.8708e-10
0.03,0.032088,-0.066442,-0.065546,0.029922,1.081,-1.1647,0.025835,-0.095593,-0.045737,0.028492,0.026552,-0.072996,0.032088,0.066442,-0.065546,-0.029923,1.081,1.1647,0.025835,0.095593,-0.045737,-0.028492,0.026552,0.072996,-0.01646,-4.5132e-09,0.00084309,2.8113e-10,-0.018287,-4.8407e-08,-0.010949,-2.8186e-09,0.0029702,1.4689e-09,-0.00091818,-9.9908e-11
0.04,0.027114,-0.05853,-0.060747,0.037725,0.99532,-1.0282,0.022477,-0.084147,-0.041724,0.025294,0.024099,-0.065285,0.027114,0.05853,-0.060747,-0.037725,0.99532,1.0282,0.022477,0.084147,-0.041724,-0.025294,0.024099,0.065285,-0.016413,-4.4719e-09,0.00096283,8.4764e-11,-0.018803,-4.6729e-08,-0.010922,-2.8086e-09,0.0029555,1.39e-09,-0.00086135,1.5291e-10
0.05,0.022379,-0.050702,-0.055436,0.044749,0.90268,-0.89323,0.019101,-0.072822,-0.037533,0.022263,0.021529,-0.057422,0.022379,0.050701,-0.055435,-0.04475,0.90268,0.89322,0.019101,0.072822,-0.037533,-0.022263,0.021529,0.057422,-0.01636,-4.2784e-09,0.0010617,-4.1865e-10,-0.018929,-4.2322e-08,-0.010888,-2.5674e-09,0.0029126,1.221e-09,-0.00079672,6.1338e-10
0.06,0.017707,-0.042603,-0.048913,0.049445,0.79193,-0.75304,0.01556,-0.061115,-0.032718,0.019146,0.018597,-0.049,0.017707,0.042603,-0.048913,-0.049445,0.79192,0.75303,0.01556,0.061114,-0.032718,-0.019146,0.018597,0.049,-0.016301,-4.0148e-09,0.0011408,-1.1376e-09,-0.018697,-3.6757e-08,-0.01085,-2.2308e-09,0.0028451,1.0057e-09,-0.00072592,1.1831e-09
0.07,0.013706,-0.035416,-0.042806,0.052533,0.68941,-0.62864,0.012415,-0.050741,-0.028364,0.016433,0.015939,-0.041381,0.013706,0.035415,-0.042806,-0.052533,0.68941,0.62864,0.012415,0.050741,-0.028364,-0.016433,0.015939,0.041381,-0.016238,-3.7601e-09,0.0012017,-2.0086e-09,-0.018149,-3.1424e-08,-0.010807,-1.9115e-09,0.0027561,7.8037e-10,-0.00065081,1.7683e-09
0.08,0.011415,-0.031743,-0.041267,0.058989,0.66115,-0.56663,0.010723,-0.045435,-0.027136,0.01537,0.015055,-0.037709,0.011414,0.031742,-0.041266,-0.058989,0.66114,0.56662,0.010723,0.045435,-0.027136,-0.01537,0.015055,0.037708,-0.016174,-3.608e-09,0.0012513,-2.9907e-09,-0.017405,-2.7814e-08,-0.010764,-1.7285e-09,0.0026516,5.74e-10,-0.00057511,2.2525e-09
0.09,0.010242,-0.030947,-0.043888,0.07028,0.69948,-0.55586,0.010117,-0.044248,-0.02864,0.015736,0.01571,-0.037409,0.010242,0.030946,-0.043887,-0.07028,0.69947,0.55586,0.010116,0.044247,-0.02864,-0.015736,0.01571,0.037409,-0.016112,-3.5946e-09,0.0013048,-3.884e-09,-0.01672,-2.6559e-08,-0.010726,-1.7373e-09,0.0025414,4.1911e-10,-0.00050518,2.5555e-09
