t, affine_elevL, affine_elevR, affine_throttle
0,-0.0001103,9.765e-05,-6.0291e-06
0.01,-0.0039131,0.0058668,-0.00014442
0.02,-0.0071804,0.0098345,-0.00026018
0.03,-0.0097332,0.012064,-0.00034768
0.04,-0.011433,0.012732,-0.00040367
0.05,-0.012178,0.012066,-0.00042538
0.06,-0.011937,0.010414,-0.00041296
0.07,-0.01076,0.0081877,-0.00036931
0.08,-0.0087314,0.0057499,-0.00029763
0.09,-0.0059797,0.0033432,-0.00020336
0.1,-0.0027048,0.0012155,-9.2828e-05
0.11,0.00074155,-0.00025596,2.5766e-05
0.12,0.0035336,-0.0014665,0.00011896
0.13,0.0053849,-0.0024436,0.00017707
0.14,0.0064281,-0.0031074,0.00020671
0.15,0.0067685,-0.0034232,0.000213
0.16,0.0065126,-0.0034061,0.0002008
0.17,0.0057776,-0.0030943,0.00017452
0.18,0.0046841,-0.0025531,0.00013853
0.19,0.0033597,-0.0018583,9.7091e-05
0.2,0.0019402,-0.0010894,5.4389e-05
0.21,0.00058596,-0.00034394,1.5121e-05
0.22,-0.00056983,0.00029764,-1.7338e-05
0.23,-0.0014357,0.00077702,-4.1057e-05
0.24,-0.0019759,0.0010717,-5.5543e-05
0.25,-0.0022469,0.0012152,-6.252e-05
0.26,-0.0022873,0.0012312,-6.3147e-05
0.27,-0.0021373,0.0011457,-5.8601e-05
0.28,-0.0018407,0.00098235,-5.0171e-05
0.29,-0.001443,0.00076655,-3.9186e-05
0.3,-0.00099261,0.00052403,-2.7053e-05
0.31,-0.00054111,0.00028193,-1.5271e-05
0.32,-0.00014419,7.0417e-05,-5.4181e-06
0.33,0.00016251,-0.00010065,1.3324e-06
0.34,0.00036919,-0.00023314,4.7045e-06
0.35,0.00049562,-0.00033375,5.6102e-06
0.36,0.00055676,-0.00040533,4.8175e-06
0.37,0.00056465,-0.00044853,2.9618e-06
0.38,0.00052931,-0.0004625,5.9039e-07
0.39,0.00046019,-0.00044594,-1.7832e-06
0.4,0.00036374,-0.00039517,-3.7497e-06
0.41,0.00024575,-0.00030591,-4.919e-06
0.42,0.00011127,-0.00017305,-4.9164e-06
0.43,-3.6059e-05,1.0031e-05,-3.3886e-06
0.44,-0.00014846,0.00017468,-1.1182e-06
0.45,-0.00019689,0.00026401,7.7561e-07
0.46,-0.00019753,0.00028979,1.9941e-06
0.47,-0.00016456,0.00026566,2.4645e-06
0.48,-0.00011154,0.0002061,2.1957e-06
0.49,-5.2017e-05,0.00012614,1.219e-06
0.5,2.3205e-06,4.2507e-05,-2.2169e-07
0.51,4.077e-05,-2.7093e-05,-1.7664e-06
0.52,5.2564e-05,-6.4721e-05,-3.0513e-06
0.53,2.7787e-05,-5.1552e-05,-3.6079e-06
0.54,-3.7612e-05,2.4827e-05,-2.985e-06
0.55,-8.262e-05,8.3765e-05,-2.2368e-06
0.56,-9.2798e-05,0.00010088,-1.8938e-06
0.57,-7.7923e-05,8.6539e-05,-1.9091e-06
0.58,-4.7469e-05,5.1219e-05,-2.2165e-06
0.59,-1.061e-05,5.5155e-06,-2.728e-06
0.6,2.511e-05,-4.0563e-05,-3.3002e-06
0.61,5.2514e-05,-7.7381e-05,-3.8004e-06
0.62,6.4378e-05,-9.526e-05,-4.097e-06
0.63,5.3974e-05,-8.521e-05,-4.0838e-06
0.64,1.3146e-05,-3.6592e-05,-3.6562e-06
0.65,-4.8709e-05,3.6398e-05,-3.1372e-06
0.66,-9.2938e-05,8.1373e-05,-3.3088e-06
0.67,-0.00011472,9.5176e-05,-3.9975e-06
0.68,-0.00011827,8.6406e-05,-4.8914e-06
0.69,-0.00010782,6.3264e-05,-5.7217e-06
0.7,-8.7795e-05,3.321e-05,-6.2953e-06
0.71,-6.2827e-05,2.8754e-06,-6.5054e-06
0.72,-3.7675e-05,-2.1364e-05,-6.2773e-06
0.73,-1.7518e-05,-3.4317e-05,-5.6649e-06
0.74,-8.4274e-06,-3.0222e-05,-4.7571e-06
0.75,-1.6448e-05,-5.1633e-06,-3.7704e-06
0.76,-3.3126e-05,2.3105e-05,-3.2153e-06
0.77,-4.8361e-05,3.6935e-05,-3.4641e-06
0.78,-5.8556e-05,3.7058e-05,-4.1935e-06
0.79,-6.3457e-05,2.8303e-05,-5.0763e-06
0.8,-6.311e-05,1.502e-05,-5.8456e-06
0.81,-5.8435e-05,5.5044e-07,-6.3699e-06
0.82,-5.0511e-05,-1.1907e-05,-6.5415e-06
0.83,-4.0759e-05,-1.9492e-05,-6.3014e-06
0.84,-3.1388e-05,-2.0143e-05,-5.6997e-06
0.85,-2.4973e-05,-1.1511e-05,-4.7983e-06
0.86,-2.4046e-05,6.4683e-06,-3.772e-06
0.87,-2.6717e-05,2.2917e-05,-3.033e-06
0.88,-3.0339e-05,3.0023e-05,-2.8015e-06
0.89,-3.3552e-05,2.9616e-05,-2.9262e-06
0.9,-3.5663e-05,2.3968e-05,-3.2748e-06
