t, affine_elevL, affine_elevR, affine_throttle
0,5.6002e-05,-8.3941e-05,-5.4038e-06
0.01,0.0058264,-0.0038844,-0.00014371
0.02,0.0097891,-0.0071485,-0.00025921
0.03,0.012021,-0.0096987,-0.00034682
0.04,0.012686,-0.011395,-0.00040277
0.05,0.012021,-0.012136,-0.00042413
0.06,0.010392,-0.011903,-0.00041192
0.07,0.0081845,-0.01073,-0.00036829
0.08,0.0057329,-0.0086925,-0.00029645
0.09,0.0032982,-0.005933,-0.00020224
0.1,0.0011941,-0.0026656,-9.1738e-05
0.11,-0.00026924,0.00076525,2.6378e-05
0.12,-0.0014585,0.0035295,0.00011888
0.13,-0.002462,0.0053915,0.000177
0.14,-0.0031226,0.0064337,0.00020663
0.15,-0.0034222,0.006767,0.00021291
0.16,-0.0034011,0.0065092,0.00020071
0.17,-0.0030929,0.005776,0.00017442
0.18,-0.0025544,0.0046835,0.00013844
0.19,-0.0018591,0.003359,9.6993e-05
0.2,-0.0010899,0.0019394,5.4292e-05
0.21,-0.00034487,0.00058595,1.5061e-05
0.22,0.00029871,-0.00057328,-1.7496e-05
0.23,0.00077596,-0.0014356,-4.1127e-05
0.24,0.0010707,-0.0019756,-5.5614e-05
0.25,0.0012139,-0.0022466,-6.2594e-05
0.26,0.0012298,-0.0022869,-6.3223e-05
0.27,0.0011442,-0.0021367,-5.868e-05
0.28,0.00098076,-0.0018402,-5.0254e-05
0.29,0.00076489,-0.0014425,-3.9269e-05
0.3,0.00052226,-0.00099201,-2.714e-05
0.31,0.0002798,-0.00054001,-1.5346e-05
0.32,6.5235e-05,-0.00013943,-5.4082e-06
0.33,-0.00010491,0.00016486,1.2557e-06
0.34,-0.00023739,0.00037145,4.6169e-06
0.35,-0.00033832,0.0004982,5.5294e-06
0.36,-0.00041009,0.00055946,4.7356e-06
0.37,-0.00045321,0.00056711,2.8647e-06
0.38,-0.00046768,0.00053234,5.0729e-07
0.39,-0.00045106,0.0004631,-1.8747e-06
0.4,-0.00040026,0.00036654,-3.8493e-06
0.41,-0.00031134,0.00024885,-5.0163e-06
0.42,-0.00017607,0.00011297,-4.9772e-06
0.43,1.1637e-05,-3.6778e-05,-3.3664e-06
0.44,0.00017369,-0.00014799,-1.1511e-06
0.45,0.00026299,-0.00019654,7.3406e-07
0.46,0.00028894,-0.00019692,1.9791e-06
0.47,0.0002646,-0.00016416,2.4251e-06
0.48,0.00020485,-0.00011135,2.1322e-06
0.49,0.00012508,-5.1483e-05,1.1898e-06
0.5,4.1404e-05,2.8685e-06,-2.5136e-07
0.51,-2.8374e-05,4.1108e-05,-1.8198e-06
0.52,-6.5989e-05,5.3009e-05,-3.0971e-06
0.53,-5.2937e-05,2.8414e-05,-3.6495e-06
0.54,2.3899e-05,-3.7277e-05,-3.0181e-06
0.55,8.2866e-05,-8.2375e-05,-2.2743e-06
0.56,9.9972e-05,-9.248e-05,-1.9275e-06
0.57,8.5603e-05,-7.744e-05,-1.9339e-06
0.58,5.0319e-05,-4.7078e-05,-2.2447e-06
0.59,4.6565e-06,-1.0295e-05,-2.7573e-06
0.6,-4.1509e-05,2.5498e-05,-3.3309e-06
0.61,-7.8378e-05,5.2941e-05,-3.8313e-06
0.62,-9.6207e-05,6.4736e-05,-4.1265e-06
0.63,-8.6198e-05,5.4317e-05,-4.1153e-06
0.64,-3.6222e-05,1.2353e-05,-3.6761e-06
0.65,3.6573e-05,-4.9371e-05,-3.1578e-06
0.66,8.1656e-05,-9.3699e-05,-3.325e-06
0.67,9.54e-05,-0.00011554,-4.0207e-06
0.68,8.6702e-05,-0.00011912,-4.9107e-06
0.69,6.36e-05,-0.00010872,-5.7404e-06
0.7,3.3479e-05,-8.8763e-05,-6.3236e-06
0.71,3.3448e-06,-6.3788e-05,-6.5168e-06
0.72,-2.0969e-05,-3.8703e-05,-6.3006e-06
0.73,-3.3866e-05,-1.8563e-05,-5.6861e-06
0.74,-3.0614e-05,-8.7882e-06,-4.7809e-06
0.75,-6.8405e-06,-1.5568e-05,-3.7833e-06
0.76,2.322e-05,-3.3599e-05,-3.218e-06
0.77,3.6989e-05,-4.8829e-05,-3.4721e-06
0.78,3.7133e-05,-5.9064e-05,-4.2039e-06
0.79,2.8467e-05,-6.396e-05,-5.0808e-06
0.8,1.5217e-05,-6.3663e-05,-5.8513e-06
0.81,7.4999e-07,-5.9064e-05,-6.3803e-06
0.82,-1.1628e-05,-5.1144e-05,-6.5456e-06
0.83,-1.9234e-05,-4.1475e-05,-6.3108e-06
0.84,-1.9833e-05,-3.2168e-05,-5.7088e-06
0.85,-1.0339e-05,-2.5926e-05,-4.7751e-06
0.86,6.8209e-06,-2.4532e-05,-3.7565e-06
0.87,2.3417e-05,-2.7546e-05,-3.0303e-06
0.88,3.0467e-05,-3.1252e-05,-2.8042e-06
0.89,3.0028e-05,-3.4531e-05,-2.9327e-06
0.9,2.4406e-05,-3.6589e-05,-3.278e-06
0.91,1.5711e-05,-3.7301e-05,-3.7385e-06
0.92,6.0615e-06,-3.6662e-05,-4.2166e-06
0.93,-2.433e-06,-3.4858e-05,-4.6226e-06
0.94,-7.5891e-06,-3.2575e-05,-4.8687e-06
0.95,-7.1439e-06,-3.0579e-05,-4.8639e-06
0.96,2.4592e-06,-3.0121e-05,-4.4663e-06
0.97,1.8791e-05,-3.0562e-05,-3.7171e-06
