t, elevL, elevR, throttle
0,0.19141,0.19141,5.0797
0.01,0.13647,0.13647,5.115
0.02,0.08154,0.08154,5.1502
0.03,0.026606,0.026605,5.1855
0.04,-0.028327,-0.028329,5.2208
0.05,-0.083261,-0.083263,5.256
0.06,-0.1382,-0.1382,5.2913
0.07,-0.19313,-0.19313,5.3266
0.08,-0.2127,-0.21271,5.3398
0.09,-0.21112,-0.21112,5.3398
0.1,-0.20953,-0.20954,5.3398
0.11,-0.20795,-0.20795,5.3398
0.12,-0.20637,-0.20637,5.3398
0.13,-0.20478,-0.20478,5.3398
0.14,-0.2032,-0.2032,5.3398
0.15,-0.20181,-0.20181,5.3398
0.16,-0.20099,-0.20099,5.3398
0.17,-0.20018,-0.20018,5.3398
0.18,-0.19937,-0.19937,5.3398
0.19,-0.19855,-0.19855,5.3398
0.2,-0.19774,-0.19774,5.3398
0.21,-0.19692,-0.19693,5.3398
0.22,-0.19611,-0.19612,5.3398
0.23,-0.19318,-0.19318,5.3398
0.24,-0.18995,-0.18996,5.3398
0.25,-0.18673,-0.18673,5.3398
0.26,-0.1835,-0.1835,5.3398
0.27,-0.18027,-0.18027,5.3398
0.28,-0.17705,-0.17704,5.3398
0.29,-0.17382,-0.17382,5.3398
0.3,-0.17009,-0.17008,5.3398
0.31,-0.16585,-0.16585,5.3398
0.32,-0.16161,-0.16161,5.3398
0.33,-0.15738,-0.15737,5.3398
0.34,-0.15314,-0.15314,5.3398
0.35,-0.1489,-0.1489,5.3398
0.36,-0.14467,-0.14467,5.3398
0.37,-0.14036,-0.14036,5.3398
0.38,-0.13561,-0.13561,5.3398
0.39,-0.13085,-0.13085,5.3398
0.4,-0.12609,-0.12609,5.3398
0.41,-0.12133,-0.12133,5.3398
0.42,-0.11658,-0.11657,5.3398
0.43,-0.11182,-0.11181,5.3398
0.44,-0.10706,-0.10705,5.3398
0.45,-0.10199,-0.10199,5.3398
0.46,-0.096824,-0.096819,5.3398
0.47,-0.091655,-0.091652,5.3398
0.48,-0.086486,-0.086484,5.3398
0.49,-0.081318,-0.081316,5.3398
0.5,-0.076149,-0.076148,5.3398
0.51,-0.07098,-0.07098,5.3398
0.52,-0.065644,-0.065644,5.3398
0.53,-0.060032,-0.060031,5.3398
0.54,-0.05442,-0.054419,5.3398
