t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0,-0.19141,0,11.382,0,-4.5832,0,0,0
0.01,0.12023,-0.00028597,-0.02242,-0.0060458,-0.18709,0.0013499,11.412,-0.0026453,-4.4318,0.086723,0.10532,-0.027598
0.02,0.24044,-0.00046268,-0.043975,-0.0094326,-0.1827,0.002042,11.442,-0.0051482,-4.2855,0.18737,0.19711,-0.058989
0.03,0.36066,-0.00055089,-0.064707,-0.01026,-0.17824,0.0020967,11.472,-0.0074397,-4.1444,0.30048,0.27608,-0.093847
0.04,0.48087,-0.00057135,-0.084657,-0.0086285,-0.17371,0.001534,11.502,-0.0094511,-4.0084,0.42461,0.34294,-0.13184
0.05,0.60109,-0.00054481,-0.10387,-0.0046375,-0.16911,0.00037431,11.532,-0.011113,-3.8774,0.55831,0.39838,-0.17265
0.06,0.72133,-0.00049204,-0.12238,0.0016129,-0.16445,-0.0013623,11.562,-0.012358,-3.7516,0.70012,0.44312,-0.21593
0.07,0.8416,-0.0004338,-0.14024,0.010023,-0.15971,-0.0036555,11.591,-0.013115,-3.6309,0.84858,0.47786,-0.26137
0.08,0.96189,-0.00039083,-0.15748,0.020492,-0.15491,-0.0064852,11.62,-0.013317,-3.5153,1.0022,0.50331,-0.30864
0.09,1.0822,-0.0003839,-0.17415,0.032921,-0.15003,-0.0098312,11.649,-0.012895,-3.4048,1.1597,0.52017,-0.35739
0.1,1.2026,-0.00043376,-0.19029,0.04721,-0.14508,-0.013673,11.677,-0.011779,-3.2994,1.3194,0.52915,-0.40732
0.11,1.323,-0.00056117,-0.20595,0.063259,-0.14006,-0.017991,11.706,-0.009901,-3.199,1.4799,0.53095,-0.45809
0.12,1.4435,-0.00078688,-0.22116,0.080968,-0.13497,-0.022764,11.733,-0.0071919,-3.1037,1.6399,0.52628,-0.50937
0.13,1.564,-0.0011317,-0.23596,0.10024,-0.12981,-0.027973,11.76,-0.0035828,-3.0135,1.7978,0.51585,-0.56083
0.14,1.6846,-0.0016162,-0.2504,0.12097,-0.12458,-0.033597,11.787,0.00099509,-2.9284,1.9522,0.50035,-0.61215
0.15,1.8053,-0.0022614,-0.26452,0.14305,-0.11927,-0.039616,11.813,0.0066106,-2.8483,2.1016,0.4805,-0.663
0.16,1.9261,-0.0030879,-0.27836,0.1664,-0.11389,-0.04601,11.839,0.013333,-2.7733,2.2446,0.45701,-0.71304
0.17,2.047,-0.0041165,-0.29197,0.19091,-0.10844,-0.052758,11.864,0.02123,-2.7034,2.3797,0.43057,-0.76196
0.18,2.1679,-0.0053679,-0.30538,0.21648,-0.10291,-0.059841,11.888,0.030372,-2.6385,2.5055,0.4019,-0.80941
0.19,2.289,-0.006863,-0.31864,0.24301,-0.097306,-0.067237,11.912,0.040827,-2.5786,2.6205,0.37169,-0.85508
0.2,2.4102,-0.0086224,-0.33179,0.27041,-0.091629,-0.074928,11.935,0.052663,-2.5238,2.7233,0.34066,-0.89864
