t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,-0.61087,-0.23448,0.14911,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.01,0.11325,0.0003266,5.5209e-12,-0.61087,-0.23448,0.15488,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.02,0.22651,0.0013064,2.3156e-09,-0.61087,-0.23448,0.16065,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.03,0.33975,0.0029393,9.0574e-09,-0.61087,-0.23448,0.16642,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.04,0.45298,0.0052254,1.2129e-08,-0.61087,-0.23448,0.17218,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.05,0.5662,0.0081644,8.8772e-09,-0.61087,-0.23448,0.17795,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.06,0.6794,0.011756,8.4681e-10,-0.61087,-0.23448,0.18372,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.07,0.79257,0.016001,-3.7625e-09,-0.61087,-0.23448,0.18949,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.08,0.90572,0.020899,1.011e-09,-0.61087,-0.23448,0.19525,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.09,1.0188,0.026449,7.0041e-09,-0.61087,-0.23448,0.20102,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.1,1.1319,0.032651,7.1068e-09,-0.61087,-0.23448,0.20679,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.11,1.245,0.039505,1.5305e-09,-0.61087,-0.23448,0.21256,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.12,1.358,0.047011,-4.5706e-09,-0.61087,-0.23448,0.21832,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.13,1.4709,0.055169,-2.665e-09,-0.61087,-0.23448,0.22409,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.14,1.5839,0.063979,4.1888e-09,-0.61087,-0.23448,0.22986,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.15,1.6967,0.073439,6.8677e-09,-0.61087,-0.23448,0.23563,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.16,1.8095,0.08355,3.4377e-09,-0.61087,-0.23448,0.24139,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.17,1.9223,0.094312,-3.4968e-09,-0.61087,-0.23448,0.24716,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.18,2.0349,0.10572,-5.3264e-09,-0.61087,-0.23448,0.25293,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.19,2.1475,0.11778,8.4233e-10,-0.61087,-0.23448,0.2587,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.2,2.2601,0.13049,5.9283e-09,-0.61087,-0.23448,0.26446,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.21,2.3726,0.14385,4.879e-09,-0.61087,-0.23448,0.27023,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.22,2.4849,0.15786,-1.3922e-09,-0.61087,-0.23448,0.276,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.23,2.5972,0.17252,-6.342e-09,-0.61087,-0.23448,0.28177,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.24,2.7095,0.18782,-2.5395e-09,-0.61087,-0.23448,0.28753,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.25,2.8216,0.20377,4.1253e-09,-0.61087,-0.23448,0.2933,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.26,2.9336,0.22037,5.5379e-09,-0.61087,-0.23448,0.29907,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.27,3.0456,0.23761,1.0005e-09,-0.61087,-0.23448,0.30484,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.28,3.1574,0.2555,-5.6245e-09,-0.61087,-0.23448,0.3106,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.29,3.2691,0.27403,-5.4208e-09,-0.61087,-0.23448,0.31637,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.3,3.3807,0.29321,1.373e-09,-0.61087,-0.23448,0.32214,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.31,3.4922,0.31303,5.2872e-09,-0.61087,-0.23448,0.32791,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.32,3.6036,0.33349,3e-09,-0.61087,-0.23448,0.33367,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.33,3.7149,0.35459,-3.7672e-09,-0.61087,-0.23448,0.33944,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.34,3.8261,0.37634,-7.2021e-09,-0.61087,-0.23448,0.34521,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.35,3.9371,0.39873,-1.9329e-09,-0.61087,-0.23448,0.35098,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.36,4.048,0.42175,4.0463e-09,-0.61087,-0.23448,0.35674,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.37,4.1587,0.44542,4.1473e-09,-0.61087,-0.23448,0.36251,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.38,4.2693,0.46972,-1.4093e-09,-0.61087,-0.23448,0.36828,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.39,4.3798,0.49467,-7.3456e-09,-0.61087,-0.23448,0.37405,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.4,4.4901,0.52024,-5.1627e-09,-0.61087,-0.23448,0.37981,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.41,4.6003,0.54646,1.7578e-09,-0.61087,-0.23448,0.38558,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.42,4.7103,0.57331,4.348e-09,-0.61087,-0.23448,0.39135,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.43,4.8202,0.60079,8.2622e-10,-0.61087,-0.23448,0.39712,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.44,4.9299,0.62891,-6.0724e-09,-0.61087,-0.23448,0.40288,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.45,5.0395,0.65766,-7.6732e-09,-0.61087,-0.23448,0.40865,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.46,5.1488,0.68704,-1.4101e-09,-0.61087,-0.23448,0.41442,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.47,5.2581,0.71705,3.5552e-09,-0.61087,-0.23448,0.42019,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.48,5.3671,0.74769,2.3618e-09,-0.61087,-0.23448,0.42595,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.49,5.4759,0.77896,-3.9931e-09,-0.61087,-0.23448,0.43172,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.5,5.5846,0.81085,-8.8175e-09,-0.61087,-0.23448,0.43749,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.51,5.6931,0.84338,-4.8576e-09,-0.61087,-0.23448,0.44326,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.52,5.8014,0.87652,1.7263e-09,-0.61087,-0.23448,0.44902,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.53,5.9095,0.9103,2.968e-09,-0.61087,-0.23448,0.45479,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.54,6.0174,0.94469,-1.7182e-09,-0.61087,-0.23448,0.46056,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.55,6.1251,0.97971,-8.321e-09,-0.61087,-0.23448,0.46633,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.56,6.2326,1.0153,-7.9323e-09,-0.61087,-0.23448,0.47209,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.57,6.3399,1.0516,-1.1369e-09,-0.61087,-0.23448,0.47786,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.58,6.447,1.0885,2.6026e-09,-0.61087,-0.23448,0.48363,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.59,6.5539,1.126,1.4409e-10,-0.61087,-0.23448,0.4894,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.6,6.6605,1.1641,-6.694e-09,-0.61087,-0.23448,0.49516,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.61,6.7669,1.2028,-9.9805e-09,-0.61087,-0.23448,0.50093,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.62,6.8731,1.2421,-4.6187e-09,-0.61087,-0.23448,0.5067,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.63,6.9791,1.2821,1.2265e-09,-0.61087,-0.23448,0.51247,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.64,7.0849,1.3226,1.1485e-09,-0.61087,-0.23448,0.51823,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.65,7.1904,1.3638,-4.5447e-09,-0.61087,-0.23448,0.524,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.66,7.2956,1.4056,-1.0419e-08,-0.61087,-0.23448,0.52977,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.67,7.4007,1.4479,-8.0677e-09,-0.61087,-0.23448,0.53554,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
0.68,7.5055,1.4909,-1.1987e-09,-0.61087,-0.23448,0.5413,10.893,0.11426,-3.0966,0.134,-0.32176,0.45952
