t, affine_elevL, affine_elevR, affine_throttle
0,-6.8221e-05,2.5898e-05,1.3639e-07
0.01,0.0020691,-0.0012163,-0.00010275
0.02,0.0033154,-0.0022446,-0.00015818
0.03,0.0037714,-0.0029385,-0.00017597
0.04,0.0035242,-0.0031912,-0.00016552
0.05,0.0027319,-0.0029466,-0.00013406
0.06,0.001613,-0.0021775,-8.8229e-05
0.07,0.00050876,-0.00090738,-3.3636e-05
0.08,-0.0003965,0.00065838,2.1999e-05
0.09,-0.0010585,0.0017618,6.0116e-05
0.1,-0.0013883,0.002226,7.7011e-05
0.11,-0.001433,0.0022162,7.7203e-05
0.12,-0.0012529,0.0018501,6.4466e-05
0.13,-0.00091129,0.0012648,4.3479e-05
0.14,-0.00048086,0.00060581,1.9351e-05
0.15,-5.3754e-05,2.0984e-05,-2.7741e-06
0.16,0.00024769,-0.00037845,-1.8824e-05
0.17,0.00038351,-0.00059991,-2.8287e-05
0.18,0.00039378,-0.0006743,-3.1763e-05
0.19,0.00032439,-0.00062802,-2.9967e-05
0.2,0.00021214,-0.0004928,-2.4243e-05
0.21,9.2665e-05,-0.0003023,-1.6111e-05
0.22,-2.254e-06,-9.4695e-05,-7.3875e-06
0.23,-5.1156e-05,8.2316e-05,-7.7332e-08
0.24,-8.3687e-05,0.00017389,4.3255e-06
0.25,-0.0001071,0.00019522,6.1705e-06
0.26,-0.00011992,0.00017003,5.9832e-06
0.27,-0.00011988,0.00011992,4.3353e-06
0.28,-0.00010442,6.5075e-05,1.8549e-06
0.29,-7.1289e-05,2.4021e-05,-7.2286e-07
0.3,-1.9198e-05,1.309e-05,-2.5043e-06
0.31,2.6127e-05,1.181e-05,-2.8086e-06
0.32,4.1492e-05,-6.0675e-06,-2.2173e-06
0.33,3.5971e-05,-3.0368e-05,-1.4101e-06
0.34,1.9353e-05,-5.1501e-05,-8.7706e-07
0.35,1.0874e-06,-6.12e-05,-7.9608e-07
0.36,-1.0341e-05,-5.2041e-05,-1.1301e-06
0.37,-8.5173e-06,-1.7094e-05,-1.4924e-06
0.38,4.9644e-06,3.7804e-05,-1.2699e-06
0.39,1.1718e-05,7.3244e-05,-2.6207e-07
0.4,9.4359e-06,8.3051e-05,8.9799e-07
0.41,2.3073e-06,7.3641e-05,1.6886e-06
0.42,-5.1727e-06,5.1826e-05,1.7595e-06
0.43,-9.4488e-06,2.6379e-05,1.204e-06
0.44,-7.7095e-06,6.6416e-06,2.2858e-07
0.45,3.4886e-07,3.6295e-06,-6.5965e-07
0.46,8.5449e-06,1.6888e-05,-8.6893e-07
0.47,1.1128e-05,3.2298e-05,-5.5079e-07
0.48,9.3225e-06,4.4445e-05,-4.1044e-08
0.49,4.6118e-06,4.8667e-05,3.6688e-07
0.5,-1.1936e-06,4.1947e-05,4.758e-07
0.51,-5.8812e-06,2.6154e-05,3.1666e-07
0.52,-8.0068e-06,2.3453e-06,-4.2079e-08
0.53,-5.0284e-06,-1.3846e-05,-4.9549e-07
0.54,3.9656e-06,-6.4722e-06,-9.475e-07
0.55,1.3153e-05,1.4287e-05,-1.2763e-06
0.56,1.6492e-05,3.3185e-05,-1.3473e-06
0.57,1.2829e-05,4.243e-05,-1.1649e-06
