t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.072481,-0.065238,-0.025037,0.30998,0.67579,-1.0465,-0.0035435,-0.063617,-0.020685,0.055156,0.018399,-0.090051,0.022207,0.059989,-0.041563,-0.40083,0.83304,0.93488,-0.003508,0.05097,-0.038261,-0.062107,0.01585,0.054735,-0.012803,-0.0013057,-0.012947,-0.0059119,0.14216,-0.0094677,-0.015208,-0.00080806,-0.0047968,-0.00034893,0.00081833,-0.0010456
0.01,0.0759,-0.067212,-0.02538,0.32689,0.70104,-1.0808,-0.0041196,-0.065365,-0.020818,0.057384,0.019247,-0.091405,0.022441,0.060808,-0.042624,-0.4155,0.85921,0.95053,-0.0039477,0.052406,-0.040046,-0.06355,0.016187,0.052131,-0.012679,-0.0013128,-0.012873,-0.0058486,0.14122,-0.0095282,-0.015066,-0.00077459,-0.0049053,-0.0003369,0.00081721,-0.0010632
0.02,0.07932,-0.069078,-0.025329,0.34328,0.72089,-1.1136,-0.0043922,-0.067002,-0.020724,0.059593,0.020076,-0.092465,0.022622,0.061614,-0.043639,-0.42914,0.88447,0.96598,-0.0044009,0.054031,-0.041773,-0.064946,0.016488,0.049682,-0.012559,-0.0013206,-0.012803,-0.0057602,0.1403,-0.0095746,-0.014932,-0.0007296,-0.0050037,-0.00032511,0.00081343,-0.0010576
0.03,0.082737,-0.070848,-0.024907,0.35912,0.73561,-1.145,-0.0043593,-0.068557,-0.02041,0.061788,0.020891,-0.093245,0.022758,0.062414,-0.044612,-0.44173,0.90886,0.98131,-0.0048652,0.055852,-0.043442,-0.066299,0.016756,0.047416,-0.012444,-0.0013284,-0.012738,-0.0056516,0.1394,-0.0096002,-0.014806,-0.00067363,-0.0050927,-0.00031395,0.00080723,-0.0010299
0.04,0.086137,-0.072535,-0.024141,0.37433,0.74549,-1.1752,-0.0040236,-0.070057,-0.019884,0.063968,0.021696,-0.093757,0.022856,0.063217,-0.045542,-0.45325,0.9324,0.9966,-0.0053386,0.057875,-0.04505,-0.067611,0.01699,0.04536,-0.012336,-0.0013358,-0.012677,-0.0055273,0.13851,-0.0095976,-0.014688,-0.00060724,-0.0051728,-0.00030382,0.00079878,-0.00098101
0.05,0.0895,-0.074142,-0.02306,0.38881,0.75079,-1.2042,-0.003391,-0.071526,-0.019157,0.066128,0.022492,-0.094014,0.02292,0.06403,-0.046433,-0.4637,0.95509,1.012,-0.0058203,0.060106,-0.046596,-0.068886,0.017193,0.043542,-0.012233,-0.001342,-0.01262,-0.0053914,0.13763,-0.0095593,-0.014579,-0.00053092,-0.0052444,-0.0002951,0.00078822,-0.00091196
0.06,0.092799,-0.075671,-0.021692,0.40246,0.75176,-1.2321,-0.0024707,-0.072981,-0.018244,0.068257,0.023275,-0.094025,0.022953,0.06486,-0.047286,-0.47305,0.97698,1.0274,-0.0063119,0.062545,-0.048078,-0.070129,0.017365,0.041983,-0.012138,-0.0013465,-0.012567,-0.0052476,0.13676,-0.0094774,-0.014477,-0.00044515,-0.0053078,-0.00028818,0.00077565,-0.00082372
0.07,0.095998,-0.077118,-0.020071,0.41513,0.74869,-1.2587,-0.0012768,-0.074438,-0.017163,0.070337,0.024043,-0.093799,0.022956,0.065709,-0.048107,-0.48129,0.99812,1.0431,-0.0068178,0.065192,-0.049494,-0.07134,0.01751,0.040701,-0.01205,-0.0013488,-0.012517,-0.0050992,0.13589,-0.0093441,-0.014383,-0.00035041,-0.0053633,-0.0002834,0.00076111,-0.00071727
0.08,0.099058,-0.078475,-0.018232,0.42665,0.74183,-1.2838,0.00017496,-0.075906,-0.015937,0.07235,0.024788,-0.093343,0.022933,0.066582,-0.048901,-0.4884,1.0186,1.059,-0.007344,0.068043,-0.050844,-0.07252,0.017629,0.03971,-0.011971,-0.0013482,-0.012472,-0.0049493,0.13501,-0.0091508,-0.014297,-0.00024708,-0.0054112,-0.00028113,0.00074465,-0.00059362
0.09,0.10193,-0.079727,-0.016209,0.43683,0.7314,-1.3071,0.001865,-0.077387,-0.01459,0.074266,0.025499,-0.092663,0.022886,0.067478,-0.049675,-0.49434,1.0386,1.0751,-0.0078971,0.071094,-0.052125,-0.07367,0.017728,0.039022,-0.011902,-0.0013441,-0.01243,-0.0048004,0.13413,-0.0088896,-0.014219,-0.00013555,-0.0054516,-0.0002817,0.00072627,-0.00045382
