t, affine_elevL, affine_elevR, affine_throttle
0,-4.922e-05,7.7817e-05,5.1307e-07
0.01,0.0032551,-0.0041954,-4.7069e-05
0.02,0.003659,-0.005985,-6.6923e-05
0.03,0.002055,-0.004195,-5.0718e-05
0.04,0.00021488,-0.00058633,-9.0919e-06
0.05,-0.00073959,0.001819,2.372e-05
0.06,-0.0011407,0.0024368,2.4905e-05
0.07,-0.00091421,0.0017855,1.4255e-05
0.08,-0.00025097,0.00046289,2.4529e-06
0.09,0.00037731,-0.00064231,-3.0018e-06
0.1,0.00060358,-0.0009503,-2.6491e-06
0.11,0.000498,-0.00072118,-8.7784e-07
0.12,0.00019261,-0.00026599,-3.9687e-07
0.13,-0.00013976,0.0001658,-8.6273e-07
0.14,-0.00030078,0.00034267,-1.5725e-06
0.15,-0.00027526,0.00029375,-1.7586e-06
0.16,-0.00012796,0.00012779,-1.1426e-06
0.17,4.4771e-05,-4.2963e-05,-5.7637e-08
0.18,9.5469e-05,-9.9166e-05,2.5808e-07
0.19,4.1562e-05,-6.0143e-05,-2.3245e-07
0.2,-1.978e-05,-2.9077e-06,-7.1802e-07
0.21,7.6841e-06,-3.4652e-06,-2.9796e-07
0.22,3.0371e-05,-7.9765e-06,9.0261e-09
0.23,-5.2029e-06,1.8843e-05,-4.048e-07
0.24,-3.9173e-05,3.7472e-05,-8.3632e-07
0.25,-6.1753e-06,4.0277e-06,-4.6652e-07
0.26,3.7541e-05,-3.0432e-05,1.0399e-07
0.27,1.3616e-05,-8.0034e-06,-1.5346e-07
0.28,-2.3565e-05,2.3308e-05,-6.1765e-07
0.29,-1.5788e-05,1.2988e-05,-5.743e-07
0.3,2.3745e-05,-2.2714e-05,-9.4686e-08
0.31,8.0394e-06,-6.8224e-06,-2.5756e-07
0.32,-2.28e-05,2.1475e-05,-6.2244e-07
0.33,-2.2615e-05,1.9625e-05,-6.4135e-07
0.34,1.8632e-05,-2.0106e-05,-1.7965e-07
0.35,1.2839e-05,-1.4682e-05,-2.519e-07
0.36,-1.2957e-05,9.6455e-06,-5.3505e-07
0.37,-2.0556e-05,1.678e-05,-6.0655e-07
0.38,9.3562e-06,-1.1523e-05,-2.8926e-07
