t, affine_elevL, affine_elevR, affine_throttle
0,-0.0009284,-0.00092825,-0.00019137
0.01,-0.001655,-0.0016548,0.00015487
0.02,-0.0024097,-0.0024094,0.00038639
0.03,-0.0031675,-0.0031671,0.00052261
0.04,-0.003901,-0.0039003,0.00058211
0.05,-0.004582,-0.004581,0.0005816
0.06,-0.0051834,-0.0051822,0.0005353
0.07,-0.0056788,-0.0056774,0.00045713
0.08,-0.006043,-0.0060414,0.00035906
0.09,-0.0062527,-0.0062509,0.00025119
0.1,-0.0062879,-0.0062861,0.00014343
0.11,-0.0061383,-0.0061364,4.3402e-05
0.12,-0.0058015,-0.0057997,-4.2915e-05
0.13,-0.0052778,-0.0052762,-0.0001097
0.14,-0.0045638,-0.0045625,-0.00015338
0.15,-0.00366,-0.0036589,-0.0001723
0.16,-0.0025806,-0.0025799,-0.00016492
0.17,-0.001375,-0.0013747,-0.00013124
0.18,-8.7066e-05,-8.7121e-05,-7.3524e-05
0.19,0.0011119,0.0011115,-1.097e-05
0.2,0.0021676,0.0021669,4.6402e-05
0.21,0.0030573,0.0030563,9.6701e-05
0.22,0.0037727,0.0037714,0.00013871
0.23,0.0043224,0.0043209,0.00017124
0.24,0.0047189,0.0047174,0.00019339
0.25,0.0049659,0.0049642,0.00020518
0.26,0.0050649,0.0050631,0.0002068
0.27,0.0050196,0.0050178,0.00019887
0.28,0.0048393,0.0048375,0.00018309
0.29,0.0045345,0.0045328,0.00016134
0.3,0.0041168,0.0041152,0.00013567
0.31,0.0035983,0.0035969,0.00010869
0.32,0.0029921,0.0029909,8.291e-05
0.33,0.0023114,0.0023104,6.0817e-05
0.34,0.0015621,0.0015615,4.4805e-05
0.35,0.00077216,0.00077188,3.6111e-05
0.36,-1.4964e-05,-1.485e-05,3.555e-05
0.37,-0.00071605,-0.00071557,4.2834e-05
0.38,-0.0012903,-0.0012895,5.6022e-05
0.39,-0.0017443,-0.0017433,7.3264e-05
0.4,-0.0020857,-0.0020845,9.2648e-05
0.41,-0.0023223,-0.0023211,0.00011235
0.42,-0.0024622,-0.0024609,0.00013076
0.43,-0.0025128,-0.0025115,0.0001463
0.44,-0.0024824,-0.0024811,0.00015766
0.45,-0.0023805,-0.0023794,0.0001642
0.46,-0.002217,-0.0022159,0.00016538
0.47,-0.0020014,-0.0020005,0.00016085
0.48,-0.0017443,-0.0017435,0.00015096
0.49,-0.0014561,-0.0014555,0.00013624
0.5,-0.0011477,-0.0011472,0.00011747
0.51,-0.00082993,-0.00082962,9.5896e-05
0.52,-0.00051373,-0.00051356,7.283e-05
0.53,-0.00021241,-0.00021236,4.9922e-05
0.54,6.1117e-05,6.1077e-05,2.8433e-05
0.55,0.00029657,0.00029646,9.1644e-06
0.56,0.00048528,0.00048513,-7.1526e-06
0.57,0.00063139,0.00063121,-2.0429e-05
0.58,0.00073903,0.00073883,-3.0701e-05
0.59,0.00081119,0.00081099,-3.7967e-05
0.6,0.00085083,0.00085065,-4.2248e-05
0.61,0.00086105,0.0008609,-4.3713e-05
0.62,0.00084507,0.00084495,-4.2577e-05
0.63,0.00080605,0.00080596,-3.9053e-05
0.64,0.00074725,0.0007472,-3.3401e-05
0.65,0.00067209,0.00067207,-2.5936e-05
0.66,0.00058398,0.000584,-1.6978e-05
0.67,0.00048646,0.0004865,-6.8827e-06
0.68,0.0003832,0.00038326,3.9477e-06
0.69,0.00027788,0.00027794,1.5103e-05
0.7,0.00017427,0.00017432,2.6119e-05
0.71,7.6222e-05,7.6243e-05,3.6484e-05
0.72,-1.0279e-05,-1.0299e-05,4.5701e-05
0.73,-8.1451e-05,-8.1512e-05,5.3596e-05
0.74,-0.00013769,-0.00013779,6.0159e-05
0.75,-0.00017983,-0.00017996,6.5385e-05
0.76,-0.00020912,-0.00020927,6.9302e-05
0.77,-0.00022668,-0.00022686,7.1945e-05
0.78,-0.00023365,-0.00023385,7.3352e-05
0.79,-0.00023127,-0.00023148,7.3598e-05
0.8,-0.00022079,-0.00022101,7.2772e-05
0.81,-0.00020346,-0.00020368,7.0964e-05
0.82,-0.00018057,-0.00018078,6.8287e-05
0.83,-0.0001535,-0.0001537,6.489e-05
0.84,-0.00012361,-0.0001238,6.0924e-05
0.85,-9.2261e-05,-9.2424e-05,5.6544e-05
0.86,-6.0877e-05,-6.1008e-05,5.194e-05
0.87,-3.0899e-05,-3.0991e-05,4.7314e-05
0.88,-3.9692e-06,-4.0142e-06,4.2896e-05
0.89,1.8849e-05,1.8857e-05,3.8907e-05
0.9,3.7934e-05,3.7995e-05,3.5456e-05
0.91,5.3721e-05,5.3829e-05,3.264e-05
0.92,6.6672e-05,6.682e-05,3.0431e-05
0.93,7.7001e-05,7.7182e-05,2.877e-05
0.94,8.486e-05,8.5068e-05,2.7619e-05
0.95,9.0402e-05,9.0629e-05,2.694e-05
0.96,9.378e-05,9.4019e-05,2.6689e-05
0.97,9.5156e-05,9.5402e-05,2.6822e-05
0.98,9.4689e-05,9.4936e-05,2.7293e-05
0.99,9.254e-05,9.2782e-05,2.8055e-05
1,8.8877e-05,8.9107e-05,2.906e-05
1.01,8.3867e-05,8.4081e-05,3.0258e-05
1.02,7.768e-05,7.7872e-05,3.1599e-05
1.03,7.049e-05,7.0655e-05,3.303e-05
1.04,6.2473e-05,6.2605e-05,3.4498e-05
1.05,5.3581e-05,5.3674e-05,3.5948e-05
1.06,4.4111e-05,4.416e-05,3.7324e-05
1.07,3.495e-05,3.4952e-05,3.8575e-05
1.08,2.6985e-05,2.6942e-05,3.9649e-05
1.09,2.0895e-05,2.0813e-05,4.0533e-05
1.1,1.6613e-05,1.6497e-05,4.1233e-05
1.11,1.3962e-05,1.3817e-05,4.1754e-05
1.12,1.2765e-05,1.2597e-05,4.2103e-05
1.13,1.2838e-05,1.2652e-05,4.2288e-05
1.14,1.3985e-05,1.3787e-05,4.232e-05
1.15,1.6013e-05,1.5808e-05,4.2213e-05
1.16,1.8728e-05,1.8523e-05,4.1979e-05
1.17,2.1928e-05,2.1727e-05,4.1636e-05
1.18,2.5404e-05,2.5212e-05,4.1201e-05
1.19,2.8949e-05,2.8772e-05,4.0693e-05
1.2,3.2351e-05,3.2195e-05,4.0135e-05
1.21,3.5392e-05,3.5261e-05,3.9548e-05
1.22,3.7856e-05,3.7755e-05,3.8958e-05
1.23,3.9519e-05,3.9455e-05,3.8391e-05
1.24,4.0159e-05,4.0136e-05,3.7873e-05
1.25,3.9914e-05,3.9936e-05,3.7434e-05
1.26,3.9587e-05,3.9649e-05,3.7076e-05
1.27,3.9509e-05,3.9604e-05,3.6789e-05
1.28,3.9935e-05,4.0056e-05,3.6564e-05
1.29,4.0707e-05,4.0848e-05,3.6391e-05
1.3,4.1723e-05,4.1877e-05,3.6263e-05
1.31,4.2917e-05,4.3077e-05,3.6173e-05
1.32,4.422e-05,4.4383e-05,3.6114e-05
1.33,4.5563e-05,4.5723e-05,3.608e-05
1.34,4.6876e-05,4.7029e-05,3.6066e-05
1.35,4.8089e-05,4.8231e-05,3.6067e-05
1.36,4.9127e-05,4.9256e-05,3.608e-05
1.37,4.9916e-05,5.0029e-05,3.6102e-05
1.38,5.0384e-05,5.0478e-05,3.6128e-05
1.39,5.0454e-05,5.0528e-05,3.6157e-05
1.4,5.0048e-05,5.0102e-05,3.6189e-05
1.41,4.9091e-05,4.9123e-05,3.6221e-05
1.42,4.749e-05,4.7501e-05,3.6253e-05
1.43,4.5596e-05,4.5588e-05,3.6283e-05
1.44,4.4029e-05,4.4007e-05,3.6302e-05
1.45,4.3085e-05,4.3053e-05,3.6305e-05
1.46,4.2666e-05,4.2629e-05,3.629e-05
1.47,4.2705e-05,4.2666e-05,3.6256e-05
1.48,4.3135e-05,4.3097e-05,3.6202e-05
1.49,4.3884e-05,4.3851e-05,3.6127e-05
1.5,4.4882e-05,4.4855e-05,3.6032e-05
1.51,4.6057e-05,4.6037e-05,3.5918e-05
1.52,4.7336e-05,4.7324e-05,3.5787e-05
1.53,4.8645e-05,4.8641e-05,3.564e-05
1.54,4.9909e-05,4.9912e-05,3.548e-05
1.55,5.1052e-05,5.1061e-05,3.531e-05
1.56,5.1997e-05,5.2011e-05,3.5134e-05
1.57,5.2667e-05,5.2682e-05,3.4956e-05
1.58,5.2942e-05,5.2956e-05,3.4781e-05
1.59,5.2715e-05,5.2724e-05,3.4615e-05
1.6,5.2125e-05,5.2125e-05,3.446e-05
1.61,5.1333e-05,5.132e-05,3.432e-05
1.62,5.0735e-05,5.0707e-05,3.4191e-05
1.63,5.0452e-05,5.0409e-05,3.4068e-05
1.64,5.0445e-05,5.0386e-05,3.3949e-05
1.65,5.0677e-05,5.0603e-05,3.3831e-05
1.66,5.1108e-05,5.1019e-05,3.3712e-05
1.67,5.1697e-05,5.1595e-05,3.3591e-05
1.68,5.2404e-05,5.229e-05,3.3467e-05
1.69,5.3189e-05,5.3066e-05,3.3339e-05
1.7,5.4009e-05,5.388e-05,3.3207e-05
1.71,5.4824e-05,5.4691e-05,3.307e-05
1.72,5.5589e-05,5.5457e-05,3.293e-05
1.73,5.6263e-05,5.6137e-05,3.2786e-05
1.74,5.6802e-05,5.6687e-05,3.264e-05
1.75,5.7163e-05,5.7064e-05,3.2494e-05
1.76,5.7267e-05,5.719e-05,3.2348e-05
1.77,5.7072e-05,5.7025e-05,3.2206e-05
1.78,5.6679e-05,5.6668e-05,3.2068e-05
1.79,5.62e-05,5.6229e-05,3.1933e-05
1.8,5.5842e-05,5.5909e-05,3.1801e-05
1.81,5.5645e-05,5.5747e-05,3.1667e-05
1.82,5.5591e-05,5.5726e-05,3.1531e-05
1.83,5.5664e-05,5.5828e-05,3.1391e-05
1.84,5.5847e-05,5.6036e-05,3.1247e-05
1.85,5.6122e-05,5.6332e-05,3.1098e-05
1.86,5.6473e-05,5.6698e-05,3.0943e-05
1.87,5.688e-05,5.7116e-05,3.0782e-05
1.88,5.7327e-05,5.7567e-05,3.0616e-05
1.89,5.7796e-05,5.8033e-05,3.0445e-05
1.9,5.8268e-05,5.8495e-05,3.0269e-05
1.91,5.8726e-05,5.8934e-05,3.0089e-05
1.92,5.915e-05,5.9331e-05,2.9906e-05
1.93,5.9522e-05,5.9668e-05,2.9722e-05
1.94,5.9824e-05,5.9925e-05,2.9538e-05
1.95,6.0037e-05,6.0083e-05,2.9356e-05
1.96,6.0145e-05,6.0124e-05,2.9177e-05
1.97,6.0184e-05,6.0098e-05,2.9003e-05
1.98,6.0189e-05,6.0044e-05,2.8831e-05
