t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.023248,-0.099514,-0.0090384,-0.014621,-0.23219,-1.6584,-0.02379,-0.13484,0.026764,0.036753,0.0022411,-0.121,0.071181,0.14274,-0.11029,-0.30453,2.2339,2.0017,0.087034,0.16487,-0.11458,-0.082534,0.049954,0.1477,-0.01014,-0.0064867,-0.0008714,-0.0033473,-0.013641,-0.06738,-0.0083779,-0.0050003,0.0020905,0.0012144,-0.00093636,-0.0034134
0.01,0.023101,-0.10267,-0.0067248,-0.0052818,-0.28736,-1.7055,-0.027182,-0.13845,0.031503,0.038081,0.0021696,-0.12591,0.0679,0.13465,-0.11093,-0.3192,2.206,1.8722,0.085788,0.1551,-0.11371,-0.079949,0.048137,0.14105,-0.010175,-0.0067641,-0.00064759,-0.0030118,-0.017215,-0.070707,-0.0085066,-0.0052717,0.002296,0.0012959,-0.00095183,-0.0036096
0.02,0.022745,-0.10543,-0.0041151,0.0054394,-0.34413,-1.7446,-0.030343,-0.14141,0.036104,0.039349,0.0021818,-0.13016,0.063912,0.12524,-0.10984,-0.32947,2.1459,1.726,0.083053,0.14401,-0.11085,-0.076643,0.045616,0.13311,-0.0102,-0.0070253,-0.00043574,-0.0026853,-0.020466,-0.073757,-0.008622,-0.0055206,0.0024776,0.0013647,-0.00095493,-0.003784
0.03,0.022216,-0.10766,-0.0013165,0.017041,-0.40021,-1.7737,-0.033148,-0.14357,0.040371,0.040471,0.0022868,-0.13359,0.059196,0.11458,-0.10679,-0.33359,2.0513,1.5645,0.078766,0.13166,-0.10594,-0.072484,0.042409,0.12381,-0.010213,-0.0072665,-0.00024228,-0.0023961,-0.023289,-0.076487,-0.0087184,-0.0057433,0.0026293,0.0014176,-0.00094375,-0.0039325
0.04,0.021544,-0.10919,0.0015561,0.028949,-0.45315,-1.7904,-0.035468,-0.14475,0.044104,0.041342,0.0024844,-0.13599,0.053795,0.10281,-0.1017,-0.33018,1.9218,1.3905,0.072971,0.11823,-0.099053,-0.067403,0.038584,0.1132,-0.010213,-0.0074854,-7.2235e-05,-0.0021705,-0.025611,-0.078871,-0.0087922,-0.0059374,0.0027468,0.0014518,-0.00091756,-0.0040517
0.05,0.020753,-0.10983,0.0043813,0.040586,-0.50044,-1.7921,-0.037176,-0.14476,0.0471,0.04186,0.0027649,-0.13714,0.047787,0.090166,-0.094533,-0.3183,1.7589,1.2075,0.065798,0.10394,-0.090345,-0.061389,0.034234,0.10139,-0.010198,-0.0076801,6.9737e-05,-0.0020354,-0.027366,-0.080893,-0.0088401,-0.006101,0.0028262,0.0014649,-0.00087613,-0.0041385
0.06,0.019879,-0.10946,0.007036,0.051385,-0.53992,-1.7773,-0.038184,-0.14348,0.049201,0.041947,0.0031124,-0.13692,0.041423,0.077143,-0.08567,-0.29848,1.5703,1.0225,0.057643,0.089322,-0.080306,-0.054657,0.029583,0.088804,-0.010169,-0.0078505,0.00018142,-0.0020096,-0.028534,-0.082558,-0.0088616,-0.0062339,0.0028662,0.0014555,-0.00082057,-0.0041916
0.07,0.018959,-0.10807,0.0094145,0.060869,-0.5701,-1.7459,-0.038465,-0.14092,0.050321,0.04157,0.0035059,-0.13531,0.035065,0.064397,-0.075786,-0.27272,1.3693,0.84447,0.049091,0.075053,-0.069668,-0.047603,0.024934,0.076101,-0.010128,-0.007998,0.00026318,-0.0021016,-0.029139,-0.08389,-0.0088584,-0.0063373,0.0028674,0.0014239,-0.00075311,-0.0042115
0.08,0.018022,-0.10566,0.011436,0.068653,-0.59005,-1.6986,-0.038025,-0.13714,0.05042,0.040713,0.003916,-0.13235,0.029015,0.052479,-0.065522,-0.24313,1.1674,0.68041,0.040669,0.061718,-0.059079,-0.040587,0.020524,0.063864,-0.010076,-0.0081251,0.00031614,-0.0023174,-0.029219,-0.084922,-0.0088333,-0.0064132,0.0028314,0.0013709,-0.00067627,-0.0041993
0.09,0.017008,-0.10193,0.013032,0.074281,-0.59778,-1.6307,-0.03679,-0.13175,0.049357,0.039252,0.0042879,-0.12767,0.023051,0.041109,-0.054407,-0.20789,0.95686,0.52685,0.032234,0.048925,-0.048186,-0.033311,0.016214,0.051691,-0.010016,-0.0082347,0.0003437,-0.0026512,-0.028845,-0.0857,-0.0087912,-0.0064643,0.0027611,0.0012986,-0.00059322,-0.0041578
0.1,0.015791,-0.096252,0.014106,0.077128,-0.58967,-1.5327,-0.034605,-0.12397,0.046884,0.036963,0.0045402,-0.12052,0.016596,0.029485,-0.041039,-0.16153,0.71408,0.37409,0.023203,0.035631,-0.03586,-0.024968,0.011615,0.038438,-0.0099517,-0.0083306,0.00035041,-0.0030906,-0.028108,-0.086273,-0.0087374,-0.0064942,0.0026604,0.0012098,-0.00050716,-0.0040906
0.11,0.01502,-0.09193,0.014882,0.079045,-0.58251,-1.4577,-0.03267,-0.11806,0.044535,0.035056,0.0048818,-0.11504,0.013425,0.023332,-0.034708,-0.14034,0.59623,0.29184,0.018481,0.028715,-0.029816,-0.020871,0.009356,0.03169,-0.0098848,-0.0084174,0.00034202,-0.003616,-0.027115,-0.086701,-0.0086785,-0.0065073,0.002534,0.0011084,-0.00042118,-0.004003
0.12,0.0151,-0.09159,0.015869,0.082541,-0.59432,-1.447,-0.032074,-0.11734,0.04368,0.03457,0.0054985,-0.1145,0.014861,0.023981,-0.039749,-0.16355,0.66991,0.29217,0.019486,0.030194,-0.033176,-0.023256,0.010316,0.034236,-0.009821,-0.0085123,0.00033624,-0.0041518,-0.026195,-0.087225,-0.0086321,-0.0065246,0.0023985,0.0010103,-0.00034001,-0.0039185
0.13,0.015251,-0.091583,0.016899,0.085833,-0.60799,-1.4416,-0.031662,-0.11709,0.042793,0.03424,0.0061077,-0.11434,0.016112,0.023912,-0.044607,-0.18682,0.738,0.28222,0.020074,0.031044,-0.036192,-0.025498,0.011197,0.036302,-0.0097615,-0.0086215,0.00033971,-0.0046681,-0.025464,-0.087926,-0.0086039,-0.0065535,0.0022606,0.00092107,-0.00026456,-0.0038454
0.14,0.015439,-0.091677,0.017951,0.088783,-0.62228,-1.438,-0.031343,-0.11701,0.041778,0.03398,0.006695,-0.11429,0.017063,0.023049,-0.048914,-0.20847,0.79503,0.26158,0.020137,0.031159,-0.038626,-0.027423,0.011926,0.037719,-0.0097055,-0.0087425,0.00035115,-0.0051699,-0.024893,-0.08877,-0.0085916,-0.0065908,0.0021192,0.00083924,-0.00019387,-0.003781
0.15,0.015667,-0.091838,0.01902,0.091401,-0.63703,-1.4355,-0.0311,-0.11706,0.040631,0.033779,0.00726,-0.11431,0.017754,0.021499,-0.052705,-0.22849,0.84203,0.2319,0.019742,0.030662,-0.040556,-0.029075,0.012537,0.038588,-0.0096523,-0.0088739,0.00036972,-0.0056599,-0.024459,-0.089733,-0.0085937,-0.006634,0.0019737,0.00076381,-0.00012724,-0.0037233
