t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.071177,-0.14274,-0.11028,0.30447,2.2338,-2.0017,0.087022,-0.16487,-0.11457,0.082525,0.049948,-0.1477,0.023246,0.099509,-0.0090371,0.014614,-0.23218,1.6583,-0.023786,0.13483,0.02676,-0.03675,0.0022397,0.121,-0.01014,0.0064866,-0.00087168,0.003349,-0.013636,0.067379,-0.0083776,0.0050002,0.0020903,-0.0012141,-0.00093621,0.0034132
0.01,0.067913,-0.13467,-0.11095,0.31923,2.2063,-1.8726,0.085794,-0.15513,-0.11373,0.079959,0.048142,-0.14108,0.0231,0.10268,-0.0067239,0.0052791,-0.28738,1.7055,-0.02718,0.13845,0.031502,-0.038081,0.0021681,0.12591,-0.010175,0.006764,-0.0006479,0.0030137,-0.017209,0.070705,-0.0085063,0.0052716,0.0022957,-0.0012956,-0.00095167,0.0036093
0.02,0.063911,-0.12525,-0.10983,0.32944,2.1458,-1.7261,0.083043,-0.14402,-0.11085,0.076639,0.045611,-0.13311,0.022743,0.10543,-0.0041142,-0.0054492,-0.34412,1.7445,-0.030339,0.1414,0.036099,-0.039347,0.0021804,0.13016,-0.0102,0.007025,-0.00043619,0.0026877,-0.020457,0.073753,-0.0086215,0.0055203,0.0024772,-0.0013643,-0.00095469,0.0037836
0.03,0.059176,-0.11455,-0.10675,0.33343,2.0505,-1.5641,0.078732,-0.13163,-0.1059,0.072454,0.042391,-0.12378,0.022212,0.10764,-0.0013154,-0.017046,-0.40015,1.7734,-0.033139,0.14354,0.040361,-0.040463,0.0022849,0.13357,-0.010213,0.0072663,-0.00024263,0.0023981,-0.023282,0.076483,-0.008718,0.005743,0.002629,-0.0014173,-0.00094357,0.0039321
0.04,0.053756,-0.10275,-0.10161,0.32988,1.9204,-1.3897,0.072912,-0.11816,-0.098983,0.067349,0.038551,-0.11313,0.021536,0.10916,0.0015572,-0.028948,-0.45304,1.7899,-0.035455,0.14471,0.044089,-0.04133,0.0024819,0.13595,-0.010213,0.0074851,-7.2601e-05,0.0021726,-0.025604,0.078868,-0.0087917,0.0059371,0.0027465,-0.0014515,-0.00091739,0.0040512
0.05,0.047762,-0.09013,-0.09448,0.31809,1.7579,-1.207,0.065757,-0.1039,-0.090301,0.061353,0.034212,-0.10134,0.020749,0.1098,0.0043806,-0.040584,-0.50035,1.7917,-0.037163,0.14473,0.047087,-0.04185,0.002763,0.13712,-0.010198,0.0076797,6.912e-05,0.0020384,-0.027355,0.080888,-0.0088395,0.0061005,0.0028257,-0.0014643,-0.00087587,0.0041378
0.06,0.041473,-0.077222,-0.085773,0.29885,1.5722,-1.0235,0.0577,-0.089412,-0.0804,0.054717,0.029618,-0.088893,0.019885,0.10948,0.0070341,-0.051396,-0.53998,1.7776,-0.038186,0.14351,0.049206,-0.041954,0.0031135,0.13695,-0.010169,0.0078501,0.00018098,0.0020117,-0.028526,0.082552,-0.008861,0.0062334,0.0028658,-0.0014551,-0.00082038,0.004191
0.07,0.035184,-0.064582,-0.076041,0.27365,1.3738,-0.84683,0.049238,-0.075268,-0.069893,0.047753,0.025018,-0.076321,0.018976,0.10814,0.0094127,-0.060896,-0.57035,1.7471,-0.038483,0.14101,0.050345,-0.041594,0.0035102,0.1354,-0.010128,0.0079976,0.00026277,0.0021036,-0.029131,0.083884,-0.0088579,0.0063368,0.002867,-0.0014235,-0.00075294,0.0042109
0.08,0.029067,-0.052563,-0.065635,0.24354,1.1694,-0.68148,0.04073,-0.061816,-0.05918,0.040652,0.020559,-0.063964,0.018029,0.10569,0.011434,-0.06866,-0.59011,1.699,-0.038026,0.13717,0.050424,-0.040719,0.0039173,0.13238,-0.010076,0.0081246,0.00031558,0.0023202,-0.029208,0.084916,-0.0088328,0.0064126,0.0028309,-0.0013704,-0.00067609,0.0041986
0.09,0.022873,-0.040836,-0.053989,0.20629,0.94969,-0.52348,0.032,-0.048602,-0.047835,0.033065,0.016086,-0.051343,0.016978,0.10177,0.01302,-0.074189,-0.59698,1.6282,-0.036731,0.13155,0.049282,-0.039191,0.0042782,0.12748,-0.010016,0.0082342,0.00034318,0.0026536,-0.028835,0.085693,-0.0087906,0.0064637,0.0027606,-0.0012981,-0.00059306,0.004157
0.1,0.016522,-0.029368,-0.040859,0.16084,0.71101,-0.37263,0.023104,-0.035489,-0.03571,0.024862,0.011563,-0.038285,0.015779,0.09618,0.014096,-0.077075,-0.58923,1.5315,-0.034574,0.12388,0.046846,-0.036933,0.004536,0.12043,-0.0099515,0.0083301,0.00034989,0.003093,-0.028098,0.086266,-0.0087368,0.0064935,0.0026599,-0.0012093,-0.00050703,0.0040898
0.11,0.01369,-0.023735,-0.035368,0.14291,0.60735,-0.29674,0.018813,-0.029208,-0.030365,0.021244,0.0095376,-0.032235,0.015067,0.092155,0.014898,-0.079173,-0.58364,1.4613,-0.032741,0.11835,0.04463,-0.035133,0.0049001,0.11532,-0.0098848,0.008417,0.00034172,0.0036175,-0.027109,0.086697,-0.0086782,0.0065069,0.0025337,-0.0011081,-0.00042111,0.0040026
0.12,0.014773,-0.02385,-0.039521,0.16265,0.66611,-0.29061,0.019378,-0.03003,-0.03299,0.023129,0.010256,-0.034051,0.015083,0.091506,0.01586,-0.082487,-0.59386,1.4457,-0.032047,0.11723,0.043643,-0.03454,0.0054915,0.11439,-0.009821,0.0085123,0.00033625,0.0041518,-0.026195,0.087226,-0.0086321,0.0065246,0.0023985,-0.0010103,-0.00034002,0.0039185
0.13,0.01624,-0.024095,-0.044951,0.18821,0.74367,-0.28437,0.020227,-0.03128,-0.036469,0.025687,0.011284,-0.036575,0.015277,0.091717,0.016914,-0.085925,-0.60874,1.4438,-0.031707,0.11726,0.04285,-0.034287,0.0061193,0.11451,-0.0097615,0.0086215,0.00033972,0.0046681,-0.025464,0.087926,-0.0086039,0.0065535,0.0022606,-0.00092107,-0.00026456,0.0038454
0.14,0.01715,-0.02317,-0.049156,0.20945,0.79897,-0.26298,0.020239,-0.031321,-0.038818,0.027554,0.011985,-0.03791,0.015458,0.091774,0.017963,-0.088853,-0.62284,1.4395,-0.031375,0.11713,0.041818,-0.034014,0.0067039,0.11441,-0.0097055,0.0087425,0.00035116,0.0051699,-0.024893,0.08877,-0.0085916,0.0065908,0.0021192,-0.00083924,-0.00019387,0.003781
0.15,0.017747,-0.021491,-0.052687,0.22841,0.84174,-0.23182,0.019735,-0.030651,-0.040542,0.029065,0.012533,-0.038575,0.015665,0.09183,0.019019,-0.091396,-0.63698,1.4354,-0.031098,0.11705,0.040627,-0.033777,0.0072591,0.1143,-0.0096523,0.0088739,0.00036973,0.0056599,-0.02446,0.089734,-0.0085937,0.006634,0.0019737,-0.00076381,-0.00012724,0.0037233
