t, affine_elevL, affine_elevR, affine_throttle
0,-1.2623,-0.50463,0.012832
0.01,-1.2333,-0.54278,0.010191
0.02,-1.2141,-0.57612,0.0068676
0.03,-1.1935,-0.59417,0.004169
0.04,-1.1552,-0.59947,0.0025006
0.05,-1.149,-0.59129,-0.00096265
0.06,-1.1426,-0.58283,-0.0014587
0.07,-1.1414,-0.56991,-0.002539
0.08,-1.1431,-0.54903,-0.0057207
0.09,-1.1648,-0.5376,-0.0033088
0.1,-1.1784,-0.5172,-0.00066801
0.11,-1.1669,-0.47944,-0.0031266
0.12,-1.1672,-0.44556,-0.0044187
0.13,-1.1669,-0.41131,-0.0063541
0.14,-1.1726,-0.38413,-0.0057793
0.15,-1.1672,-0.34956,-0.0077115
0.16,-1.1631,-0.31894,-0.008612
0.17,-1.1582,-0.28132,-0.01111
0.18,-1.1583,-0.25193,-0.011095
0.19,-1.15,-0.22613,-0.011142
0.2,-1.1438,-0.19707,-0.0099342
0.21,-1.1148,-0.1528,-0.011134
0.22,-1.0913,-0.1095,-0.01288
0.23,-1.0541,-0.067936,-0.016248
0.24,-1.0443,-0.02913,-0.017018
0.25,-1.0397,0.022072,-0.018132
0.26,-1.0241,0.063927,-0.021088
0.27,-1.0233,0.11859,-0.025232
0.28,-1.0412,0.16516,-0.026538
0.29,-1.0534,0.20716,-0.028481
0.3,-1.0685,0.23888,-0.029089
0.31,-1.0857,0.2759,-0.030151
0.32,-1.1076,0.3285,-0.033235
0.33,-1.1312,0.37998,-0.036505
0.34,-1.1537,0.41632,-0.038334
0.35,-1.1782,0.46228,-0.042382
0.36,-1.2142,0.51463,-0.047596
0.37,-1.2588,0.55538,-0.049428
0.38,-1.3053,0.60266,-0.053558
0.39,-1.3613,0.64162,-0.05759
0.4,-1.4292,0.66846,-0.060073
0.41,-1.5011,0.69878,-0.063271
0.42,-1.5857,0.73717,-0.067265
0.43,-1.6808,0.77197,-0.071727
0.44,-1.787,0.81957,-0.076291
0.45,-1.9065,0.89221,-0.080504
0.46,-2.0496,0.9409,-0.084326
0.47,-2.2249,1.0225,-0.089974
0.48,-2.4232,1.0827,-0.094706
0.49,-2.6966,1.1828,-0.10016
0.5,-2.9071,1.4707,-0.10455
0.51,-3.197,1.6424,-0.10875
0.52,-3.6068,1.7214,-0.11211
0.53,-3.0822,1.966,-0.11879
0.54,-3.385,2.2854,-0.12588
0.55,-2.8708,2.4474,-0.13488
0.56,-2.8751,2.6994,-0.14521
0.57,-2.9569,2.8964,-0.15531
0.58,-2.8602,2.9561,-0.16458
0.59,-2.7836,3.0235,-0.1731
0.6,-2.8378,3.0769,-0.18255
0.61,-2.7753,3.0944,-0.19128
0.62,-2.722,3.0977,-0.20003
0.63,-2.6868,3.0455,-0.20731
0.64,-2.6454,3.0375,-0.21354
0.65,-2.6174,3.0716,-0.21737
0.66,-2.5517,3.1102,-0.21901
0.67,-2.5079,3.1542,-0.21943
0.68,-2.4021,3.3092,-0.22056
0.69,-2.3402,3.292,-0.21751
0.7,-2.227,3.2549,-0.21318
0.71,-2.0976,3.2882,-0.21082
0.72,-1.9884,3.2729,-0.20878
0.73,-1.7889,3.2286,-0.20346
0.74,-1.6041,3.0498,-0.1971
0.75,-1.4167,2.8458,-0.18973
0.76,-1.2133,2.6467,-0.1808
0.77,-1.025,2.4348,-0.17039
0.78,-0.87488,2.2824,-0.16158
0.79,-0.73636,2.11,-0.15052
0.8,-0.61924,1.9077,-0.13608
0.81,-0.51617,1.7398,-0.12796
0.82,-0.41747,1.5173,-0.11722
0.83,-0.34132,1.3627,-0.11348
0.84,-0.23687,1.1382,-0.10658
0.85,-0.12934,0.90035,-0.10586
0.86,-0.032551,0.6099,-0.10499
0.87,0.046924,0.34983,-0.10605
0.88,0.14828,0.026051,-0.10579
0.89,0.24867,-0.34543,-0.11168
0.9,0.34541,-0.75711,-0.12002
0.91,0.4292,-1.1813,-0.12963
0.92,0.51862,-1.6497,-0.14182
0.93,0.57664,-2.1342,-0.15587
0.94,0.61505,-2.6564,-0.17148
0.95,0.65598,-3.2027,-0.19294
0.96,0.66216,-3.7861,-0.21601
0.97,0.63661,-4.5676,-0.24859
0.98,0.56132,-5.0511,-0.28185
0.99,0.43763,-5.6066,-0.32234
1,0.2537,-6.03,-0.36392
1.01,0.031454,-6.3206,-0.40634
1.02,-0.20482,-6.4259,-0.44208
1.03,-0.48424,-6.5621,-0.48145
1.04,-0.83377,-6.5216,-0.5221
1.05,-1.2408,-6.091,-0.56006
1.06,-1.4792,-6.0424,-0.58155
1.07,-1.788,-5.454,-0.60134
1.08,-2.0947,-4.5184,-0.61677
1.09,-2.334,-3.5806,-0.62406
1.1,-2.4515,-2.7463,-0.62089
1.11,-2.5024,-1.975,-0.61211
1.12,-2.5074,-1.2352,-0.60367
1.13,-2.4203,0.058827,-0.58996
1.14,-2.1768,0.24842,-0.5694
1.15,-1.8454,0.86669,-0.54529
1.16,-1.4588,2.2566,-0.52335
1.17,-0.99475,3.1591,-0.50435
1.18,-0.43894,3.9867,-0.48566
1.19,0.25712,4.741,-0.47262
1.2,0.96026,5.1346,-0.44696
1.21,0.50387,3.5357,-0.32633
1.22,-2.1695,0.38279,-0.082609
1.23,-1.9389,0.72959,-0.097211
1.24,-1.9175,0.75848,-0.093067
1.25,-1.9193,0.71121,-0.083766
1.26,-1.9112,0.6512,-0.074306
1.27,-1.868,0.53806,-0.061131
1.28,-1.863,0.41262,-0.048568
1.29,-1.8076,0.24736,-0.033539
1.3,-1.7916,0.056065,-0.017626
1.31,-1.771,-0.13849,-0.0013387
1.32,-1.7301,-0.37236,0.0183
1.33,-1.6706,-0.58043,0.037125
1.34,-1.6583,-0.71989,0.049548
1.35,-1.7262,-0.83697,0.059215
1.36,-1.7411,-0.97159,0.071451
1.37,-1.7076,-1.0357,0.08104
1.38,-1.7181,-1.0824,0.091201
1.39,-1.7482,-1.1027,0.096735
1.4,-1.7008,-1.0583,0.10254
1.41,-1.7412,-1.0061,0.10141
1.42,-1.7771,-0.95196,0.10029
1.43,-1.7412,-0.8538,0.098096
1.44,-1.6061,-0.71103,0.092236
1.45,-1.6465,-0.65357,0.085216
1.46,-1.5299,-0.54744,0.07781
1.47,-1.4494,-0.47864,0.070285
1.48,-1.3193,-0.40641,0.062007
1.49,-1.1939,-0.3602,0.055587
1.5,-1.0295,-0.32593,0.049278
1.51,-0.90839,-0.26248,0.043653
1.52,-0.77552,-0.25428,0.038159
1.53,-0.51083,-0.23336,0.033627
1.54,-0.37498,-0.21951,0.029194
1.55,-0.23135,-0.22398,0.025551
1.56,-0.2576,-0.2179,0.022678
1.57,0.019627,-0.2179,0.021356
1.58,0.12712,-0.17843,0.016817
1.59,0.1856,-0.16039,0.013871
1.6,0.23864,-0.11568,0.012417
1.61,0.26886,-0.075261,0.01045
1.62,0.2825,-0.0274,0.0092393
1.63,0.28037,0.027392,0.0078335
1.64,0.27012,0.079792,0.0070828
1.65,0.27512,0.11626,0.005882
1.66,0.2657,0.14758,0.0068045
1.67,0.24883,0.17966,0.0074799
1.68,0.24208,0.19589,0.0064336
1.69,0.23531,0.20164,0.0055346
1.7,0.22029,0.19656,0.0056647
1.71,0.20461,0.19658,0.0058447
1.72,0.19929,0.18246,0.0047652
1.73,0.1857,0.16628,0.0040255
1.74,0.16751,0.15244,0.0039638
1.75,0.15741,0.13899,0.0033792
1.76,0.15101,0.13803,0.0032994
1.77,0.13816,0.13462,0.0045401
1.78,0.11909,0.1129,0.003691
1.79,0.10847,0.1106,0.0036883
1.8,0.10129,0.10147,0.0028145
1.81,0.092057,0.10076,0.0023195
1.82,0.082151,0.098881,0.0020163
1.83,0.074806,0.10235,0.0017282
1.84,0.069438,0.10615,0.00124
1.85,0.061082,0.10709,0.0010905
1.86,0.051863,0.11027,0.000662
1.87,0.045434,0.1139,0.0012585
1.88,0.03645,0.10845,0.00059239
1.89,0.031482,0.11129,0.00086455
1.9,0.030862,0.11752,0.00026439
1.91,0.031825,0.12476,-0.00022017
1.92,0.027479,0.12586,-3.5909e-05
1.93,0.024272,0.12869,7.5567e-06
1.94,0.024708,0.13021,-0.00037666
1.95,0.024753,0.13217,-0.00063169
1.96,0.021116,0.12753,-0.00054364
1.97,0.023502,0.12888,-0.00057828
1.98,0.021004,0.12589,-0.00022721
1.99,0.020369,0.12149,-0.00018507
2,0.021129,0.11784,-0.00011354
2.01,0.024298,0.11551,-0.00061435
2.02,0.025288,0.10819,-0.00089069
2.03,0.02077,0.098447,-0.00086031
2.04,0.017324,0.090004,-0.00093984
2.05,0.014582,0.084193,-0.0009005
2.06,0.010685,0.076186,-0.00084737
2.07,0.0077674,0.066148,-0.00089281
2.08,0.0042365,0.059927,-0.00075778
2.09,0.0016842,0.050518,-0.00061037
2.1,-0.00054004,0.040631,-0.00054875
2.11,-0.0039534,0.028239,-0.00062255
2.12,-0.0059504,0.018808,-0.0004475
2.13,-0.008532,0.0085413,-0.00028504
2.14,-0.010032,-0.0030838,-0.00028406
2.15,-0.0098461,-0.014834,-0.00038025
2.16,-0.01074,-0.026706,-0.00018285
2.17,-0.0098681,-0.037826,-8.8332e-05
2.18,-0.0076167,-0.047324,-9.2841e-06
2.19,-0.0058778,-0.057964,0.00020831
2.2,-0.00049793,-0.066023,0.00019343
2.21,0.0081399,-0.068675,1.3412e-05
2.22,0.0092906,-0.076557,0.00024384
2.23,0.012954,-0.077779,0.00026913
2.24,0.017467,-0.082449,5.8457e-05
2.25,0.022836,-0.0915,0.00011272
2.26,0.018983,-0.093741,0.00020749
2.27,0.0098544,-0.099914,0.00016065
2.28,-0.00045119,-0.099959,0.0001323
2.29,-0.008659,-0.078884,0.00020768
2.3,6.7763e-21,0,-6.6174e-24
