t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.084777,0.10314,-0.22268,0.44579,2.0401,0.76799,-0.048822,0.054874,-0.064567,0.016001,0.032973,-0.054378,0.058824,0.14035,-0.10614,0.30442,1.2251,1.3271,-0.0021318,0.10026,-0.039268,-0.010292,0.024682,0.045472,-0.040478,-0.0066945,-0.021993,-0.0051861,0.07259,-0.02574,-0.022685,-0.0028074,0.0026347,-0.00090076,0.00051627,-0.0066956
0.01,0.099,0.08459,-0.21692,0.38323,2.0176,0.57863,-0.041337,0.046006,-0.066498,0.014959,0.031801,-0.05788,0.074801,0.14964,-0.10284,0.30176,1.2471,1.3825,0.006331,0.10491,-0.040574,-0.01062,0.025126,0.052754,-0.040184,-0.0065254,-0.021799,-0.0045725,0.071101,-0.023781,-0.022489,-0.0025663,0.0024685,-0.00089386,0.00041792,-0.0066753
0.02,0.11394,0.076418,-0.20834,0.35147,1.9779,0.49113,-0.031246,0.043131,-0.06779,0.014894,0.030933,-0.055473,0.093144,0.16218,-0.099266,0.30272,1.2776,1.4654,0.016356,0.11138,-0.042133,-0.011029,0.025912,0.06209,-0.039899,-0.0064015,-0.021553,-0.0041046,0.069208,-0.022252,-0.022281,-0.0023416,0.0022983,-0.00088622,0.0003158,-0.0066592
0.03,0.12736,0.061565,-0.20235,0.30786,1.9516,0.34154,-0.023783,0.036466,-0.069487,0.014588,0.030111,-0.057645,0.10892,0.16776,-0.096911,0.28671,1.3081,1.484,0.024438,0.11376,-0.043584,-0.011649,0.026373,0.068359,-0.039626,-0.006311,-0.021266,-0.0037564,0.066957,-0.02104,-0.022065,-0.0021366,0.0021389,-0.00087724,0.00021729,-0.0066409
0.04,0.13847,0.05394,-0.19229,0.28173,1.891,0.26564,-0.014681,0.033705,-0.069587,0.014728,0.029172,-0.05446,0.127,0.17625,-0.09318,0.27358,1.3379,1.5286,0.034588,0.11773,-0.045088,-0.012199,0.027015,0.077402,-0.039378,-0.0062579,-0.020935,-0.0035021,0.064316,-0.02016,-0.021846,-0.0019498,0.0019779,-0.00086489,0.0001273,-0.0066287
0.05,0.14724,0.043866,-0.18664,0.25477,1.8556,0.16477,-0.0090741,0.0293,-0.070056,0.014751,0.028522,-0.05548,0.14062,0.1801,-0.092069,0.25166,1.3741,1.5315,0.041783,0.11887,-0.046653,-0.012905,0.027577,0.083237,-0.039148,-0.006244,-0.020571,-0.0033238,0.061389,-0.019625,-0.021624,-0.0017806,0.0018412,-0.00084941,4.72e-05,-0.006629
0.06,0.15404,0.036066,-0.18189,0.23612,1.8236,0.088041,-0.0042182,0.026181,-0.070309,0.01498,0.027994,-0.055481,0.1513,0.17984,-0.091828,0.22372,1.4082,1.5016,0.047434,0.1179,-0.048062,-0.01359,0.027909,0.087769,-0.038934,-0.0062597,-0.020186,-0.0031934,0.058254,-0.019332,-0.021404,-0.0016234,0.0017162,-0.00083289,-1.7067e-05,-0.0066314
0.07,0.16012,0.030288,-0.17773,0.22335,1.7946,0.02974,0.00010351,0.023911,-0.070438,0.015263,0.027568,-0.055292,0.16049,0.17855,-0.092946,0.19731,1.4486,1.4629,0.051878,0.11629,-0.049711,-0.014311,0.028318,0.091243,-0.03872,-0.0062944,-0.019791,-0.0031203,0.055076,-0.019203,-0.02118,-0.0014747,0.0016267,-0.00081896,-7.6584e-05,-0.0066361
0.08,0.16518,0.027124,-0.17368,0.21586,1.7641,-0.0055293,0.0040582,0.022724,-0.070219,0.015548,0.027171,-0.054554,0.16878,0.17783,-0.094529,0.17424,1.4896,1.4285,0.05584,0.11476,-0.051338,-0.014999,0.028827,0.094487,-0.038512,-0.0063461,-0.019385,-0.003077,0.051826,-0.019203,-0.020958,-0.0013316,0.0015626,-0.00080567,-0.00013348,-0.0066452
0.09,0.1687,0.023786,-0.17105,0.21069,1.7391,-0.042024,0.0067146,0.021448,-0.069983,0.015852,0.026796,-0.054817,0.17659,0.17669,-0.096451,0.15168,1.5331,1.3922,0.059774,0.11307,-0.053005,-0.015698,0.029353,0.098166,-0.038322,-0.0064224,-0.018966,-0.0030174,0.048427,-0.019369,-0.020743,-0.0011883,0.0015072,-0.00078873,-0.0001829,-0.0066525
0.1,0.17062,0.02037,-0.16929,0.20696,1.7177,-0.076802,0.0085336,0.020249,-0.06975,0.016237,0.026442,-0.055023,0.18285,0.17285,-0.097925,0.12609,1.5689,1.3373,0.063371,0.11013,-0.054559,-0.016344,0.029592,0.10194,-0.038144,-0.0065052,-0.018537,-0.0029415,0.044944,-0.019564,-0.020533,-0.0010491,0.0014605,-0.00076785,-0.00021664,-0.0066484
0.11,0.17028,0.01755,-0.16708,0.20307,1.6894,-0.10262,0.0098465,0.019342,-0.069128,0.016565,0.026009,-0.054182,0.18399,0.16381,-0.1024,0.096991,1.6091,1.2444,0.063229,0.10503,-0.056332,-0.017042,0.029612,0.10231,-0.03796,-0.0065795,-0.018113,-0.0028625,0.041529,-0.019679,-0.020325,-0.00091385,0.0014387,-0.00074677,-0.00023392,-0.0066353
0.12,0.17018,0.014881,-0.16513,0.20045,1.6627,-0.12792,0.010957,0.018442,-0.068548,0.016897,0.025597,-0.053927,0.18607,0.15659,-0.10678,0.072112,1.6512,1.1668,0.063694,0.10077,-0.058202,-0.017795,0.029818,0.10345,-0.037764,-0.0066474,-0.01769,-0.002758,0.038203,-0.019742,-0.020114,-0.00077034,0.0014326,-0.00072468,-0.00025599,-0.006612
0.13,0.16926,0.013279,-0.16343,0.19932,1.636,-0.14393,0.011752,0.017999,-0.067828,0.01721,0.025192,-0.05348,0.18734,0.15001,-0.11077,0.049536,1.6871,1.0962,0.064096,0.096689,-0.059823,-0.018502,0.03001,0.10478,-0.037565,-0.0067107,-0.017264,-0.0026286,0.034911,-0.019762,-0.019905,-0.00062316,0.0014384,-0.00070028,-0.0002752,-0.0065819
0.14,0.16764,0.011266,-0.16191,0.19827,1.6086,-0.16253,0.01213,0.017387,-0.06707,0.017542,0.024762,-0.053364,0.18837,0.14337,-0.1144,0.027512,1.7193,1.0273,0.064686,0.09256,-0.061374,-0.019232,0.030152,0.10647,-0.037362,-0.006768,-0.016837,-0.0024672,0.031657,-0.019729,-0.019699,-0.00047212,0.0014507,-0.00067241,-0.00029124,-0.0065373
0.15,0.16473,0.0091929,-0.1603,0.19688,1.5783,-0.17991,0.012096,0.016774,-0.066147,0.017851,0.024284,-0.053087,0.18696,0.13518,-0.11898,0.0053115,1.749,0.94963,0.063753,0.087919,-0.062821,-0.019975,0.030183,0.10691,-0.03715,-0.0068152,-0.016412,-0.0022755,0.028474,-0.019621,-0.019494,-0.00031917,0.0014726,-0.00064152,-0.00030037,-0.0064783
0.16,0.1625,0.0073522,-0.15875,0.19645,1.5496,-0.19626,0.012223,0.016247,-0.06532,0.018204,0.023844,-0.053016,0.18704,0.12909,-0.12263,-0.014017,1.7765,0.88834,0.064028,0.084018,-0.064212,-0.020735,0.030322,0.10851,-0.036924,-0.0068534,-0.01599,-0.0020587,0.025409,-0.019455,-0.019287,-0.00016154,0.0015082,-0.00060959,-0.00031546,-0.0064034
0.17,0.16001,0.0058143,-0.15684,0.19638,1.5178,-0.20987,0.012363,0.015805,-0.064347,0.018549,0.023363,-0.052851,0.18697,0.12381,-0.12658,-0.031836,1.8047,0.8341,0.064209,0.080452,-0.06556,-0.021544,0.030523,0.11002,-0.036689,-0.0068854,-0.015569,-0.0018112,0.022405,-0.019251,-0.019083,-5.715e-07,0.001552,-0.00057486,-0.00033341,-0.0063134
0.18,0.15699,0.0039441,-0.15505,0.19663,1.4858,-0.22544,0.012274,0.015274,-0.063381,0.018947,0.022881,-0.052781,0.18699,0.11873,-0.1301,-0.049802,1.8305,0.78299,0.064837,0.076895,-0.066857,-0.022404,0.030697,0.11209,-0.036453,-0.0069145,-0.015146,-0.0015264,0.01941,-0.019025,-0.018884,0.00016188,0.0016004,-0.0005356,-0.00034933,-0.0062076
0.19,0.15397,0.0016035,-0.15243,0.19647,1.4486,-0.24378,0.012462,0.014473,-0.062304,0.019367,0.022346,-0.052498,0.1868,0.11348,-0.13296,-0.067456,1.8489,0.73182,0.0656,0.073099,-0.067918,-0.023247,0.030765,0.11392,-0.036212,-0.006938,-0.01472,-0.0012068,0.016453,-0.018765,-0.018688,0.0003256,0.001653,-0.00049277,-0.00036958,-0.0060821
0.2,0.15077,-0.0020216,-0.14995,0.19597,1.4113,-0.271,0.012293,0.013244,-0.061337,0.019929,0.02182,-0.052866,0.18777,0.10843,-0.13549,-0.086807,1.8701,0.68319,0.06725,0.069334,-0.069235,-0.024224,0.030873,0.11676,-0.035967,-0.0069502,-0.014297,-0.00085345,0.013553,-0.018434,-0.018499,0.00048493,0.0017131,-0.00044657,-0.00038884,-0.0059383
0.21,0.14646,-0.0065358,-0.14648,0.19375,1.3668,-0.30183,0.012161,0.011656,-0.060162,0.02047,0.021239,-0.052579,0.18629,0.1013,-0.13804,-0.10729,1.8803,0.6234,0.06756,0.064824,-0.070171,-0.025126,0.030723,0.11809,-0.035724,-0.0069529,-0.013871,-0.0004489,0.010645,-0.01804,-0.01832,0.0006422,0.0017718,-0.00039461,-0.00040518,-0.0057784
0.22,0.14256,-0.011544,-0.14251,0.19209,1.3194,-0.3355,0.012214,0.0098564,-0.058952,0.021131,0.020645,-0.052616,0.18574,0.095006,-0.14022,-0.12839,1.89,0.57041,0.068529,0.06053,-0.071065,-0.026139,0.030612,0.1196,-0.035481,-0.0069436,-0.01344,6.3185e-06,0.0077584,-0.017583,-0.018146,0.0007985,0.0018235,-0.00033819,-0.00042848,-0.0055979
0.23,0.13973,-0.016228,-0.13841,0.19049,1.2764,-0.36697,0.012929,0.0081231,-0.057972,0.021869,0.020172,-0.052234,0.18584,0.08967,-0.14134,-0.15018,1.8925,0.52478,0.070177,0.056307,-0.07169,-0.027165,0.03044,0.1211,-0.035239,-0.0069187,-0.013009,0.0005105,0.0049013,-0.017043,-0.017983,0.00094827,0.0018723,-0.00027858,-0.00045718,-0.0053988
0.24,0.13651,-0.021308,-0.1346,0.19043,1.2318,-0.4001,0.012984,0.0063911,-0.056892,0.022806,0.019676,-0.052946,0.18698,0.085229,-0.1425,-0.17404,1.8996,0.48605,0.072512,0.052362,-0.072487,-0.028372,0.030353,0.12317,-0.035001,-0.0068824,-0.012576,0.0010703,0.0020464,-0.016443,-0.017832,0.0010905,0.0019203,-0.00021537,-0.00048597,-0.0051834
0.25,0.13206,-0.02633,-0.13034,0.19153,1.1805,-0.4303,0.01248,0.0047876,-0.055442,0.023793,0.019075,-0.053946,0.18732,0.080736,-0.14329,-0.1983,1.9011,0.44898,0.074646,0.048342,-0.07303,-0.029598,0.030161,0.12483,-0.034767,-0.0068426,-0.012139,0.0016875,-0.00081986,-0.015838,-0.017692,0.0012294,0.0019709,-0.00014834,-0.00051245,-0.0049518
0.26,0.12854,-0.030529,-0.12627,0.19387,1.1367,-0.45551,0.012659,0.0035039,-0.054274,0.024818,0.018624,-0.054209,0.18716,0.077017,-0.14418,-0.22125,1.8998,0.41833,0.076437,0.04461,-0.073344,-0.03083,0.02994,0.12566,-0.034531,-0.0068021,-0.0117,0.0023582,-0.0036802,-0.015252,-0.017561,0.0013668,0.0020245,-7.8478e-05,-0.00054244,-0.0046993
0.27,0.12501,-0.034153,-0.12267,0.19889,1.0945,-0.47678,0.012421,0.0025924,-0.053073,0.026035,0.018172,-0.055269,0.18792,0.074635,-0.14494,-0.24574,1.9019,0.39655,0.07898,0.041229,-0.073772,-0.032245,0.029815,0.12705,-0.034296,-0.0067569,-0.011261,0.0030847,-0.0065143,-0.014663,-0.017441,0.0014967,0.0020851,-6.3277e-06,-0.00057228,-0.0044266
0.28,0.12129,-0.037248,-0.11935,0.2062,1.0536,-0.49432,0.01192,0.0020249,-0.051842,0.027387,0.017731,-0.056638,0.18916,0.073155,-0.146,-0.27148,1.9091,0.38092,0.081904,0.038143,-0.074369,-0.03385,0.029795,0.1288,-0.034062,-0.0067142,-0.010822,0.003867,-0.0093531,-0.014108,-0.017333,0.0016214,0.0021556,6.8505e-05,-0.00060119,-0.0041353
0.29,0.1171,-0.039997,-0.11604,0.21472,1.0141,-0.50915,0.011415,0.0017053,-0.05062,0.028752,0.017337,-0.057497,0.18943,0.071809,-0.14711,-0.29625,1.913,0.36736,0.084385,0.035132,-0.074786,-0.035465,0.029728,0.12994,-0.033831,-0.0066809,-0.010377,0.0047033,-0.012226,-0.013626,-0.017237,0.0017448,0.002236,0.00014701,-0.00062894,-0.0038244
0.3,0.11279,-0.042884,-0.11267,0.22473,0.97534,-0.52471,0.010873,0.0014539,-0.049435,0.030258,0.016992,-0.058288,0.18957,0.070616,-0.14788,-0.32179,1.9145,0.35533,0.086959,0.032107,-0.075126,-0.037141,0.029629,0.13096,-0.0336,-0.0066504,-0.0099296,0.0056002,-0.015099,-0.013178,-0.017154,0.0018622,0.0023242,0.00022831,-0.00065658,-0.0034937
0.31,0.10812,-0.046068,-0.10927,0.23674,0.93606,-0.54173,0.010093,0.0012682,-0.048231,0.031967,0.016684,-0.059224,0.18948,0.069366,-0.14845,-0.34886,1.9149,0.34376,0.089596,0.029045,-0.075463,-0.038918,0.029515,0.13208,-0.033371,-0.0066219,-0.0094817,0.0065625,-0.017966,-0.012759,-0.017085,0.0019723,0.002421,0.00031263,-0.00068216,-0.0031438
0.32,0.10304,-0.049428,-0.10572,0.25073,0.89601,-0.55933,0.0091383,0.0011767,-0.04698,0.033855,0.01641,-0.060142,0.18903,0.068151,-0.14902,-0.37715,1.9149,0.3334,0.092117,0.026031,-0.075791,-0.040796,0.029399,0.13313,-0.033142,-0.0065959,-0.0090327,0.0075932,-0.020826,-0.012374,-0.017031,0.0020756,0.0025257,0.00040006,-0.00070594,-0.0027738
0.33,0.097517,-0.05296,-0.1022,0.26669,0.8575,-0.57777,0.0080899,0.0012127,-0.045767,0.035903,0.016227,-0.060699,0.18828,0.067096,-0.1499,-0.4066,1.9169,0.32499,0.094509,0.023131,-0.076165,-0.042819,0.029331,0.13411,-0.032914,-0.0065751,-0.0085791,0.008695,-0.023706,-0.012041,-0.016991,0.0021734,0.002637,0.00049134,-0.00072828,-0.0023826
0.34,0.091487,-0.057047,-0.098577,0.28442,0.82044,-0.59917,0.0069978,0.0012426,-0.044614,0.038128,0.016175,-0.060646,0.18696,0.065797,-0.15045,-0.43682,1.9153,0.31613,0.096721,0.020149,-0.07638,-0.044886,0.029234,0.13487,-0.03269,-0.0065592,-0.0081194,0.0098772,-0.026612,-0.011753,-0.016967,0.0022657,0.0027515,0.00058633,-0.00075004,-0.0019706
0.35,0.085534,-0.061309,-0.094892,0.30521,0.78466,-0.62179,0.0059307,0.0013398,-0.043488,0.040674,0.016225,-0.060706,0.18512,0.064427,-0.15034,-0.46899,1.9085,0.30754,0.09884,0.017115,-0.076372,-0.046998,0.029115,0.13565,-0.032464,-0.00654,-0.0076606,0.011153,-0.029482,-0.011476,-0.016962,0.0023463,0.0028683,0.00068341,-0.00077161,-0.0015362
0.36,0.07965,-0.065827,-0.091436,0.33037,0.75171,-0.6466,0.0047999,0.0015789,-0.042452,0.043664,0.016417,-0.061077,0.18356,0.063373,-0.15099,-0.50536,1.9104,0.30173,0.10114,0.014243,-0.076685,-0.049445,0.029201,0.13723,-0.032237,-0.0065207,-0.0072033,0.012519,-0.032323,-0.011225,-0.016972,0.0024156,0.0029946,0.0007827,-0.00079101,-0.0010806
0.37,0.072875,-0.070673,-0.087856,0.35719,0.72017,-0.67234,0.0035817,0.0018727,-0.04137,0.046777,0.016768,-0.060451,0.18142,0.062305,-0.15174,-0.54311,1.912,0.2972,0.10312,0.011402,-0.07688,-0.051996,0.02935,0.13872,-0.032008,-0.0065058,-0.0067417,0.013976,-0.035174,-0.011022,-0.017,0.0024776,0.0031262,0.00088418,-0.00080911,-0.00060583
0.38,0.065632,-0.075888,-0.084174,0.3872,0.69002,-0.69961,0.0023776,0.002168,-0.040243,0.050166,0.017306,-0.059314,0.17848,0.060938,-0.15218,-0.58258,1.9099,0.29241,0.10472,0.0084668,-0.076796,-0.054602,0.029536,0.14022,-0.031781,-0.0064929,-0.0062749,0.015546,-0.03804,-0.010851,-0.017047,0.0025311,0.0032587,0.00098703,-0.00082635,-0.00011289
0.39,0.058405,-0.081542,-0.080765,0.42239,0.66514,-0.7303,0.001374,0.0025092,-0.039247,0.05403,0.018126,-0.057881,0.17516,0.059636,-0.15269,-0.62438,1.9091,0.28906,0.10615,0.0055114,-0.07658,-0.05737,0.029879,0.14205,-0.031551,-0.0064833,-0.0058029,0.017217,-0.040905,-0.01073,-0.017111,0.0025777,0.0033938,0.00109,-0.00084412,0.00040086
0.4,0.051383,-0.088062,-0.077836,0.46317,0.64841,-0.7674,0.00070682,0.0028063,-0.038499,0.058515,0.019335,-0.056105,0.17197,0.05852,-0.15355,-0.67042,1.9134,0.28787,0.10764,0.0025188,-0.076401,-0.060409,0.030493,0.14459,-0.031313,-0.0064728,-0.0053328,0.01899,-0.04372,-0.010638,-0.01719,0.0026123,0.0035388,0.0011915,-0.00086429,0.0009334
0.41,0.044557,-0.095326,-0.075127,0.50931,0.63806,-0.80949,0.00054117,0.0029892,-0.037868,0.06357,0.020937,-0.053974,0.16897,0.057482,-0.15489,-0.72173,1.9245,0.28841,0.10922,-0.00062679,-0.076253,-0.063794,0.03145,0.14814,-0.031069,-0.0064622,-0.0048619,0.020869,-0.046519,-0.010576,-0.017287,0.0026359,0.003695,0.0012912,-0.00088874,0.001482
0.42,0.038127,-0.1034,-0.072753,0.56159,0.6358,-0.85714,0.0011202,0.0030028,-0.037379,0.069268,0.023009,-0.051503,0.16608,0.056562,-0.15651,-0.77818,1.9397,0.29102,0.11081,-0.0039934,-0.075908,-0.067491,0.032743,0.15232,-0.030825,-0.0064513,-0.0043853,0.022875,-0.04935,-0.010539,-0.017403,0.0026494,0.0038588,0.0013881,-0.00092086,0.002044
0.43,0.032504,-0.11254,-0.070934,0.62165,0.64458,-0.91256,0.0027866,0.0027974,-0.037125,0.075836,0.025661,-0.048956,0.16393,0.05606,-0.15877,-0.84239,1.9636,0.29744,0.11278,-0.007638,-0.075467,-0.071701,0.034484,0.15726,-0.030579,-0.0064379,-0.0039021,0.025014,-0.05223,-0.010517,-0.017541,0.0026517,0.0040322,0.0014807,-0.00096408,0.0026169
0.44,0.028342,-0.12285,-0.069604,0.69,0.66646,-0.97695,0.0061695,0.0022421,-0.037171,0.083382,0.028981,-0.04654,0.16325,0.056296,-0.16204,-0.91813,2.0022,0.30922,0.11555,-0.011692,-0.075036,-0.076707,0.036857,0.1635,-0.030333,-0.0064205,-0.0034113,0.027277,-0.055176,-0.010504,-0.0177,0.0026436,0.0042171,0.0015665,-0.0010253,0.0031998
