t, elevL, elevR, throttle
0,0.25995,0.1638,5.3398
0.01,0.26237,0.16279,5.3398
0.02,0.21518,0.18266,5.3398
0.03,0.2222,0.1787,5.3398
0.04,0.15941,0.21355,5.3398
0.05,0.1549,0.21609,5.3398
0.06,0.15222,0.21656,5.3398
0.07,0.15218,0.21646,5.3398
0.08,0.15055,0.21646,5.3398
0.09,0.14758,0.21645,5.3398
0.1,0.14771,0.21653,5.3398
0.11,0.14548,0.21458,5.3398
0.12,0.14545,0.21454,5.3398
0.13,0.14539,0.2145,5.3398
0.14,0.1454,0.2145,5.3398
0.15,0.1454,0.2145,5.3398
0.16,0.14539,0.21455,5.3398
0.17,0.14541,0.21433,5.3398
0.18,0.1454,0.21646,5.3398
0.19,0.14574,0.21627,5.3398
0.2,0.14324,0.21835,5.3398
0.21,0.14273,0.21837,5.3398
0.22,0.14598,0.2184,5.3398
0.23,0.14529,0.2184,5.3398
0.24,0.14541,0.2184,5.3398
0.25,0.1454,0.2184,5.3398
0.26,0.1454,0.2184,5.3398
0.27,0.1454,0.2184,5.3398
0.28,0.1454,0.2184,5.3398
0.29,0.1454,0.2184,5.3398
0.3,0.1454,0.2184,5.3398
0.31,0.1454,0.2184,5.3398
0.32,0.1454,0.2184,5.3398
0.33,0.1454,0.2184,5.3398
0.34,0.1454,0.2184,5.3398
0.35,0.1454,0.2184,5.3398
0.36,0.1454,0.2184,5.3398
0.37,0.1454,0.2184,5.3398
0.38,0.1454,0.2184,5.3398
0.39,0.1454,0.2184,5.3398
0.4,0.1454,0.2184,5.3398
0.41,0.1454,0.2184,5.3398
0.42,0.1454,0.21841,5.3398
0.43,0.1454,0.21843,5.3398
0.44,0.14539,0.21718,5.3398
0.45,0.1454,0.21803,5.3398
0.46,0.1456,0.24998,5.3398
0.47,0.14472,0.29495,5.3398
0.48,0.093465,0.36786,5.3398
0.49,0.062261,0.42124,5.3398
0.5,-0.015461,0.38171,5.3398
0.51,-0.093817,0.45982,5.3398
0.52,-0.086899,0.52287,5.3398
0.53,-0.25471,0.56231,5.3398
0.54,-0.24131,0.5589,5.3398
0.55,-0.31954,0.57677,5.3398
0.56,-0.313,0.5753,5.3398
0.57,-0.29432,0.57632,5.3398
0.58,-0.29539,0.59048,5.3398
0.59,-0.29414,0.58896,5.3398
0.6,-0.27776,0.58886,5.3398
0.61,-0.27937,0.5889,5.3398
0.62,-0.27497,0.58888,5.3398
0.63,-0.27537,0.58889,5.3398
0.64,-0.27538,0.59193,5.3398
0.65,-0.27538,0.59285,5.3398
0.66,-0.27537,0.59142,5.3398
0.67,-0.27538,0.59082,5.3398
0.68,-0.27538,0.59085,5.3398
0.69,-0.27539,0.59097,5.3398
0.7,-0.27527,0.58983,5.3398
0.71,-0.2763,0.58839,5.3398
0.72,-0.27525,0.5889,5.3398
0.73,-0.27079,0.58904,5.3398
0.74,-0.27097,0.58863,5.3398
0.75,-0.27097,0.59566,5.3398
0.76,-0.27097,0.59484,5.3398
0.77,-0.27097,0.59473,5.3398
0.78,-0.27097,0.59475,5.3398
0.79,-0.27097,0.59474,5.3398
0.8,-0.27097,0.59478,5.3398
0.81,-0.27097,0.59477,5.3398
0.82,-0.27097,0.59728,5.3398
0.83,-0.27095,0.59363,5.3398
0.84,-0.27079,0.59295,5.3398
0.85,-0.27372,0.59273,5.3398
0.86,-0.27747,0.5928,5.3398
0.87,-0.27768,0.5928,5.3398
0.88,-0.27539,0.5928,5.3398
0.89,-0.27543,0.5928,5.3398
0.9,-0.27538,0.5928,5.3398
0.91,-0.27537,0.5928,5.3398
0.92,-0.27538,0.5928,5.3398
0.93,-0.27537,0.5928,5.3398
0.94,-0.27538,0.59282,5.3398
0.95,-0.27538,0.59284,5.3398
0.96,-0.27537,0.59143,5.3398
0.97,-0.27537,0.58894,5.3398
0.98,-0.27538,0.58877,5.3398
0.99,-0.27538,0.59087,5.3398
1,-0.27537,0.59081,5.3398
1.01,-0.27538,0.59085,5.3398
1.02,-0.27538,0.59077,5.3398
1.03,-0.27537,0.59151,5.3398
1.04,-0.27538,0.59293,5.3398
1.05,-0.27538,0.59281,5.3398
1.06,-0.27537,0.5928,5.3398
1.07,-0.27537,0.59279,5.3398
1.08,-0.27538,0.5928,5.3398
1.09,-0.27539,0.59317,5.3398
1.1,-0.27526,0.5949,5.3398
1.11,-0.27485,0.59452,5.3398
1.12,-0.27081,0.59275,5.3398
1.13,-0.2736,0.59291,5.3398
1.14,-0.27563,0.59278,5.3398
1.15,-0.27537,0.5928,5.3398
1.16,-0.27538,0.5928,5.3398
1.17,-0.27538,0.59285,5.3398
1.18,-0.27538,0.59312,5.3398
1.19,-0.27537,0.59463,5.3398
1.2,-0.27538,0.59619,5.3398
1.21,-0.27538,0.58756,5.3398
1.22,-0.27538,0.58896,5.3398
1.23,-0.27537,0.59116,5.3398
1.24,-0.27538,0.59083,5.3398
1.25,-0.27537,0.59084,5.3398
1.26,-0.27537,0.59084,5.3398
1.27,-0.27538,0.59239,5.3398
1.28,-0.27537,0.59236,5.3398
1.29,-0.27538,0.59559,5.3398
1.3,-0.27537,0.59671,5.3398
1.31,-0.27537,0.59427,5.3398
1.32,-0.27537,0.59289,5.3398
1.33,-0.27538,0.59277,5.3398
1.34,-0.27537,0.59282,5.3398
1.35,-0.27538,0.5928,5.3398
1.36,-0.27537,0.5928,5.3398
1.37,-0.27538,0.59279,5.3398
1.38,-0.27538,0.59149,5.3398
1.39,-0.27538,0.5909,5.3398
1.4,-0.27534,0.59086,5.3398
1.41,-0.27545,0.59082,5.3398
1.42,-0.2779,0.58973,5.3398
1.43,-0.27965,0.58896,5.3398
1.44,-0.27985,0.58886,5.3398
1.45,-0.27974,0.58893,5.3398
1.46,-0.27981,0.58888,5.3398
1.47,-0.27745,0.59095,5.3398
1.48,-0.27773,0.59078,5.3398
1.49,-0.27486,0.59059,5.3398
1.5,-0.27708,0.59211,5.3398
1.51,-0.2218,0.55675,5.3398
1.52,-0.26075,0.55645,5.3398
1.53,-0.056966,0.52362,5.3398
1.54,-0.10329,0.47907,5.3398
1.55,-0.060625,0.48912,5.3398
1.56,-0.18521,0.4757,5.3398
1.57,0.13445,0.49058,5.3398
1.58,0.17511,0.30865,5.3398
1.59,0.17971,0.32077,5.3398
1.6,0.20863,0.2747,5.3398
1.61,0.20786,0.27818,5.3398
1.62,0.18232,0.25508,5.3398
1.63,0.18875,0.25562,5.3398
1.64,0.15936,0.25276,5.3398
1.65,0.16818,0.25204,5.3398
1.66,0.16303,0.23999,5.3398
1.67,0.16139,0.22845,5.3398
1.68,0.15272,0.22825,5.3398
1.69,0.14993,0.22418,5.3398
1.7,0.14835,0.22492,5.3398
1.71,0.14541,0.22022,5.3398
1.72,0.14538,0.22045,5.3398
1.73,0.14541,0.22034,5.3398
1.74,0.14546,0.22035,5.3398
1.75,0.14136,0.22037,5.3398
1.76,0.13983,0.21981,5.3398
1.77,0.14112,0.22115,5.3398
1.78,0.141,0.22227,5.3398
1.79,0.14099,0.22239,5.3398
1.8,0.14099,0.22035,5.3398
1.81,0.14099,0.22038,5.3398
1.82,0.14099,0.22035,5.3398
1.83,0.14099,0.22035,5.3398
1.84,0.14099,0.22035,5.3398
1.85,0.14099,0.22035,5.3398
1.86,0.14099,0.22035,5.3398
1.87,0.14099,0.22035,5.3398
1.88,0.14099,0.22035,5.3398
1.89,0.14099,0.22035,5.3398
1.9,0.14099,0.22033,5.3398
1.91,0.14099,0.22043,5.3398
1.92,0.14099,0.22141,5.3398
1.93,0.14099,0.2119,5.3398
1.94,0.14093,0.2106,5.3398
1.95,0.14281,0.21856,5.3398
1.96,0.14315,0.22015,5.3398
1.97,0.14318,0.22019,5.3398
1.98,0.14311,0.22042,5.3398
1.99,0.1427,0.22035,5.3398
2,0.14098,0.22036,5.3398
2.01,0.14099,0.2206,5.3398
