t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0.015954,-0.33001,1.1697e-17,15.377,0.82684,-3.9206,0.40774,1.8829,-0.46016
0.01,0.15785,0.0051652,0.006211,-0.002752,-0.33789,0.0035076,15.338,0.82616,-3.9416,0.51944,1.8458,-0.43806
0.02,0.33513,0.01055,0.01333,-0.023686,-0.34661,0.0079195,15.3,0.82991,-3.9217,0.52937,1.8186,-0.37667
0.03,0.50331,0.010069,0.019734,-0.042916,-0.3534,0.012169,15.283,0.81976,-3.9188,0.60224,1.7692,-0.34374
0.04,0.65074,0.018028,0.026838,-0.060418,-0.3591,0.016376,15.267,0.81052,-3.9025,0.66541,1.7283,-0.31887
0.05,0.84078,0.027868,0.04095,-0.082969,-0.36612,0.022595,15.242,0.80035,-3.8901,0.67448,1.6637,-0.2358
0.06,0.9838,0.035116,0.048922,-0.09831,-0.36855,0.027421,15.219,0.78318,-3.8223,0.77607,1.4328,-0.22903
0.07,1.1329,0.042221,0.054391,-0.11396,-0.3706,0.032391,15.214,0.75794,-3.7611,0.81831,1.3133,-0.20022
0.08,1.3371,0.052268,0.06822,-0.13431,-0.372,0.039547,15.203,0.72207,-3.6912,0.83712,1.1481,-0.144
0.09,1.4011,0.055611,0.075341,-0.14009,-0.37236,0.041926,15.199,0.70957,-3.6692,0.80008,1.1254,-0.096558
0.1,1.4713,0.058985,0.07885,-0.14668,-0.37211,0.044348,15.201,0.69681,-3.639,0.87013,1.0144,-0.13641
0.11,1.6729,0.068848,0.089899,-0.16387,-0.37012,0.050956,15.194,0.6603,-3.523,0.89002,0.85099,-0.13777
0.12,1.829,0.076211,0.098722,-0.17645,-0.36882,0.055997,15.198,0.62462,-3.4461,0.85052,0.81675,-0.10164
0.13,2.0028,0.085072,0.11954,-0.19004,-0.36752,0.061848,15.181,0.58653,-3.3731,0.83831,0.75339,-0.086745
0.14,2.1291,0.092236,0.13708,-0.19963,-0.36624,0.066021,15.17,0.56762,-3.301,0.8374,0.71608,-0.085305
0.15,2.309,0.1018,0.15511,-0.21234,-0.3642,0.071524,15.152,0.53532,-3.2044,0.79024,0.65104,-0.064466
0.16,2.458,0.10957,0.16648,-0.22223,-0.36221,0.075738,15.137,0.50455,-3.1585,0.781,0.58067,-0.083234
0.17,2.6489,0.12058,0.18806,-0.23436,-0.36011,0.081163,15.118,0.47694,-3.0844,0.71713,0.55926,-0.040229
0.18,2.7694,0.12816,0.20502,-0.24175,-0.35899,0.084523,15.102,0.46624,-3.0247,0.69284,0.56574,-0.020694
0.19,2.8997,0.1358,0.22471,-0.24951,-0.35804,0.088169,15.071,0.44652,-2.9664,0.67632,0.52341,-0.031568
0.2,2.9843,0.14169,0.23857,-0.25452,-0.35684,0.090204,15.064,0.44053,-2.9362,0.6963,0.50745,-0.072077
0.21,3.1258,0.15012,0.2453,-0.26326,-0.3554,0.093544,15.044,0.43045,-2.8863,0.67851,0.57198,-0.066682
0.22,3.2888,0.16047,0.26714,-0.27344,-0.35409,0.097263,15.021,0.4278,-2.8118,0.65359,0.60503,-0.060181
0.23,3.4926,0.17478,0.30217,-0.28677,-0.35199,0.10148,15.002,0.42766,-2.7375,0.70613,0.62862,-0.13978
0.24,3.6118,0.18366,0.32416,-0.29453,-0.35062,0.10355,14.993,0.43545,-2.7045,0.68569,0.61545,-0.15562
0.25,3.7425,0.19231,0.33794,-0.30268,-0.34974,0.10574,14.963,0.44245,-2.6808,0.6079,0.62436,-0.10936
0.26,3.9121,0.20418,0.35566,-0.31273,-0.34846,0.10819,14.947,0.4594,-2.6309,0.58287,0.59418,-0.12613
0.27,4.1216,0.22021,0.38645,-0.32417,-0.34694,0.11068,14.939,0.48635,-2.5905,0.51658,0.54784,-0.11704
0.28,4.2325,0.22853,0.40181,-0.32919,-0.34653,0.11179,14.934,0.49949,-2.5928,0.42984,0.50246,-0.063897
0.29,4.3691,0.23763,0.41718,-0.3349,-0.34624,0.11312,14.918,0.51466,-2.5681,0.37936,0.46346,-0.035019
0.3,4.4531,0.24529,0.43301,-0.33819,-0.34623,0.11407,14.91,0.5278,-2.5549,0.34385,0.43241,-0.012491
0.31,4.5722,0.25339,0.44239,-0.34235,-0.34612,0.11514,14.878,0.53947,-2.5535,0.32468,0.37453,-0.031248
0.32,4.7099,0.26543,0.46486,-0.34688,-0.3464,0.11658,14.872,0.56153,-2.5455,0.26827,0.36929,0.023114
0.33,4.8831,0.27959,0.49045,-0.35208,-0.34703,0.11833,14.848,0.58497,-2.5521,0.23034,0.35154,0.050857
0.34,5.005,0.28806,0.50488,-0.35564,-0.34767,0.11959,14.82,0.59953,-2.5311,0.23063,0.35542,0.058212
0.35,5.1779,0.30196,0.52574,-0.36086,-0.34821,0.12128,14.787,0.62072,-2.5197,0.23599,0.35462,0.05269
0.36,5.3856,0.32071,0.55704,-0.36632,-0.34864,0.12313,14.763,0.65009,-2.5426,0.21089,0.28333,0.030861
0.37,5.4862,0.32959,0.57015,-0.36893,-0.34934,0.12427,14.745,0.6632,-2.5451,0.19158,0.31108,0.080615
0.38,5.6106,0.33915,0.59002,-0.37238,-0.35034,0.12581,14.696,0.67233,-2.5323,0.20688,0.33144,0.091024
0.39,5.8,0.35693,0.62161,-0.3774,-0.35205,0.12839,14.661,0.69561,-2.5323,0.17997,0.30263,0.1171
0.4,5.915,0.36868,0.64195,-0.37985,-0.35284,0.12991,14.646,0.71172,-2.5156,0.15378,0.24611,0.13378
0.41,6.0366,0.37807,0.65384,-0.3822,-0.35357,0.13152,14.606,0.71667,-2.5281,0.17386,0.20061,0.11112
0.42,6.1511,0.38993,0.67478,-0.38431,-0.35426,0.13316,14.601,0.72538,-2.5286,0.15075,0.1847,0.1407
0.43,6.3303,0.40808,0.70604,-0.38685,-0.35492,0.1355,14.552,0.73694,-2.5192,0.13793,0.12323,0.12577
0.44,6.4859,0.42207,0.73195,-0.38833,-0.35546,0.1375,14.521,0.74009,-2.5334,0.12303,0.075661,0.13545
0.45,6.6229,0.4336,0.74806,-0.38971,-0.35632,0.13962,14.484,0.74207,-2.543,0.10363,0.097998,0.20808
0.46,6.7443,0.4472,0.76791,-0.39095,-0.3569,0.14159,14.462,0.74327,-2.5672,0.10846,0.073916,0.20168
0.47,6.9205,0.46455,0.79163,-0.39189,-0.35782,0.14463,14.433,0.74035,-2.6021,0.088312,0.0038239,0.22038
0.48,7.0608,0.47662,0.80744,-0.39257,-0.35878,0.14737,14.389,0.73683,-2.6071,0.089586,0.019147,0.2649
0.49,7.2222,0.49075,0.82599,-0.39351,-0.35948,0.15045,14.375,0.72701,-2.6361,0.11246,0.019745,0.27275
0.5,7.3467,0.50618,0.84709,-0.39439,-0.36047,0.15342,14.363,0.7247,-2.6646,0.087825,0.024936,0.33824
0.51,7.4108,0.51159,0.85322,-0.39446,-0.36088,0.15476,14.352,0.71953,-2.6764,0.069856,-0.0031729,0.35052
0.52,7.4736,0.51036,0.8509,-0.394,-0.3615,0.15603,14.345,0.70006,-2.7056,0.0064837,-0.047905,0.42482
0.53,7.7007,0.53473,0.8866,-0.39117,-0.36733,0.16372,14.277,0.6698,-2.784,-0.20984,-0.16343,0.71654
0.54,7.8533,0.55838,0.90953,-0.38548,-0.37251,0.16924,14.233,0.63019,-2.8386,-0.41134,-0.42228,0.86831
0.55,7.9563,0.57255,0.91941,-0.37899,-0.3766,0.17304,14.199,0.59236,-2.8953,-0.52021,-0.57321,0.94967
0.56,8.0807,0.58921,0.94141,-0.37002,-0.38146,0.17796,14.156,0.54739,-2.9514,-0.68701,-0.86669,1.1026
0.57,8.2786,0.61697,0.97628,-0.34753,-0.38917,0.18567,14.106,0.45323,-2.9964,-0.8963,-1.3072,1.2675
0.58,8.3709,0.63012,0.9977,-0.33288,-0.39238,0.18891,14.072,0.39025,-3.0185,-1.0569,-1.6981,1.3633
0.59,8.5611,0.65784,1.0384,-0.29594,-0.39527,0.19432,14.024,0.24489,-2.984,-1.1671,-2.3833,1.4326
0.6,8.6732,0.6747,1.0581,-0.2702,-0.3942,0.1968,14.016,0.14862,-2.93,-1.1784,-2.7315,1.4792
0.61,8.8062,0.69481,1.0822,-0.23702,-0.39042,0.19928,14.005,0.024144,-2.8399,-1.1441,-3.0894,1.5036
0.62,8.9087,0.71074,1.0982,-0.21003,-0.38566,0.20099,14.002,-0.072491,-2.7458,-1.063,-3.3371,1.4921
0.63,9.1018,0.7414,1.1368,-0.15672,-0.37128,0.20372,14.001,-0.25484,-2.5087,-0.92382,-3.6858,1.5076
0.64,9.2084,0.75867,1.1624,-0.12587,-0.36027,0.20513,13.997,-0.35086,-2.3361,-0.86145,-3.8575,1.5387
