t, elevL, elevR, throttle
0,0.20047,0.1677,5.3398
0.01,0.27592,0.10733,5.3398
0.02,0.27018,0.111,5.3398
0.03,0.34305,0.069467,5.3398
0.04,0.32959,0.072825,5.3398
0.05,0.37589,0.063276,5.3398
0.06,0.37527,0.018762,5.3398
0.07,0.37678,0.021097,5.3398
0.08,0.42968,-0.025323,5.3398
0.09,0.42727,-0.023305,5.3398
0.1,0.46987,-0.057617,5.3398
0.11,0.4761,-0.062585,5.3398
0.12,0.47678,-0.062238,5.3398
0.13,0.47457,-0.062833,5.3398
0.14,0.50318,-0.065921,5.3398
0.15,0.50259,-0.079146,5.3398
0.16,0.51645,-0.084474,5.3398
0.17,0.52683,-0.088645,5.3398
0.18,0.5389,-0.096124,5.3398
0.19,0.55241,-0.10374,5.3398
0.2,0.54846,-0.10678,5.3398
0.21,0.55531,-0.091168,5.3398
0.22,0.55567,-0.091503,5.3398
0.23,0.54348,-0.089306,5.3398
0.24,0.54314,-0.064281,5.3398
0.25,0.54043,-0.06273,5.3398
0.26,0.50115,-0.027556,5.3398
0.27,0.5055,-0.03118,5.3398
0.28,0.44636,-0.035335,5.3398
0.29,0.44332,-0.035017,5.3398
0.3,0.53288,-0.02855,5.3398
0.31,0.50795,-0.031511,5.3398
0.32,0.52941,-0.017066,5.3398
0.33,0.52842,0.012877,5.3398
0.34,0.52278,0.044466,5.3398
0.35,0.52131,0.064763,5.3398
0.36,0.48797,0.10429,5.3398
0.37,0.44808,0.14247,5.3398
0.38,0.41763,0.12391,5.3398
0.39,0.36751,0.25066,5.3398
0.4,0.34006,0.23454,5.3398
0.41,0.22907,0.28925,5.3398
0.42,0.23464,0.28682,5.3398
0.43,0.22219,0.28917,5.3398
0.44,0.22327,0.31173,5.3398
0.45,0.22281,0.30853,5.3398
0.46,0.24602,0.337,5.3398
0.47,0.24296,0.334,5.3398
0.48,0.27436,0.36212,5.3398
0.49,0.26741,0.35513,5.3398
0.5,0.29134,0.38928,5.3398
0.51,0.29569,0.37865,5.3398
0.52,0.27355,0.41366,5.3398
0.53,0.2555,0.44058,5.3398
0.54,0.25708,0.43812,5.3398
0.55,0.23515,0.48068,5.3398
0.56,0.22821,0.48473,5.3398
