t, affine_elevL, affine_elevR, affine_throttle
0,-0.14305,0.026802,-0.015322
0.01,-0.22333,0.11707,-0.0068575
0.02,-0.27447,0.15153,-0.00083642
0.03,-0.33207,0.20084,0.0064026
0.04,-0.37551,0.23212,0.011155
0.05,-0.41265,0.2628,0.015701
0.06,-0.41094,0.26869,0.015575
0.07,-0.44576,0.27709,0.019972
0.08,-0.4554,0.28208,0.022632
0.09,-0.45715,0.28661,0.024721
0.1,-0.45074,0.28679,0.025262
0.11,-0.43318,0.28811,0.025509
0.12,-0.41139,0.28818,0.023554
0.13,-0.3974,0.28916,0.024499
0.14,-0.3811,0.29267,0.024713
0.15,-0.36219,0.28915,0.023291
0.16,-0.33386,0.28612,0.020506
0.17,-0.32212,0.28773,0.021766
0.18,-0.30503,0.28482,0.021322
0.19,-0.30112,0.29725,0.022688
0.2,-0.30717,0.30512,0.028632
0.21,-0.28969,0.30817,0.027505
0.22,-0.24905,0.29627,0.023623
0.23,-0.24746,0.30657,0.027409
0.24,-0.21151,0.297,0.022575
0.25,-0.20818,0.3016,0.026071
0.26,-0.18829,0.30551,0.023985
0.27,-0.17581,0.30353,0.02559
0.28,-0.15008,0.29185,0.022
0.29,-0.13787,0.2942,0.023339
0.3,-0.13652,0.30022,0.024901
0.31,-0.12195,0.2958,0.025067
0.32,-0.10819,0.30816,0.027396
0.33,-0.09117,0.31594,0.028444
0.34,-0.067139,0.31711,0.027209
0.35,-0.042892,0.31774,0.02543
0.36,-0.039048,0.32892,0.03039
0.37,-0.033942,0.33812,0.030865
0.38,-0.0051017,0.34228,0.029835
0.39,0.02026,0.34685,0.028759
0.4,0.026493,0.35355,0.033687
0.41,0.04584,0.35372,0.037901
0.42,0.084188,0.36425,0.037086
0.43,0.10261,0.37611,0.04127
0.44,0.13821,0.37447,0.039866
0.45,0.15351,0.38474,0.044391
0.46,0.1838,0.37828,0.041388
0.47,0.19732,0.38403,0.045445
0.48,0.22751,0.38618,0.044398
0.49,0.24656,0.38765,0.046802
0.5,0.26888,0.38493,0.048476
0.51,0.29211,0.38363,0.051426
0.52,0.32764,0.37566,0.050223
0.53,0.34885,0.3683,0.053079
0.54,0.36755,0.36529,0.055249
0.55,0.39413,0.35396,0.054701
0.56,0.42857,0.33497,0.053018
0.57,0.43973,0.33119,0.05613
0.58,0.46488,0.31781,0.054352
0.59,0.47827,0.30968,0.057246
0.6,0.49882,0.29993,0.055976
