t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.1713,-0.34602,-0.043986,-0.23148,0.89958,-3.6377,0.25916,-0.35482,-0.06379,0.025314,0.050341,-0.43713,0.02682,0.22308,-0.21969,0.041967,1.5532,2.9174,-0.14284,0.23535,-0.031611,-0.001732,0.022198,0.49232,-0.063626,0.037837,-0.017832,0.037551,0.034133,0.3949,-0.05538,0.034062,0.006643,0.0019261,-0.0032432,0.057932
0.01,0.1681,-0.34531,-0.045371,-0.23792,0.89056,-3.6077,0.25533,-0.34776,-0.058804,0.023121,0.04951,-0.43725,0.03246,0.20824,-0.21066,0.039733,1.482,2.7503,-0.1309,0.21503,-0.03269,-0.00034663,0.021881,0.46681,-0.063689,0.039206,-0.017809,0.039963,0.036841,0.40691,-0.055809,0.034415,0.0061263,0.0022257,-0.0032098,0.05941
0.02,0.17393,-0.36214,-0.046158,-0.25472,0.90031,-3.7634,0.26481,-0.35764,-0.055756,0.021641,0.050223,-0.46089,0.033721,0.20349,-0.20488,0.045148,1.4287,2.6913,-0.12619,0.20441,-0.033421,0.0010092,0.021424,0.45587,-0.063751,0.040529,-0.017741,0.042125,0.039314,0.41818,-0.056188,0.034693,0.0055545,0.0025057,-0.0031412,0.060719
0.03,0.17123,-0.36148,-0.049213,-0.25504,0.90629,-3.7329,0.26099,-0.35084,-0.051122,0.020184,0.049027,-0.45961,0.036043,0.19529,-0.19719,0.046534,1.3641,2.5911,-0.1189,0.19087,-0.033931,0.0018734,0.02121,0.43845,-0.063818,0.041841,-0.017636,0.044198,0.04158,0.42908,-0.056539,0.034928,0.0049542,0.0027765,-0.0030195,0.061906
0.04,0.16975,-0.36296,-0.052909,-0.25318,0.92022,-3.724,0.25852,-0.34625,-0.047067,0.019209,0.047903,-0.46031,0.037868,0.18667,-0.18891,0.047038,1.2966,2.4842,-0.11139,0.17741,-0.034159,0.0023797,0.021114,0.41966,-0.063853,0.043033,-0.017483,0.04598,0.043687,0.43845,-0.056775,0.035041,0.0043206,0.0030209,-0.0028464,0.062812
0.05,0.16564,-0.35849,-0.058176,-0.24339,0.94056,-3.6509,0.25157,-0.33657,-0.043107,0.018752,0.046392,-0.45167,0.039827,0.17761,-0.18062,0.046319,1.2302,2.3726,-0.10361,0.16409,-0.034221,0.0025452,0.021122,0.40015,-0.063853,0.04412,-0.017284,0.047573,0.045617,0.44646,-0.056914,0.035043,0.0036688,0.0032382,-0.0026432,0.06346
0.06,0.15943,-0.34882,-0.066378,-0.22513,0.98106,-3.5201,0.2408,-0.32305,-0.039721,0.019245,0.045145,-0.43409,0.041497,0.16795,-0.17151,0.044556,1.1594,2.252,-0.095526,0.15068,-0.034024,0.0024108,0.02095,0.379,-0.063802,0.045067,-0.01704,0.048898,0.047405,0.45278,-0.056938,0.034901,0.0029802,0.0034206,-0.0024344,0.063813
0.07,0.16102,-0.35585,-0.071686,-0.22028,1.0146,-3.5651,0.24222,-0.32392,-0.036732,0.019551,0.044729,-0.43996,0.043061,0.16317,-0.16609,0.04504,1.1136,2.1916,-0.090576,0.14189,-0.034287,0.0022484,0.021098,0.36731,-0.063735,0.045968,-0.016752,0.050107,0.048918,0.45839,-0.056921,0.0347,0.0022941,0.0035727,-0.0022232,0.064002
0.08,0.15566,-0.34741,-0.080097,-0.19915,1.0594,-3.4476,0.23272,-0.3122,-0.033972,0.020712,0.043571,-0.42361,0.043524,0.15804,-0.15897,0.045526,1.0563,2.1213,-0.085652,0.13298,-0.03401,0.0019049,0.021011,0.35331,-0.063649,0.046822,-0.016429,0.051186,0.050239,0.46332,-0.056863,0.034441,0.0016091,0.0036975,-0.0019847,0.064039
0.09,0.14988,-0.33777,-0.087641,-0.17663,1.0966,-3.3206,0.2227,-0.29988,-0.031248,0.02194,0.042133,-0.40623,0.042508,0.15738,-0.15323,0.050115,1.0081,2.0979,-0.08364,0.12773,-0.033991,0.0017215,0.020972,0.34569,-0.063515,0.047577,-0.016086,0.052197,0.051525,0.46704,-0.056727,0.03408,0.00092051,0.0038033,-0.00172,0.063863
0.1,0.14285,-0.32495,-0.095817,-0.14935,1.1381,-3.1624,0.2108,-0.28576,-0.02892,0.023617,0.040672,-0.38463,0.042292,0.15371,-0.14612,0.050925,0.95233,2.0397,-0.079646,0.12029,-0.033696,0.0011881,0.020873,0.33294,-0.063333,0.04823,-0.015726,0.053046,0.052785,0.4696,-0.056516,0.033623,0.00021951,0.0038832,-0.0014339,0.063484
0.11,0.13221,-0.30319,-0.10301,-0.11336,1.1647,-2.9163,0.19337,-0.26492,-0.026649,0.025473,0.038826,-0.35177,0.041075,0.15151,-0.13857,0.052345,0.89442,1.9939,-0.076665,0.11422,-0.033392,0.00061259,0.020544,0.32153,-0.0631,0.048749,-0.015339,0.053475,0.053956,0.47064,-0.05622,0.033043,-0.00050901,0.0039134,-0.0011671,0.062859
0.12,0.12484,-0.28808,-0.11089,-0.081629,1.2044,-2.7375,0.18059,-0.25032,-0.025005,0.027654,0.037888,-0.32734,0.041481,0.148,-0.13199,0.0516,0.84478,1.939,-0.072589,0.10746,-0.033392,-0.00012998,0.020364,0.30961,-0.062797,0.049107,-0.014958,0.053874,0.055291,0.46995,-0.055816,0.03233,-0.0012469,0.0039275,-0.00092106,0.061974
0.13,0.11786,-0.27382,-0.11736,-0.05151,1.2341,-2.5714,0.16871,-0.23681,-0.023399,0.029633,0.036855,-0.30496,0.040788,0.14989,-0.12775,0.055629,0.81094,1.9433,-0.071783,0.10459,-0.034104,-0.00060358,0.020454,0.30596,-0.062457,0.049393,-0.014578,0.054254,0.056647,0.46848,-0.055363,0.031564,-0.0019723,0.0039275,-0.00066995,0.060949
0.14,0.11143,-0.26102,-0.12239,-0.022179,1.2542,-2.4247,0.15816,-0.22478,-0.021661,0.031462,0.035642,-0.28547,0.038826,0.15398,-0.12356,0.060757,0.77794,1.967,-0.072451,0.10312,-0.035051,-0.0010385,0.020573,0.30441,-0.062084,0.049612,-0.0142,0.054309,0.058021,0.46631,-0.054875,0.030743,-0.0027169,0.0038973,-0.00039941,0.059803
0.15,0.10599,-0.25047,-0.12921,0.0091814,1.2923,-2.2987,0.14909,-0.21537,-0.02056,0.033886,0.035187,-0.26816,0.038966,0.15309,-0.11889,0.058706,0.74268,1.9422,-0.070079,0.098412,-0.035622,-0.0019573,0.020627,0.29681,-0.061683,0.049768,-0.013819,0.05405,0.059352,0.46349,-0.054359,0.02987,-0.0034677,0.0038366,-0.00015987,0.058544
0.16,0.098816,-0.23609,-0.13579,0.042559,1.3267,-2.1363,0.1377,-0.20377,-0.019968,0.036286,0.034855,-0.24638,0.038607,0.15282,-0.11431,0.057664,0.70861,1.9238,-0.06831,0.094272,-0.036188,-0.0027863,0.020564,0.28998,-0.061256,0.049884,-0.013441,0.053835,0.060669,0.46023,-0.053823,0.028973,-0.0041854,0.0037705,4.9016e-05,0.057204
