t, affine_elevL, affine_elevR, affine_throttle
0,-0.1579,0.010515,-0.025303
0.01,-0.19483,-0.00016912,-0.024016
0.02,-0.20678,-0.0124,-0.022408
0.03,-0.20313,-0.031281,-0.023503
0.04,-0.19919,-0.044477,-0.024917
0.05,-0.15676,-0.069638,-0.022341
0.06,-0.10349,-0.10236,-0.019676
0.07,-0.018898,-0.15025,-0.018704
0.08,0.057638,-0.19034,-0.016758
0.09,0.12804,-0.23574,-0.011932
0.1,0.22487,-0.3018,-0.0093615
0.11,0.28693,-0.36206,-0.0047867
0.12,0.3634,-0.44065,-7.279e-05
0.13,0.45101,-0.54974,0.0024859
0.14,0.51,-0.65085,0.0055457
0.15,0.56882,-0.73756,0.0090863
0.16,0.60115,-0.81608,0.01301
0.17,0.64333,-0.91341,0.015429
0.18,0.66807,-0.97843,0.018172
0.19,0.6576,-1.0044,0.020668
0.2,0.67248,-1.0413,0.023012
0.21,0.66152,-1.0771,0.024663
0.22,0.65749,-1.0776,0.026396
0.23,0.64061,-1.0469,0.025633
0.24,0.60092,-1.0295,0.026666
0.25,0.6036,-1.009,0.026583
0.26,0.59284,-0.97257,0.025825
0.27,0.53512,-0.87586,0.023209
0.28,0.54089,-0.78555,0.020288
0.29,0.5019,-0.7324,0.019414
0.3,0.38081,-0.68371,0.018407
0.31,0.36343,-0.59598,0.014374
0.32,0.32003,-0.58671,0.015942
0.33,0.29303,-0.51898,0.012306
0.34,0.27854,-0.48861,0.011363
0.35,0.2581,-0.4258,0.0076524
0.36,0.26547,-0.37138,0.0044614
0.37,0.27798,-0.33873,0.0031181
0.38,0.2883,-0.30717,0.0018975
0.39,0.29974,-0.2494,-0.0010064
0.4,0.2946,-0.19165,-0.0031057
0.41,0.32589,-0.15006,-0.0037805
0.42,0.31127,-0.12673,-0.0029992
0.43,0.29367,-0.073502,-0.0029339
0.44,0.26957,-0.017778,-0.0031639
0.45,0.22766,0.075909,-0.0034223
0.46,0.19803,0.11727,-0.0019633
0.47,0.16417,0.17482,-0.00049169
0.48,0.11946,0.23147,-0.00015941
0.49,0.072516,0.29197,-0.00048359
0.5,0.047758,0.30568,0.0011743
0.51,0.014985,0.33383,-8.7422e-05
0.52,0.0039917,0.33024,0.0013627
0.53,-0.015588,0.33799,0.0031186
0.54,-0.041153,0.35709,0.0044394
0.55,-0.073348,0.36552,0.0043003
0.56,-0.096354,0.37676,0.0057355
0.57,-0.13812,0.40156,0.0057651
0.58,-0.19104,0.43448,0.0061989
0.59,-0.22441,0.4346,0.0068996
0.6,-0.26446,0.45876,0.0084058
0.61,-0.30453,0.47134,0.0082036
0.62,-0.33708,0.45051,0.0085573
0.63,-0.35317,0.41962,0.0086235
0.64,-0.37684,0.40578,0.0089801
0.65,-0.38055,0.3367,0.0063361
0.66,-0.38423,0.29214,0.0061351
0.67,-0.39049,0.24274,0.0036958
0.68,-0.4062,0.2259,0.0022677
0.69,-0.4108,0.20679,0.0022357
0.7,-0.43295,0.21271,0.002706
0.71,-0.45812,0.22775,0.0021465
0.72,-0.44565,0.19395,0.00016229
0.73,-0.43999,0.17365,0.00052546
