t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0.094086,-0.1931,3.5374e-18,12.425,0.53776,-1.3118,-0.19427,-0.28596,0.11243
0.01,0.078022,0.0045802,0.010608,0.095482,-0.19051,0.0003526,12.417,0.52838,-1.3039,-0.26904,-0.3551,0.16648
0.02,0.16587,0.0075877,0.0069802,0.09783,-0.18823,0.00042018,12.414,0.5048,-1.2485,-0.31755,-0.27092,0.19633
0.03,0.31851,0.014414,0.018169,0.10152,-0.18401,0.0014805,12.406,0.46916,-1.2024,-0.2809,-0.24879,0.24123
0.04,0.49215,0.022124,0.029387,0.10494,-0.17915,0.0034234,12.4,0.42519,-1.1613,-0.25468,-0.27334,0.27073
0.05,0.58412,0.025805,0.030343,0.10619,-0.17714,0.0046291,12.402,0.40026,-1.1366,-0.17869,-0.22467,0.25168
0.06,0.68514,0.029557,0.036016,0.10699,-0.17499,0.0060527,12.39,0.36948,-1.1095,-0.051884,-0.20105,0.22786
0.07,0.84689,0.036244,0.042838,0.10466,-0.17208,0.0089458,12.387,0.32636,-1.0816,0.26439,-0.24657,0.16915
0.08,1.0011,0.042542,0.050619,0.099569,-0.17028,0.011821,12.381,0.28154,-1.0689,0.41867,-0.19594,0.10641
0.09,1.0606,0.044181,0.049483,0.09643,-0.17012,0.012918,12.371,0.26451,-1.0728,0.55635,-0.18397,0.065436
0.1,1.2245,0.05047,0.055049,0.085666,-0.17058,0.016257,12.359,0.21916,-1.0996,0.89454,-0.10828,-0.035116
0.11,1.2948,0.053175,0.058163,0.07897,-0.17127,0.017809,12.351,0.20401,-1.1024,1.0475,-0.1201,-0.082768
0.12,1.3681,0.055685,0.05825,0.072052,-0.17203,0.019399,12.346,0.18368,-1.1272,1.242,-0.11299,-0.14418
0.13,1.5426,0.062485,0.066798,0.049628,-0.17413,0.023674,12.334,0.15217,-1.1367,1.6452,-0.16239,-0.26173
0.14,1.6998,0.068638,0.073119,0.02459,-0.17616,0.027843,12.319,0.12669,-1.1733,1.9783,-0.24634,-0.37676
0.15,1.7969,0.072453,0.072901,0.0067585,-0.17722,0.030592,12.33,0.11736,-1.186,2.1751,-0.27063,-0.44719
0.16,1.8915,0.076,0.07606,-0.011443,-0.17838,0.03323,12.313,0.10558,-1.2157,2.3406,-0.29733,-0.50541
0.17,2.0662,0.082827,0.084813,-0.05041,-0.18014,0.038555,12.29,0.096899,-1.2534,2.6917,-0.40431,-0.63511
0.18,2.2083,0.088302,0.0903,-0.085798,-0.1799,0.042969,12.279,0.096927,-1.2641,2.8686,-0.57244,-0.74569
0.19,2.3125,0.092426,0.091044,-0.1125,-0.17924,0.04629,12.261,0.096825,-1.2651,2.9739,-0.56987,-0.78718
0.2,2.4196,0.096957,0.098837,-0.14091,-0.178,0.049639,12.259,0.10093,-1.2571,3.0788,-0.64115,-0.85751
0.21,2.5348,0.10192,0.10623,-0.1723,-0.17586,0.053137,12.251,0.10613,-1.24,3.1362,-0.70445,-0.92065
0.22,2.6362,0.10617,0.10835,-0.20006,-0.17286,0.056018,12.249,0.10982,-1.2275,3.1288,-0.82375,-0.9807
0.23,2.7989,0.1131,0.11589,-0.24507,-0.16589,0.059984,12.243,0.12361,-1.1564,3.0763,-0.94398,-1.0504
0.24,2.896,0.11752,0.12027,-0.27167,-0.16095,0.062022,12.238,0.13182,-1.1382,3.0459,-0.97748,-1.0881
0.25,3.0019,0.12155,0.12437,-0.30092,-0.15517,0.064049,12.231,0.14026,-1.0933,3.0327,-1.0047,-1.1145
0.26,3.1484,0.12809,0.13114,-0.34074,-0.14606,0.066442,12.212,0.15061,-1.0456,3.0307,-1.0412,-1.1603
0.27,3.3076,0.13569,0.13571,-0.3837,-0.13571,0.068806,12.212,0.16373,-0.97589,3.0024,-1.0409,-1.1657
0.28,3.4661,0.14355,0.13991,-0.4265,-0.12546,0.071104,12.214,0.16876,-0.92223,3.0199,-1.0106,-1.1589
0.29,3.5646,0.14818,0.14131,-0.45315,-0.11899,0.072584,12.212,0.17213,-0.89646,3.0533,-1.0059,-1.1489
0.3,3.6541,0.15212,0.14623,-0.47768,-0.11316,0.073898,12.214,0.17522,-0.86772,3.067,-0.99248,-1.1296
0.31,3.8303,0.16141,0.15295,-0.52588,-0.10181,0.076855,12.205,0.17264,-0.86387,3.0845,-0.97803,-1.088
0.32,3.8374,0.16143,0.14498,-0.52795,-0.10144,0.077097,12.208,0.17856,-0.84962,3.0962,-0.96985,-1.0619
0.33,4.0018,0.16919,0.13736,-0.57268,-0.091096,0.080773,12.203,0.17474,-0.8514,3.1191,-0.98126,-1.018
0.34,4.0857,0.17369,0.13462,-0.59567,-0.085795,0.082738,12.204,0.17624,-0.83924,3.1514,-0.98987,-1.0326
0.35,4.2439,0.18226,0.13287,-0.64013,-0.075992,0.086665,12.216,0.17727,-0.82925,3.2421,-0.98415,-0.99016
0.36,4.4028,0.19066,0.13,-0.68601,-0.066559,0.091038,12.219,0.177,-0.82949,3.3248,-0.97752,-0.9432
0.37,4.4997,0.19497,0.12327,-0.71493,-0.060654,0.093673,12.209,0.18127,-0.84138,3.3413,-0.98949,-0.98744
0.38,4.595,0.20019,0.12323,-0.7429,-0.055006,0.09644,12.214,0.182,-0.8378,3.3661,-0.99372,-0.96807
0.39,4.76,0.20955,0.12071,-0.79143,-0.045277,0.10149,12.2,0.18692,-0.836,3.3823,-1.0059,-0.92069
0.4,4.9079,0.2181,0.11841,-0.83409,-0.037443,0.10699,12.198,0.19148,-0.86082,3.3331,-1.0167,-0.79726
0.41,5.0187,0.22534,0.1163,-0.86529,-0.031981,0.11171,12.198,0.19011,-0.91271,3.2654,-1.0248,-0.73641
0.42,5.0856,0.22969,0.11457,-0.88379,-0.029222,0.11524,12.198,0.19673,-0.93341,3.239,-1.058,-0.62792
0.43,5.1886,0.2365,0.10803,-0.91099,-0.025349,0.12159,12.199,0.19844,-0.99429,3.0923,-1.1036,-0.46908
0.44,5.3265,0.24574,0.10309,-0.94505,-0.020779,0.13078,12.19,0.20339,-1.0825,2.8176,-1.1297,-0.36059
0.45,5.4964,0.25747,0.097874,-0.9817,-0.01674,0.14532,12.185,0.20927,-1.2363,2.4621,-1.2628,-0.049107
0.46,5.5893,0.26397,0.095437,-0.99933,-0.015511,0.15526,12.172,0.21034,-1.334,2.3064,-1.3612,0.12686
