t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,-0.060154,-0.27919,-4.6666e-17,10.324,-0.24713,-2.7151,-0.81075,0.10975,0.51344
0.01,0.13568,-0.0050117,0.0133,-0.045215,-0.27493,-0.00012041,10.336,-0.27792,-2.6708,-1.082,0.21274,0.67287
0.02,0.22481,-0.0083233,0.018324,-0.033721,-0.27204,-0.00016937,10.342,-0.30971,-2.6493,-1.1915,0.24867,0.72277
0.03,0.33172,-0.011918,0.024088,-0.018473,-0.26814,-0.00025217,10.354,-0.34328,-2.6093,-1.3578,0.3075,0.81358
0.04,0.44614,-0.015553,0.036593,-0.00049595,-0.2637,-0.00026494,10.362,-0.38444,-2.5621,-1.5011,0.33431,0.87171
0.05,0.57952,-0.019846,0.048443,0.022488,-0.25798,-0.00018065,10.372,-0.43779,-2.5008,-1.6635,0.39375,0.94393
0.06,0.72531,-0.02453,0.057291,0.048957,-0.25165,8.9731e-05,10.385,-0.49697,-2.4201,-1.7191,0.46988,0.95447
0.07,0.80379,-0.026687,0.063057,0.06379,-0.24781,0.00016467,10.397,-0.528,-2.3776,-1.7953,0.47506,0.9617
0.08,0.89577,-0.029027,0.069962,0.081314,-0.24305,0.00022008,10.411,-0.56388,-2.3296,-1.8711,0.46944,0.97013
0.09,0.99392,-0.032214,0.07316,0.10056,-0.23806,0.00043316,10.426,-0.60564,-2.2711,-1.8853,0.5174,0.95262
0.1,1.1055,-0.03475,0.081635,0.12274,-0.2322,0.00055773,10.439,-0.64795,-2.2106,-1.9495,0.55095,0.93564
0.11,1.2178,-0.037128,0.090067,0.14551,-0.2262,0.00051156,10.455,-0.6887,-2.1518,-2.0294,0.57399,0.9207
0.12,1.3567,-0.040566,0.089191,0.17429,-0.21839,0.00061971,10.476,-0.7428,-2.0867,-2.069,0.56964,0.89433
0.13,1.4447,-0.043117,0.089684,0.19257,-0.21347,0.00070099,10.484,-0.77927,-2.0459,-2.0634,0.60993,0.84997
0.14,1.5471,-0.044257,0.082648,0.2141,-0.20801,0.00054506,10.481,-0.81478,-2.0301,-2.1,0.64902,0.79732
0.15,1.6641,-0.045953,0.075825,0.23892,-0.202,0.00022167,10.486,-0.854,-1.9872,-2.1179,0.69021,0.73741
0.16,1.8066,-0.049083,0.067077,0.26861,-0.19425,-0.00026857,10.494,-0.90354,-1.9311,-2.1071,0.64545,0.68027
0.17,1.8929,-0.050995,0.060296,0.28632,-0.18957,-0.00073918,10.497,-0.93145,-1.9036,-2.0968,0.64302,0.62723
0.18,1.9861,-0.051219,0.050547,0.30509,-0.18466,-0.001516,10.515,-0.94935,-1.8638,-2.0913,0.66343,0.56658
0.19,2.1021,-0.055671,0.050963,0.329,-0.17827,-0.0021269,10.524,-0.99179,-1.8475,-2.1117,0.59803,0.55441
0.2,2.1287,-0.05339,0.044568,0.33372,-0.17654,-0.0025946,10.526,-0.984,-1.8295,-2.0765,0.58179,0.51666
0.21,2.2637,-0.054441,0.040353,0.35994,-0.16789,-0.0040031,10.541,-1.0036,-1.7842,-2.0887,0.46407,0.4741
0.22,2.4057,-0.05497,0.0074263,0.38699,-0.15891,-0.0060461,10.546,-1.0232,-1.7416,-2.0635,0.49312,0.36508
0.23,2.4755,-0.055423,0.00043052,0.40027,-0.15454,-0.0071111,10.557,-1.031,-1.7222,-2.0622,0.46342,0.34486
0.24,2.6348,-0.058372,-0.013564,0.43005,-0.14436,-0.009825,10.585,-1.053,-1.6703,-2.0526,0.4058,0.26705
0.25,2.7033,-0.058718,-0.022625,0.44288,-0.13979,-0.011229,10.589,-1.0567,-1.654,-2.0715,0.38877,0.23108
0.26,2.8527,-0.059106,-0.043571,0.47022,-0.12944,-0.014578,10.619,-1.0547,-1.6285,-2.0936,0.34058,0.18638
0.27,2.931,-0.060496,-0.055106,0.48451,-0.12435,-0.016487,10.629,-1.0592,-1.6085,-2.0772,0.34126,0.12145
0.28,3.0736,-0.063241,-0.072691,0.51071,-0.11503,-0.020519,10.65,-1.0613,-1.5756,-2.0922,0.30971,0.023977
0.29,3.1685,-0.063293,-0.092475,0.52792,-0.10843,-0.023688,10.672,-1.0543,-1.5692,-2.1308,0.266,-0.011154
0.3,3.2627,-0.064027,-0.10729,0.54529,-0.10198,-0.027042,10.689,-1.0458,-1.5631,-2.1413,0.23319,-0.06377
0.31,3.3606,-0.066548,-0.11634,0.56351,-0.095656,-0.030739,10.706,-1.0402,-1.5474,-2.1265,0.22672,-0.14761
0.32,3.4622,-0.066055,-0.15219,0.58236,-0.088678,-0.03502,10.722,-1.0315,-1.56,-2.1564,0.17987,-0.17209
0.33,3.579,-0.066557,-0.17922,0.60435,-0.080745,-0.040084,10.736,-1.0234,-1.5718,-2.1775,0.14207,-0.21209
0.34,3.717,-0.068552,-0.20417,0.63041,-0.071349,-0.046186,10.76,-1.0152,-1.5805,-2.1836,0.10874,-0.28005
0.35,3.8694,-0.069892,-0.23083,0.65925,-0.06117,-0.053275,10.789,-1.0058,-1.5863,-2.2033,0.071451,-0.34882
0.36,3.9268,-0.07769,-0.24825,0.67051,-0.056984,-0.056281,10.798,-1.0004,-1.6054,-2.2252,0.051967,-0.36368
0.37,4.0319,-0.078079,-0.27685,0.69037,-0.049877,-0.061728,10.827,-0.99063,-1.6193,-2.2338,0.03258,-0.44268
0.38,4.1763,-0.083728,-0.30626,0.71838,-0.040232,-0.069239,10.859,-0.97993,-1.6157,-2.2424,-0.017372,-0.48138
0.39,4.3226,-0.089455,-0.33532,0.74702,-0.030705,-0.077245,10.89,-0.97388,-1.6386,-2.2704,-0.070385,-0.53167
0.4,4.3685,-0.091178,-0.34469,0.75589,-0.02774,-0.080054,10.902,-0.96846,-1.6561,-2.2686,-0.091044,-0.57887
0.41,4.4086,-0.092208,-0.37299,0.76309,-0.025234,-0.08326,10.92,-0.95318,-1.6629,-2.199,-0.12267,-0.66623
0.42,4.5696,-0.098611,-0.4065,0.79288,-0.015979,-0.093893,10.946,-0.94463,-1.7227,-2.0908,-0.23651,-0.69502
0.43,4.6446,-0.10155,-0.42932,0.80608,-0.011641,-0.099138,10.961,-0.938,-1.7486,-2.0505,-0.28185,-0.69062
0.44,4.7976,-0.10746,-0.46945,0.83203,-0.0031999,-0.11057,10.99,-0.9197,-1.7984,-1.9362,-0.37683,-0.77445
0.45,4.8716,-0.11063,-0.48247,0.84418,0.00071768,-0.11618,10.994,-0.91365,-1.8378,-1.8889,-0.41807,-0.77242
0.46,5.0357,-0.11811,-0.51638,0.8706,0.0086948,-0.12953,11.034,-0.89893,-1.8745,-1.8214,-0.50308,-0.83308
0.47,5.1038,-0.12126,-0.53372,0.88122,0.012249,-0.13528,11.05,-0.89027,-1.8984,-1.8125,-0.53764,-0.83118
0.48,5.2602,-0.12903,-0.57876,0.90538,0.020256,-0.14856,11.083,-0.87625,-1.9474,-1.7803,-0.5991,-0.81697
0.49,5.3467,-0.13405,-0.59246,0.91873,0.024394,-0.15586,11.107,-0.87203,-1.9702,-1.7478,-0.63687,-0.8282
0.5,5.4529,-0.14027,-0.61402,0.93454,0.029625,-0.16507,11.127,-0.86383,-2.0043,-1.6984,-0.68913,-0.83528
0.51,5.5377,-0.14494,-0.6344,0.94675,0.033652,-0.17283,11.132,-0.8545,-2.034,-1.6375,-0.74007,-0.84459
0.52,5.6899,-0.15513,-0.666,0.9677,0.040354,-0.18706,11.162,-0.84806,-2.0866,-1.5281,-0.81632,-0.84273
0.53,5.7803,-0.16171,-0.6857,0.97942,0.044091,-0.19589,11.172,-0.84562,-2.1247,-1.4515,-0.87011,-0.86627
0.54,5.8751,-0.16849,-0.7036,0.99105,0.048265,-0.2052,11.192,-0.83202,-2.1595,-1.3978,-0.89643,-0.82431
0.55,6.0083,-0.17947,-0.72488,1.0067,0.053802,-0.21833,11.214,-0.82211,-2.2056,-1.3123,-0.94332,-0.80319
0.56,6.1676,-0.194,-0.75869,1.0235,0.059871,-0.23454,11.237,-0.81955,-2.2584,-1.1459,-1.0152,-0.79501
0.57,6.2378,-0.20089,-0.77546,1.0305,0.062632,-0.24164,11.252,-0.81734,-2.2806,-1.128,-1.0225,-0.75806
0.58,6.4006,-0.21752,-0.81032,1.0458,0.069201,-0.25814,11.285,-0.80797,-2.3425,-1.0639,-1.0489,-0.70566
0.59,6.4741,-0.22561,-0.82247,1.0524,0.072074,-0.26553,11.297,-0.80284,-2.3643,-1.0129,-1.0679,-0.6951
0.6,6.6309,-0.24433,-0.85713,1.0662,0.078301,-0.28068,11.322,-0.80237,-2.3957,-0.979,-1.0505,-0.59559
0.61,6.6384,-0.24511,-0.85283,1.0668,0.078644,-0.28154,11.324,-0.79819,-2.3987,-0.98149,-1.0743,-0.63532
0.62,6.7962,-0.26454,-0.89088,1.0789,0.085306,-0.29686,11.352,-0.7888,-2.4357,-0.8828,-1.0672,-0.55666
0.63,6.8667,-0.27421,-0.9032,1.084,0.088093,-0.3035,11.366,-0.7832,-2.4333,-0.82393,-1.0795,-0.54777
0.64,7.0268,-0.29759,-0.93863,1.0954,0.094572,-0.31853,11.393,-0.78767,-2.4693,-0.81036,-1.0837,-0.4982
0.65,7.1598,-0.31849,-0.96528,1.1044,0.099951,-0.33098,11.418,-0.78906,-2.4996,-0.77046,-1.0942,-0.48762
0.66,7.2575,-0.33463,-0.98169,1.1104,0.10388,-0.34017,11.447,-0.78177,-2.4984,-0.71568,-1.1073,-0.49797
