t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0.21953,-0.20504,-0.043027,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.01,0.11884,-0.00010657,-6.1656e-13,0.21953,-0.20504,-0.04482,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.02,0.23769,-0.0004263,1.8259e-10,0.21953,-0.20504,-0.046614,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.03,0.35653,-0.00095917,6.3929e-10,0.21953,-0.20504,-0.048407,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.04,0.47537,-0.0017052,8.2664e-10,0.21953,-0.20504,-0.050201,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.05,0.59421,-0.0026643,5.5675e-10,0.21953,-0.20504,-0.051994,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.06,0.71305,-0.0038366,1.5628e-11,0.21953,-0.20504,-0.053788,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.07,0.83188,-0.0052221,1.419e-11,0.21953,-0.20504,-0.055581,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.08,0.95072,-0.0068206,7.2375e-10,0.21953,-0.20504,-0.057375,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.09,1.0695,-0.0086323,1.3519e-09,0.21953,-0.20504,-0.059168,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.1,1.1884,-0.010657,1.3832e-09,0.21953,-0.20504,-0.060962,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.11,1.3072,-0.012895,7.6355e-10,0.21953,-0.20504,-0.062755,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.12,1.426,-0.015346,-1.0172e-10,0.21953,-0.20504,-0.064549,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.13,1.5448,-0.01801,-2.6482e-10,0.21953,-0.20504,-0.066342,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.14,1.6636,-0.020887,4.3635e-10,0.21953,-0.20504,-0.068136,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.15,1.7824,-0.023978,1.0906e-09,0.21953,-0.20504,-0.069929,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.16,1.9012,-0.027281,1.1217e-09,0.21953,-0.20504,-0.071723,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.17,2.02,-0.030798,5.0106e-10,0.21953,-0.20504,-0.073517,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.18,2.1388,-0.034527,-3.5219e-10,0.21953,-0.20504,-0.07531,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.19,2.2576,-0.03847,-4.9913e-10,0.21953,-0.20504,-0.077104,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.2,2.3764,-0.042625,2.1706e-10,0.21953,-0.20504,-0.078897,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.21,2.4951,-0.046994,8.8671e-10,0.21953,-0.20504,-0.080691,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.22,2.6139,-0.051575,9.3426e-10,0.21953,-0.20504,-0.082484,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.23,2.7326,-0.05637,3.3016e-10,0.21953,-0.20504,-0.084278,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.24,2.8514,-0.061377,-5.0729e-10,0.21953,-0.20504,-0.086071,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.25,2.9701,-0.066598,-6.394e-10,0.21953,-0.20504,-0.087865,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.26,3.0888,-0.072031,9.0594e-11,0.21953,-0.20504,-0.089658,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.27,3.2075,-0.077677,7.7303e-10,0.21953,-0.20504,-0.091452,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.28,3.3262,-0.083537,8.3236e-10,0.21953,-0.20504,-0.093245,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.29,3.4449,-0.089609,2.3902e-10,0.21953,-0.20504,-0.095039,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.3,3.5636,-0.095894,-5.8872e-10,0.21953,-0.20504,-0.096832,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.31,3.6822,-0.10239,-7.1218e-10,0.21953,-0.20504,-0.098626,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.32,3.8009,-0.1091,2.5436e-11,0.21953,-0.20504,-0.10042,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.33,3.9195,-0.11603,7.1459e-10,0.21953,-0.20504,-0.10221,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.34,4.0382,-0.12316,7.7986e-10,0.21953,-0.20504,-0.10401,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.35,4.1568,-0.13051,1.9172e-10,0.21953,-0.20504,-0.1058,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.36,4.2754,-0.13807,-6.3151e-10,0.21953,-0.20504,-0.10759,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.37,4.394,-0.14585,-7.511e-10,0.21953,-0.20504,-0.10939,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.38,4.5126,-0.15383,-1.0178e-11,0.21953,-0.20504,-0.11118,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.39,4.6311,-0.16203,6.818e-10,0.21953,-0.20504,-0.11297,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.4,4.7497,-0.17045,7.4946e-10,0.21953,-0.20504,-0.11477,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.41,4.8682,-0.17907,1.6334e-10,0.21953,-0.20504,-0.11656,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.42,4.9867,-0.18791,-6.582e-10,0.21953,-0.20504,-0.11835,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.43,5.1052,-0.19696,-7.7639e-10,0.21953,-0.20504,-0.12015,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.44,5.2237,-0.20622,-3.4315e-11,0.21953,-0.20504,-0.12194,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.45,5.3422,-0.2157,6.586e-10,0.21953,-0.20504,-0.12374,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
0.46,5.4606,-0.22538,7.2702e-10,0.21953,-0.20504,-0.12553,11.625,-0.027518,-2.4707,-0.036516,-0.038239,-0.17138
