t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.033597,-0.16155,-0.20425,0.49391,1.6447,-1.8048,-0.080387,-0.12437,-0.030156,0.071271,0.046123,-0.41049,0.054689,0.14505,-0.081345,-0.44689,0.87395,1.3128,0.06369,0.10157,-0.056488,-0.056137,0.016471,0.14331,-0.038808,-0.0075282,-0.010801,0.0004095,-0.000228,-0.036794,-0.021479,-0.0049587,0.0017987,0.00038172,0.00017556,-0.016747
0.01,0.019295,-0.16928,-0.21683,0.51253,1.6911,-1.8933,-0.093576,-0.12374,-0.025186,0.073162,0.048898,-0.43869,0.03788,0.14449,-0.089904,-0.45189,0.91265,1.306,0.055654,0.09918,-0.057412,-0.05687,0.01814,0.13444,-0.038275,-0.0078245,-0.010763,0.0010334,0.001333,-0.039445,-0.021228,-0.0047091,0.0019851,0.00045126,0.000308,-0.017376
0.02,0.015935,-0.1767,-0.23381,0.54671,1.7868,-1.9973,-0.10297,-0.12202,-0.021557,0.076995,0.052582,-0.46946,0.025912,0.14744,-0.09448,-0.46048,0.92895,1.3292,0.051518,0.099425,-0.057723,-0.058251,0.019441,0.13346,-0.037733,-0.0081395,-0.010768,0.0017439,0.0032112,-0.042285,-0.020986,-0.0044446,0.0021631,0.00053252,0.00042269,-0.018018
0.03,0.0068027,-0.17737,-0.23733,0.55164,1.77,-2.0092,-0.10832,-0.11411,-0.016645,0.076196,0.052583,-0.47632,0.012493,0.14834,-0.10171,-0.46496,0.96358,1.3318,0.045557,0.098642,-0.057431,-0.059141,0.021526,0.12722,-0.037195,-0.0084474,-0.01079,0.0024444,0.0051583,-0.045001,-0.020735,-0.0041388,0.0023021,0.00060752,0.00050534,-0.018609
0.04,0.0075862,-0.18348,-0.25299,0.58855,1.8575,-2.1005,-0.114,-0.10914,-0.013746,0.079549,0.055246,-0.50077,0.0080069,0.15742,-0.10268,-0.48241,0.96877,1.4076,0.047326,0.10275,-0.057623,-0.061914,0.022701,0.13809,-0.036653,-0.0087707,-0.01084,0.0032206,0.0072376,-0.04785,-0.020491,-0.0038119,0.0024408,0.00068747,0.00056652,-0.019187
0.05,0.0047532,-0.18567,-0.25849,0.60546,1.8627,-2.1317,-0.1168,-0.10065,-0.0094937,0.079718,0.055107,-0.50775,0.00024067,0.16159,-0.10709,-0.49062,0.99319,1.4379,0.045781,0.10403,-0.057,-0.063451,0.024665,0.13938,-0.036114,-0.0091114,-0.010894,0.0040954,0.0092501,-0.050829,-0.020253,-0.0034693,0.0025776,0.00077039,0.00059491,-0.019733
0.06,0.007244,-0.18834,-0.26731,0.63257,1.899,-2.1778,-0.11786,-0.09192,-0.0071755,0.081137,0.055326,-0.51669,-0.0046092,0.16767,-0.11017,-0.50212,1.0135,1.4852,0.046124,0.10629,-0.056125,-0.065481,0.026579,0.14484,-0.035575,-0.009428,-0.010964,0.004943,0.011329,-0.053557,-0.020001,-0.0030878,0.0026595,0.00084924,0.00059235,-0.020191
0.07,0.012285,-0.18885,-0.27232,0.65474,1.9104,-2.199,-0.11626,-0.08181,-0.0047049,0.081826,0.054816,-0.51697,-0.0018143,0.18213,-0.10687,-0.53015,1.0031,1.6093,0.05373,0.11197,-0.056216,-0.069563,0.027558,0.16772,-0.035033,-0.0097655,-0.011035,0.0059063,0.013314,-0.056466,-0.019759,-0.0026989,0.0027446,0.00093638,0.00057151,-0.020611
0.08,0.011502,-0.18588,-0.26508,0.64883,1.8281,-2.1559,-0.11213,-0.070367,-0.0024486,0.078898,0.05142,-0.49891,-0.0045937,0.18572,-0.10914,-0.53573,1.0191,1.6329,0.054071,0.11204,-0.054228,-0.070688,0.029415,0.17059,-0.034499,-0.010065,-0.011069,0.0067826,0.014961,-0.058925,-0.019491,-0.002278,0.002771,0.0010058,0.00051918,-0.020875
0.09,0.017815,-0.18914,-0.27106,0.67749,1.8469,-2.2005,-0.10992,-0.061331,-0.0020957,0.080124,0.050572,-0.50011,0.00083712,0.20165,-0.10578,-0.56898,1.0154,1.7682,0.062885,0.11697,-0.053772,-0.075099,0.03085,0.19527,-0.033972,-0.010357,-0.011072,0.0076818,0.016305,-0.061233,-0.019214,-0.0018452,0.0027589,0.0010722,0.00043062,-0.021027
0.1,0.018728,-0.18274,-0.25633,0.65969,1.7183,-2.1125,-0.10203,-0.050046,-0.0017466,0.075877,0.045715,-0.46829,0.0061366,0.2116,-0.099933,-0.58935,0.98757,1.8507,0.069463,0.11759,-0.051306,-0.077402,0.031592,0.21298,-0.033461,-0.010638,-0.011024,0.0086075,0.017213,-0.063333,-0.018932,-0.0014095,0.002687,0.0011388,0.00032536,-0.021055
0.11,0.023074,-0.18259,-0.25242,0.66954,1.6683,-2.1032,-0.09677,-0.041107,-0.0031638,0.074868,0.043084,-0.45356,0.012258,0.22481,-0.096814,-0.62067,0.98597,1.9599,0.076865,0.11937,-0.049133,-0.080829,0.033127,0.23234,-0.03297,-0.010887,-0.010917,0.009459,0.01765,-0.06501,-0.018633,-0.00096693,0.0025508,0.0011918,0.00020036,-0.020919
0.12,0.029253,-0.18562,-0.25195,0.69211,1.6425,-2.1295,-0.092499,-0.033365,-0.0049801,0.075295,0.041237,-0.44455,0.02186,0.24349,-0.091059,-0.66673,0.97647,2.1188,0.087918,0.12193,-0.047059,-0.085687,0.034509,0.26037,-0.032493,-0.01117,-0.010785,0.010432,0.017819,-0.06692,-0.018352,-0.00054525,0.0023911,0.0012552,6.324e-05,-0.020736
0.13,0.035826,-0.18524,-0.24569,0.70147,1.5798,-2.1153,-0.086093,-0.025747,-0.0070297,0.074461,0.038838,-0.42555,0.033313,0.26341,-0.082074,-0.71705,0.94779,2.2897,0.1002,0.12292,-0.04419,-0.090487,0.035245,0.29069,-0.03204,-0.01149,-0.010632,0.011505,0.017744,-0.069099,-0.018098,-0.00015215,0.0022025,0.0013271,-6.861e-05,-0.020517
0.14,0.036414,-0.18304,-0.23063,0.68856,1.4545,-2.0606,-0.079918,-0.019512,-0.0086329,0.071337,0.034933,-0.39745,0.042875,0.27934,-0.075822,-0.76002,0.93353,2.422,0.10969,0.12185,-0.040194,-0.094061,0.036103,0.31178,-0.031622,-0.011845,-0.010439,0.012644,0.017298,-0.07146,-0.017866,0.00021028,0.0019776,0.0014005,-0.00020231,-0.020246
