t, affine_elevL, affine_elevR, affine_throttle
0,0.33744,0.15205,0.0062448
0.01,0.36259,0.13416,0.0083489
0.02,0.39015,0.1096,0.01164
0.03,0.43072,0.082689,0.014174
0.04,0.47192,0.053301,0.016505
0.05,0.52698,0.013784,0.018045
0.06,0.56395,-0.013628,0.021461
0.07,0.59482,-0.034334,0.023864
0.08,0.64601,-0.058075,0.026586
0.09,0.70015,-0.078604,0.028634
0.1,0.73417,-0.10042,0.032659
0.11,0.76458,-0.11548,0.033879
0.12,0.81517,-0.14471,0.038868
0.13,0.85306,-0.17287,0.043306
0.14,0.88814,-0.20471,0.047848
0.15,0.9284,-0.23744,0.052065
0.16,0.96209,-0.26438,0.055318
0.17,0.99599,-0.27635,0.057088
0.18,1.0166,-0.28007,0.060401
0.19,1.0219,-0.28316,0.062691
0.2,1.0395,-0.26764,0.063402
0.21,1.0405,-0.26459,0.066424
0.22,1.0297,-0.23339,0.065639
0.23,1.0261,-0.23509,0.070296
0.24,1.0072,-0.20154,0.070545
0.25,0.96104,-0.18392,0.071121
0.26,0.94289,-0.14111,0.071307
0.27,0.92347,-0.12681,0.072811
0.28,0.90264,-0.096191,0.073623
0.29,0.89061,-0.066696,0.073829
0.3,0.87993,-0.047012,0.075238
0.31,0.84635,-0.00049083,0.075142
0.32,0.81139,0.038444,0.074781
0.33,0.78563,0.076661,0.075551
0.34,0.74694,0.053504,0.077811
0.35,0.69617,0.085145,0.075993
0.36,0.70459,0.11074,0.074228
0.37,0.70631,0.14274,0.072258
0.38,0.67042,0.16086,0.071923
0.39,0.63003,0.18524,0.06895
0.4,0.60657,0.20748,0.066281
0.41,0.56864,0.23808,0.061806
0.42,0.54539,0.25184,0.0605
0.43,0.5277,0.25974,0.058026
0.44,0.51733,0.26148,0.05677
0.45,0.49583,0.27202,0.052844
0.46,0.48674,0.26416,0.050164
0.47,0.48299,0.25768,0.049341
0.48,0.46281,0.26022,0.045001
0.49,0.46149,0.25498,0.042983
0.5,0.45653,0.2469,0.040899
0.51,0.4521,0.24367,0.037905
0.52,0.44545,0.23893,0.034738
0.53,0.44446,0.22471,0.032787
0.54,0.44414,0.21217,0.032902
0.55,0.44804,0.19442,0.031571
0.56,0.43536,0.19605,0.028458
0.57,0.43129,0.1951,0.026049
0.58,0.42749,0.18862,0.025083
0.59,0.42025,0.19004,0.021129
0.6,0.42284,0.18276,0.019253
0.61,0.4236,0.18892,0.012952
0.62,0.42134,0.17771,0.012793
0.63,0.4079,0.20007,0.0076125
0.64,0.40239,0.21008,0.0039207
0.65,0.39879,0.20055,0.0049731
0.66,0.39981,0.21207,7.4494e-05
0.67,0.39809,0.22334,-0.0041446
0.68,0.39592,0.23658,-0.0086226
0.69,0.40427,0.22423,-0.009606
0.7,0.40301,0.22952,-0.013353
0.71,0.4054,0.22937,-0.016824
0.72,0.39133,0.24614,-0.021448
0.73,0.38928,0.23593,-0.022104
0.74,0.38521,0.23868,-0.024532
0.75,0.38046,0.22617,-0.023075
0.76,0.38764,0.21464,-0.02566
0.77,0.37662,0.22852,-0.029045
0.78,0.36335,0.24845,-0.032743
0.79,0.37226,0.22833,-0.033516
0.8,0.38546,0.20646,-0.035373
0.81,0.37503,0.21856,-0.039582
0.82,0.3803,0.21946,-0.043602
0.83,0.40457,0.18625,-0.045411
0.84,0.42333,0.16123,-0.047263
0.85,0.43748,0.14182,-0.048678
0.86,0.46326,0.11247,-0.051271
0.87,0.4888,0.074749,-0.054095
0.88,0.50985,0.043009,-0.056619
0.89,0.52884,0.016227,-0.060169
0.9,0.55712,-0.026078,-0.063168
0.91,0.56966,-0.054944,-0.065965
0.92,0.57871,-0.071095,-0.069239
0.93,0.6052,-0.10578,-0.072589
0.94,0.61171,-0.1424,-0.077044
0.95,0.61137,-0.15428,-0.080134
0.96,0.63346,-0.20009,-0.079897
0.97,0.68443,-0.24457,-0.084538
0.98,0.61816,-0.26483,-0.087355
0.99,0.63332,-0.28086,-0.087164
1,0.6,-0.27283,-0.087999
1.01,0.52257,-0.24733,-0.087087
1.02,0.43136,-0.1897,-0.082326
1.03,0.37352,-0.16047,-0.077422
1.04,0.3171,-0.10814,-0.073404
1.05,0.23991,-0.054547,-0.06889
1.06,0.23047,-0.045104,-0.064904
1.07,0.15656,0.024949,-0.061749
1.08,0.12125,0.065935,-0.057435
1.09,0.054755,0.127,-0.052569
1.1,0.033791,0.15796,-0.049764
1.11,-0.0049607,0.21352,-0.044189
1.12,-0.039667,0.25982,-0.041462
1.13,-0.078812,0.31152,-0.036908
1.14,-0.097849,0.34842,-0.031666
1.15,-0.10588,0.37333,-0.028708
1.16,-0.1052,0.38695,-0.025672
