t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.059507,-0.11029,-0.26948,0.51985,2.3382,-1.2558,-0.097012,-0.055711,-0.096653,0.051868,0.038441,-0.27766,0.055723,0.20104,-0.090233,-0.45943,1.0324,1.5993,0.073028,0.11921,-0.044624,-0.077244,0.033384,0.11849,-0.039245,-0.0048515,-0.030855,0.0056295,0.16482,-0.024273,-0.028044,0.00013806,-0.0054585,-0.00061086,0.00089733,-0.019114
0.01,0.063955,-0.11344,-0.27424,0.55203,2.3699,-1.3079,-0.09891,-0.053884,-0.098705,0.053864,0.038793,-0.28312,0.062864,0.20846,-0.083045,-0.48128,0.99416,1.65,0.082373,0.12213,-0.041141,-0.079426,0.033946,0.12745,-0.038706,-0.0052096,-0.030765,0.0070033,0.16395,-0.027303,-0.027789,0.00039211,-0.0055912,-0.00048087,0.00080158,-0.019191
0.02,0.068518,-0.11676,-0.27762,0.5825,2.3895,-1.3609,-0.10036,-0.052179,-0.10057,0.055711,0.039015,-0.2872,0.06829,0.21384,-0.078037,-0.49798,0.96915,1.6845,0.08938,0.12394,-0.037905,-0.080962,0.034446,0.1335,-0.03818,-0.005586,-0.030704,0.0083875,0.16323,-0.030463,-0.027561,0.00062841,-0.0057433,-0.00035142,0.00070978,-0.019237
0.03,0.073085,-0.12166,-0.28313,0.61688,2.4252,-1.4298,-0.10318,-0.051123,-0.10319,0.05794,0.039568,-0.29326,0.076654,0.22123,-0.068161,-0.52036,0.91217,1.7384,0.099886,0.12627,-0.03324,-0.082937,0.034496,0.14419,-0.037668,-0.0060025,-0.030684,0.0098361,0.16272,-0.033948,-0.027376,0.00083801,-0.0059004,-0.00021554,0.00062906,-0.019279
0.04,0.0777,-0.12716,-0.28828,0.65026,2.4572,-1.5053,-0.10643,-0.05047,-0.10558,0.060191,0.040178,-0.29914,0.083971,0.2287,-0.060049,-0.54154,0.86827,1.7937,0.10947,0.12862,-0.029064,-0.084926,0.034572,0.15388,-0.037177,-0.006472,-0.030724,0.011328,0.16255,-0.037878,-0.027251,0.0010065,-0.0060498,-7.4673e-05,0.0005667,-0.01934
0.05,0.082214,-0.13318,-0.29327,0.68109,2.4873,-1.5862,-0.11018,-0.050228,-0.10779,0.062392,0.040888,-0.30488,0.090185,0.23501,-0.052046,-0.5587,0.82196,1.841,0.11801,0.13025,-0.0249,-0.08637,0.03433,0.16235,-0.036705,-0.0069888,-0.03083,0.012787,0.16279,-0.042221,-0.027187,0.0011276,-0.0061977,6.7968e-05,0.00052482,-0.019422
0.06,0.086519,-0.1403,-0.29907,0.71179,2.5226,-1.6781,-0.11491,-0.05049,-0.11016,0.064719,0.041759,-0.31139,0.094935,0.24119,-0.047248,-0.57357,0.79868,1.8866,0.1249,0.13213,-0.021679,-0.087823,0.034259,0.16876,-0.036246,-0.0075553,-0.031001,0.014251,0.16343,-0.046993,-0.027179,0.0012123,-0.0063492,0.0002144,0.00049765,-0.019523
0.07,0.091839,-0.14758,-0.30237,0.7384,2.5399,-1.7701,-0.1187,-0.051127,-0.11173,0.06691,0.042505,-0.31589,0.098823,0.24706,-0.045047,-0.5854,0.79421,1.9286,0.13052,0.13418,-0.019264,-0.089212,0.034299,0.17335,-0.035796,-0.008168,-0.031227,0.015706,0.16441,-0.052161,-0.027221,0.0012667,-0.0065036,0.00036109,0.00047719,-0.019631
0.08,0.095058,-0.15742,-0.31006,0.76853,2.586,-1.8863,-0.126,-0.052452,-0.11436,0.069468,0.04352,-0.32418,0.10278,0.252,-0.038924,-0.59474,0.75715,1.9664,0.13688,0.1352,-0.015702,-0.089952,0.033614,0.17897,-0.035352,-0.0088424,-0.031525,0.017189,0.16587,-0.057879,-0.027322,0.0012853,-0.0066634,0.00051557,0.00046656,-0.01977
0.09,0.095973,-0.16581,-0.31444,0.78512,2.6017,-1.9832,-0.13198,-0.053337,-0.11646,0.07075,0.043827,-0.32866,0.10461,0.25407,-0.034044,-0.59528,0.72269,1.9811,0.14011,0.13494,-0.012124,-0.089488,0.032687,0.18127,-0.034927,-0.0095212,-0.031863,0.018445,0.16755,-0.0636,-0.027438,0.0012873,-0.0068664,0.00064422,0.00046209,-0.019875
