t, elevL, elevR, throttle
0,0.29741,0.08775,5.3398
0.01,0.3013,0.083852,5.3398
0.02,0.31645,0.068879,5.3398
0.03,0.31507,0.070347,5.3398
0.04,0.31505,0.074239,5.3398
0.05,0.31509,0.074114,5.3398
0.06,0.31691,0.073619,5.3398
0.07,0.31697,0.072222,5.3398
0.08,0.34462,0.065077,5.3398
0.09,0.37232,0.057915,5.3398
0.1,0.38528,0.054327,5.3398
0.11,0.44166,0.038689,5.3398
0.12,0.43354,0.041469,5.3398
0.13,0.47212,0.0275,5.3398
0.14,0.47704,0.02565,5.3398
0.15,0.48808,0.022808,5.3398
0.16,0.49334,0.021495,5.3398
0.17,0.4888,0.021426,5.3398
0.18,0.48685,0.021447,5.3398
0.19,0.48678,0.021197,5.3398
0.2,0.48881,0.028511,5.3398
0.21,0.48861,0.028908,5.3398
0.22,0.49349,0.031193,5.3398
0.23,0.50451,0.036417,5.3398
0.24,0.51409,0.043473,5.3398
0.25,0.54621,0.06623,5.3398
0.26,0.54499,0.064087,5.3398
0.27,0.5368,0.095113,5.3398
0.28,0.53882,0.11921,5.3398
0.29,0.52335,0.14908,5.3398
0.3,0.49716,0.19631,5.3398
0.31,0.49978,0.19122,5.3398
0.32,0.49998,0.18989,5.3398
0.33,0.49921,0.17891,5.3398
0.34,0.50446,0.29828,5.3398
0.35,0.51826,0.32805,5.3398
0.36,0.33627,0.36692,5.3398
0.37,0.3349,0.36686,5.3398
0.38,0.32243,0.37539,5.3398
0.39,0.32172,0.38208,5.3398
0.4,0.32058,0.38133,5.3398
0.41,0.33196,0.3913,5.3398
0.42,0.33605,0.39481,5.3398
0.43,0.34315,0.40267,5.3398
0.44,0.3556,0.4162,5.3398
0.45,0.35464,0.41532,5.3398
0.46,0.38051,0.43591,5.3398
0.47,0.37534,0.43182,5.3398
0.48,0.40043,0.45151,5.3398
0.49,0.39612,0.44824,5.3398
0.5,0.40106,0.4505,5.3398
0.51,0.40092,0.45035,5.3398
0.52,0.40078,0.4476,5.3398
0.53,0.40142,0.44433,5.3398
0.54,0.39322,0.44479,5.3398
0.55,0.38952,0.44457,5.3398
0.56,0.38995,0.4446,5.3398
0.57,0.38994,0.44461,5.3398
0.58,0.38991,0.44453,5.3398
0.59,0.38886,0.44166,5.3398
0.6,0.38728,0.43781,5.3398
0.61,0.38667,0.43661,5.3398
0.62,0.37762,0.41949,5.3398
0.63,0.37866,0.42117,5.3398
0.64,0.36521,0.4231,5.3398
0.65,0.36692,0.4249,5.3398
0.66,0.37556,0.42738,5.3398
0.67,0.37442,0.42692,5.3398
0.68,0.3745,0.4268,5.3398
0.69,0.37453,0.4161,5.3398
0.7,0.37453,0.4172,5.3398
0.71,0.37406,0.41299,5.3398
0.72,0.37609,0.41434,5.3398
0.73,0.33019,0.38715,5.3398
0.74,0.33872,0.39312,5.3398
0.75,0.33164,0.38668,5.3398
0.76,0.31936,0.37174,5.3398
0.77,0.32111,0.36903,5.3398
0.78,0.32939,0.35266,5.3398
0.79,0.32889,0.35364,5.3398
0.8,0.33965,0.33277,5.3398
0.81,0.33924,0.33325,5.3398
0.82,0.3392,0.31209,5.3398
0.83,0.3393,0.30198,5.3398
0.84,0.34023,0.30064,5.3398
0.85,0.34995,0.28707,5.3398
0.86,0.35013,0.28678,5.3398
0.87,0.35038,0.2867,5.3398
0.88,0.3522,0.28796,5.3398
0.89,0.33908,0.27953,5.3398
0.9,0.34487,0.2809,5.3398
0.91,0.31652,0.28167,5.3398
0.92,0.31022,0.27627,5.3398
0.93,0.30528,0.27802,5.3398
0.94,0.25563,0.29064,5.3398
0.95,0.24589,0.28382,5.3398
0.96,0.20632,0.29839,5.3398
0.97,0.22982,0.32327,5.3398
0.98,0.12449,0.33059,5.3398
0.99,0.14116,0.38108,5.3398
1,0.12909,0.38016,5.3398
1.01,0.080699,0.40607,5.3398
1.02,0.07917,0.40761,5.3398
1.03,0.05915,0.42499,5.3398
1.04,0.061259,0.42314,5.3398
1.05,0.036527,0.42528,5.3398
1.06,0.043151,0.43059,5.3398
1.07,0.025713,0.43925,5.3398
1.08,0.015705,0.4445,5.3398
1.09,0.0047652,0.44395,5.3398
1.1,-3.828e-05,0.45231,5.3398
1.11,0.00026976,0.45229,5.3398
1.12,-0.0083707,0.45246,5.3398
1.13,-0.0085994,0.45461,5.3398
1.14,-0.00881,0.43521,5.3398
1.15,-0.0087576,0.43316,5.3398
1.16,-0.008315,0.43311,5.3398
1.17,-0.013273,0.4329,5.3398
1.18,-0.012661,0.43333,5.3398
1.19,-0.017595,0.42903,5.3398
1.2,-0.016885,0.42964,5.3398
1.21,-0.023886,0.42348,5.3398
1.22,-0.023303,0.42466,5.3398
1.23,-0.030171,0.41267,5.3398
1.24,-0.030817,0.41156,5.3398
1.25,-0.030227,0.41114,5.3398
1.26,-0.040882,0.41588,5.3398
1.27,-0.044561,0.41738,5.3398
1.28,-0.04891,0.41551,5.3398
1.29,-0.048062,0.41371,5.3398
1.3,-0.053867,0.41026,5.3398
1.31,-0.055012,0.40983,5.3398
1.32,-0.052949,0.40325,5.3398
1.33,-0.048702,0.39224,5.3398
1.34,-0.04276,0.3868,5.3398
1.35,-0.018513,0.36566,5.3398
1.36,-0.025936,0.37119,5.3398
1.37,0.015467,0.3444,5.3398
1.38,0.028018,0.33612,5.3398
1.39,0.085752,0.30612,5.3398
1.4,0.094367,0.30179,5.3398
1.41,0.1128,0.2888,5.3398
1.42,0.13625,0.27126,5.3398
1.43,0.13667,0.27179,5.3398
1.44,0.13659,0.25193,5.3398
1.45,0.13696,0.25246,5.3398
1.46,0.13308,0.24783,5.3398
1.47,0.12554,0.23948,5.3398
1.48,0.12463,0.24021,5.3398
1.49,0.13763,0.23566,5.3398
1.5,0.13835,0.23516,5.3398
1.51,0.1203,0.24322,5.3398
1.52,0.12367,0.2415,5.3398
1.53,0.12343,0.24374,5.3398
1.54,0.12108,0.2456,5.3398
1.55,0.12406,0.24318,5.3398
1.56,0.075178,0.28681,5.3398
1.57,0.056083,0.27178,5.3398
1.58,0.034523,0.30385,5.3398
1.59,0.038164,0.31307,5.3398
1.6,0.032355,0.32775,5.3398
1.61,0.033123,0.32543,5.3398
1.62,0.033133,0.3257,5.3398
1.63,0.032801,0.32534,5.3398
1.64,0.033132,0.32576,5.3398
1.65,0.028224,0.31891,5.3398
1.66,0.030609,0.31724,5.3398
1.67,0.036365,0.31093,5.3398
1.68,0.035099,0.31174,5.3398
1.69,0.035309,0.31408,5.3398
1.7,0.034046,0.31482,5.3398
1.71,0.065939,0.29066,5.3398
1.72,0.065237,0.29107,5.3398
1.73,0.066113,0.29067,5.3398
1.74,0.066349,0.28238,5.3398
1.75,0.063912,0.2831,5.3398
1.76,0.097356,0.27851,5.3398
1.77,0.092631,0.27904,5.3398
1.78,0.095484,0.27884,5.3398
1.79,0.10151,0.27884,5.3398
1.8,0.10136,0.27882,5.3398
1.81,0.10083,0.28003,5.3398
1.82,0.0914,0.30191,5.3398
1.83,0.075953,0.3386,5.3398
1.84,0.076741,0.33549,5.3398
1.85,0.048707,0.35115,5.3398
1.86,0.03622,0.3575,5.3398
1.87,0.036852,0.36493,5.3398
1.88,0.034297,0.36975,5.3398
1.89,0.049221,0.36932,5.3398
1.9,0.060154,0.37059,5.3398
1.91,0.058109,0.37049,5.3398
1.92,0.073061,0.37059,5.3398
1.93,0.074191,0.37163,5.3398
1.94,0.092637,0.36375,5.3398
1.95,0.088012,0.36421,5.3398
1.96,0.10501,0.36941,5.3398
1.97,0.1109,0.33955,5.3398
1.98,0.12124,0.35223,5.3398
1.99,0.13743,0.3355,5.3398
2,0.13661,0.31198,5.3398
2.01,0.15509,0.30502,5.3398
2.02,0.17947,0.29604,5.3398
2.03,0.19844,0.29002,5.3398
2.04,0.20712,0.28698,5.3398
2.05,0.22,0.2862,5.3398
2.06,0.22746,0.29011,5.3398
2.07,0.22695,0.29051,5.3398
2.08,0.22631,0.29095,5.3398
2.09,0.22306,0.2931,5.3398
2.1,0.23987,0.28194,5.3398
2.11,0.24466,0.27877,5.3398
2.12,0.2446,0.2791,5.3398
2.13,0.24453,0.2754,5.3398
2.14,0.24456,0.28028,5.3398
2.15,0.24475,0.2457,5.3398
2.16,0.24305,0.25553,5.3398
2.17,0.25565,0.23161,5.3398
2.18,0.25548,0.23036,5.3398
2.19,0.27558,0.21322,5.3398
2.2,0.29633,0.19874,5.3398
2.21,0.3071,0.19992,5.3398
2.22,0.34096,0.16857,5.3398
2.23,0.3393,0.16646,5.3398
2.24,0.34697,0.15186,5.3398
2.25,0.3471,0.14965,5.3397
2.26,0.35352,0.15312,5.3398
2.27,0.3547,0.11881,5.3398
2.28,0.34964,0.11645,5.3377
2.29,0.2136,-0.0080046,5.3044
2.3,-0.61482,-0.68207,5.1889
2.31,-0.68019,-0.73212,5.2119
2.32,0.63041,0.28736,5.0667
2.33,0.43219,0.13117,5.0907
2.34,0.45314,0.14567,5.0888
2.35,0.45519,0.1494,5.0887
2.36,0.46254,0.15329,5.0888
2.37,0.47011,0.16289,5.0888
2.38,0.46936,0.17156,5.0888
2.39,0.46975,0.17592,5.0888
2.4,0.46408,0.18828,5.0888
2.41,0.45791,0.19747,5.0888
2.42,0.45451,0.20125,5.0888
2.43,0.44641,0.21576,5.0888
2.44,0.44274,0.21828,5.0888
2.45,0.4428,0.22036,5.0888
2.46,0.43921,0.2244,5.0888
2.47,0.43408,0.22806,5.0888
2.48,0.43411,0.22813,5.0888
2.49,0.43199,0.22653,5.0888
