t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0.033153,-0.22199,1.2416e-17,11.324,-0.013399,-2.5634,0.25402,-0.031729,-0.014121
0.01,0.094578,0.00044778,0.0030333,0.031133,-0.2238,0.00036657,11.311,-0.014031,-2.5999,0.27049,-0.13703,-0.04337
0.02,0.16186,0.00086582,0.0027118,0.028865,-0.22493,0.00079948,11.305,-0.012095,-2.6134,0.33176,-0.24157,-0.079512
0.03,0.27195,0.0017356,-0.012698,0.023839,-0.22657,0.0016117,11.282,-0.0054905,-2.6747,0.35093,-0.40395,-0.1228
0.04,0.39509,0.0026256,-0.018368,0.016887,-0.22839,0.0024485,11.267,0.0074282,-2.7107,0.42303,-0.53253,-0.17945
0.05,0.55858,0.0037356,-0.019013,0.0046174,-0.23131,0.0032429,11.242,0.039787,-2.7458,0.54022,-0.71245,-0.28554
0.06,0.64495,0.0043998,-0.019312,-0.0034257,-0.23265,0.0034995,11.233,0.064266,-2.7661,0.55391,-0.83263,-0.3415
0.07,0.74883,0.0049899,-0.018349,-0.013568,-0.23444,0.0037013,11.229,0.096598,-2.7636,0.58421,-0.9032,-0.39056
0.08,0.88077,0.0060704,-0.023746,-0.027391,-0.23611,0.0039241,11.212,0.13944,-2.8036,0.59979,-1.0038,-0.46133
0.09,1.0483,0.0074323,-0.025154,-0.046605,-0.23822,0.0037352,11.195,0.20269,-2.85,0.61295,-1.0946,-0.55103
0.1,1.1178,0.0081106,-0.028123,-0.055111,-0.23879,0.0035587,11.189,0.23433,-2.8598,0.58671,-1.1442,-0.57859
0.11,1.2894,0.008934,-0.016807,-0.076968,-0.23967,0.0029343,11.194,0.31344,-2.8665,0.62231,-1.2487,-0.66978
0.12,1.3574,0.010019,-0.026401,-0.086203,-0.24,0.0027578,11.188,0.35009,-2.885,0.61515,-1.271,-0.69988
0.13,1.4389,0.010483,-0.034306,-0.097199,-0.23987,0.0026943,11.203,0.38896,-2.896,0.63038,-1.3386,-0.75077
0.14,1.5441,0.011505,-0.036291,-0.11311,-0.24035,0.0023119,11.192,0.45056,-2.9047,0.7003,-1.4334,-0.82388
0.15,1.6388,0.011883,-0.037275,-0.12773,-0.24088,0.0022147,11.202,0.50107,-2.924,0.78771,-1.4699,-0.88521
0.16,1.7827,0.013022,-0.038884,-0.15161,-0.24341,0.0021992,11.182,0.58856,-2.953,0.93764,-1.4704,-0.95514
0.17,1.9485,0.014578,-0.043134,-0.18052,-0.24762,0.0031099,11.163,0.68941,-2.9816,1.0646,-1.5013,-1.0043
0.18,2.0359,0.015382,-0.052456,-0.19556,-0.24956,0.0041672,11.175,0.73699,-3.0039,1.0465,-1.4994,-1.0199
0.19,2.1308,0.015504,-0.05394,-0.21198,-0.25194,0.0053957,11.184,0.78712,-3.0037,1.1116,-1.4844,-1.0195
0.2,2.3036,0.017184,-0.055709,-0.24258,-0.25632,0.0078584,11.164,0.88087,-3.0575,1.057,-1.4763,-1.0404
0.21,2.3813,0.0179,-0.056007,-0.25621,-0.25809,0.0093318,11.159,0.91934,-3.075,1.0499,-1.4713,-1.0264
0.22,2.5457,0.017236,-0.053017,-0.28425,-0.2608,0.012986,11.164,0.98705,-3.076,1.0109,-1.4755,-1.0102
0.23,2.5926,0.018643,-0.054959,-0.29274,-0.26163,0.014026,11.148,1.0138,-3.0956,0.96033,-1.4637,-1.003
0.24,2.7294,0.018823,-0.055016,-0.31559,-0.26281,0.017434,11.152,1.0683,-3.0896,0.88353,-1.4476,-0.98679
0.25,2.8501,0.017552,-0.045417,-0.3355,-0.26301,0.020515,11.158,1.1083,-3.0689,0.83493,-1.4761,-0.99337
0.26,2.9982,0.017597,-0.044516,-0.36055,-0.26294,0.024543,11.153,1.1629,-3.0488,0.77342,-1.4704,-0.99626
0.27,3.0907,0.019357,-0.045604,-0.37606,-0.2627,0.027212,11.155,1.2019,-3.0263,0.75048,-1.4413,-0.98171
0.28,3.206,0.017984,-0.043694,-0.39479,-0.26174,0.030618,11.162,1.2345,-3.0081,0.71103,-1.4504,-0.99285
0.29,3.3387,0.016975,-0.039424,-0.41669,-0.26063,0.034909,11.162,1.2728,-2.9911,0.70228,-1.4577,-0.99484
0.3,3.4368,0.019077,-0.039844,-0.43324,-0.25999,0.038394,11.147,1.3102,-2.9671,0.73801,-1.4514,-0.98994
0.31,3.5702,0.01893,-0.03369,-0.45512,-0.25885,0.043393,11.14,1.3447,-2.9456,0.73458,-1.4381,-0.98087
0.32,3.692,0.016971,-0.024585,-0.47507,-0.25787,0.048336,11.144,1.3673,-2.9174,0.73749,-1.4253,-0.97129
0.33,3.8287,0.022254,-0.030956,-0.49795,-0.25675,0.054314,11.126,1.4147,-2.9237,0.7149,-1.4399,-0.96899
0.34,3.8377,0.017421,-0.027849,-0.49867,-0.25679,0.055197,11.137,1.3954,-2.9224,0.77282,-1.4022,-0.90021
0.35,3.9636,0.016909,-0.022673,-0.51786,-0.25721,0.06267,11.128,1.4053,-2.9411,0.8841,-1.3443,-0.75034
0.36,4.0865,0.016355,-0.015206,-0.53579,-0.25822,0.071062,11.123,1.4061,-2.9641,0.96656,-1.3242,-0.63463
0.37,4.2435,0.019734,-0.014538,-0.55783,-0.26021,0.083273,11.108,1.4075,-3.0303,1.0279,-1.2939,-0.49142
0.38,4.3345,0.023244,-0.015998,-0.56997,-0.26252,0.091646,11.09,1.4064,-3.094,1.0849,-1.2451,-0.35274
0.39,4.4586,0.024144,-0.012689,-0.58456,-0.26644,0.10441,11.079,1.3822,-3.1649,1.2167,-1.1805,-0.12131
0.4,4.5882,0.026405,-0.0044048,-0.5982,-0.27111,0.11857,11.068,1.3492,-3.2596,1.2386,-1.1233,0.055633
0.41,4.7486,0.032527,-0.00058883,-0.6132,-0.27846,0.13797,11.037,1.3135,-3.3703,1.2765,-1.0242,0.31545
0.42,4.839,0.036795,0.00016391,-0.61962,-0.28318,0.14981,11.01,1.2847,-3.4417,1.2826,-0.9574,0.50752
0.43,4.9509,0.038876,0.01668,-0.62597,-0.28847,0.16433,10.997,1.2285,-3.5327,1.257,-0.90735,0.6585
0.44,5.0453,0.044544,0.019864,-0.63121,-0.29383,0.17757,10.961,1.1931,-3.6105,1.2795,-0.88326,0.7748
0.45,5.1993,0.052928,0.033289,-0.63779,-0.3026,0.19964,10.908,1.1177,-3.7386,1.3127,-0.84022,0.93005
0.46,5.3011,0.054944,0.064191,-0.64116,-0.30884,0.21472,10.88,1.0487,-3.8211,1.3298,-0.81707,1.0199
