t, affine_elevL, affine_elevR, affine_throttle
0,-0.01405,-0.10858,-0.012891
0.01,-0.028497,-0.095635,-0.013976
0.02,-0.042812,-0.082676,-0.015755
0.03,-0.064596,-0.074878,-0.012932
0.04,-0.076177,-0.067487,-0.010451
0.05,-0.083475,-0.025381,-0.012897
0.06,-0.082088,-0.0022502,-0.01306
0.07,-0.088194,0.017251,-0.011154
0.08,-0.081279,0.034169,-0.012333
0.09,-0.087392,0.054159,-0.012659
0.1,-0.10344,0.06943,-0.011878
0.11,-0.11314,0.079254,-0.012644
0.12,-0.12265,0.088443,-0.012178
0.13,-0.12921,0.09639,-0.012896
0.14,-0.13371,0.099298,-0.0099888
0.15,-0.13148,0.1051,-0.0087965
0.16,-0.12473,0.10595,-0.0078889
0.17,-0.11016,0.10216,-0.0071018
0.18,-0.094811,0.099855,-0.0057225
0.19,-0.079674,0.097052,-0.0044762
0.2,-0.060715,0.093952,-0.00303
0.21,-0.036175,0.093207,-0.00067526
0.22,-0.0031311,0.094995,0.0020967
0.23,0.033585,0.095468,0.0033563
0.24,0.053321,0.1001,0.0080793
0.25,0.077644,0.10861,0.012167
0.26,0.11326,0.12103,0.016112
0.27,0.15447,0.13907,0.020984
0.28,0.20239,0.15206,0.024763
0.29,0.26217,0.18135,0.027329
0.3,0.29283,0.20139,0.032669
0.31,0.35369,0.21345,0.035634
0.32,0.3914,0.26454,0.040975
0.33,0.43965,0.27349,0.042896
0.34,0.46863,0.28479,0.04705
0.35,0.48282,0.28926,0.050192
0.36,0.49371,0.28406,0.05302
0.37,0.51707,0.26986,0.05424
0.38,0.50605,0.25728,0.055312
0.39,0.51699,0.22122,0.053677
0.4,0.51076,0.19052,0.05521
0.41,0.50967,0.1547,0.053869
0.42,0.51364,0.11409,0.054905
0.43,0.50664,0.063511,0.052356
0.44,0.49771,0.024585,0.053179
0.45,0.48587,-0.0074533,0.054205
0.46,0.4672,-0.043102,0.055068
0.47,0.45258,-0.081859,0.050952
0.48,0.43481,-0.10175,0.050795
0.49,0.40812,-0.11819,0.050276
0.5,0.38279,-0.127,0.046266
0.51,0.35067,-0.13174,0.041607
0.52,0.33201,-0.13956,0.041887
0.53,0.30228,-0.14129,0.040462
0.54,0.26029,-0.13051,0.035627
0.55,0.23809,-0.13011,0.034523
0.56,0.20242,-0.12292,0.032265
0.57,0.16781,-0.11632,0.029243
0.58,0.13053,-0.10447,0.026048
0.59,0.11845,-0.10642,0.02424
0.6,0.099017,-0.10335,0.021137
0.61,0.081761,-0.094884,0.017153
0.62,0.08297,-0.10447,0.0172
0.63,0.07177,-0.10788,0.016086
0.64,0.068086,-0.11041,0.013716
