t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,-0.006636,0.17414,-0.15641,0.86673,1.5279,1.8649,-0.043367,0.12707,-0.0396,0.10374,0.038462,0.21851,0.14035,-0.19841,-0.13246,-0.69921,1.1292,-1.6502,0.048645,-0.16631,-0.049428,-0.054587,0.033673,0.0061544,-0.050948,0.0086175,-0.012366,0.022533,0.018983,0.080334,-0.030421,0.0050069,0.0025345,0.0016725,0.00012277,-0.0014023
0.01,-0.017516,0.17757,-0.16031,0.89799,1.5419,1.8863,-0.053327,0.12125,-0.03863,0.10643,0.038214,0.21782,0.13333,-0.21392,-0.13255,-0.77116,1.1039,-1.7623,0.046938,-0.17608,-0.047444,-0.059701,0.033949,-0.0061013,-0.050554,0.0092742,-0.012245,0.025944,0.020971,0.085382,-0.030141,0.0054681,0.0028053,0.0019324,0.00031281,-0.0010218
0.02,-0.026858,0.18129,-0.16322,0.92687,1.5453,1.91,-0.0632,0.11582,-0.037959,0.10824,0.037563,0.21704,0.12258,-0.22318,-0.12813,-0.82365,1.0414,-1.8231,0.044601,-0.17994,-0.043425,-0.06316,0.03322,-0.018752,-0.050166,0.010035,-0.012196,0.029925,0.023623,0.091366,-0.02992,0.0059676,0.0030557,0.0022389,0.00050331,-0.00051808
0.03,-0.038013,0.18532,-0.17048,0.96642,1.5962,1.9382,-0.075133,0.10898,-0.038694,0.11169,0.038118,0.21633,0.11418,-0.23656,-0.12593,-0.89397,0.99718,-1.9178,0.043617,-0.18643,-0.039864,-0.067776,0.033141,-0.031921,-0.049789,0.010858,-0.012191,0.034308,0.026658,0.097821,-0.029745,0.0064636,0.0033066,0.0025711,0.00068945,4.2948e-05
0.04,-0.047,0.18838,-0.17439,0.9945,1.6136,1.954,-0.085252,0.1021,-0.038452,0.1132,0.037806,0.21334,0.10461,-0.24498,-0.12133,-0.94724,0.93482,-1.971,0.042712,-0.18822,-0.035115,-0.070866,0.032494,-0.043678,-0.049429,0.011747,-0.012234,0.039095,0.030123,0.10479,-0.029627,0.0069547,0.003539,0.0029287,0.00086743,0.00066341
0.05,-0.056316,0.1883,-0.17825,1.0083,1.6356,1.9376,-0.095337,0.092414,-0.038715,0.11339,0.037739,0.20634,0.09368,-0.25707,-0.1148,-1.0146,0.85663,-2.063,0.042361,-0.19186,-0.029619,-0.0754,0.031468,-0.059979,-0.049101,0.012687,-0.012313,0.044056,0.033926,0.11214,-0.029581,0.0074369,0.0037078,0.0032988,0.001031,0.0013241
0.06,-0.062237,0.18617,-0.17683,1.0006,1.6087,1.8976,-0.10188,0.083132,-0.037964,0.11064,0.036746,0.19636,0.083779,-0.25807,-0.10763,-1.0307,0.77933,-2.0554,0.041919,-0.18683,-0.023964,-0.075749,0.029952,-0.068215,-0.048809,0.013648,-0.012416,0.048951,0.037961,0.1196,-0.029606,0.0078947,0.003797,0.0036649,0.0011878,0.0019972
0.07,-0.069547,0.18569,-0.17951,1.0009,1.6219,1.8754,-0.11038,0.074058,-0.038789,0.10907,0.036952,0.18818,0.076131,-0.26192,-0.10314,-1.0496,0.72513,-2.0683,0.042347,-0.18373,-0.018816,-0.076329,0.028947,-0.075518,-0.048558,0.014612,-0.012535,0.053583,0.042152,0.12702,-0.029706,0.0083276,0.003777,0.0040114,0.0013394,0.002667
0.08,-0.0769,0.18709,-0.18368,1.0071,1.6488,1.8712,-0.11939,0.066035,-0.040138,0.10798,0.0376,0.18136,0.06781,-0.26175,-0.09731,-1.0483,0.66329,-2.0498,0.042348,-0.17756,-0.0133,-0.075446,0.027394,-0.080952,-0.048345,0.01559,-0.012685,0.058063,0.046597,0.13444,-0.029871,0.0087169,0.0036831,0.0043397,0.0014923,0.0033263
0.09,-0.084964,0.18648,-0.18847,1.0021,1.6833,1.8472,-0.12841,0.056583,-0.041944,0.10599,0.038691,0.17211,0.060673,-0.26974,-0.094153,-1.0725,0.6213,-2.0974,0.04326,-0.17661,-0.0079975,-0.076554,0.026485,-0.089275,-0.048173,0.016552,-0.012854,0.062089,0.051212,0.14162,-0.030096,0.0090555,0.0034873,0.0046327,0.0016473,0.0039517
