t, elevL, elevR, throttle
0,-0.063887,0.45045,5.3398
0.01,-0.087888,0.44965,5.3398
0.02,-0.12198,0.46846,5.3398
0.03,-0.1138,0.46943,5.3398
0.04,-0.13463,0.4817,5.3398
0.05,-0.13333,0.4818,5.3398
0.06,-0.15998,0.49566,5.3398
0.07,-0.16268,0.49698,5.3398
0.08,-0.16437,0.49959,5.3398
0.09,-0.15388,0.48178,5.3398
0.1,-0.15968,0.48871,5.3398
0.11,-0.1262,0.45875,5.3398
0.12,-0.12985,0.45852,5.3398
0.13,-0.096186,0.45693,5.3398
0.14,-0.1002,0.44629,5.3398
0.15,-0.11612,0.44056,5.3398
0.16,-0.11697,0.45678,5.3398
0.17,-0.12012,0.45708,5.3398
0.18,-0.1335,0.46707,5.3398
0.19,-0.13249,0.46602,5.3398
0.2,-0.12966,0.46789,5.3398
0.21,-0.13086,0.47033,5.3398
0.22,-0.11781,0.46381,5.3398
0.23,-0.11256,0.46107,5.3398
0.24,-0.11833,0.4643,5.3398
0.25,-0.072537,0.43868,5.3398
0.26,-0.058266,0.428,5.3398
0.27,-0.02207,0.40173,5.3398
0.28,-0.023624,0.4036,5.3398
0.29,0.026087,0.35091,5.3398
0.3,0.018087,0.34726,5.3398
0.31,0.12273,0.35007,5.3398
0.32,0.13631,0.24925,5.3398
0.33,0.13721,0.25527,5.3398
0.34,0.17636,0.23053,5.3398
0.35,0.16568,0.22358,5.3398
0.36,0.2575,0.21912,5.3398
0.37,0.2388,0.21652,5.3398
0.38,0.30531,0.19833,5.3398
0.39,0.30742,0.19739,5.3398
0.4,0.32426,0.20006,5.3398
0.41,0.33892,0.2046,5.3398
0.42,0.33872,0.20483,5.3398
0.43,0.35488,0.20277,5.3398
0.44,0.35504,0.2032,5.3398
0.45,0.36145,0.20265,5.3398
0.46,0.36068,0.20211,5.3398
0.47,0.36712,0.1854,5.3398
0.48,0.36771,0.18392,5.3398
0.49,0.36754,0.18393,5.3398
0.5,0.37942,0.16293,5.3398
0.51,0.37879,0.16383,5.3398
0.52,0.3789,0.1659,5.3398
0.53,0.37897,0.16567,5.3398
0.54,0.37903,0.16563,5.3398
0.55,0.3851,0.15867,5.3398
0.56,0.38829,0.15754,5.3398
0.57,0.39243,0.16247,5.3398
0.58,0.39057,0.16367,5.3398
0.59,0.40217,0.16386,5.3398
0.6,0.40048,0.16331,5.3398
0.61,0.40978,0.17749,5.3398
0.62,0.40994,0.17724,5.3398
0.63,0.41001,0.17754,5.3398
0.64,0.43272,0.18554,5.3398
0.65,0.43449,0.1875,5.3398
0.66,0.44111,0.19136,5.3398
0.67,0.44044,0.19108,5.3398
0.68,0.4452,0.19107,5.3398
0.69,0.44468,0.19165,5.3398
0.7,0.44444,0.19255,5.3398
0.71,0.43214,0.22182,5.3398
0.72,0.43437,0.21816,5.3398
0.73,0.3995,0.23799,5.3398
0.74,0.40343,0.23578,5.3398
0.75,0.40323,0.23573,5.3398
0.76,0.40316,0.23578,5.3398
0.77,0.40326,0.22595,5.3398
0.78,0.40286,0.2202,5.3398
0.79,0.39211,0.22546,5.3398
0.8,0.38573,0.18512,5.3398
0.81,0.38708,0.19421,5.3398
0.82,0.37104,0.15652,5.3398
0.83,0.37037,0.15037,5.3398
0.84,0.35473,0.14619,5.3398
0.85,0.35803,0.11395,5.3398
0.86,0.35671,0.1141,5.3398
0.87,0.35737,0.079829,5.3398
0.88,0.35424,0.090643,5.3398
0.89,0.3707,0.052878,5.3398
0.9,0.36824,0.058535,5.3398
0.91,0.39185,0.054142,5.3398
0.92,0.38951,0.02838,5.3398
0.93,0.39045,0.028014,5.3398
0.94,0.39517,0.0048221,5.3398
0.95,0.39287,0.0097109,5.3398
0.96,0.40623,-0.0044992,5.3398
0.97,0.40745,-0.005673,5.3398
0.98,0.40759,-0.0091456,5.3398
0.99,0.40756,-0.0097121,5.3398
1,0.40755,-0.0097621,5.3398
1.01,0.40756,-0.0097479,5.3398
1.02,0.40756,-0.009545,5.3398
1.03,0.40755,-0.011616,5.3398
1.04,0.40751,-0.011479,5.3398
1.05,0.40942,-0.017118,5.3398
1.06,0.40268,-0.018156,5.3398
1.07,0.40402,-0.018323,5.3398
1.08,0.46341,-0.0096013,5.3398
1.09,0.46191,-0.011556,5.3398
1.1,0.46261,0.0060447,5.3398
1.11,0.46346,0.004048,5.3398
1.12,0.4434,0.043659,5.3398
1.13,0.44132,0.045902,5.3398
1.14,0.44589,0.041757,5.3398
1.15,0.37672,0.1114,5.3398
1.16,0.37947,0.10888,5.3398
1.17,0.37845,0.10655,5.3398
1.18,0.37865,0.10222,5.3398
1.19,0.38129,0.1714,5.3398
1.2,0.3914,0.22596,5.3398
1.21,0.23852,0.2273,5.3398
1.22,0.21881,0.26048,5.3398
1.23,0.2144,0.25628,5.3398
1.24,0.22292,0.29064,5.3398
1.25,0.22186,0.28723,5.3398
1.26,0.236,0.31457,5.3398
1.27,0.23659,0.30664,5.3398
1.28,0.23556,0.31453,5.3398
1.29,0.22335,0.34932,5.3398
1.3,0.22984,0.3415,5.3398
1.31,0.17607,0.40041,5.3398
1.32,0.18552,0.38834,5.3398
