t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,-0.041239,-0.20419,-6.2123e-17,10.64,0.6152,-1.922,-0.064682,-0.35677,-0.046902
0.01,0.14087,0.0068942,0.0040153,-0.044997,-0.20188,0.00038011,10.627,0.61316,-1.9506,-0.062816,-0.34647,-0.039182
0.02,0.28325,0.013772,0.0053517,-0.048528,-0.2004,0.00099245,10.647,0.61791,-1.9217,-0.027017,-0.29386,-0.023676
0.03,0.34263,0.016595,0.0028403,-0.049372,-0.1997,0.0013629,10.634,0.60965,-1.9428,-0.056852,-0.27753,-0.0029383
0.04,0.40284,0.019394,0.0053752,-0.05071,-0.19935,0.0017649,10.641,0.60901,-1.932,-0.022072,-0.18973,0.021832
0.05,0.5546,0.026575,0.0083496,-0.047251,-0.19731,0.0023704,10.641,0.58797,-1.9431,-0.27918,0.23578,0.16579
0.06,0.66883,0.031668,0.010821,-0.040289,-0.19532,0.0028899,10.643,0.56148,-1.9355,-0.38887,0.50957,0.26832
0.07,0.73115,0.034297,0.0093314,-0.035989,-0.19417,0.003221,10.651,0.54379,-1.9446,-0.48512,0.75272,0.35827
0.08,0.87882,0.040968,0.010141,-0.018519,-0.19194,0.0040735,10.656,0.4946,-1.928,-0.57869,1.1398,0.45337
0.09,1.0041,0.046352,0.010663,0.0016934,-0.18879,0.0048725,10.656,0.44005,-1.916,-0.8184,1.4792,0.55721
0.1,1.0848,0.049517,0.012314,0.016212,-0.18576,0.0055467,10.669,0.39777,-1.9043,-1.0003,1.5997,0.60765
0.11,1.2202,0.055155,0.013955,0.04261,-0.17989,0.006902,10.689,0.32738,-1.8601,-1.1269,1.8024,0.62904
0.12,1.319,0.059408,0.013932,0.063258,-0.17499,0.0079067,10.709,0.27627,-1.8448,-1.2452,1.9277,0.6222
0.13,1.4537,0.064841,0.0092554,0.093854,-0.16716,0.0095636,10.741,0.19907,-1.8101,-1.4181,2.1239,0.61203
0.14,1.5061,0.067151,0.0091272,0.10563,-0.16419,0.010247,10.748,0.16991,-1.8025,-1.4533,2.1552,0.60933
0.15,1.5954,0.070379,0.00045961,0.12811,-0.158,0.011567,10.782,0.11526,-1.7535,-1.5489,2.3179,0.55563
0.16,1.7076,0.075046,-0.0015728,0.15758,-0.15001,0.013197,10.798,0.047128,-1.7366,-1.7005,2.4716,0.48476
0.17,1.8293,0.080018,-0.017726,0.18968,-0.14111,0.01506,10.832,-0.022396,-1.6722,-1.7239,2.5202,0.38306
0.18,1.9432,0.084811,-0.03397,0.2203,-0.13236,0.016899,10.861,-0.087219,-1.6328,-1.8054,2.5654,0.28701
0.19,2.0585,0.08969,-0.039742,0.25229,-0.12365,0.01875,10.897,-0.14831,-1.5732,-1.8365,2.6401,0.14957
0.2,2.177,0.094679,-0.046915,0.2855,-0.11457,0.020567,10.929,-0.20846,-1.5144,-1.8603,2.6722,0.0037658
0.21,2.2871,0.099638,-0.058047,0.31639,-0.1059,0.022152,10.949,-0.26448,-1.4963,-1.9134,2.6699,-0.11454
0.22,2.4031,0.1051,-0.081288,0.34961,-0.096949,0.02368,10.969,-0.31971,-1.4588,-1.9192,2.6856,-0.2783
0.23,2.5572,0.11217,-0.093992,0.39428,-0.085139,0.025229,11,-0.38072,-1.4029,-1.9427,2.6417,-0.50026
0.24,2.6157,0.11495,-0.10184,0.41107,-0.080723,0.025545,11.006,-0.40316,-1.3804,-1.9387,2.6049,-0.5832
0.25,2.6957,0.11917,-0.10655,0.4347,-0.074499,0.025795,11.017,-0.42513,-1.3607,-1.9737,2.5613,-0.71309
0.26,2.792,0.12368,-0.11114,0.46273,-0.067313,0.025612,11.023,-0.4519,-1.3235,-1.9483,2.5113,-0.8818
0.27,2.8846,0.12904,-0.13165,0.49018,-0.060311,0.025084,11.03,-0.47419,-1.312,-1.9746,2.4686,-0.99699
0.28,3.012,0.13574,-0.15063,0.52769,-0.050551,0.024226,11.047,-0.50008,-1.2888,-1.9701,2.3803,-1.1664
0.29,3.1661,0.14361,-0.16917,0.57261,-0.038997,0.022014,11.077,-0.51905,-1.2781,-1.9674,2.2356,-1.3959
0.3,3.2397,0.14759,-0.17901,0.59388,-0.033717,0.0204,11.084,-0.52489,-1.2852,-1.9407,2.1403,-1.4939
0.31,3.3859,0.15647,-0.20214,0.63508,-0.023717,0.015854,11.102,-0.52433,-1.2969,-1.8416,1.9079,-1.6917
0.32,3.4653,0.16085,-0.21931,0.65641,-0.01835,0.012785,11.103,-0.52402,-1.3273,-1.8157,1.78,-1.7664
0.33,3.621,0.16921,-0.24397,0.69727,-0.0086599,0.005702,11.145,-0.51271,-1.3454,-1.7287,1.545,-1.9121
0.34,3.7084,0.17447,-0.26253,0.71858,-0.0036243,0.00039318,11.152,-0.50142,-1.3978,-1.6187,1.3044,-1.9672
0.35,3.8063,0.18017,-0.27861,0.74079,0.0015569,-0.0062994,11.167,-0.48199,-1.4409,-1.4922,1.0616,-2.0103
0.36,3.9059,0.18528,-0.29182,0.76205,0.0060688,-0.01425,11.184,-0.46168,-1.5058,-1.3563,0.81766,-2.0494
0.37,4.0235,0.19155,-0.33459,0.78397,0.010813,-0.025145,11.207,-0.43525,-1.5852,-1.1955,0.54342,-2.0361
0.38,4.1443,0.19782,-0.36355,0.80485,0.015247,-0.037116,11.229,-0.40326,-1.6862,-1.0768,0.29357,-2.0045
0.39,4.2992,0.2051,-0.39043,0.82779,0.019133,-0.054944,11.256,-0.35569,-1.8223,-0.81647,-0.076183,-1.9823
0.4,4.3786,0.2086,-0.40345,0.83774,0.020239,-0.065278,11.264,-0.33076,-1.8926,-0.66144,-0.26688,-1.9576
0.41,4.5362,0.21515,-0.43416,0.85497,0.022038,-0.086765,11.269,-0.28202,-2.0912,-0.51868,-0.50425,-1.8991
0.42,4.6223,0.21829,-0.45424,0.86293,0.022246,-0.099446,11.275,-0.25536,-2.187,-0.35864,-0.67528,-1.9021
0.43,4.7821,0.22369,-0.48019,0.87461,0.020611,-0.12538,11.264,-0.20038,-2.3899,-0.093548,-0.98316,-1.7949
0.44,4.8702,0.22616,-0.49467,0.87865,0.018525,-0.14093,11.252,-0.1697,-2.5083,0.057552,-1.1418,-1.7341
0.45,4.9469,0.22801,-0.50108,0.8815,0.016344,-0.15466,11.24,-0.14115,-2.605,0.17254,-1.2555,-1.6995
0.46,5.0147,0.23012,-0.49435,0.88301,0.013797,-0.16739,11.218,-0.11004,-2.6886,0.30577,-1.3875,-1.6287
0.47,5.1752,0.23161,-0.51322,0.88403,0.0071536,-0.19766,11.186,-0.05294,-2.8813,0.45115,-1.5283,-1.509
0.48,5.2612,0.23155,-0.52016,0.88325,0.0033563,-0.21371,11.169,-0.021146,-2.9674,0.48115,-1.5545,-1.423
