t, elevL, elevR, throttle
0,-0.063887,0.3939,5.3398
0.01,-0.064616,0.39377,5.3398
0.02,-0.052661,0.39589,5.3398
0.03,-0.053193,0.39578,5.3398
0.04,-0.048541,0.39594,5.3398
0.05,-0.048084,0.39318,5.3398
0.06,-0.049086,0.39439,5.3398
0.07,-0.032445,0.38176,5.3398
0.08,-0.033286,0.38231,5.3398
0.09,-0.03095,0.38194,5.3398
0.1,-0.029801,0.38144,5.3398
0.11,-0.041368,0.38966,5.3398
0.12,-0.041542,0.38996,5.3398
0.13,-0.041873,0.38621,5.3398
0.14,-0.042071,0.38634,5.3398
0.15,-0.035823,0.38076,5.3398
0.16,-0.035129,0.38038,5.3398
0.17,-0.037175,0.38024,5.3398
0.18,-0.037433,0.38025,5.3398
0.19,-0.037504,0.38025,5.3398
0.2,-0.037374,0.38025,5.3398
0.21,-0.037545,0.38025,5.3398
0.22,-0.035272,0.38025,5.3398
0.23,-0.034794,0.37984,5.3398
0.24,-0.037874,0.38277,5.3398
0.25,-0.037998,0.38177,5.3398
0.26,-0.031435,0.38322,5.3398
0.27,-0.030908,0.37517,5.3398
0.28,-0.030363,0.37582,5.3398
0.29,-0.035257,0.38031,5.3398
0.3,-0.022684,0.36913,5.3398
0.31,-0.01313,0.36067,5.3398
0.32,-0.01312,0.36066,5.3398
0.33,-0.013222,0.36075,5.3398
0.34,-0.013096,0.36064,5.3398
0.35,-0.013465,0.36098,5.3398
0.36,-0.014367,0.36181,5.3398
0.37,0.040185,0.31174,5.3398
0.38,0.045932,0.30566,5.3398
0.39,0.055569,0.30427,5.3398
0.4,0.058286,0.30026,5.3398
0.41,0.057121,0.29806,5.3398
0.42,0.057269,0.29836,5.3398
0.43,0.056708,0.29832,5.3398
0.44,0.063125,0.29844,5.3398
0.45,0.056603,0.30064,5.3398
0.46,0.10298,0.28622,5.3398
0.47,0.091121,0.28836,5.3398
0.48,0.11118,0.29163,5.3398
0.49,0.11305,0.27023,5.3398
0.5,0.12447,0.28535,5.3398
0.51,0.13464,0.2532,5.3398
0.52,0.13442,0.24836,5.3398
0.53,0.13435,0.24589,5.3398
0.54,0.13428,0.24593,5.3398
0.55,0.14001,0.23399,5.3398
0.56,0.14025,0.2324,5.3398
0.57,0.14612,0.23208,5.3398
0.58,0.14768,0.23201,5.3398
0.59,0.16226,0.22196,5.3398
0.6,0.16585,0.21921,5.3398
0.61,0.16814,0.21817,5.3398
0.62,0.18007,0.21468,5.3398
0.63,0.17901,0.21543,5.3398
0.64,0.18883,0.20967,5.3398
0.65,0.18728,0.21059,5.3398
0.66,0.18746,0.21059,5.3398
0.67,0.18947,0.21074,5.3398
0.68,0.17652,0.21144,5.3398
0.69,0.17853,0.21654,5.3398
0.7,0.17847,0.21647,5.3398
0.71,0.17846,0.21646,5.3398
0.72,0.17845,0.21645,5.3398
0.73,0.17829,0.21645,5.3398
0.74,0.175,0.21645,5.3398
0.75,0.20098,0.21645,5.3398
0.76,0.20711,0.21645,5.3398
0.77,0.20891,0.21651,5.3398
0.78,0.20971,0.21722,5.3398
0.79,0.20688,0.21201,5.3398
0.8,0.20577,0.2134,5.3398
0.81,0.22146,0.2067,5.3398
0.82,0.24892,0.19615,5.3398
0.83,0.2463,0.19689,5.3398
0.84,0.24652,0.19875,5.3398
0.85,0.24247,0.20181,5.3398
0.86,0.27072,0.18246,5.3398
0.87,0.26611,0.18535,5.3398
0.88,0.28046,0.18528,5.3398
0.89,0.27948,0.18523,5.3398
0.9,0.27985,0.18523,5.3398
0.91,0.27793,0.1858,5.3398
0.92,0.28088,0.18493,5.3398
0.93,0.29407,0.181,5.3398
0.94,0.293,0.18135,5.3398
0.95,0.30626,0.18132,5.3398
0.96,0.31015,0.18089,5.3398
0.97,0.31067,0.18541,5.3398
0.98,0.31073,0.18712,5.3398
0.99,0.31475,0.17995,5.3398
1,0.31719,0.17575,5.3398
1.01,0.31734,0.17545,5.3398
1.02,0.33432,0.16669,5.3398
1.03,0.33552,0.16537,5.3398
1.04,0.3607,0.15427,5.3398
1.05,0.35448,0.15738,5.3398
1.06,0.36631,0.14975,5.3398
1.07,0.36484,0.15034,5.3398
1.08,0.36817,0.14983,5.3398
1.09,0.36785,0.14404,5.3398
1.1,0.3679,0.14432,5.3398
1.11,0.36813,0.13771,5.3398
1.12,0.36641,0.13928,5.3398
1.13,0.37799,0.134,5.3398
1.14,0.37801,0.13438,5.3398
1.15,0.39677,0.12334,5.3398
1.16,0.39268,0.12604,5.3398
1.17,0.40017,0.11947,5.3398
1.18,0.4009,0.11714,5.3398
1.19,0.41728,0.11693,5.3398
1.2,0.41482,0.11265,5.3398
1.21,0.42483,0.11403,5.3398
1.22,0.43116,0.10846,5.3398
1.23,0.43122,0.1093,5.3398
1.24,0.44117,0.10508,5.3398
1.25,0.43817,0.10542,5.3398
1.26,0.45303,0.10532,5.3398
1.27,0.45158,0.10513,5.3398
1.28,0.45177,0.10515,5.3398
1.29,0.46002,0.098427,5.3398
1.3,0.45856,0.099392,5.3398
1.31,0.48579,0.095375,5.3398
1.32,0.4845,0.095617,5.3398
1.33,0.49032,0.092208,5.3398
1.34,0.4909,0.091568,5.3398
1.35,0.49422,0.092937,5.3398
1.36,0.49557,0.09355,5.3398
1.37,0.49567,0.093598,5.3398
1.38,0.49568,0.093644,5.3398
1.39,0.49567,0.093456,5.3398
1.4,0.49567,0.097879,5.3398
1.41,0.49568,0.097485,5.3398
1.42,0.49576,0.097517,5.3398
1.43,0.49417,0.097146,5.3398
1.44,0.48879,0.097975,5.3398
1.45,0.4891,0.1015,5.3398
1.46,0.48907,0.1014,5.3398
1.47,0.48924,0.10139,5.3398
1.48,0.48915,0.1014,5.3398
1.49,0.4961,0.10149,5.3398
1.5,0.49526,0.10116,5.3398
1.51,0.50323,0.10588,5.3398
1.52,0.50242,0.10535,5.3398
1.53,0.49888,0.10951,5.3398
1.54,0.50094,0.11366,5.3398
1.55,0.49541,0.12748,5.3398
1.56,0.49576,0.12659,5.3398
1.57,0.49567,0.12648,5.3398
1.58,0.4957,0.13545,5.3398
1.59,0.49556,0.13409,5.3398
1.6,0.49798,0.1428,5.3398
1.61,0.49786,0.14135,5.3398
1.62,0.49786,0.15481,5.3398
1.63,0.49796,0.15393,5.3398
1.64,0.49488,0.15541,5.3398
1.65,0.49301,0.15631,5.3398
1.66,0.49334,0.15611,5.3398
1.67,0.4843,0.16421,5.3398
1.68,0.48468,0.16356,5.3398
1.69,0.48486,0.16832,5.3398
1.7,0.48737,0.16897,5.3398
1.71,0.49409,0.17182,5.3398
1.72,0.49353,0.17175,5.3398
1.73,0.49687,0.17687,5.3398
1.74,0.50122,0.18135,5.3398
1.75,0.49996,0.18661,5.3398
1.76,0.50024,0.19102,5.3398
1.77,0.49728,0.19018,5.3398
1.78,0.49317,0.19962,5.3398
1.79,0.49493,0.20052,5.3398
1.8,0.48354,0.21595,5.3398
1.81,0.48529,0.21394,5.3398
1.82,0.47148,0.22422,5.3398
1.83,0.47284,0.22306,5.3398
1.84,0.46282,0.23195,5.3398
1.85,0.45158,0.24151,5.3398
1.86,0.43529,0.25134,5.3398
1.87,0.39735,0.27442,5.3398
1.88,0.37185,0.28816,5.3398
1.89,0.29007,0.33056,5.3398
1.9,0.30826,0.32579,5.3398
1.91,0.2604,0.34147,5.3398
1.92,0.26744,0.35635,5.3398
1.93,0.26668,0.3532,5.3398
1.94,0.26663,0.35169,5.3398
1.95,0.26692,0.35841,5.3398
1.96,0.26595,0.36151,5.3398
1.97,0.25929,0.36721,5.3398
1.98,0.24707,0.378,5.3398
1.99,0.24665,0.37839,5.3398
2,0.24648,0.3784,5.3398
2.01,0.24474,0.37918,5.3398
2.02,0.26434,0.37051,5.3398
2.03,0.26337,0.37087,5.3398
2.04,0.26629,0.37038,5.3398
2.05,0.26954,0.37053,5.3398
2.06,0.26799,0.3705,5.3398
2.07,0.27671,0.3705,5.3398
2.08,0.27599,0.3705,5.3398
2.09,0.278,0.37047,5.3398
2.1,0.2767,0.37059,5.3398
2.11,0.28292,0.37251,5.3398
2.12,0.28238,0.3743,5.3398
2.13,0.28439,0.37443,5.3398
2.14,0.28415,0.37436,5.3398
2.15,0.28418,0.37395,5.3398
2.16,0.28419,0.37247,5.3398
2.17,0.28419,0.37279,5.3398
2.18,0.28419,0.37014,5.3398
2.19,0.28419,0.37047,5.3398
2.2,0.28419,0.3705,5.3398
2.21,0.28419,0.3705,5.3398
2.22,0.28419,0.3705,5.3398
2.23,0.2842,0.37049,5.3398
2.24,0.28414,0.37053,5.3398
2.25,0.28362,0.3709,5.3398
2.26,0.28244,0.37174,5.3398
2.27,0.29698,0.36144,5.3398
2.28,0.295,0.36284,5.3398
2.29,0.29517,0.36272,5.3398
2.3,0.2952,0.36271,5.3398
2.31,0.29521,0.36269,5.3398
2.32,0.29524,0.36254,5.3398
2.33,0.29434,0.36601,5.3398
2.34,0.29329,0.37032,5.3398
2.35,0.28845,0.37184,5.3398
2.36,0.28318,0.37383,5.3398
2.37,0.28687,0.37167,5.3398
2.38,0.28643,0.3705,5.3398
2.39,0.28131,0.37049,5.3398
2.4,0.27494,0.37051,5.3398
2.41,0.27522,0.37065,5.3398
2.42,0.27541,0.36908,5.3398
2.43,0.27551,0.36871,5.3398
2.44,0.26998,0.3638,5.3398
2.45,0.26885,0.36287,5.3398
2.46,0.26875,0.36103,5.3398
2.47,0.26858,0.35614,5.3398
2.48,0.26744,0.35562,5.3398
2.49,0.25909,0.34847,5.3398
2.5,0.25953,0.34936,5.3398
2.51,0.25493,0.35351,5.3398
2.52,0.25522,0.35319,5.3398
2.53,0.25104,0.34886,5.3398
2.54,0.25118,0.34719,5.3398
2.55,0.24828,0.34449,5.3398
2.56,0.2423,0.33928,5.3398
2.57,0.22782,0.32947,5.3398
2.58,0.22419,0.32754,5.3398
2.59,0.21986,0.32828,5.3398
2.6,0.19738,0.33156,5.3398
2.61,0.19204,0.33145,5.3398
2.62,0.17169,0.33334,5.3398
2.63,0.17436,0.33404,5.3398
2.64,0.16595,0.32384,5.3398
2.65,0.16114,0.31815,5.3398
2.66,0.14284,0.30481,5.3398
2.67,0.13162,0.29645,5.3398
2.68,0.14062,0.3038,5.3398
2.69,0.11726,0.2831,5.3398
2.7,0.11917,0.28447,5.3398
2.71,0.10297,0.2666,5.3398
2.72,0.10336,0.26713,5.3398
2.73,0.096145,0.26719,5.3398
2.74,0.096804,0.26715,5.3398
2.75,0.09233,0.26716,5.3398
2.76,0.092535,0.26714,5.3398
2.77,0.094738,0.26537,5.3398
2.78,0.09706,0.26317,5.3398
2.79,0.099212,0.26163,5.3398
2.8,0.1087,0.25499,5.3398
2.81,0.11042,0.2558,5.3398
2.82,0.11246,0.25215,5.3398
2.83,0.11231,0.25162,5.3398
2.84,0.11574,0.24855,5.3398
2.85,0.11577,0.2487,5.3398
2.86,0.12366,0.24009,5.3398
2.87,0.12597,0.23828,5.3398
