t, affine_elevL, affine_elevR, affine_throttle
0,-0.00013606,6.2522e-05,6.5627e-06
0.01,0.0040215,-0.0012855,-0.00031865
0.02,0.0063587,-0.002451,-0.00047133
0.03,0.0070137,-0.0032568,-0.00049585
0.04,0.0062886,-0.0035614,-0.00043496
0.05,0.0046942,-0.0033095,-0.00032231
0.06,0.0027289,-0.0024681,-0.00018845
0.07,0.00078364,-0.0010329,-5.907e-05
0.08,-0.00071325,0.00077103,4.8529e-05
0.09,-0.0017331,0.0019694,0.0001207
0.1,-0.0022102,0.0024894,0.00015678
0.11,-0.0022669,0.0024666,0.0001606
0.12,-0.001974,0.0020445,0.0001384
0.13,-0.0014408,0.001368,9.7283e-05
0.14,-0.00078543,0.00062119,4.7556e-05
0.15,-0.00012375,3.2811e-06,3.6823e-07
0.16,0.00032636,-0.00041397,-3.5472e-05
0.17,0.00049879,-0.00065577,-5.7044e-05
0.18,0.00048029,-0.00074862,-6.4781e-05
0.19,0.00035036,-0.00071459,-6.0415e-05
0.2,0.00017214,-0.00058157,-4.7181e-05
0.21,9.3979e-06,-0.00037776,-2.8519e-05
0.22,-8.9062e-05,-0.00013861,-8.9791e-06
0.23,-0.00010473,7.7853e-05,6.6356e-06
0.24,-0.00012106,0.00017775,1.6309e-05
0.25,-0.00015181,0.00018354,2.0849e-05
0.26,-0.00018539,0.00013193,2.1126e-05
0.27,-0.00020814,5.8875e-05,1.8018e-05
0.28,-0.00020486,-4.713e-06,1.2635e-05
0.29,-0.0001582,-2.9491e-05,6.5421e-06
0.3,-6.0148e-05,3.7317e-06,1.8636e-06
0.31,2.4951e-05,3.4718e-05,5.6715e-07
0.32,5.1597e-05,2.2807e-05,2.4055e-06
0.33,3.5418e-05,-1.4895e-05,5.1813e-06
0.34,-1.4331e-06,-5.7036e-05,7.1987e-06
0.35,-3.7014e-05,-8.4796e-05,7.604e-06
0.36,-5.256e-05,-8.2002e-05,6.4627e-06
0.37,-3.3442e-05,-3.3569e-05,4.4673e-06
0.38,1.6981e-05,5.7731e-05,3.5082e-06
0.39,4.6314e-05,0.0001173,5.227e-06
0.4,4.9338e-05,0.00013574,7.9072e-06
0.41,3.607e-05,0.00012206,9.9035e-06
0.42,1.75e-05,8.8682e-05,1.0563e-05
0.43,3.9156e-06,4.9882e-05,9.7503e-06
0.44,4.2785e-06,2.1045e-05,7.6263e-06
0.45,2.12e-05,2.1744e-05,5.3704e-06
0.46,4.2817e-05,5.1501e-05,4.4685e-06
0.47,5.4354e-05,8.4736e-05,4.9078e-06
0.48,5.4664e-05,0.00010666,5.8051e-06
0.49,4.713e-05,0.0001128,6.7191e-06
0.5,3.5837e-05,0.00010049,7.2877e-06
0.51,2.584e-05,7.1735e-05,7.2988e-06
0.52,2.1777e-05,3.9451e-05,6.7565e-06
0.53,2.8434e-05,2.2563e-05,5.6342e-06
0.54,4.8616e-05,4.7136e-05,4.0441e-06
0.55,7.03e-05,9.119e-05,2.6679e-06
0.56,7.9481e-05,0.00012683,2.2417e-06
0.57,7.112e-05,0.00013755,3.0479e-06
0.58,5.0539e-05,0.00012269,4.5769e-06
0.59,2.4155e-05,8.3846e-05,6.1713e-06
0.6,4.3416e-06,3.4803e-05,6.4286e-06
0.61,1.9163e-05,2.3139e-05,3.3054e-06
0.62,6.0084e-05,5.6413e-05,-1.4898e-06
0.63,9.764e-05,0.00010197,-5.2521e-06
0.64,0.00011311,0.00013628,-6.3679e-06
0.65,9.4432e-05,0.00014178,-3.9354e-06
0.66,5.0604e-05,0.00011853,5.9968e-07
0.67,-4.5462e-06,7.0287e-05,5.2092e-06
0.68,-3.9205e-05,1.5799e-05,6.1442e-06
0.69,-3.2681e-06,-4.7498e-06,8.7815e-07
0.7,6.3768e-05,9.0572e-07,-5.9891e-06
0.71,0.00012214,1.9058e-05,-1.0844e-05
0.72,0.00014175,3.8646e-05,-1.1331e-05
0.73,0.00011271,5.1632e-05,-7.3473e-06
0.74,3.6149e-05,5.1827e-05,-8.1181e-09
0.75,-6.2236e-05,3.7041e-05,7.0897e-06
0.76,-0.00010648,5.8971e-06,8.7994e-06
0.77,-5.3283e-05,-3.2044e-05,4.6565e-06
0.78,3.7872e-05,-6.0555e-05,-8.8008e-07
0.79,0.00011798,-7.0434e-05,-4.7662e-06
0.8,0.00015605,-6.1267e-05,-5.6514e-06
0.81,0.00012426,-3.3973e-05,-2.5813e-06
0.82,1.4306e-05,2.0877e-06,3.8235e-06
0.83,-0.00015029,2.704e-05,1.1654e-05
0.84,-0.00022003,1.5475e-06,1.613e-05
0.85,-0.00019722,-4.6438e-05,1.7126e-05
0.86,-0.00012278,-8.5615e-05,1.5495e-05
0.87,-3.3354e-05,-0.0001032,1.2381e-05
0.88,3.3103e-05,-9.1162e-05,9.0354e-06
0.89,4.1256e-05,-5.6626e-05,7.1539e-06
0.9,-4.9188e-05,-1.9813e-05,9.1082e-06
