t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.24986,-0.20982,-0.38539,0.35087,4.4723,-2.0622,0.094249,-0.19527,-0.21581,0.10326,0.094996,-0.06504,0.203,0.19559,-0.060342,0.32224,0.78832,2.1485,0.10188,0.17596,-0.034377,-0.013092,0.038368,0.15825,-0.11347,0.016198,-0.039116,0.051949,0.34821,0.12853,-0.092148,0.010063,0.00086823,0.0030853,-0.00082272,0.0087404
0.01,0.22829,-0.18921,-0.39396,0.39497,4.5382,-1.8454,0.078305,-0.18117,-0.21572,0.10138,0.094003,-0.054324,0.20483,0.19772,-0.064764,0.33274,0.82687,2.1833,0.099464,0.1775,-0.033112,-0.011452,0.040018,0.16377,-0.11358,0.016162,-0.038105,0.050758,0.33995,0.12605,-0.091994,0.0096936,0.0010881,0.0030397,-0.00064628,0.008548
0.02,0.20382,-0.16554,-0.38996,0.424,4.4595,-1.6007,0.062679,-0.16412,-0.20923,0.096837,0.09027,-0.043693,0.20515,0.19893,-0.068007,0.33801,0.85185,2.2068,0.0966,0.17793,-0.031365,-0.010075,0.041354,0.16821,-0.11362,0.016051,-0.037206,0.049415,0.33337,0.1228,-0.091822,0.0092387,0.0010964,0.0030003,-0.00047117,0.0082989
0.03,0.17729,-0.14,-0.37349,0.43493,4.241,-1.3407,0.047864,-0.14483,-0.19681,0.089776,0.083988,-0.033612,0.20395,0.19918,-0.069935,0.33805,0.86178,2.2183,0.093327,0.17727,-0.029248,-0.0089939,0.042293,0.17149,-0.11359,0.01588,-0.036436,0.047996,0.32858,0.11897,-0.091635,0.0087081,0.00090771,0.0029691,-0.00029275,0.0080079
0.04,0.14975,-0.11393,-0.34568,0.42671,3.8981,-1.0791,0.034334,-0.12421,-0.17934,0.080589,0.075562,-0.024503,0.20117,0.19838,-0.070437,0.33284,0.85553,2.2166,0.08963,0.17548,-0.026875,-0.0082195,0.042751,0.17346,-0.11349,0.01567,-0.035805,0.04657,0.32564,0.11477,-0.091437,0.0081127,0.00054036,0.0029467,-0.000108,0.0076895
0.05,0.12256,-0.088878,-0.30911,0.40104,3.4626,-0.83131,0.022605,-0.10342,-0.15833,0.069986,0.065708,-0.016738,0.19676,0.19637,-0.069477,0.32261,0.833,2.2,0.085522,0.17252,-0.024388,-0.0077291,0.042682,0.17398,-0.11333,0.015439,-0.035303,0.045164,0.32436,0.1104,-0.091231,0.0074637,2.0701e-05,0.0029292,8.1399e-05,0.0073539
0.06,0.097038,-0.066226,-0.26703,0.36151,2.9724,-0.61042,0.013057,-0.083605,-0.1355,0.058769,0.05522,-0.010556,0.19071,0.19301,-0.067136,0.3078,0.79543,2.1671,0.081011,0.16832,-0.021949,-0.0074701,0.042076,0.17295,-0.11312,0.015206,-0.034912,0.04379,0.3245,0.10605,-0.091018,0.0067723,-0.0006229,0.0029116,0.00027268,0.0070103
0.07,0.071757,-0.045706,-0.21504,0.30161,2.3798,-0.41456,0.0058159,-0.063704,-0.10858,0.046086,0.043255,-0.0061242,0.1825,0.1876,-0.063302,0.28812,0.7419,2.1102,0.075892,0.16238,-0.019625,-0.0073618,0.040814,0.16976,-0.11287,0.014989,-0.034612,0.042443,0.32577,0.1019,-0.090799,0.0060492,-0.001361,0.002888,0.00046228,0.006666
0.08,0.060029,-0.033896,-0.19609,0.284,2.1571,-0.29974,0.0010508,-0.054296,-0.098699,0.040775,0.038478,-0.0028907,0.17527,0.18301,-0.060001,0.27,0.69536,2.0619,0.071308,0.15711,-0.018166,-0.0073089,0.039765,0.16715,-0.11259,0.014799,-0.03437,0.041085,0.32776,0.098071,-0.09057,0.0053031,-0.0021602,0.0028513,0.0006447,0.0063243
0.09,0.061053,-0.027607,-0.2168,0.32275,2.3693,-0.23215,-0.0032693,-0.054981,-0.10862,0.043531,0.041716,0.00065391,0.17078,0.18111,-0.058244,0.25697,0.66707,2.0437,0.067747,0.15405,-0.017587,-0.0072996,0.03946,0.1669,-0.11229,0.014644,-0.034126,0.039623,0.32978,0.09461,-0.090319,0.0045438,-0.0029714,0.0027938,0.0008097,0.0059831
