t, affine_elevL, affine_elevR, affine_throttle
0,-0.00050616,-0.00050569,-0.00097932
0.01,-0.0014682,-0.0014682,0.00067149
0.02,-0.0025014,-0.0025015,0.0017983
0.03,-0.0035809,-0.0035811,0.0024907
0.04,-0.0046678,-0.0046679,0.0028341
0.05,-0.0057279,-0.0057278,0.0028964
0.06,-0.0067202,-0.0067198,0.0027418
0.07,-0.007599,-0.0075983,0.002433
0.08,-0.0083188,-0.0083177,0.0020207
0.09,-0.008834,-0.0088327,0.0015482
0.1,-0.0091034,-0.0091019,0.0010587
0.11,-0.0090885,-0.0090868,0.0005887
0.12,-0.0087595,-0.0087578,0.00016279
0.13,-0.008096,-0.0080944,-0.00019572
0.14,-0.0070877,-0.0070863,-0.00046477
0.15,-0.0057485,-0.0057474,-0.00063355
0.16,-0.0041057,-0.0041049,-0.00069583
0.17,-0.0021035,-0.0021032,-0.00063722
0.18,3.9849e-05,3.9795e-05,-0.00048693
0.19,0.0020067,0.0020062,-0.00029922
0.2,0.0036851,0.0036844,-0.00011156
0.21,0.0051095,0.0051085,6.4889e-05
0.22,0.0062664,0.0062651,0.00022088
0.23,0.0071306,0.0071291,0.00034846
0.24,0.0077131,0.0077114,0.000443
0.25,0.008039,0.0080372,0.00050036
0.26,0.0081308,0.0081289,0.00051927
0.27,0.0080008,0.0079989,0.00050347
0.28,0.0076618,0.0076599,0.00045716
0.29,0.0071292,0.0071273,0.00038627
0.3,0.0064225,0.0064207,0.00030087
0.31,0.0055621,0.0055605,0.00021143
0.32,0.0045684,0.004567,0.00012861
0.33,0.0034592,0.0034581,6.308e-05
0.34,0.0022523,0.0022516,2.3577e-05
0.35,0.00097012,0.00096977,1.8659e-05
0.36,-0.00030775,-0.00030764,4.9205e-05
0.37,-0.0014621,-0.0014616,0.00010897
0.38,-0.0023956,-0.0023947,0.00019114
0.39,-0.0031226,-0.0031214,0.00028682
0.4,-0.0036601,-0.0036588,0.00038763
0.41,-0.0040212,-0.0040197,0.00048526
0.42,-0.0042192,-0.0042177,0.00057225
0.43,-0.0042687,-0.0042672,0.00064297
0.44,-0.0041841,-0.0041827,0.00069189
0.45,-0.0039808,-0.0039795,0.00071448
0.46,-0.0036767,-0.0036755,0.00071006
0.47,-0.0032899,-0.0032889,0.00067886
0.48,-0.0028382,-0.0028374,0.00062118
0.49,-0.0023404,-0.0023397,0.00053977
0.5,-0.0018153,-0.0018147,0.00044008
0.51,-0.001281,-0.0012807,0.00032761
0.52,-0.0007554,-0.00075522,0.00020845
0.53,-0.00025565,-0.00025561,9.0361e-05
0.54,0.00019519,0.00019513,-1.8898e-05
0.55,0.00056662,0.00056648,-0.00011457
0.56,0.00086101,0.00086082,-0.00019532
0.57,0.0010847,0.0010844,-0.00026058
0.58,0.0012437,0.0012435,-0.00031042
0.59,0.0013443,0.0013441,-0.0003449
0.6,0.0013923,0.0013921,-0.00036448
0.61,0.0013933,0.0013932,-0.00037023
0.62,0.0013531,0.001353,-0.00036322
0.63,0.0012772,0.0012771,-0.00034456
0.64,0.001171,0.0011709,-0.00031562
0.65,0.0010402,0.0010402,-0.00027804
0.66,0.00089039,0.00089042,-0.00023348
0.67,0.00072709,0.00072714,-0.0001836
0.68,0.000556,0.00055607,-0.00013027
0.69,0.000383,0.00038307,-7.5656e-05
0.7,0.00021397,0.00021402,-2.1921e-05
0.71,5.6339e-05,5.6348e-05,2.8256e-05
0.72,-8.2987e-05,-8.3032e-05,7.3218e-05
0.73,-0.00019791,-0.00019801,0.00011181
0.74,-0.00028614,-0.00028629,0.00014351
0.75,-0.00035108,-0.00035127,0.00016868
0.76,-0.00039474,-0.00039497,0.00018746
0.77,-0.00041915,-0.00041941,0.00020002
0.78,-0.00042644,-0.00042673,0.00020665
0.79,-0.00041872,-0.00041902,0.00020768
0.8,-0.00039814,-0.00039845,0.00020352
0.81,-0.00036693,-0.00036724,0.00019472
0.82,-0.00032729,-0.00032759,0.00018182
0.83,-0.00028144,-0.00028173,0.00016545
0.84,-0.00023169,-0.00023196,0.00014642
0.85,-0.00018029,-0.00018053,0.00012553
0.86,-0.0001295,-0.00012969,0.00010361
0.87,-8.1611e-05,-8.1749e-05,8.1648e-05
0.88,-3.8919e-05,-3.8996e-05,6.0692e-05
0.89,-3.5056e-06,-3.5134e-06,4.1842e-05
0.9,2.4751e-05,2.4813e-05,2.5935e-05
0.91,4.7378e-05,4.7505e-05,1.2937e-05
0.92,6.5885e-05,6.6065e-05,2.7528e-06
0.93,8.0571e-05,8.0793e-05,-4.7902e-06
0.94,9.1346e-05,9.1602e-05,-9.9073e-06
0.95,9.8491e-05,9.8771e-05,-1.2796e-05
0.96,0.00010228,0.00010258,-1.3662e-05
0.97,0.00010298,0.00010329,-1.2721e-05
0.98,0.00010087,0.00010118,-1.0191e-05
0.99,9.6207e-05,9.6505e-05,-6.291e-06
1,8.9253e-05,8.9536e-05,-1.2531e-06
1.01,8.027e-05,8.0531e-05,4.6897e-06
1.02,6.9514e-05,6.9746e-05,1.1304e-05
1.03,5.7239e-05,5.7437e-05,1.8349e-05
1.04,4.37e-05,4.3855e-05,2.5579e-05
1.05,2.9144e-05,2.9251e-05,3.2747e-05
1.06,1.3842e-05,1.3894e-05,3.9563e-05
1.07,-1.1983e-06,-1.2051e-06,4.5798e-05
1.08,-1.4621e-05,-1.4685e-05,5.1303e-05
1.09,-2.5097e-05,-2.5212e-05,5.5929e-05
1.1,-3.233e-05,-3.2489e-05,5.9649e-05
1.11,-3.6871e-05,-3.7067e-05,6.2524e-05
1.12,-3.9038e-05,-3.9263e-05,6.4585e-05
1.13,-3.9148e-05,-3.9395e-05,6.5865e-05
1.14,-3.7529e-05,-3.7791e-05,6.6417e-05
1.15,-3.4513e-05,-3.4783e-05,6.6303e-05
1.16,-3.0428e-05,-3.0699e-05,6.5586e-05
1.17,-2.5613e-05,-2.5879e-05,6.4346e-05
1.18,-2.0414e-05,-2.0668e-05,6.2674e-05
1.19,-1.5172e-05,-1.5406e-05,6.0664e-05
1.2,-1.0229e-05,-1.0437e-05,5.8413e-05
1.21,-5.9443e-06,-6.1194e-06,5.6044e-05
1.22,-2.6746e-06,-2.8099e-06,5.368e-05
1.23,-7.7266e-07,-8.6139e-07,5.1447e-05
1.24,-5.9856e-07,-6.3387e-07,4.948e-05
1.25,-2.24e-06,-2.2165e-06,4.7921e-05
1.26,-3.8144e-06,-3.7379e-06,4.6769e-05
1.27,-4.4715e-06,-4.3527e-06,4.5956e-05
1.28,-4.4626e-06,-4.3105e-06,4.5436e-05
1.29,-3.9009e-06,-3.7241e-06,4.5167e-05
1.3,-2.9014e-06,-2.7077e-06,4.5111e-05
1.31,-1.5776e-06,-1.3745e-06,4.5228e-05
1.32,-4.7096e-08,1.5879e-07,4.5489e-05
1.33,1.5692e-06,1.7719e-06,4.5866e-05
1.34,3.1513e-06,3.3455e-06,4.6336e-05
1.35,4.5801e-06,4.761e-06,4.6875e-05
1.36,5.7307e-06,5.8942e-06,4.7469e-05
1.37,6.4755e-06,6.6184e-06,4.8106e-05
1.38,6.6885e-06,6.8081e-06,4.8778e-05
1.39,6.2027e-06,6.297e-06,4.9477e-05
1.4,4.838e-06,4.9055e-06,5.0204e-05
