t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.13439,-0.17937,-0.10856,0.26095,1.2927,-1.6513,0.0023112,-0.1141,-0.056999,0.064728,0.027233,-0.090292,0.1344,0.17937,-0.10852,-0.26096,1.2924,1.6513,0.0023449,0.1141,-0.056988,-0.064729,0.027231,0.090289,-0.069416,-1.9853e-06,-0.15966,-3.1812e-06,1.4454,-3.4055e-05,-0.14971,-2.4951e-06,-0.053066,3.4625e-07,0.0072398,-1.1053e-06
0.01,0.1374,-0.18193,-0.11373,0.27739,1.3556,-1.6779,-0.00088795,-0.11621,-0.059535,0.066111,0.028062,-0.09043,0.13741,0.18192,-0.11369,-0.2774,1.3553,1.6779,-0.00085462,0.11621,-0.059524,-0.066111,0.02806,0.090427,-0.069006,-2.0811e-06,-0.15966,-3.2101e-06,1.4396,-3.4748e-05,-0.14958,-2.5416e-06,-0.054242,3.3517e-07,0.0072735,-1.0959e-06
0.02,0.1398,-0.18392,-0.11849,0.29102,1.4141,-1.6997,-0.0042548,-0.11806,-0.061874,0.067306,0.028811,-0.090512,0.13981,0.18391,-0.11845,-0.29102,1.4138,1.6997,-0.0042222,0.11806,-0.061864,-0.067306,0.028809,0.090508,-0.068618,-2.1777e-06,-0.15977,-3.2728e-06,1.4349,-3.5445e-05,-0.14962,-2.583e-06,-0.055246,3.2369e-07,0.0073204,-1.0796e-06
0.03,0.14161,-0.18539,-0.12292,0.30188,1.469,-1.717,-0.0078152,-0.11965,-0.064045,0.068325,0.029489,-0.090559,0.14162,0.18539,-0.12289,-0.30189,1.4687,1.717,-0.0077835,0.11965,-0.064035,-0.068325,0.029487,0.090555,-0.068251,-2.2738e-06,-0.15998,-3.3692e-06,1.4311,-3.6135e-05,-0.14981,-2.6188e-06,-0.05609,3.1171e-07,0.0073806,-1.0568e-06
0.04,0.14286,-0.18639,-0.12707,0.31006,1.5203,-1.7302,-0.01155,-0.12101,-0.066052,0.069177,0.0301,-0.090585,0.14287,0.18639,-0.12704,-0.31006,1.52,1.7302,-0.011519,0.12101,-0.066043,-0.069176,0.030098,0.090582,-0.067901,-2.3687e-06,-0.1603,-3.4979e-06,1.4283,-3.6811e-05,-0.15016,-2.6485e-06,-0.056785,2.9922e-07,0.0074533,-1.0281e-06
0.05,0.14358,-0.18695,-0.13091,0.31565,1.5679,-1.7394,-0.015413,-0.12214,-0.067888,0.069864,0.030642,-0.0906,0.14358,0.18695,-0.13088,-0.31566,1.5676,1.7393,-0.015384,0.12214,-0.067879,-0.069864,0.030639,0.090596,-0.067566,-2.4614e-06,-0.1607,-3.6571e-06,1.4263,-3.7462e-05,-0.15064,-2.6718e-06,-0.05734,2.8619e-07,0.0075377,-9.9364e-07
0.06,0.14378,-0.1871,-0.13442,0.31876,1.6113,-1.7447,-0.019343,-0.12304,-0.069533,0.070387,0.03111,-0.090604,0.14378,0.1871,-0.1344,-0.31877,1.611,1.7446,-0.019316,0.12304,-0.069525,-0.070387,0.031108,0.0906,-0.067244,-2.5509e-06,-0.16119,-3.8443e-06,1.425,-3.8079e-05,-0.15125,-2.6883e-06,-0.057764,2.7262e-07,0.007633,-9.5389e-07
0.07,0.14347,-0.18683,-0.13754,0.31947,1.6498,-1.746,-0.02327,-0.1237,-0.070956,0.070732,0.031494,-0.090576,0.14347,0.18683,-0.13752,-0.31948,1.6496,1.7459,-0.023244,0.1237,-0.070949,-0.070732,0.031491,0.090572,-0.066932,-2.6366e-06,-0.16176,-4.0558e-06,1.4245,-3.8657e-05,-0.15197,-2.6975e-06,-0.058063,2.5857e-07,0.0077373,-9.092e-07
0.08,0.14264,-0.18612,-0.1402,0.31785,1.6825,-1.7428,-0.027108,-0.12409,-0.072119,0.070878,0.03178,-0.09049,0.14265,0.18611,-0.14018,-0.31786,1.6823,1.7427,-0.027084,0.12408,-0.072112,-0.070877,0.031778,0.090486,-0.066629,-2.7178e-06,-0.16239,-4.2874e-06,1.4246,-3.9187e-05,-0.15278,-2.6994e-06,-0.058245,2.4406e-07,0.0078487,-8.5998e-07
0.09,0.14131,-0.18493,-0.14229,0.31399,1.7083,-1.7349,-0.030767,-0.12416,-0.072983,0.070804,0.031954,-0.090315,0.14131,0.18492,-0.14227,-0.314,1.7082,1.7348,-0.030745,0.12416,-0.072977,-0.070803,0.031952,0.090312,-0.066333,-2.7938e-06,-0.16307,-4.5344e-06,1.4252,-3.9663e-05,-0.15367,-2.6937e-06,-0.058315,2.2911e-07,0.0079651,-8.0663e-07
0.1,0.13952,-0.18329,-0.14378,0.30809,1.7269,-1.7224,-0.034163,-0.12393,-0.073533,0.070507,0.032011,-0.090043,0.13952,0.18328,-0.14377,-0.3081,1.7267,1.7223,-0.034143,0.12392,-0.073529,-0.070507,0.03201,0.09004,-0.066043,-2.8641e-06,-0.1638,-4.7918e-06,1.4261,-4.008e-05,-0.15463,-2.6801e-06,-0.058278,2.1379e-07,0.008084,-7.4947e-07
0.11,0.13736,-0.18125,-0.14468,0.30042,1.7383,-1.7057,-0.037228,-0.1234,-0.073783,0.07,0.031959,-0.089683,0.13736,0.18125,-0.14466,-0.30043,1.7382,1.7056,-0.03721,0.1234,-0.07378,-0.07,0.031957,0.089679,-0.065759,-2.9282e-06,-0.16456,-5.0539e-06,1.4274,-4.0433e-05,-0.15563,-2.6585e-06,-0.058141,1.9819e-07,0.0082026,-6.8887e-07
0.12,0.13492,-0.17889,-0.14499,0.29129,1.743,-1.6854,-0.039909,-0.12262,-0.073755,0.069299,0.031806,-0.089246,0.13492,0.17889,-0.14498,-0.2913,1.7429,1.6854,-0.039894,0.12262,-0.073753,-0.069299,0.031804,0.089243,-0.065481,-2.9856e-06,-0.16534,-5.3149e-06,1.4289,-4.0716e-05,-0.15666,-2.6289e-06,-0.057908,1.8244e-07,0.0083179,-6.2516e-07
0.13,0.13219,-0.17612,-0.14462,0.28078,1.7398,-1.6609,-0.042114,-0.12153,-0.073414,0.068371,0.031535,-0.088681,0.1322,0.17612,-0.14461,-0.28079,1.7397,1.6608,-0.042101,0.12153,-0.073412,-0.068371,0.031534,0.088678,-0.065209,-3.0361e-06,-0.16613,-5.5687e-06,1.4304,-4.0927e-05,-0.1577,-2.5912e-06,-0.057585,1.6652e-07,0.0084268,-5.5884e-07
0.14,0.12898,-0.17262,-0.14318,0.26858,1.7245,-1.6289,-0.043647,-0.11988,-0.072592,0.067079,0.031081,-0.087795,0.12898,0.17261,-0.14317,-0.26859,1.7244,1.6288,-0.043636,0.11987,-0.072592,-0.067079,0.03108,0.087792,-0.064945,-3.0796e-06,-0.16691,-5.8095e-06,1.4319,-4.1064e-05,-0.15875,-2.5457e-06,-0.057178,1.5056e-07,0.0085261,-4.9043e-07
0.15,0.12506,-0.168,-0.14025,0.25441,1.6924,-1.586,-0.044286,-0.11739,-0.071109,0.065277,0.030368,-0.086375,0.12506,0.168,-0.14025,-0.25443,1.6924,1.5859,-0.044277,0.11739,-0.071109,-0.065278,0.030368,0.086373,-0.064689,-3.116e-06,-0.16768,-6.0311e-06,1.4332,-4.1128e-05,-0.15978,-2.4924e-06,-0.056692,1.3475e-07,0.0086125,-4.2045e-07
0.16,0.12045,-0.16224,-0.13578,0.23854,1.6431,-1.5319,-0.043949,-0.11404,-0.068957,0.062954,0.029395,-0.084375,0.12045,0.16224,-0.13578,-0.23855,1.6431,1.5319,-0.043943,0.11404,-0.068959,-0.062955,0.029394,0.084374,-0.064445,-3.1454e-06,-0.16842,-6.2277e-06,1.4343,-4.1118e-05,-0.16079,-2.4317e-06,-0.056133,1.1925e-07,0.0086828,-3.4951e-07
0.17,0.11644,-0.15687,-0.13148,0.22348,1.5966,-1.4812,-0.043305,-0.11089,-0.066986,0.060709,0.028501,-0.08257,0.11644,0.15687,-0.13149,-0.2235,1.5966,1.4811,-0.043301,0.11089,-0.066988,-0.060711,0.028501,0.08257,-0.064213,-3.1683e-06,-0.16913,-6.3939e-06,1.435,-4.104e-05,-0.16177,-2.3642e-06,-0.055508,1.0421e-07,0.0087338,-2.7833e-07
0.18,0.11457,-0.15376,-0.12953,0.21193,1.5781,-1.4516,-0.043276,-0.10928,-0.066252,0.059275,0.028111,-0.081956,0.11457,0.15376,-0.12954,-0.21195,1.5781,1.4516,-0.043273,0.10928,-0.066254,-0.059276,0.028111,0.081956,-0.063993,-3.1853e-06,-0.1698,-6.525e-06,1.4354,-4.0899e-05,-0.1627,-2.2907e-06,-0.054827,8.9969e-08,0.0087627,-2.0781e-07
0.19,0.1149,-0.1531,-0.12989,0.20395,1.5878,-1.445,-0.043869,-0.10937,-0.066729,0.058761,0.028238,-0.082648,0.1149,0.1531,-0.12989,-0.20397,1.5879,1.445,-0.043868,0.10937,-0.066732,-0.058763,0.028239,0.082648,-0.063772,-3.199e-06,-0.17045,-6.6158e-06,1.4355,-4.0723e-05,-0.1636,-2.2132e-06,-0.054116,7.7385e-08,0.0087703,-1.3953e-07
0.2,0.11632,-0.15366,-0.13075,0.19766,1.6057,-1.4497,-0.04431,-0.1103,-0.067553,0.058722,0.028564,-0.083981,0.11632,0.15366,-0.13075,-0.19768,1.6057,1.4497,-0.044309,0.1103,-0.067556,-0.058723,0.028565,0.083981,-0.063539,-3.2114e-06,-0.17108,-6.6634e-06,1.4356,-4.0535e-05,-0.16447,-2.1336e-06,-0.053398,6.7031e-08,0.0087585,-7.4955e-08
0.21,0.11801,-0.15443,-0.13086,0.19171,1.6173,-1.4562,-0.044025,-0.11136,-0.068135,0.058774,0.028857,-0.085414,0.11801,0.15443,-0.13087,-0.19173,1.6173,1.4561,-0.044025,0.11136,-0.068138,-0.058775,0.028858,0.085414,-0.063295,-3.223e-06,-0.1717,-6.6664e-06,1.4356,-4.0339e-05,-0.16532,-2.0523e-06,-0.052685,5.8893e-08,0.0087269,-1.4581e-08
