t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0,-0.19141,0,11.382,0,-4.5832,0,0,0
0.01,0.11982,5.1551e-08,-0.020404,4.6382e-07,-0.18335,-3.2534e-07,11.428,4.7595e-07,-4.4387,-7.5959e-06,-0.13885,5.9303e-07
0.02,0.23973,9.1208e-08,-0.040476,8.1431e-07,-0.17664,-5.8857e-07,11.467,8.8852e-07,-4.3089,-1.4643e-05,-0.26504,1.3668e-06
0.03,0.3597,1.202e-07,-0.060205,1.0564e-06,-0.17124,-7.9183e-07,11.501,1.2383e-06,-4.1934,-2.1156e-05,-0.37905,2.3091e-06
0.04,0.47973,1.3974e-07,-0.079581,1.1951e-06,-0.16709,-9.3729e-07,11.529,1.5258e-06,-4.0913,-2.715e-05,-0.48136,3.4075e-06
0.05,0.59981,1.5107e-07,-0.098594,1.2352e-06,-0.16413,-1.0271e-06,11.551,1.7517e-06,-4.0022,-3.2639e-05,-0.57243,4.6499e-06
0.06,0.71993,1.5541e-07,-0.11723,1.1817e-06,-0.16231,-1.0635e-06,11.568,1.9164e-06,-3.9254,-3.7639e-05,-0.65274,6.0238e-06
0.07,0.84008,1.5397e-07,-0.13549,1.0395e-06,-0.16157,-1.0485e-06,11.58,2.0207e-06,-3.8603,-4.2163e-05,-0.72275,7.5171e-06
0.08,0.96025,1.48e-07,-0.15335,8.1355e-07,-0.16185,-9.8443e-07,11.587,2.0651e-06,-3.8063,-4.6227e-05,-0.78295,9.1175e-06
0.09,1.0804,1.3872e-07,-0.17081,5.0879e-07,-0.16309,-8.7336e-07,11.589,2.0501e-06,-3.7627,-4.9845e-05,-0.83379,1.0813e-05
0.1,1.2006,1.2734e-07,-0.18785,1.3015e-07,-0.16525,-7.1746e-07,11.587,1.9764e-06,-3.729,-5.3033e-05,-0.87577,1.259e-05
0.11,1.3208,1.151e-07,-0.20447,-3.1747e-07,-0.16827,-5.1892e-07,11.581,1.8444e-06,-3.7045,-5.5805e-05,-0.90934,1.4438e-05
0.12,1.4409,1.0321e-07,-0.22065,-8.2911e-07,-0.17208,-2.7988e-07,11.571,1.6549e-06,-3.6885,-5.8175e-05,-0.93498,1.6343e-05
0.13,1.561,9.292e-08,-0.23639,-1.3999e-06,-0.17664,-2.5077e-09,11.557,1.4083e-06,-3.6806,-6.0158e-05,-0.95316,1.8295e-05
0.14,1.6811,8.5437e-08,-0.25167,-2.0248e-06,-0.18188,3.1103e-07,11.54,1.1052e-06,-3.6801,-6.177e-05,-0.96436,2.0279e-05
0.15,1.8011,8.1992e-08,-0.26648,-2.699e-06,-0.18776,6.5856e-07,11.52,7.4629e-07,-3.6863,-6.3024e-05,-0.96904,2.2285e-05
0.16,1.921,8.3809e-08,-0.28082,-3.4175e-06,-0.19421,1.0379e-06,11.497,3.3206e-07,-3.6986,-6.3937e-05,-0.96768,2.4299e-05
0.17,2.0409,9.2115e-08,-0.29468,-4.1754e-06,-0.20118,1.447e-06,11.471,-1.3689e-07,-3.7164,-6.4521e-05,-0.96075,2.631e-05
0.18,2.1607,1.0813e-07,-0.30803,-4.9678e-06,-0.20862,1.8835e-06,11.443,-6.5999e-07,-3.7392,-6.4793e-05,-0.94873,2.8305e-05
0.19,2.2804,1.3309e-07,-0.32088,-5.7897e-06,-0.21646,2.3455e-06,11.413,-1.2367e-06,-3.7662,-6.4766e-05,-0.93207,3.0271e-05
0.2,2.4,1.6822e-07,-0.33321,-6.6362e-06,-0.22465,2.8305e-06,11.382,-1.8663e-06,-3.7969,-6.4456e-05,-0.91127,3.2198e-05
0.21,2.5194,2.1473e-07,-0.34502,-7.5024e-06,-0.23314,3.3367e-06,11.348,-2.5484e-06,-3.8306,-6.3877e-05,-0.88679,3.4072e-05
0.22,2.6388,2.7386e-07,-0.35628,-8.3834e-06,-0.24187,3.8616e-06,11.313,-3.2823e-06,-3.8668,-6.3045e-05,-0.85909,3.588e-05
0.23,2.758,3.4684e-07,-0.367,-9.2742e-06,-0.25078,4.4033e-06,11.277,-4.0675e-06,-3.9048,-6.1973e-05,-0.82867,3.7612e-05
0.24,2.8771,4.3488e-07,-0.37716,-1.017e-05,-0.25982,4.9595e-06,11.241,-4.9033e-06,-3.944,-6.0676e-05,-0.79597,3.9254e-05
0.25,2.996,5.3921e-07,-0.38675,-1.1065e-05,-0.26893,5.5281e-06,11.203,-5.7893e-06,-3.9837,-5.917e-05,-0.76149,4.0794e-05
0.26,3.1147,6.6106e-07,-0.39576,-1.1956e-05,-0.27806,6.1069e-06,11.165,-6.7248e-06,-4.0235,-5.7469e-05,-0.72569,4.2219e-05
0.27,3.2333,8.0165e-07,-0.40419,-1.2837e-05,-0.28714,6.6937e-06,11.128,-7.7092e-06,-4.0625,-5.5588e-05,-0.68903,4.3519e-05
0.28,3.3517,9.6221e-07,-0.41201,-1.3703e-05,-0.29613,7.2864e-06,11.09,-8.742e-06,-4.1003,-5.3541e-05,-0.65201,4.468e-05
0.29,3.4699,1.144e-06,-0.41923,-1.4549e-05,-0.30497,7.8828e-06,11.052,-9.8226e-06,-4.1362,-5.1343e-05,-0.61508,4.5689e-05
0.3,3.5879,1.3481e-06,-0.42582,-1.5371e-05,-0.31359,8.4808e-06,11.016,-1.095e-05,-4.1696,-4.901e-05,-0.57872,4.6536e-05
0.31,3.7057,1.576e-06,-0.43178,-1.6163e-05,-0.32195,9.0782e-06,10.98,-1.2125e-05,-4.1998,-4.6555e-05,-0.5434,4.7207e-05
0.32,3.8232,1.8287e-06,-0.43711,-1.692e-05,-0.32999,9.6727e-06,10.945,-1.3345e-05,-4.2263,-4.3993e-05,-0.50959,4.769e-05
0.33,3.9405,2.1074e-06,-0.44178,-1.7638e-05,-0.33766,1.0262e-05,10.912,-1.4611e-05,-4.2485,-4.134e-05,-0.47778,4.7973e-05
0.34,4.0576,2.4136e-06,-0.44579,-1.8312e-05,-0.34489,1.0845e-05,10.88,-1.5922e-05,-4.2657,-3.861e-05,-0.44841,4.8043e-05
0.35,4.1744,2.7482e-06,-0.44913,-1.8936e-05,-0.35163,1.1418e-05,10.851,-1.7277e-05,-4.2772,-3.5817e-05,-0.42198,4.7889e-05
0.36,4.2909,3.1126e-06,-0.45179,-1.9506e-05,-0.35783,1.198e-05,10.823,-1.8676e-05,-4.2826,-3.2977e-05,-0.39895,4.7498e-05
0.37,4.4072,3.5076e-06,-0.45377,-2.002e-05,-0.36347,1.2529e-05,10.798,-2.0113e-05,-4.2816,-3.0105e-05,-0.37947,4.6872e-05
0.38,4.5232,3.9331e-06,-0.45508,-2.0482e-05,-0.36859,1.3065e-05,10.774,-2.1575e-05,-4.2748,-2.7217e-05,-0.36332,4.6028e-05
0.39,4.6389,4.3892e-06,-0.45573,-2.0893e-05,-0.37323,1.3588e-05,10.753,-2.305e-05,-4.2627,-2.433e-05,-0.35023,4.4986e-05
0.4,4.7544,4.8761e-06,-0.45576,-2.1258e-05,-0.37743,1.4098e-05,10.733,-2.4525e-05,-4.2459,-2.146e-05,-0.33995,4.3766e-05
0.41,4.8696,5.3937e-06,-0.45515,-2.1579e-05,-0.38124,1.4594e-05,10.715,-2.5987e-05,-4.2248,-1.8625e-05,-0.3322,4.2387e-05
0.42,4.9845,5.9422e-06,-0.45395,-2.1859e-05,-0.3847,1.5076e-05,10.698,-2.7423e-05,-4.2,-1.5839e-05,-0.32674,4.0869e-05
0.43,5.0992,6.5215e-06,-0.45214,-2.2102e-05,-0.38785,1.5544e-05,10.683,-2.882e-05,-4.1721,-1.3121e-05,-0.32329,3.9231e-05
0.44,5.2136,7.1318e-06,-0.44977,-2.231e-05,-0.39072,1.5999e-05,10.668,-3.0166e-05,-4.1415,-1.0486e-05,-0.3216,3.7492e-05
0.45,5.3278,7.773e-06,-0.44683,-2.2487e-05,-0.39337,1.6439e-05,10.654,-3.1448e-05,-4.1089,-7.9513e-06,-0.3214,3.5673e-05
0.46,5.4417,8.4453e-06,-0.44334,-2.2636e-05,-0.39584,1.6864e-05,10.641,-3.2652e-05,-4.0748,-5.533e-06,-0.32244,3.3792e-05
0.47,5.5554,9.1487e-06,-0.43932,-2.2759e-05,-0.39816,1.7275e-05,10.629,-3.3766e-05,-4.0396,-3.2476e-06,-0.32445,3.187e-05
0.48,5.6688,9.8833e-06,-0.43478,-2.286e-05,-0.40039,1.767e-05,10.616,-3.4778e-05,-4.004,-1.1118e-06,-0.32716,2.9925e-05
0.49,5.7819,1.0649e-05,-0.42973,-2.2941e-05,-0.40255,1.8051e-05,10.604,-3.5673e-05,-3.9685,8.58e-07,-0.33033,2.7977e-05
0.5,5.8948,1.1446e-05,-0.42421,-2.3007e-05,-0.4047,1.8416e-05,10.592,-3.6441e-05,-3.9336,2.6452e-06,-0.33368,2.6046e-05
0.51,6.0075,1.2274e-05,-0.4182,-2.306e-05,-0.40687,1.8766e-05,10.58,-3.7067e-05,-3.8999,4.2334e-06,-0.33696,2.415e-05
0.52,6.1199,1.3134e-05,-0.41174,-2.3103e-05,-0.40911,1.9101e-05,10.567,-3.7538e-05,-3.8678,5.6059e-06,-0.3399,2.2311e-05
0.53,6.2321,1.4025e-05,-0.40484,-2.3139e-05,-0.41146,1.9419e-05,10.554,-3.7843e-05,-3.838,6.7464e-06,-0.34225,2.0547e-05
0.54,6.344,1.4948e-05,-0.39751,-2.3171e-05,-0.41396,1.9722e-05,10.54,-3.7968e-05,-3.811,7.6395e-06,-0.34374,1.8876e-05
0.55,6.4557,1.5902e-05,-0.38975,-2.32e-05,-0.41662,2.0009e-05,10.525,-3.7914e-05,-3.7868,8.2904e-06,-0.34431,1.7305e-05
0.56,6.5672,1.6887e-05,-0.38159,-2.3228e-05,-0.41942,2.028e-05,10.51,-3.7687e-05,-3.7652,8.72e-06,-0.34403,1.583e-05
