t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0,-0.19141,0,11.382,0,-4.5832,0,0,0
0.01,0.12034,4.6876e-11,-0.023183,1.4766e-08,-0.19129,-9.6798e-10,11.404,1.9457e-09,-4.4721,-9.2973e-07,0.24286,1.8427e-07
0.02,0.24064,4.6593e-11,-0.045128,1.9796e-08,-0.18875,-4.1387e-10,11.433,4.901e-09,-4.3389,-1.6269e-06,0.46237,3.3828e-07
0.03,0.36092,2.6197e-11,-0.065928,1.6128e-08,-0.18398,1.4848e-09,11.47,8.54e-09,-4.1861,-2.1204e-06,0.65941,4.6461e-07
0.04,0.48121,1.2733e-11,-0.085674,4.8005e-09,-0.17718,4.5506e-09,11.512,1.2537e-08,-4.0162,-2.4393e-06,0.83487,5.6585e-07
0.05,0.60153,3.3249e-11,-0.10446,-1.3147e-08,-0.16854,8.6061e-09,11.56,1.6566e-08,-3.8316,-2.6126e-06,0.98962,6.4462e-07
0.06,0.72188,1.1479e-10,-0.12238,-3.6676e-08,-0.15827,1.3474e-08,11.612,2.03e-08,-3.6348,-2.6691e-06,1.1245,7.0349e-07
0.07,0.8423,2.844e-10,-0.13952,-6.4749e-08,-0.14656,1.8976e-08,11.667,2.3415e-08,-3.4283,-2.638e-06,1.2405,7.4506e-07
0.08,0.96281,5.6913e-10,-0.15597,-9.6325e-08,-0.13361,2.4935e-08,11.726,2.5584e-08,-3.2144,-2.5481e-06,1.3384,7.7194e-07
0.09,1.0834,9.9603e-10,-0.17183,-1.3037e-07,-0.11961,3.1174e-08,11.786,2.6481e-08,-2.9958,-2.4284e-06,1.4191,7.8671e-07
0.1,1.2041,1.5921e-09,-0.1872,-1.6584e-07,-0.10477,3.7515e-08,11.846,2.578e-08,-2.7749,-2.3079e-06,1.4835,7.9197e-07
0.11,1.325,2.3845e-09,-0.20215,-2.017e-07,-0.089275,4.3781e-08,11.908,2.3155e-08,-2.5541,-2.2155e-06,1.5325,7.9031e-07
0.12,1.446,3.4001e-09,-0.21679,-2.3691e-07,-0.073327,4.9794e-08,11.968,1.8281e-08,-2.3359,-2.1803e-06,1.5669,7.8433e-07
0.13,1.5672,4.6662e-09,-0.2312,-2.7043e-07,-0.057124,5.5377e-08,12.027,1.0831e-08,-2.1228,-2.2312e-06,1.5877,7.7663e-07
0.14,1.6887,6.2096e-09,-0.24549,-3.0122e-07,-0.040862,6.0352e-08,12.083,4.8018e-10,-1.9172,-2.3972e-06,1.5956,7.6979e-07
0.15,1.8103,8.0573e-09,-0.25973,-3.2825e-07,-0.024739,6.4543e-08,12.137,-1.3094e-08,-1.7217,-2.707e-06,1.5916,7.6641e-07
0.16,1.9321,1.0224e-08,-0.27402,-3.516e-07,-0.0088934,6.7838e-08,12.186,-2.9621e-08,-1.5377,-3.1632e-06,1.5769,7.6745e-07
0.17,2.0542,1.2699e-08,-0.28844,-3.7346e-07,0.0066436,7.0254e-08,12.233,-4.769e-08,-1.3653,-3.7176e-06,1.5529,7.7075e-07
0.18,2.1766,1.547e-08,-0.30305,-3.9626e-07,0.021855,7.1824e-08,12.276,-6.5761e-08,-1.204,-4.3163e-06,1.5215,7.7383e-07
0.19,2.2991,1.8524e-08,-0.31794,-4.2245e-07,0.036724,7.258e-08,12.317,-8.2291e-08,-1.0536,-4.9054e-06,1.4843,7.7417e-07
0.2,2.4219,2.1849e-08,-0.33317,-4.5446e-07,0.051233,7.2553e-08,12.356,-9.5738e-08,-0.91385,-5.4308e-06,1.443,7.6926e-07
0.21,2.5449,2.5432e-08,-0.34883,-4.9474e-07,0.065364,7.1775e-08,12.393,-1.0456e-07,-0.78439,-5.8387e-06,1.3992,7.5661e-07
0.22,2.6682,2.9259e-08,-0.36499,-5.4571e-07,0.079101,7.0279e-08,12.429,-1.0722e-07,-0.66494,-6.0751e-06,1.3547,7.337e-07
0.23,2.7917,3.3319e-08,-0.38173,-6.0901e-07,0.092428,6.8099e-08,12.464,-1.0244e-07,-0.5552,-6.095e-06,1.3108,6.9878e-07
0.24,2.9154,3.7598e-08,-0.39908,-6.8152e-07,0.10534,6.5298e-08,12.499,-9.0469e-08,-0.45483,-5.9051e-06,1.268,6.5449e-07
0.25,3.0393,4.2086e-08,-0.41708,-7.584e-07,0.11785,6.1945e-08,12.533,-7.2132e-08,-0.36347,-5.5305e-06,1.2263,6.0504e-07
0.26,3.1635,4.677e-08,-0.43579,-8.3483e-07,0.12996,5.8109e-08,12.567,-4.8241e-08,-0.28077,-4.9967e-06,1.1856,5.5463e-07
0.27,3.2878,5.1638e-08,-0.45523,-9.0598e-07,0.14166,5.386e-08,12.601,-1.9608e-08,-0.20637,-4.3288e-06,1.1458,5.0748e-07
0.28,3.4124,5.6678e-08,-0.47545,-9.6702e-07,0.15296,4.9268e-08,12.634,1.2953e-08,-0.13991,-3.5523e-06,1.1069,4.6779e-07
0.29,3.5371,6.1878e-08,-0.49649,-1.0131e-06,0.16387,4.4403e-08,12.667,4.8627e-08,-0.081046,-2.6924e-06,1.0688,4.3978e-07
0.3,3.6621,6.7226e-08,-0.51838,-1.0396e-06,0.17439,3.9337e-08,12.701,8.6585e-08,-0.029415,-1.774e-06,1.0316,4.2751e-07
0.31,3.7872,7.2707e-08,-0.54116,-1.0456e-06,0.18453,3.421e-08,12.734,1.2562e-07,0.015365,-8.1236e-07,0.99515,4.3186e-07
0.32,3.9125,7.8307e-08,-0.56483,-1.0338e-06,0.19429,2.9223e-08,12.768,1.6416e-07,0.053709,1.8662e-07,0.95965,4.5055e-07
0.33,4.0379,8.4008e-08,-0.58943,-1.0072e-06,0.20371,2.4585e-08,12.801,2.0061e-07,0.086029,1.2175e-06,0.92512,4.8114e-07
0.34,4.1636,8.9795e-08,-0.61495,-9.6871e-07,0.21278,2.0502e-08,12.835,2.3338e-07,0.11274,2.275e-06,0.89164,5.2121e-07
0.35,4.2893,9.5652e-08,-0.64143,-9.2123e-07,0.22152,1.718e-08,12.87,2.6087e-07,0.13425,3.3535e-06,0.8593,5.6833e-07
0.36,4.4152,1.0156e-07,-0.66888,-8.6773e-07,0.22995,1.4826e-08,12.904,2.815e-07,0.15098,4.4476e-06,0.82817,6.2006e-07
0.37,4.5413,1.0751e-07,-0.6973,-8.1113e-07,0.23808,1.3646e-08,12.939,2.9367e-07,0.16334,5.552e-06,0.79832,6.74e-07
0.38,4.6675,1.1349e-07,-0.72673,-7.5314e-07,0.24592,1.3803e-08,12.974,2.9589e-07,0.17171,6.6566e-06,0.76979,7.282e-07
0.39,4.7938,1.195e-07,-0.75715,-6.9218e-07,0.25349,1.5335e-08,13.01,2.8696e-07,0.17635,7.7383e-06,0.74251,7.8215e-07
0.4,4.9203,1.2556e-07,-0.78858,-6.2609e-07,0.26079,1.8262e-08,13.046,2.6572e-07,0.1775,8.7723e-06,0.71637,8.3556e-07
0.41,5.0468,1.3168e-07,-0.821,-5.5271e-07,0.26783,2.2601e-08,13.082,2.31e-07,0.17541,9.7334e-06,0.69129,8.8812e-07
0.42,5.1735,1.3787e-07,-0.85444,-4.6988e-07,0.27462,2.8373e-08,13.119,1.8166e-07,0.17034,1.0597e-05,0.66716,9.3954e-07
0.43,5.3003,1.4414e-07,-0.88887,-3.7545e-07,0.28118,3.5595e-08,13.156,1.1652e-07,0.16253,1.1337e-05,0.6439,9.8953e-07
0.44,5.4272,1.505e-07,-0.92432,-2.6725e-07,0.2875,4.4286e-08,13.193,3.4427e-08,0.15222,1.1929e-05,0.6214,1.0378e-06
0.45,5.5542,1.5697e-07,-0.96077,-1.4357e-07,0.29361,5.4454e-08,13.231,-6.5638e-08,0.13966,1.2352e-05,0.59958,1.0839e-06
0.46,5.6813,1.6355e-07,-0.99823,-6.4345e-09,0.2995,6.6004e-08,13.269,-1.8354e-07,0.12499,1.2616e-05,0.57836,1.1268e-06
0.47,5.8085,1.7027e-07,-1.0367,1.4023e-07,0.30518,7.8793e-08,13.307,-3.1857e-07,0.10836,1.275e-05,0.55767,1.1645e-06
0.48,5.9358,1.7713e-07,-1.0761,2.9248e-07,0.31066,9.2676e-08,13.346,-4.6999e-07,0.089865,1.278e-05,0.53746,1.1957e-06
0.49,6.0632,1.8414e-07,-1.1166,4.4637e-07,0.31593,1.0751e-07,13.384,-6.3708e-07,0.069637,1.2734e-05,0.51765,1.2185e-06
0.5,6.1907,1.9132e-07,-1.158,5.9796e-07,0.321,1.2315e-07,13.423,-8.191e-07,0.047793,1.264e-05,0.49819,1.2313e-06
0.51,6.3182,1.9868e-07,-1.2004,7.4328e-07,0.32589,1.3944e-07,13.462,-1.0153e-06,0.024455,1.2525e-05,0.47901,1.2324e-06
0.52,6.4459,2.0623e-07,-1.2437,8.7847e-07,0.33058,1.5625e-07,13.501,-1.2251e-06,-0.00025946,1.2415e-05,0.46004,1.2203e-06
0.53,6.5736,2.1399e-07,-1.288,1.002e-06,0.33509,1.7341e-07,13.54,-1.447e-06,-0.026264,1.2312e-05,0.44123,1.1944e-06
