t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.26721,-0.3899,-0.23342,-0.60554,2.5613,-5.1522,0.16817,-0.42354,-0.14022,0.061826,0.06683,-0.21408,0.26721,0.3899,-0.23342,0.60554,2.5613,5.1522,0.16817,0.42354,-0.14022,-0.061826,0.066831,0.21408,-0.08682,-3.9751e-08,0.0040993,-5.5927e-08,-0.082143,-5.0086e-07,-0.050487,-3.7227e-08,0.013833,7.0627e-09,-0.005001,-1.4652e-08
0.01,0.24513,-0.3678,-0.22641,-0.5793,2.4584,-4.8582,0.15643,-0.3997,-0.13347,0.0541,0.062665,-0.20284,0.24513,0.3678,-0.22641,0.5793,2.4584,4.8582,0.15644,0.3997,-0.13347,-0.0541,0.062665,0.20284,-0.087596,-4.2349e-08,0.0056745,-5.9263e-08,-0.094153,-5.2854e-07,-0.051009,-3.9878e-08,0.014537,7.1796e-09,-0.0049737,-1.5491e-08
0.02,0.22305,-0.34169,-0.21842,-0.53525,2.3469,-4.5125,0.14437,-0.37142,-0.1261,0.046856,0.058406,-0.18927,0.22305,0.34169,-0.21842,0.53525,2.3469,4.5125,0.14437,0.37142,-0.1261,-0.046856,0.058406,0.18927,-0.08818,-4.4319e-08,0.007121,-6.1104e-08,-0.10422,-5.4749e-07,-0.05142,-4.1853e-08,0.015049,7.1181e-09,-0.0048897,-1.5986e-08
0.03,0.19976,-0.31082,-0.20793,-0.4755,2.2112,-4.1051,0.13116,-0.33789,-0.11743,0.039997,0.053695,-0.17297,0.19976,0.31082,-0.20793,0.4755,2.2112,4.1051,0.13116,0.33789,-0.11743,-0.039997,0.053695,0.17297,-0.088563,-4.5207e-08,0.0084079,-6.0781e-08,-0.11211,-5.5196e-07,-0.051709,-4.2642e-08,0.015365,6.8575e-09,-0.0047469,-1.5848e-08
0.04,0.17448,-0.27515,-0.19353,-0.4038,2.0376,-3.6354,0.11623,-0.29912,-0.10687,0.033499,0.048262,-0.15394,0.17448,0.27515,-0.19353,0.4038,2.0376,3.6354,0.11623,0.29912,-0.10687,-0.033499,0.048262,0.15394,-0.08875,-4.4852e-08,0.0095184,-5.8246e-08,-0.11774,-5.4004e-07,-0.051874,-4.2076e-08,0.015495,6.4123e-09,-0.0045483,-1.4983e-08
0.05,0.14693,-0.23523,-0.1741,-0.32515,1.8157,-3.1104,0.099319,-0.25574,-0.094042,0.027361,0.041941,-0.13243,0.14693,0.23523,-0.1741,0.32515,1.8157,3.1104,0.099319,0.25574,-0.094042,-0.027361,0.041941,0.13243,-0.088758,-4.331e-08,0.01045,-5.3887e-08,-0.12119,-5.1258e-07,-0.051923,-4.0201e-08,0.015452,5.8085e-09,-0.0043012,-1.3425e-08
0.06,0.11909,-0.19425,-0.15132,-0.24772,1.5644,-2.572,0.081718,-0.21125,-0.080036,0.021859,0.03524,-0.11018,0.11909,0.19424,-0.15132,0.24772,1.5643,2.572,0.081718,0.21125,-0.080036,-0.021859,0.03524,0.11018,-0.088611,-4.0895e-08,0.011209,-4.8513e-08,-0.12259,-4.7382e-07,-0.051869,-3.7355e-08,0.015258,5.0938e-09,-0.004015,-1.1341e-08
0.07,0.096829,-0.1603,-0.13309,-0.18362,1.3647,-2.1283,0.067529,-0.17457,-0.068987,0.017786,0.029991,-0.091828,0.096828,0.16029,-0.13309,0.18362,1.3647,2.1283,0.067529,0.17456,-0.068986,-0.017785,0.029991,0.091827,-0.088338,-3.8131e-08,0.011813,-4.3081e-08,-0.12224,-4.3079e-07,-0.051728,-3.4119e-08,0.014934,4.339e-09,-0.0037016,-9.0297e-09
0.08,0.084239,-0.13989,-0.12685,-0.13882,1.2905,-1.8656,0.059872,-0.15275,-0.064467,0.015655,0.027695,-0.081175,0.084239,0.13989,-0.12684,0.13882,1.2904,1.8656,0.059872,0.15275,-0.064467,-0.015655,0.027695,0.081174,-0.087987,-3.5621e-08,0.01231,-3.8408e-08,-0.12069,-3.9144e-07,-0.051536,-3.1147e-08,0.014517,3.6287e-09,-0.0033791,-6.8546e-09
0.09,0.078887,-0.13066,-0.13152,-0.10705,1.328,-1.7527,0.057424,-0.14321,-0.065517,0.015035,0.027892,-0.077019,0.078887,0.13066,-0.13152,0.10705,1.328,1.7527,0.057423,0.14321,-0.065516,-0.015035,0.027892,0.077018,-0.087633,-3.4019e-08,0.01281,-3.4885e-08,-0.1191,-3.6443e-07,-0.051361,-2.9154e-08,0.014059,3.0818e-09,-0.0030765,-5.2803e-09
