t, affine_elevL, affine_elevR, affine_throttle
0,4.721e-05,4.721e-05,-5.8203e-06
0.01,0.002098,0.0020981,-0.00040083
0.02,0.0032036,0.0032038,-0.0006292
0.03,0.0035072,0.0035075,-0.00071094
0.04,0.0031928,0.003193,-0.00067152
0.05,0.0024523,0.0024524,-0.00053837
0.06,0.0014765,0.0014765,-0.00033906
0.07,0.00039688,0.00039689,-9.5624e-05
0.08,-0.00053585,-0.00053587,0.00013827
0.09,-0.0010904,-0.0010904,0.00028835
0.1,-0.0013476,-0.0013476,0.00035436
0.11,-0.0013241,-0.0013241,0.00034724
0.12,-0.0010664,-0.0010665,0.00028292
0.13,-0.00067674,-0.00067678,0.00018323
0.14,-0.00027349,-0.00027352,7.4591e-05
0.15,6.1701e-05,6.1707e-05,-1.7186e-05
0.16,0.00028867,0.0002887,-7.8923e-05
0.17,0.00038791,0.00038797,-0.00010441
0.18,0.00039829,0.00039835,-0.00010478
0.19,0.00034627,0.00034634,-8.7487e-05
0.2,0.00025407,0.00025412,-5.9812e-05
0.21,0.00013944,0.00013948,-2.9267e-05
0.22,2.1033e-05,2.1038e-05,-4.3413e-06
0.23,-7.4229e-05,-7.4258e-05,1.1334e-05
0.24,-0.00012149,-0.00012154,1.6957e-05
0.25,-0.00012882,-0.00012889,1.6642e-05
0.26,-0.00010867,-0.00010875,1.3339e-05
0.27,-7.2997e-05,-7.3064e-05,9.2547e-06
0.28,-3.3719e-05,-3.3768e-05,5.1292e-06
0.29,-3.3483e-06,-3.3689e-06,1.3822e-06
0.3,8.6229e-06,8.6386e-06,-2.2553e-06
0.31,1.549e-05,1.5533e-05,-5.3772e-06
0.32,2.0293e-05,2.0353e-05,-7.2104e-06
0.33,2.294e-05,2.3007e-05,-7.5565e-06
0.34,2.2809e-05,2.2872e-05,-6.415e-06
0.35,1.8977e-05,1.9025e-05,-4.2679e-06
0.36,1.2213e-05,1.2239e-05,-1.8847e-06
