t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.067677,-0.2297,-0.052818,-0.23863,-0.055059,-2.8057,-0.018088,-0.22,0.021653,0.038861,0.0093792,-0.17061,0.33867,0.35688,-0.2722,-0.20913,4.1601,4.2598,0.26358,0.33714,-0.23518,-0.12663,0.10066,0.23174,-0.052538,-0.024196,-0.0089435,-0.026831,-0.030333,-0.25056,-0.034365,-0.01874,0.0072615,0.0029936,-0.0035317,-0.0089533
0.01,0.063881,-0.2388,-0.047225,-0.23374,-0.16758,-2.9207,-0.024693,-0.22841,0.030373,0.040688,0.0083883,-0.17842,0.33688,0.3522,-0.28673,-0.24655,4.2926,4.1891,0.26641,0.33336,-0.24274,-0.1266,0.10073,0.2291,-0.05353,-0.025797,-0.0074989,-0.02638,-0.048956,-0.26704,-0.035263,-0.020072,0.0083084,0.0032976,-0.0037384,-0.0096713
0.02,0.058926,-0.24765,-0.040063,-0.22467,-0.29316,-3.0298,-0.03172,-0.23635,0.039528,0.042719,0.0073366,-0.18567,0.33053,0.34303,-0.29638,-0.28079,4.3525,4.064,0.26508,0.32549,-0.24577,-0.125,0.098947,0.22372,-0.054502,-0.02739,-0.0060212,-0.025699,-0.067497,-0.28318,-0.036163,-0.021383,0.0093226,0.0035925,-0.0039192,-0.010366
0.03,0.053038,-0.25592,-0.03159,-0.2119,-0.42738,-3.1288,-0.038928,-0.24353,0.048757,0.044821,0.0062872,-0.1921,0.31867,0.32855,-0.29971,-0.30847,4.3228,3.8758,0.25868,0.31272,-0.24339,-0.12138,0.095079,0.21502,-0.055407,-0.028936,-0.004559,-0.024861,-0.085286,-0.29848,-0.037021,-0.022636,0.010265,0.003861,-0.0040576,-0.011014
0.04,0.04651,-0.26313,-0.022174,-0.19604,-0.56427,-3.2115,-0.045982,-0.24953,0.057615,0.046811,0.0053146,-0.19736,0.30077,0.30829,-0.29556,-0.3264,4.1916,3.6202,0.24662,0.29461,-0.23507,-0.11544,0.089071,0.20263,-0.056202,-0.030393,-0.003165,-0.023961,-0.10163,-0.31247,-0.037798,-0.023793,0.011095,0.0040855,-0.0041394,-0.011588
0.05,0.039696,-0.26862,-0.012253,-0.17776,-0.69698,-3.2705,-0.052482,-0.2538,0.065605,0.048484,0.004494,-0.20102,0.27661,0.28216,-0.28315,-0.3321,3.9522,3.2973,0.22867,0.27094,-0.22058,-0.10702,0.080997,0.18639,-0.056837,-0.031714,-0.0018979,-0.023104,-0.11579,-0.32461,-0.038448,-0.024811,0.011771,0.0042467,-0.0041509,-0.01206
0.06,0.032993,-0.27174,-0.0023584,-0.15791,-0.81788,-3.2982,-0.057996,-0.25577,0.072211,0.049628,0.0038944,-0.20264,0.24694,0.2509,-0.2627,-0.3245,3.612,2.9171,0.20542,0.24236,-0.20049,-0.096341,0.071252,0.16673,-0.05728,-0.032862,-0.00080746,-0.022395,-0.12716,-0.33452,-0.038938,-0.025657,0.012259,0.0043301,-0.004085,-0.012407
0.07,0.026762,-0.27202,0.0069773,-0.13751,-0.92016,-3.2896,-0.062179,-0.25507,0.077019,0.050078,0.0035552,-0.20196,0.21374,0.21643,-0.23593,-0.3049,3.1977,2.5032,0.17858,0.21056,-0.17644,-0.084112,0.060602,0.14484,-0.057524,-0.033829,8.4733e-05,-0.021901,-0.13555,-0.34211,-0.03926,-0.02632,0.01255,0.0043314,-0.0039452,-0.012621
0.08,0.021296,-0.26907,0.015282,-0.11751,-0.99828,-3.2411,-0.064761,-0.2514,0.079714,0.049713,0.0034818,-0.19877,0.1791,0.1808,-0.20488,-0.27553,2.7392,2.0798,0.15001,0.17739,-0.1502,-0.071112,0.04978,0.12199,-0.057575,-0.034609,0.00076567,-0.021682,-0.1409,-0.34739,-0.039415,-0.026795,0.012641,0.0042497,-0.0037388,-0.0127
0.09,0.016671,-0.26224,0.022242,-0.098405,-1.0476,-3.1456,-0.065538,-0.24419,0.080043,0.048403,0.0036163,-0.19267,0.14357,0.14466,-0.17003,-0.23687,2.2447,1.6548,0.12038,0.14333,-0.12232,-0.057549,0.03904,0.098541,-0.057458,-0.035221,0.0012497,-0.021748,-0.14348,-0.3506,-0.039424,-0.027096,0.012548,0.0040929,-0.0034802,-0.012653
