t, affine_elevL, affine_elevR, affine_throttle
0,0.00048096,-3.2034e-05,-1.7605e-05
0.01,0.010442,-0.0052375,-0.00042903
0.02,0.01769,-0.0097692,-0.00078232
0.03,0.022099,-0.013372,-0.0010603
0.04,0.023702,-0.01584,-0.0012462
0.05,0.022729,-0.017006,-0.0013253
0.06,0.019769,-0.01679,-0.0012972
0.07,0.015501,-0.015196,-0.0011655
0.08,0.010659,-0.012314,-0.00093954
0.09,0.0060035,-0.0083872,-0.0006398
0.1,0.0021173,-0.0036323,-0.00028066
0.11,-0.00054329,0.0011697,9.0781e-05
0.12,-0.0023901,0.0050237,0.00039242
0.13,-0.0040335,0.0076653,0.00059133
0.14,-0.0054412,0.009282,0.00070074
0.15,-0.0062182,0.0098945,0.00073387
0.16,-0.0062023,0.0095757,0.0007031
0.17,-0.0055499,0.008516,0.00062151
0.18,-0.0044892,0.0069193,0.00050232
0.19,-0.0032295,0.0049828,0.00035906
0.2,-0.0018827,0.0029014,0.00020672
0.21,-0.00057402,0.0008758,6.0692e-05
0.22,0.00053885,-0.00086151,-6.2663e-05
0.23,0.0013278,-0.0021294,-0.00015279
0.24,0.0018148,-0.0029493,-0.00021142
0.25,0.0020412,-0.0033686,-0.00024165
0.26,0.0020488,-0.0034406,-0.00024699
0.27,0.0018841,-0.0032205,-0.00023112
0.28,0.001592,-0.0027727,-0.00019861
0.29,0.0012184,-0.0021671,-0.0001546
0.3,0.00081043,-0.0014774,-0.00010462
0.31,0.00041465,-0.0007857,-5.5124e-05
0.32,8.3951e-05,-0.0001863,-1.3667e-05
0.33,-0.00016409,0.0002668,1.5451e-05
0.34,-0.0003371,0.00055774,3.1231e-05
0.35,-0.00045504,0.00071993,3.7122e-05
0.36,-0.00053073,0.0007839,3.6287e-05
0.37,-0.00057077,0.00077269,3.1117e-05
0.38,-0.00057814,0.00070559,2.36e-05
0.39,-0.00055288,0.0005988,1.538e-05
0.4,-0.00048976,0.00046297,7.5611e-06
0.41,-0.00038283,0.00030812,1.1697e-06
0.42,-0.00022237,0.00014071,-3.0821e-06
0.43,7.1395e-06,-3.6341e-05,-4.615e-06
0.44,0.00021217,-0.00016464,-3.4678e-06
0.45,0.00032654,-0.00021605,-7.731e-07
0.46,0.00036271,-0.00021066,2.1948e-06
0.47,0.00033673,-0.00016698,4.6125e-06
0.48,0.00026573,-0.00010251,5.8633e-06
0.49,0.00016859,-3.2389e-05,5.7661e-06
0.5,6.5271e-05,2.9293e-05,4.3572e-06
0.51,-2.2869e-05,7.0332e-05,2.0251e-06
0.52,-7.3526e-05,7.9676e-05,-6.2091e-07
0.53,-6.3492e-05,4.7522e-05,-2.7361e-06
0.54,2.2553e-05,-2.8629e-05,-3.3271e-06
0.55,8.8089e-05,-7.6964e-05,-2.7584e-06
0.56,0.00010374,-8.2009e-05,-1.874e-06
0.57,8.3139e-05,-5.834e-05,-1.1066e-06
0.58,3.9178e-05,-1.7834e-05,-6.0829e-07
0.59,-1.5199e-05,2.7987e-05,-4.8258e-07
0.6,-6.8023e-05,6.9778e-05,-6.5861e-07
0.61,-0.00010826,9.9384e-05,-1.0321e-06
0.62,-0.00012496,0.00010869,-1.5049e-06
0.63,-0.00010855,9.053e-05,-2.0394e-06
0.64,-4.8664e-05,3.6768e-05,-2.6685e-06
0.65,3.9115e-05,-4.31e-05,-3.9056e-06
0.66,8.9403e-05,-0.00010125,-6.4471e-06
0.67,0.00010121,-0.00013205,-9.5086e-06
0.68,8.6102e-05,-0.00013993,-1.2338e-05
0.69,5.4802e-05,-0.00012952,-1.4339e-05
0.7,1.7546e-05,-0.0001056,-1.501e-05
0.71,-1.7918e-05,-7.3812e-05,-1.4321e-05
0.72,-4.4481e-05,-4.017e-05,-1.2376e-05
0.73,-5.5613e-05,-1.1017e-05,-9.4083e-06
0.74,-4.7031e-05,6.1988e-06,-6.1068e-06
0.75,-1.3691e-05,2.1726e-06,-3.3755e-06
0.76,2.2885e-05,-1.7373e-05,-2.5396e-06
0.77,3.7211e-05,-3.7931e-05,-3.9833e-06
0.78,3.3572e-05,-5.4786e-05,-6.5841e-06
0.79,1.8697e-05,-6.6051e-05,-9.4204e-06
0.8,-7.4584e-07,-6.9895e-05,-1.1604e-05
0.81,-1.9879e-05,-6.6331e-05,-1.2712e-05
0.82,-3.5172e-05,-5.6819e-05,-1.2667e-05
0.83,-4.3086e-05,-4.2876e-05,-1.1402e-05
0.84,-4.0542e-05,-2.6739e-05,-8.9976e-06
0.85,-2.6431e-05,-1.2486e-05,-5.9518e-06
0.86,-1.3157e-07,-4.4991e-06,-2.8237e-06
0.87,2.312e-05,-4.264e-06,-7.1571e-07
0.88,3.2249e-05,-8.7237e-06,1.4824e-08
0.89,3.0843e-05,-1.5118e-05,-2.189e-07
0.9,2.2345e-05,-2.0991e-05,-1.0464e-06
0.91,9.7064e-06,-2.5338e-05,-2.2133e-06
0.92,-4.1362e-06,-2.7483e-05,-3.4736e-06
0.93,-1.6242e-05,-2.6916e-05,-4.5877e-06
0.94,-2.3663e-05,-2.4063e-05,-5.311e-06
0.95,-2.3303e-05,-1.9601e-05,-5.373e-06
0.96,-1.178e-05,-1.45e-05,-4.4637e-06
0.97,1.2531e-05,-9.6574e-06,-2.2873e-06
0.98,3.4204e-05,-2.6501e-06,4.7874e-07
0.99,4.6985e-05,6.2645e-06,3.0501e-06
1,5.0881e-05,1.5454e-05,4.9284e-06
1.01,4.7099e-05,2.3518e-05,5.9102e-06
1.02,3.7035e-05,2.9078e-05,5.8324e-06
1.03,2.2538e-05,3.0847e-05,4.6329e-06
1.04,7.1538e-06,2.8226e-05,2.6436e-06
1.05,-5.0848e-06,2.0854e-05,2.9137e-07
1.06,-9.6861e-06,8.5929e-06,-1.9083e-06
1.07,-2.5596e-07,-8.0789e-06,-3.0944e-06
