t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.33867,-0.35688,-0.2722,0.20911,4.1601,-4.2599,0.26358,-0.33714,-0.23518,0.12663,0.10066,-0.23174,0.067675,0.2297,-0.052816,0.23863,-0.055073,2.8057,-0.018089,0.22,0.021653,-0.038861,0.0093783,0.17061,-0.052538,0.024196,-0.0089436,0.026831,-0.030332,0.25056,-0.034365,0.01874,0.0072615,-0.0029936,-0.0035316,0.0089533
0.01,0.33689,-0.35222,-0.28675,0.24658,4.2928,-4.1893,0.26642,-0.33338,-0.24276,0.12661,0.10073,-0.22911,0.063875,0.23881,-0.047218,0.23374,-0.1677,2.9209,-0.0247,0.22842,0.030379,-0.040691,0.0083856,0.17843,-0.05353,0.025796,-0.0074991,0.02638,-0.048952,0.26704,-0.035263,0.020071,0.0083081,-0.0032974,-0.0037382,0.0096711
0.02,0.33044,-0.34295,-0.29632,0.28077,4.3515,-4.063,0.26502,-0.32541,-0.24571,0.12497,0.098918,-0.22367,0.058913,0.24764,-0.040047,0.22462,-0.29332,3.0297,-0.031726,0.23634,0.039533,-0.042721,0.0073325,0.18566,-0.054501,0.02739,-0.0060212,0.025697,-0.067493,0.28317,-0.036162,0.021382,0.0093222,-0.0035924,-0.0039189,0.010366
0.03,0.31852,-0.3284,-0.29956,0.30826,4.3207,-3.8741,0.25856,-0.31258,-0.24328,0.12132,0.095034,-0.21492,0.053025,0.25588,-0.031585,0.21186,-0.42731,3.1282,-0.038922,0.24349,0.048748,-0.044813,0.0062844,0.19207,-0.055409,0.028938,-0.0045577,0.024861,-0.085305,0.2985,-0.037022,0.022637,0.010266,-0.0038615,-0.0040581,0.011015
0.04,0.30062,-0.30816,-0.29539,0.32614,4.1893,-3.6186,0.2465,-0.29447,-0.23495,0.11538,0.089024,-0.20253,0.0465,0.26308,-0.022173,0.19602,-0.56413,3.2109,-0.045972,0.24948,0.057601,-0.0468,0.0053126,0.19732,-0.056203,0.030394,-0.0031642,0.023962,-0.10165,0.31248,-0.037799,0.023794,0.011096,-0.0040857,-0.0041398,0.011589
0.05,0.27664,-0.28222,-0.28318,0.33209,3.9526,-3.298,0.2287,-0.271,-0.2206,0.10703,0.081001,-0.18643,0.039703,0.26861,-0.012258,0.17775,-0.69692,3.2704,-0.052475,0.25379,0.065599,-0.048482,0.0044952,0.20102,-0.056834,0.031711,-0.0019011,0.023109,-0.11575,0.32458,-0.038445,0.024809,0.011768,-0.0042455,-0.0041499,0.012059
0.06,0.24743,-0.25138,-0.26323,0.32516,3.6192,-2.9227,0.20582,-0.24283,-0.20089,0.096528,0.071392,-0.16705,0.033012,0.27184,-0.0023678,0.15798,-0.81809,3.2994,-0.058013,0.25587,0.072233,-0.049644,0.0038978,0.20272,-0.057279,0.032862,-0.000808,0.022395,-0.12715,0.33451,-0.038937,0.025657,0.012259,-0.0043299,-0.0040847,0.012407
0.07,0.21419,-0.21685,-0.23644,0.3056,3.2045,-2.508,0.17895,-0.21097,-0.17682,0.084287,0.060733,-0.14512,0.02678,0.27214,0.0069702,0.13759,-0.92048,3.2911,-0.062202,0.25519,0.077047,-0.050099,0.0035586,0.20205,-0.057525,0.033829,8.5344e-05,0.021901,-0.13556,0.34212,-0.03926,0.02632,0.012551,-0.0043315,-0.0039453,0.012621
0.08,0.17848,-0.18017,-0.20418,0.27463,2.7299,-2.0725,0.14949,-0.17678,-0.14969,0.070871,0.04961,-0.12157,0.021276,0.26894,0.015288,0.11743,-0.99794,3.2395,-0.064734,0.25128,0.079681,-0.049692,0.0034766,0.19868,-0.057574,0.034609,0.00076488,0.021684,-0.14089,0.34739,-0.039414,0.026794,0.012641,-0.0042493,-0.0037386,0.012699
0.09,0.14196,-0.14316,-0.16809,0.2341,2.2196,-1.6376,0.11906,-0.14183,-0.12097,0.056917,0.038593,-0.097518,0.016594,0.26173,0.022254,0.098132,-1.0462,3.1396,-0.065435,0.24372,0.079913,-0.048318,0.003597,0.1923,-0.057457,0.035221,0.0012496,0.021748,-0.14348,0.35059,-0.039424,0.027096,0.012548,-0.0040928,-0.0034801,0.012653
0.1,0.10787,-0.109,-0.13202,0.18953,1.7243,-1.2399,0.090507,-0.10916,-0.093456,0.043695,0.028617,-0.075059,0.012888,0.25081,0.027569,0.08061,-1.0638,2.9957,-0.06433,0.23283,0.077795,-0.04602,0.0038746,0.18322,-0.057206,0.035685,0.0015611,0.022089,-0.14369,0.352,-0.039315,0.027242,0.012294,-0.0038711,-0.0031853,0.012495
0.11,0.086058,-0.086462,-0.10908,0.16159,1.4073,-0.97771,0.071969,-0.087775,-0.075763,0.0352,0.022333,-0.060337,0.01044,0.2407,0.031505,0.066692,-1.0686,2.8625,-0.062671,0.2228,0.07481,-0.043665,0.0043572,0.17479,-0.056881,0.036063,0.0017675,0.022624,-0.14248,0.35234,-0.039149,0.02729,0.011928,-0.0036124,-0.0028775,0.012267
0.12,0.08308,-0.080998,-0.10944,0.16752,1.3873,-0.90978,0.06869,-0.08385,-0.073946,0.03413,0.021246,-0.057489,0.0091478,0.23666,0.035075,0.05722,-1.0881,2.8027,-0.062189,0.21847,0.072865,-0.042306,0.005099,0.17082,-0.05657,0.036457,0.0019783,0.02321,-0.14132,0.35279,-0.039019,0.027341,0.011522,-0.0033622,-0.0025837,0.012044
0.13,0.092127,-0.085993,-0.12601,0.19809,1.5663,-0.95893,0.075016,-0.091253,-0.082528,0.03787,0.023289,-0.062295,0.0084875,0.23825,0.038978,0.050742,-1.1277,2.8095,-0.063117,0.21937,0.072095,-0.041934,0.0060348,0.17087,-0.056305,0.036912,0.0022425,0.023786,-0.14086,0.35386,-0.038963,0.02744,0.011107,-0.0031399,-0.0023122,0.011858
