t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0,-0.19141,0,12.046,0,-2.3342,0,0,0
0.01,0.1227,0,6.7568e-13,0,-0.19141,0,12.046,0,-2.3342,0,-5.6042e-12,0
0.02,0.2454,0,2.658e-12,0,-0.19141,0,12.046,0,-2.3342,0,-2.0011e-11,0
0.03,0.36809,0,5.8825e-12,0,-0.19141,0,12.046,0,-2.3342,0,-4.0574e-11,0
0.04,0.49079,0,1.0286e-11,0,-0.19141,0,12.046,0,-2.3342,0,-6.5411e-11,0
0.05,0.61349,0,1.5813e-11,0,-0.19141,0,12.046,0,-2.3342,0,-9.2875e-11,0
0.06,0.73619,0,2.2412e-11,0,-0.19141,0,12.046,0,-2.3342,0,-1.2146e-10,0
0.07,0.85888,0,3.0037e-11,0,-0.19141,0,12.046,0,-2.3342,0,-1.4987e-10,0
0.08,0.98158,0,3.8643e-11,0,-0.19141,0,12.046,0,-2.3342,0,-1.7741e-10,0
0.09,1.1043,0,4.819e-11,0,-0.19141,0,12.046,0,-2.3342,0,-2.0385e-10,0
0.1,1.227,0,5.864e-11,0,-0.19141,0,12.046,0,-2.3342,0,-2.2893e-10,0
0.11,1.3497,0,6.9959e-11,0,-0.19141,0,12.046,0,-2.3342,0,-2.5231e-10,0
0.12,1.4724,0,8.2118e-11,0,-0.19141,0,12.046,0,-2.3342,0,-2.7372e-10,0
0.13,1.5951,0,9.5088e-11,0,-0.19141,0,12.046,0,-2.3342,0,-2.9289e-10,0
0.14,1.7178,0,1.0884e-10,0,-0.19141,0,12.046,0,-2.3342,0,-3.0987e-10,0
0.15,1.8405,0,1.2336e-10,0,-0.19141,0,12.046,0,-2.3342,0,-3.2489e-10,0
0.16,1.9632,0,1.3862e-10,0,-0.19141,0,12.046,0,-2.3342,0,-3.3808e-10,0
0.17,2.0859,0,1.5461e-10,0,-0.19141,0,12.046,0,-2.3342,0,-3.495e-10,0
0.18,2.2086,0,1.713e-10,0,-0.19141,0,12.046,0,-2.3342,0,-3.592e-10,0
0.19,2.3313,0,1.8867e-10,0,-0.19141,0,12.046,0,-2.3342,0,-3.6724e-10,0
0.2,2.454,0,2.0672e-10,0,-0.19141,0,12.046,0,-2.3342,0,-3.7377e-10,0
0.21,2.5767,0,2.2542e-10,0,-0.19141,0,12.046,0,-2.3342,0,-3.7897e-10,0
0.22,2.6993,0,2.4477e-10,0,-0.19141,0,12.046,0,-2.3342,0,-3.8299e-10,0
0.23,2.822,0,2.6476e-10,0,-0.19141,0,12.046,0,-2.3342,0,-3.8594e-10,0
0.24,2.9447,0,2.8536e-10,0,-0.19141,0,12.046,0,-2.3342,0,-3.8791e-10,0
0.25,3.0674,0,3.0658e-10,0,-0.19141,0,12.046,0,-2.3342,0,-3.8899e-10,0
0.26,3.1901,0,3.284e-10,0,-0.19141,0,12.046,0,-2.3342,0,-3.8928e-10,0
0.27,3.3128,0,3.5081e-10,0,-0.19141,0,12.046,0,-2.3342,0,-3.8889e-10,0
0.28,3.4355,0,3.738e-10,0,-0.19141,0,12.046,0,-2.3342,0,-3.8792e-10,0
0.29,3.5582,0,3.9736e-10,0,-0.19141,0,12.046,0,-2.3342,0,-3.8643e-10,0
0.3,3.6809,0,4.2149e-10,0,-0.19141,0,12.046,0,-2.3342,0,-3.8449e-10,0
0.31,3.8036,0,4.4617e-10,0,-0.19141,0,12.046,0,-2.3342,0,-3.8216e-10,0
0.32,3.9263,0,4.714e-10,0,-0.19141,0,12.046,0,-2.3342,0,-3.7949e-10,0
0.33,4.049,0,4.9717e-10,0,-0.19141,0,12.046,0,-2.3342,0,-3.7654e-10,0
0.34,4.1717,0,5.2348e-10,0,-0.19141,0,12.046,0,-2.3342,0,-3.7335e-10,0
0.35,4.2944,0,5.5031e-10,0,-0.19141,0,12.046,0,-2.3342,0,-3.6995e-10,0
0.36,4.4171,0,5.7765e-10,0,-0.19141,0,12.046,0,-2.3342,0,-3.6639e-10,0
0.37,4.5398,0,6.0551e-10,0,-0.19141,0,12.046,0,-2.3342,0,-3.6269e-10,0
0.38,4.6625,0,6.3387e-10,0,-0.19141,0,12.046,0,-2.3342,0,-3.5888e-10,0
0.39,4.7852,0,6.6273e-10,0,-0.19141,0,12.046,0,-2.3342,0,-3.5498e-10,0
0.4,4.9079,0,6.9208e-10,0,-0.19141,0,12.046,0,-2.3342,0,-3.5101e-10,0
0.41,5.0306,0,7.2192e-10,0,-0.19141,0,12.046,0,-2.3342,0,-3.4699e-10,0
0.42,5.1533,0,7.5223e-10,0,-0.19141,0,12.046,0,-2.3342,0,-3.4293e-10,0
0.43,5.276,0,7.8301e-10,0,-0.19141,0,12.046,0,-2.3342,0,-3.3884e-10,0
0.44,5.3987,0,8.1426e-10,0,-0.19141,0,12.046,0,-2.3342,0,-3.3474e-10,0
0.45,5.5214,0,8.4596e-10,0,-0.19141,0,12.046,0,-2.3342,0,-3.3063e-10,0
0.46,5.6441,0,8.7812e-10,0,-0.19141,0,12.046,0,-2.3342,0,-3.2653e-10,0
0.47,5.7668,0,9.1072e-10,0,-0.19141,0,12.046,0,-2.3342,0,-3.2243e-10,0
0.48,5.8895,0,9.4377e-10,0,-0.19141,0,12.046,0,-2.3342,0,-3.1834e-10,0
0.49,6.0122,0,9.7724e-10,0,-0.19141,0,12.046,0,-2.3342,0,-3.1428e-10,0
0.5,6.1349,0,1.0111e-09,0,-0.19141,0,12.046,0,-2.3342,0,-3.1023e-10,0
0.51,6.2576,0,1.0455e-09,0,-0.19141,0,12.046,0,-2.3342,0,-3.0621e-10,0
0.52,6.3803,0,1.0802e-09,0,-0.19141,0,12.046,0,-2.3342,0,-3.0222e-10,0
0.53,6.503,0,1.1154e-09,0,-0.19141,0,12.046,0,-2.3342,0,-2.9825e-10,0
0.54,6.6257,0,1.1509e-09,0,-0.19141,0,12.046,0,-2.3342,0,-2.9431e-10,0
0.55,6.7484,0,1.1869e-09,0,-0.19141,0,12.046,0,-2.3342,0,-2.9041e-10,0
0.56,6.8711,0,1.2232e-09,0,-0.19141,0,12.046,0,-2.3342,0,-2.8654e-10,0
0.57,6.9938,0,1.2599e-09,0,-0.19141,0,12.046,0,-2.3342,0,-2.827e-10,0
0.58,7.1165,0,1.297e-09,0,-0.19141,0,12.046,0,-2.3342,0,-2.789e-10,0
0.59,7.2392,0,1.3345e-09,0,-0.19141,0,12.046,0,-2.3342,0,-2.7513e-10,0
0.6,7.3619,0,1.3724e-09,0,-0.19141,0,12.046,0,-2.3342,0,-2.714e-10,0
0.61,7.4846,0,1.4106e-09,0,-0.19141,0,12.046,0,-2.3342,0,-2.677e-10,0
0.62,7.6073,0,1.4492e-09,0,-0.19141,0,12.046,0,-2.3342,0,-2.6403e-10,0
0.63,7.73,0,1.4881e-09,0,-0.19141,0,12.046,0,-2.3342,0,-2.604e-10,0
0.64,7.8526,0,1.5274e-09,0,-0.19141,0,12.046,0,-2.3342,0,-2.5681e-10,0
