t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0,-0.28964,0,11.494,0,-2.3819,0,0,0
0.01,0.11695,0,0.01,0,-0.28964,0,11.494,0,-2.3819,0,-3.7965e-12,0
0.02,0.2339,0,0.02,0,-0.28964,0,11.494,0,-2.3819,0,-7.7955e-12,0
0.03,0.35086,0,0.03,0,-0.28964,0,11.494,0,-2.3819,0,-1.4614e-11,0
0.04,0.46781,0,0.04,0,-0.28964,0,11.494,0,-2.3819,0,-1.4261e-11,0
0.05,0.58476,0,0.05,0,-0.28964,0,11.494,0,-2.3819,0,-3.8087e-12,0
0.06,0.70171,0,0.06,0,-0.28964,0,11.494,0,-2.3819,0,1.0999e-11,0
0.07,0.81867,0,0.07,0,-0.28964,0,11.494,0,-2.3819,0,5.9369e-12,0
0.08,0.93562,0,0.08,0,-0.28964,0,11.494,0,-2.3819,0,-2.461e-11,0
0.09,1.0526,0,0.09,0,-0.28964,0,11.494,0,-2.3819,0,-4.7394e-11,0
0.1,1.1695,0,0.1,0,-0.28964,0,11.494,0,-2.3819,0,-3.6639e-11,0
0.11,1.2865,0,0.11,0,-0.28964,0,11.494,0,-2.3819,0,1.306e-11,0
0.12,1.4034,0,0.12,0,-0.28964,0,11.494,0,-2.3819,0,6.7772e-11,0
0.13,1.5204,0,0.13,0,-0.28964,0,11.494,0,-2.3819,0,2.9382e-11,0
0.14,1.6373,0,0.14,0,-0.28964,0,11.494,0,-2.3819,0,-1.1572e-10,0
0.15,1.7543,0,0.15,0,-0.28964,0,11.494,0,-2.3819,0,-2.2251e-10,0
0.16,1.8712,0,0.16,0,-0.28964,0,11.494,0,-2.3819,0,-1.782e-10,0
0.17,1.9882,0,0.17,0,-0.28964,0,11.494,0,-2.3819,0,4.3497e-11,0
0.18,2.1051,0,0.18,0,-0.28964,0,11.494,0,-2.3819,0,2.8898e-10,0
0.19,2.2221,0,0.19,0,-0.28964,0,11.494,0,-2.3819,0,1.0988e-10,0
0.2,2.339,0,0.2,0,-0.28964,0,11.494,0,-2.3819,0,-5.5632e-10,0
0.21,2.456,0,0.21,0,-0.28964,0,11.494,0,-2.3819,0,-1.0474e-09,0
0.22,2.5729,0,0.22,0,-0.28964,0,11.494,0,-2.3819,0,-8.4848e-10,0
0.23,2.6899,0,0.23,0,-0.28964,0,11.494,0,-2.3819,0,1.6049e-10,0
0.24,2.8069,0,0.24,0,-0.28964,0,11.494,0,-2.3819,0,1.2782e-09,0
0.25,2.9238,0,0.25,0,-0.28964,0,11.494,0,-2.3819,0,4.5784e-10,0
0.26,3.0408,0,0.26,0,-0.28964,0,11.494,0,-2.3819,0,-2.586e-09,0
0.27,3.1577,0,0.27,0,-0.28964,0,11.494,0,-2.3819,0,-4.8305e-09,0
0.28,3.2747,0,0.28,0,-0.28964,0,11.494,0,-2.3819,0,-3.9249e-09,0
0.29,3.3916,0,0.29,0,-0.28964,0,11.494,0,-2.3819,0,6.7973e-10,0
0.3,3.5086,0,0.3,0,-0.28964,0,11.494,0,-2.3819,0,5.7811e-09,0
0.31,3.6255,0,0.31,0,-0.28964,0,11.494,0,-2.3819,0,2.0317e-09,0
0.32,3.7425,0,0.32,0,-0.28964,0,11.494,0,-2.3819,0,-1.1869e-08,0
0.33,3.8594,0,0.33,0,-0.28964,0,11.494,0,-2.3819,0,-2.2108e-08,0
0.34,3.9764,0,0.34,0,-0.28964,0,11.494,0,-2.3819,0,-1.7963e-08,0
0.35,4.0933,0,0.35,0,-0.28964,0,11.494,0,-2.3819,0,3.0224e-09,0
0.36,4.2103,0,0.36,0,-0.28964,0,11.494,0,-2.3819,0,2.6264e-08,0
0.37,4.3272,0,0.37,0,-0.28964,0,11.494,0,-2.3819,0,9.2724e-09,0
0.38,4.4442,0,0.38,0,-0.28964,0,11.494,0,-2.3819,0,-5.4018e-08,0
0.39,4.5611,0,0.39,0,-0.28964,0,11.494,0,-2.3819,0,-1.0123e-07,0
0.4,4.6781,0,0.4,0,-0.28964,0,11.494,0,-2.3819,0,-8.2947e-08,0
0.41,4.795,0,0.41,0,-0.28964,0,11.494,0,-2.3819,0,1.4613e-08,0
0.42,4.912,0,0.42,0,-0.28964,0,11.494,0,-2.3819,0,1.2308e-07,0
0.43,5.0289,0,0.43,0,-0.28964,0,11.494,0,-2.3819,0,3.8951e-08,0
0.44,5.1459,0,0.44,0,-0.28964,0,11.494,0,-2.3819,0,-2.5883e-07,0
0.45,5.2628,0,0.45,0,-0.28964,0,11.494,0,-2.3819,0,-4.4988e-07,0
0.46,5.3798,0,0.46,0,-0.28964,0,11.494,0,-2.3819,0,-3.3339e-07,0
0.47,5.4968,0,0.47,0,-0.28964,0,11.494,0,-2.3819,0,2.0576e-08,0
0.48,5.6137,0,0.48,0,-0.28964,0,11.494,0,-2.3819,0,3.9257e-07,0
0.49,5.7307,0,0.49,0,-0.28964,0,11.494,0,-2.3819,0,3.5499e-07,0
0.5,5.8476,0,0.5,0,-0.28964,0,11.494,0,-2.3819,0,-7.3344e-08,0
0.51,5.9646,0,0.51,0,-0.28964,0,11.494,0,-2.3819,0,-1.7406e-07,0
0.52,6.0815,0,0.52,0,-0.28964,0,11.494,0,-2.3819,0,7.2707e-08,0
0.53,6.1985,0,0.53,0,-0.28964,0,11.494,0,-2.3819,0,2.7137e-07,0
0.54,6.3154,0,0.54,0,-0.28964,0,11.494,0,-2.3819,0,5.8878e-08,0
0.55,6.4324,0,0.55,0,-0.28964,0,11.494,0,-2.3819,0,-1.2702e-07,0
0.56,6.5493,0,0.56,0,-0.28964,0,11.494,0,-2.3819,0,-2.127e-08,0
0.57,6.6663,0,0.57,0,-0.28964,0,11.494,0,-2.3819,0,1.5978e-07,0
0.58,6.7832,0,0.58,0,-0.28964,0,11.494,0,-2.3819,0,6.7092e-08,0
0.59,6.9002,0,0.59,0,-0.28964,0,11.494,0,-2.3819,0,-2.0164e-07,0
0.6,7.0171,0,0.6,0,-0.28964,0,11.494,0,-2.3819,0,-2.3368e-07,0
0.61,7.1341,0,0.61,0,-0.28964,0,11.494,0,-2.3819,0,3.7997e-09,0
0.62,7.251,0,0.62,0,-0.28964,0,11.494,0,-2.3819,0,2.705e-07,0
0.63,7.368,0,0.63,0,-0.28964,0,11.494,0,-2.3819,0,6.2559e-08,0
0.64,7.4849,0,0.64,0,-0.28964,0,11.494,0,-2.3819,0,-4.6492e-07,0
0.65,7.6019,0,0.65,0,-0.28964,0,11.494,0,-2.3819,0,-5.9498e-07,0
0.66,7.7188,0,0.66,0,-0.28964,0,11.494,0,-2.3819,0,-1.9124e-07,0
0.67,7.8358,0,0.67,0,-0.28964,0,11.494,0,-2.3819,0,4.5625e-07,0
0.68,7.9528,0,0.68,0,-0.28964,0,11.494,0,-2.3819,0,5.4332e-07,0
0.69,8.0697,0,0.69,0,-0.28964,0,11.494,0,-2.3819,0,-2.7048e-07,0
0.7,8.1867,0,0.7,0,-0.28964,0,11.494,0,-2.3819,0,-7.3051e-07,0
0.71,8.3036,0,0.71,0,-0.28964,0,11.494,0,-2.3819,0,-2.967e-07,0
0.72,8.4206,0,0.72,0,-0.28964,0,11.494,0,-2.3819,0,5.1728e-07,0
0.73,8.5375,0,0.73,0,-0.28964,0,11.494,0,-2.3819,0,6.953e-07,0
0.74,8.6545,0,0.74,0,-0.28964,0,11.494,0,-2.3819,0,-2.1882e-08,0
0.75,8.7714,0,0.75,0,-0.28964,0,11.494,0,-2.3819,0,-2.2559e-07,0
0.76,8.8884,0,0.76,0,-0.28964,0,11.494,0,-2.3819,0,1.4163e-07,0
0.77,9.0053,0,0.77,0,-0.28964,0,11.494,0,-2.3819,0,3.9952e-07,0
0.78,9.1223,0,0.78,0,-0.28964,0,11.494,0,-2.3819,0,8.8519e-08,0
0.79,9.2392,0,0.79,0,-0.28964,0,11.494,0,-2.3819,0,-1.0027e-07,0
0.8,9.3562,0,0.8,0,-0.28964,0,11.494,0,-2.3819,0,4.5824e-08,0
0.81,9.4731,0,0.81,0,-0.28964,0,11.494,0,-2.3819,0,1.8476e-07,0
0.82,9.5901,0,0.82,0,-0.28964,0,11.494,0,-2.3819,0,1.6035e-08,0
0.83,9.707,0,0.83,0,-0.28964,0,11.494,0,-2.3819,0,-1.6332e-07,0
0.84,9.824,0,0.84,0,-0.28964,0,11.494,0,-2.3819,0,-8.7416e-08,0
