t, affine_elevL, affine_elevR, affine_throttle
0,-0.001389,0.00057716,0.00010615
0.01,0.0033189,-0.0039698,3.1804e-05
0.02,0.0071499,-0.008894,-2.7792e-05
0.03,0.0094446,-0.01314,-6.3703e-05
0.04,0.0097942,-0.015564,-6.7165e-05
0.05,0.008153,-0.015086,-3.4327e-05
0.06,0.0049102,-0.010913,2.9033e-05
0.07,0.00089049,-0.0028182,0.00010507
0.08,-0.0029946,0.0075007,0.00015747
0.09,-0.0058937,0.014237,0.00015049
0.1,-0.0075604,0.017306,0.00011425
0.11,-0.0079239,0.017301,7.6159e-05
0.12,-0.0071555,0.01492,5.4859e-05
0.13,-0.0054882,0.010914,6.0074e-05
0.14,-0.0032545,0.0061261,9.226e-05
0.15,-0.00086229,0.0014984,0.00014187
0.16,0.00073314,-0.0013931,0.00018556
0.17,0.0013167,-0.0024033,0.00021097
0.18,0.0011582,-0.002072,0.00021546
0.19,0.00053947,-0.0009454,0.00020081
0.2,-0.00024308,0.00044124,0.00017323
0.21,-0.00088538,0.0015829,0.00014296
0.22,-0.0010827,0.0020235,0.00012355
0.23,-0.00085833,0.0018365,0.00011927
0.24,-0.00081902,0.0018496,0.000112
0.25,-0.00090194,0.0019728,0.00010406
0.26,-0.0010047,0.0020909,9.8595e-05
0.27,-0.0010385,0.0021057,9.8086e-05
0.28,-0.00092874,0.0019331,0.00010424
0.29,-0.00060361,0.0014971,0.00011796
0.3,-7.8694e-05,0.00083026,0.00013663
0.31,0.00028605,0.00037604,0.00014713
0.32,0.00044151,0.00018864,0.0001491
0.33,0.00047585,0.00015919,0.00014687
0.34,0.0004538,0.00019839,0.00014387
0.35,0.00042583,0.00022645,0.00014304
0.36,0.00042628,0.0001729,0.00014662
0.37,0.00047421,-7.6597e-06,0.00015522
0.38,0.00055454,-0.00022157,0.00016177
0.39,0.00063545,-0.00034242,0.00016007
0.4,0.00070939,-0.00040688,0.00015435
0.41,0.00076436,-0.00045555,0.0001489
0.42,0.0007864,-0.00052516,0.00014753
0.43,0.00076113,-0.00064934,0.00015351
0.44,0.00067614,-0.00086019,0.00016948
0.45,0.00055011,-0.0011528,0.00019375
0.46,0.00047577,-0.0013648,0.00020905
0.47,0.00044752,-0.0014915,0.00021521
0.48,0.00044183,-0.0015653,0.00021565
0.49,0.00043471,-0.0016159,0.00021323
0.5,0.00040251,-0.0016721,0.00021038
0.51,0.00032035,-0.001764,0.00020945
0.52,0.00017959,-0.0019088,0.00021083
0.53,4.9369e-05,-0.002048,0.00020617
0.54,-1.9893e-05,-0.0021409,0.00019382
0.55,-3.7967e-05,-0.0022023,0.00017996
0.56,-3.546e-05,-0.0022514,0.00017054
0.57,-5.4647e-05,-0.0023073,0.00017124
0.58,-0.00015324,-0.0023839,0.00018725
0.59,-0.00040069,-0.0024923,0.00022323
0.6,-0.00084727,-0.0026854,0.00028198
0.61,-0.0013765,-0.003007,0.00035267
0.62,-0.00183,-0.0033746,0.00041812
0.63,-0.0021159,-0.0036893,0.00046354
0.64,-0.0021834,-0.0038526,0.0004758
0.65,-0.0020261,-0.0037545,0.00044353
0.66,-0.0017047,-0.0032827,0.00035674
0.67,-0.0013082,-0.0023251,0.00020586
0.68,-0.0008269,-0.0010864,7.1846e-06
0.69,-0.00025519,0.00012761,-0.00019572
0.7,0.00031709,0.0010762,-0.00035714
0.71,0.00071893,0.0015392,-0.00043746
0.72,0.0007142,0.0013359,-0.00040188
0.73,-2.1568e-06,0.00034849,-0.0002214
0.74,-0.0018341,-0.0014841,0.00013224
0.75,-0.0045245,-0.0037653,0.00055842
0.76,-0.0070784,-0.0057589,0.00088251
0.77,-0.0090256,-0.0071437,0.0010838
0.78,-0.010022,-0.007697,0.0011512
0.79,-0.0097984,-0.0072485,0.0010733
0.8,-0.008142,-0.0056634,0.0008371
0.81,-0.0049671,-0.0028173,0.00042419
0.82,-0.00061447,0.00099215,-0.0001407
0.83,0.0030693,0.0032127,-0.00054622
0.84,0.0054248,0.0038438,-0.00075894
0.85,0.0063071,0.0035754,-0.00081798
0.86,0.0058058,0.002968,-0.00075238
0.87,0.0042055,0.0024504,-0.00058651
0.88,0.0019871,0.0022715,-0.00034543
0.89,-0.00025863,0.0024813,-6.2973e-05
0.9,-0.0015974,0.0026563,0.00016456
0.91,-0.002014,0.0024818,0.00028315
0.92,-0.002005,0.0021163,0.00031295
0.93,-0.001821,0.0016819,0.00027817
0.94,-0.0015364,0.0012661,0.00020356
0.95,-0.0011061,0.00094859,0.00011171
0.96,-0.00040023,0.0008225,2.0828e-05
0.97,0.00051458,0.0012782,-5.851e-05
0.98,0.00083426,0.0029931,-0.00013302
0.99,0.00048878,0.005228,-0.00021047
1,-0.0003476,0.0070423,-0.000285
1.01,-0.0013247,0.0076079,-0.00033583
1.02,-0.0019374,0.0064612,-0.0003298
1.03,-0.0016866,0.0037524,-0.00023635
1.04,-0.00040037,0.00075843,-5.4655e-05
1.05,0.00087195,-0.0009327,0.00010298
1.06,0.0015416,-0.0014522,0.00018225
1.07,0.0017021,-0.0013003,0.00019811
1.08,0.0014904,-0.00089283,0.00016871
1.09,0.0010434,-0.00046193,0.00011241
1.1,0.00046816,-0.00012865,4.5853e-05
1.11,-0.00017431,7.2217e-05,-1.6996e-05
1.12,-0.00077232,0.0001746,-6.1597e-05
1.13,-0.0010987,0.00020934,-7.9648e-05
1.14,-0.0011567,0.00019312,-7.7869e-05
1.15,-0.00099669,0.00015343,-6.3438e-05
1.16,-0.00070042,0.00010482,-4.3215e-05
1.17,-0.00037743,5.902e-05,-2.3439e-05
1.18,-0.00015795,2.8304e-05,-9.7138e-06
1.19,-0.00018014,2.891e-05,-6.3552e-06
1.2,-0.00036618,5.3551e-05,-9.2139e-06
1.21,-0.00056407,8.521e-05,-1.2574e-05
1.22,-0.00068694,0.00011184,-1.3838e-05
1.23,-0.00068677,0.00012234,-1.2082e-05
1.24,-0.00055777,0.00010945,-7.8855e-06
1.25,-0.00032902,7.1785e-05,-2.7032e-06
1.26,-5.6687e-05,1.4963e-05,1.4763e-06
1.27,4.8315e-05,-1.1958e-05,1.3117e-06
1.28,-7.1507e-05,2.025e-05,-2.3009e-06
1.29,-0.00027301,8.6323e-05,-5.5366e-06
1.3,-0.00044716,0.00015531,-6.6001e-06
1.31,-0.00051529,0.00019491,-5.1248e-06
1.32,-0.00043174,0.00017589,-1.8369e-06
1.33,-0.00017638,7.4529e-05,1.9232e-06
1.34,0.00018428,-9.6133e-05,4.3174e-06
1.35,0.00032232,-0.00018763,4.0902e-06
1.36,0.00028141,-0.00018689,2.9056e-06
1.37,0.00015078,-0.00012118,1.8472e-06
1.38,6.5179e-06,-2.8621e-05,1.4702e-06
1.39,-9.1555e-05,4.7269e-05,1.8122e-06
1.4,-9.3581e-05,5.8749e-05,2.7153e-06
1.41,3.7215e-05,-4.0476e-05,3.8676e-06
1.42,0.0002165,-0.00019889,4.8552e-06
1.43,0.00035523,-0.00033715,5.2931e-06
1.44,0.00043749,-0.00042836,5.0934e-06
1.45,0.00045381,-0.00045509,4.3716e-06
1.46,0.00040144,-0.0004101,3.4783e-06
1.47,0.00028148,-0.00029327,2.9078e-06
1.48,9.2933e-05,-0.00010751,3.4085e-06
1.49,-8.2146e-05,6.2175e-05,4.911e-06
1.5,-0.00011363,8.8486e-05,6.0081e-06
1.51,-4.8379e-05,2.058e-05,6.3439e-06
1.52,5.5311e-05,-8.1732e-05,5.9674e-06
1.53,0.00014781,-0.00016943,5.1289e-06
1.54,0.00018627,-0.00020171,4.1969e-06
1.55,0.00013405,-0.00014608,3.6286e-06
1.56,-3.2812e-05,1.6398e-05,3.8571e-06
1.57,-0.00014718,0.00012354,4.1877e-06
1.58,-0.00016859,0.00014082,4.319e-06
1.59,-0.00013106,0.00010352,4.3311e-06
1.6,-6.5982e-05,4.268e-05,4.2922e-06
1.61,-2.1853e-06,-1.4901e-05,4.2225e-06
1.62,3.2838e-05,-4.4871e-05,4.0932e-06
1.63,1.0378e-05,-2.2882e-05,3.7994e-06
1.64,-4.6513e-05,2.9428e-05,3.3252e-06
1.65,-8.1504e-05,6.1596e-05,2.911e-06
1.66,-9.6667e-05,7.484e-05,2.6712e-06
1.67,-9.6176e-05,7.2613e-05,2.6658e-06
1.68,-8.3424e-05,5.8439e-05,2.8802e-06
1.69,-6.1206e-05,3.6185e-05,3.2145e-06
