t, elevL, elevR, throttle
0,0.19141,0.19141,5.0797
0.01,0.12689,0.2398,5.1148
0.02,0.062369,0.28818,5.1498
0.03,-0.0021506,0.33657,5.1849
0.04,-0.06667,0.38496,5.22
0.05,-0.13119,0.43335,5.255
0.06,-0.19571,0.48173,5.2901
0.07,-0.26023,0.53012,5.3252
0.08,-0.27474,0.53034,5.3398
0.09,-0.25361,0.49622,5.3398
0.1,-0.23248,0.4621,5.3398
0.11,-0.21135,0.42798,5.3398
0.12,-0.19021,0.39387,5.3398
0.13,-0.16908,0.35975,5.3398
0.14,-0.14795,0.32563,5.3398
0.15,-0.1293,0.29324,5.3398
0.16,-0.123,0.2694,5.3398
0.17,-0.11669,0.24556,5.3398
0.18,-0.11039,0.22172,5.3398
0.19,-0.10408,0.19789,5.3398
0.2,-0.097774,0.17405,5.3398
0.21,-0.091468,0.15021,5.3398
0.22,-0.085162,0.12638,5.3398
0.23,-0.088681,0.1145,5.3398
0.24,-0.095447,0.10658,5.3398
0.25,-0.10221,0.098665,5.3398
0.26,-0.10898,0.090746,5.3398
0.27,-0.11575,0.082827,5.3398
0.28,-0.12251,0.074907,5.3398
0.29,-0.12928,0.066988,5.3398
0.3,-0.13915,0.063418,5.3398
0.31,-0.15517,0.068465,5.3398
0.32,-0.17119,0.073512,5.3398
0.33,-0.18721,0.078559,5.3398
0.34,-0.20323,0.083606,5.3398
0.35,-0.21925,0.088653,5.3398
0.36,-0.23527,0.093701,5.3398
0.37,-0.2513,0.098748,5.3398
0.38,-0.26794,0.11243,5.3398
0.39,-0.28463,0.12687,5.3398
0.4,-0.30132,0.14131,5.3398
0.41,-0.31802,0.15575,5.3398
0.42,-0.33471,0.17019,5.3398
0.43,-0.3514,0.18463,5.3398
0.44,-0.3681,0.19907,5.3398
0.45,-0.38257,0.21701,5.3398
0.46,-0.39483,0.23841,5.3398
0.47,-0.4071,0.25981,5.3398
0.48,-0.41937,0.2812,5.3398
0.49,-0.43163,0.3026,5.3398
0.5,-0.4439,0.324,5.3398
0.51,-0.45617,0.3454,5.3398
0.52,-0.468,0.367,5.3398
0.53,-0.47527,0.39078,5.3398
0.54,-0.48254,0.41455,5.3398
0.55,-0.4898,0.43833,5.3398
0.56,-0.49707,0.4621,5.3398
0.57,-0.50434,0.48588,5.3398
0.58,-0.5116,0.50965,5.3398
0.59,-0.51887,0.53343,5.3398
0.6,-0.52308,0.55434,5.3398
0.61,-0.52578,0.57385,5.3398
0.62,-0.52849,0.59337,5.3398
0.63,-0.53119,0.61288,5.3398
0.64,-0.53389,0.63239,5.3398
0.65,-0.5366,0.6519,5.3398
0.66,-0.5393,0.67141,5.3398
0.67,-0.54039,0.6889,5.3398
0.68,-0.53675,0.70049,5.3398
0.69,-0.53312,0.71207,5.3398
0.7,-0.52948,0.72365,5.3398
0.71,-0.52585,0.73524,5.3398
0.72,-0.52221,0.74682,5.3398
0.73,-0.51858,0.7584,5.3398
0.74,-0.51494,0.76999,5.3398
0.75,-0.49727,0.77329,4.736
0.76,-0.47689,0.775,4.016
0.77,-0.45652,0.77671,3.296
0.78,-0.43614,0.77842,2.5759
0.79,-0.41576,0.78013,1.8559
0.8,-0.39539,0.78184,1.1359
0.81,-0.37501,0.78355,0.41588
0.82,-0.3486,0.77893,0.30414
0.83,-0.31395,0.76565,1.0242
0.84,-0.27931,0.75238,1.7442
0.85,-0.24466,0.7391,2.4642
0.86,-0.21001,0.72583,3.1842
0.87,-0.17536,0.71255,3.9042
0.88,-0.14071,0.69928,4.6242
0.89,-0.10615,0.68583,5.3398
0.9,-0.086653,0.64443,5.3398
0.91,-0.067151,0.60304,5.3398
0.92,-0.047649,0.56164,5.3398
0.93,-0.028147,0.52025,5.3398
0.94,-0.0086453,0.47886,5.3398
0.95,0.010857,0.43746,5.3398
0.96,0.030359,0.39607,5.3398
0.97,0.038414,0.35623,5.3398
0.98,0.038519,0.31748,5.3398
0.99,0.038624,0.27872,5.3398
1,0.03873,0.23997,5.3398
1.01,0.038835,0.20122,5.3398
1.02,0.03894,0.16247,5.3398
1.03,0.039045,0.12371,5.3398
1.04,0.039298,0.089512,5.3398
1.05,0.040255,0.076926,5.3398
1.06,0.041211,0.064339,5.3398
1.07,0.042167,0.051753,5.3398
1.08,0.043123,0.039166,5.3398
1.09,0.04408,0.026579,5.3398
1.1,0.045036,0.013993,5.3398
1.11,0.045992,0.0014063,5.3398
1.12,0.052323,-0.0036924,5.3398
1.13,0.060372,-0.0063982,5.3398
1.14,0.06842,-0.009104,5.3398
1.15,0.076469,-0.01181,5.3398
1.16,0.084517,-0.014516,5.3398
1.17,0.092566,-0.017221,5.3398
1.18,0.10061,-0.019927,5.3398
1.19,0.10959,-0.022935,5.3398
1.2,0.12034,-0.026525,5.3398
1.21,0.13109,-0.030115,5.3398
1.22,0.14184,-0.033704,5.3398
1.23,0.1526,-0.037294,5.3398
1.24,0.16335,-0.040884,5.3398
1.25,0.1741,-0.044474,5.3398
1.26,0.18485,-0.048063,5.3398
1.27,0.19036,-0.049962,5.3398
1.28,0.19544,-0.051724,5.3398
1.29,0.20053,-0.053486,5.3398
1.3,0.20561,-0.055248,5.3398
1.31,0.21069,-0.05701,5.3398
1.32,0.21578,-0.058772,5.3398
1.33,0.22086,-0.060534,5.3398
1.34,0.2224,-0.058001,5.3398
1.35,0.22052,-0.05133,5.3398
1.36,0.21864,-0.044659,5.3398
1.37,0.21676,-0.037989,5.3398
1.38,0.21488,-0.031318,5.3398
1.39,0.213,-0.024647,5.3398
1.4,0.21112,-0.017977,5.3398
1.41,0.20916,-0.0108,5.3398
1.42,0.2064,0.0012907,5.3398
1.43,0.20364,0.013382,5.3398
1.44,0.20087,0.025473,5.3398
1.45,0.19811,0.037564,5.3398
1.46,0.19535,0.049655,5.3398
1.47,0.19258,0.061746,5.3398
1.48,0.18982,0.073837,5.3398
1.49,0.18947,0.0814,5.3398
1.5,0.19026,0.086804,5.3398
1.51,0.19105,0.092208,5.3398
1.52,0.19185,0.097612,5.3398
1.53,0.19264,0.10302,5.3398
1.54,0.19343,0.10842,5.3398
1.55,0.19423,0.11382,5.3398
1.56,0.19596,0.1166,5.3398
1.57,0.20034,0.11194,5.3398
1.58,0.20472,0.10728,5.3398
1.59,0.2091,0.10261,5.3398
1.6,0.21348,0.097952,5.3398
1.61,0.21786,0.093289,5.3398
1.62,0.22224,0.088627,5.3398
1.63,0.22662,0.083965,5.3398
1.64,0.23223,0.075305,5.3398
1.65,0.23806,0.065909,5.3398
1.66,0.2439,0.056514,5.3398
1.67,0.24973,0.047119,5.3398
1.68,0.25557,0.037723,5.3398
1.69,0.2614,0.028328,5.3398
1.7,0.26724,0.018933,5.3398
1.71,0.27294,0.010472,5.3398
1.72,0.27847,0.0032564,5.3398
1.73,0.284,-0.0039592,5.3398
1.74,0.28954,-0.011175,5.3398
1.75,0.29507,-0.01839,5.3398
1.76,0.3006,-0.025606,5.3398
1.77,0.30613,-0.032822,5.3398
1.78,0.31165,-0.039963,5.3398
1.79,0.31673,-0.041232,5.3398
1.8,0.32181,-0.042502,5.3398
1.81,0.32688,-0.043771,5.3398
1.82,0.33196,-0.045041,5.3398
1.83,0.33704,-0.04631,5.3398
1.84,0.34212,-0.04758,5.3398
1.85,0.34719,-0.048849,5.3398
1.86,0.35217,-0.046718,5.3398
1.87,0.35707,-0.042285,5.3398
1.88,0.36197,-0.037853,5.3398
1.89,0.36687,-0.03342,5.3398
1.9,0.37177,-0.028987,5.3398
1.91,0.37668,-0.024555,5.3398
1.92,0.38158,-0.020122,5.3398
1.93,0.38589,-0.014745,5.3398
1.94,0.38751,-0.0050741,5.3398
1.95,0.38914,0.0045971,5.3398
1.96,0.39076,0.014268,5.3398
1.97,0.39239,0.02394,5.3398
1.98,0.39401,0.033611,5.3398
1.99,0.39564,0.043282,5.3398
2,0.39726,0.052953,5.3398
2.01,0.38856,0.06918,5.3398
2.02,0.37666,0.08743,5.3398
2.03,0.36477,0.10568,5.3398
2.04,0.35288,0.12393,5.3398
2.05,0.34098,0.14218,5.3398
2.06,0.32909,0.16043,5.3398
2.07,0.31719,0.17868,5.3398
2.08,0.29672,0.20148,5.1367
2.09,0.26018,0.23281,4.5533
2.1,0.22363,0.26413,3.9698
2.11,0.18709,0.29546,3.3863
2.12,0.15054,0.32678,2.8028
2.13,0.114,0.35811,2.2193
2.14,0.077456,0.38943,1.6358
2.15,0.040912,0.42075,1.0523
2.16,0.057642,0.39381,1.5236
2.17,0.078271,0.36259,2.072
2.18,0.0989,0.33138,2.6204
2.19,0.11953,0.30017,3.1688
2.2,0.14016,0.26895,3.7172
2.21,0.16079,0.23774,4.2656
2.22,0.18142,0.20653,4.8141
