t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.1968,-0.19734,-0.14344,0.1329,2.2136,-2.4911,0.19997,-0.25648,-0.11477,0.074713,0.024404,-0.3738,0.10131,0.28406,-0.081781,0.57047,0.98574,4.042,-0.0036285,0.43156,0.034835,-0.018386,0.020543,0.54424,-0.04832,0.011863,-0.014199,0.028536,0.04308,0.1108,-0.048297,0.0030268,0.0020884,0.0045789,-0.0020438,0.026633
0.01,0.18897,-0.18288,-0.15747,0.19419,2.3674,-2.3139,0.1868,-0.24226,-0.11935,0.078363,0.024487,-0.34446,0.1005,0.30023,-0.067264,0.56807,0.76793,4.2809,-0.0049853,0.45605,0.050773,-0.022017,0.020392,0.57563,-0.048518,0.012455,-0.013566,0.027858,0.037333,0.11728,-0.048899,0.002985,0.0022776,0.0043035,-0.0020351,0.026524
0.02,0.17723,-0.16663,-0.16626,0.24383,2.4471,-2.1146,0.17,-0.22627,-0.1203,0.079868,0.023907,-0.31331,0.099554,0.31431,-0.050596,0.55805,0.52651,4.4886,-0.0046318,0.47764,0.066225,-0.02571,0.020159,0.60281,-0.048623,0.01296,-0.012996,0.027184,0.032753,0.12266,-0.049423,0.0028237,0.0023433,0.0040537,-0.0020206,0.026183
0.03,0.16179,-0.1487,-0.16891,0.27822,2.443,-1.8941,0.15001,-0.20809,-0.11739,0.078762,0.022648,-0.28041,0.098858,0.32553,-0.032626,0.54148,0.2735,4.6539,-0.0020758,0.49522,0.080197,-0.02903,0.019859,0.62444,-0.048622,0.013369,-0.012519,0.026589,0.029744,0.12679,-0.049852,0.0025224,0.0022692,0.0038419,-0.0019979,0.025589
0.04,0.14324,-0.12931,-0.16497,0.29516,2.3515,-1.6542,0.12769,-0.1874,-0.11063,0.074849,0.020763,-0.24581,0.098605,0.3328,-0.01429,0.51922,0.021785,4.7616,0.0029984,0.50722,0.09162,-0.031522,0.019472,0.63862,-0.048512,0.013672,-0.012161,0.026134,0.028619,0.12956,-0.050185,0.0020614,0.0020452,0.0036769,-0.0019661,0.024727
0.05,0.12214,-0.10867,-0.15411,0.29316,2.1702,-1.3967,0.10393,-0.16379,-0.10006,0.068063,0.018309,-0.20938,0.098687,0.33468,0.0034451,0.49155,-0.21557,4.7909,0.010596,0.51145,0.0994,-0.03276,0.018928,0.64273,-0.0483,0.013868,-0.01194,0.025856,0.029567,0.13091,-0.05043,0.0014257,0.0016689,0.0035625,-0.0019258,0.023585
0.06,0.10002,-0.087644,-0.1375,0.27451,1.9169,-1.1319,0.080444,-0.138,-0.086593,0.059066,0.015511,-0.17216,0.098858,0.33015,0.019619,0.45899,-0.42627,4.7278,0.020331,0.50639,0.10275,-0.032498,0.018161,0.63494,-0.048003,0.013962,-0.011863,0.025761,0.032603,0.13089,-0.050609,0.0006123,0.0011495,0.0034947,-0.0018786,0.022167
0.07,0.076433,-0.065992,-0.11391,0.23646,1.5758,-0.8565,0.057439,-0.10902,-0.069748,0.047575,0.012271,-0.13298,0.098121,0.31703,0.033362,0.41961,-0.59874,4.5411,0.03122,0.48862,0.10086,-0.030572,0.017009,0.61115,-0.047643,0.013969,-0.01192,0.025829,0.037567,0.1297,-0.050748,-0.00036399,0.00050861,0.0034626,-0.0018264,0.020496
0.08,0.071843,-0.057829,-0.11484,0.24905,1.5738,-0.75209,0.049314,-0.1015,-0.067693,0.046277,0.012,-0.12087,0.10154,0.3118,0.045661,0.39642,-0.75672,4.4672,0.04425,0.48347,0.099192,-0.028607,0.016417,0.60317,-0.047256,0.013922,-0.012072,0.025954,0.043855,0.12773,-0.050881,-0.0014586,-0.00020607,0.0034387,-0.0017727,0.018627
0.09,0.078983,-0.056736,-0.1342,0.30327,1.8205,-0.73852,0.048946,-0.10778,-0.076077,0.052155,0.013735,-0.12498,0.10837,0.31566,0.059018,0.38641,-0.93451,4.5227,0.058571,0.49289,0.10016,-0.027367,0.016356,0.61381,-0.046907,0.013851,-0.012211,0.025838,0.050027,0.12536,-0.051034,-0.0026054,-0.00090585,0.0033692,-0.001726,0.016625
0.1,0.084609,-0.053464,-0.1522,0.35579,2.0474,-0.69713,0.047065,-0.11209,-0.083558,0.057344,0.015308,-0.12638,0.11494,0.3186,0.073077,0.37497,-1.1216,4.5646,0.072639,0.50161,0.10111,-0.026146,0.016208,0.62398,-0.046599,0.013754,-0.012332,0.02544,0.056006,0.12254,-0.051201,-0.003803,-0.0015779,0.0032516,-0.0016863,0.014491
0.11,0.089803,-0.048922,-0.17031,0.40906,2.2747,-0.63988,0.044647,-0.11594,-0.091067,0.062419,0.016888,-0.12705,0.12147,0.32117,0.087929,0.36301,-1.3194,4.6004,0.086521,0.51055,0.1023,-0.024981,0.015993,0.6348,-0.046332,0.013627,-0.012439,0.024759,0.061879,0.11924,-0.051379,-0.0050534,-0.0022194,0.0030897,-0.0016528,0.012224
0.12,0.094285,-0.042982,-0.18772,0.46088,2.4922,-0.56507,0.041743,-0.11893,-0.098243,0.067123,0.018416,-0.12664,0.12766,0.32261,0.10344,0.3497,-1.5258,4.6193,0.09998,0.51859,0.10361,-0.023839,0.01566,0.64487,-0.046103,0.013468,-0.01254,0.023796,0.067732,0.11543,-0.051563,-0.0063552,-0.0028282,0.0028868,-0.0016245,0.0098261
0.13,0.098243,-0.035926,-0.20448,0.5107,2.7009,-0.47654,0.038719,-0.12138,-0.10518,0.071487,0.019908,-0.12566,0.1334,0.32267,0.11952,0.33493,-1.739,4.6179,0.11286,0.52542,0.10511,-0.022724,0.015192,0.65375,-0.04591,0.013278,-0.012641,0.022558,0.073638,0.11115,-0.051749,-0.0077022,-0.0034036,0.0026461,-0.0016004,0.0073063
