t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0,-0.19141,0,11.382,0,-4.5832,0,0,0
0.01,0.12036,-0.00013951,-0.022663,-0.0041904,-0.18903,0.0011931,11.403,0.0011367,-4.4559,0.07039,0.035348,-0.018302
0.02,0.24068,-0.00020439,-0.044406,-0.0057208,-0.18681,0.0016202,11.424,0.0010685,-4.3349,0.16471,0.066549,-0.046296
0.03,0.36096,-0.00021424,-0.065265,-0.0047358,-0.1847,0.0013076,11.445,0.00011883,-4.22,0.27939,0.093916,-0.082859
0.04,0.4812,-0.00018863,-0.085273,-0.0013802,-0.18269,0.00028149,11.466,-0.0013888,-4.1107,0.41086,0.11776,-0.12687
0.05,0.60142,-0.00014715,-0.10447,0.0042014,-0.18073,-0.0014319,11.486,-0.003131,-4.0067,0.55555,0.13839,-0.1772
0.06,0.72163,-0.0001094,-0.12288,0.011864,-0.17879,-0.0038063,11.506,-0.0047842,-3.9076,0.70989,0.15613,-0.23272
0.07,0.84182,-9.4947e-05,-0.14054,0.021464,-0.17684,-0.0068154,11.526,-0.0060251,-3.8131,0.87031,0.17127,-0.29233
0.08,0.96201,-0.00012339,-0.1575,0.032855,-0.17483,-0.010433,11.546,-0.0065302,-3.7227,1.0332,0.18415,-0.35488
0.09,1.0822,-0.0002143,-0.17377,0.045894,-0.17275,-0.014633,11.566,-0.0059759,-3.6362,1.1951,0.19505,-0.41926
0.1,1.2024,-0.00038728,-0.18941,0.060435,-0.17055,-0.019389,11.586,-0.004039,-3.5531,1.3524,0.20431,-0.48435
0.11,1.3227,-0.00066191,-0.20444,0.076334,-0.16819,-0.024675,11.606,-0.00039586,-3.473,1.5014,0.21223,-0.54901
0.12,1.4429,-0.0010578,-0.21889,0.093447,-0.16565,-0.030464,11.626,0.0052769,-3.3957,1.6387,0.21912,-0.61213
0.13,1.5632,-0.0015945,-0.23281,0.11163,-0.16289,-0.03673,11.646,0.013303,-3.3207,1.7606,0.2253,-0.67259
0.14,1.6836,-0.0022915,-0.24623,0.13073,-0.15988,-0.043448,11.666,0.024005,-3.2477,1.8637,0.23107,-0.72925
0.15,1.804,-0.0031686,-0.25917,0.15062,-0.15658,-0.05059,11.686,0.037707,-3.1762,1.9442,0.23675,-0.78101
0.16,1.9244,-0.0042475,-0.27169,0.17114,-0.15297,-0.058127,11.707,0.054629,-3.1062,2.0006,0.24255,-0.8272
0.17,2.0449,-0.005555,-0.28379,0.19216,-0.14904,-0.066016,11.728,0.074742,-3.0375,2.0354,0.24844,-0.86833
0.18,2.1655,-0.007119,-0.29552,0.21354,-0.1448,-0.074213,11.748,0.097977,-2.9702,2.0521,0.25437,-0.90509
0.19,2.2862,-0.0089674,-0.30691,0.23514,-0.14024,-0.082677,11.769,0.12427,-2.9044,2.0541,0.26028,-0.93815
0.2,2.4069,-0.011128,-0.31797,0.25683,-0.13536,-0.091363,11.79,0.15354,-2.8402,2.0447,0.2661,-0.96819
0.21,2.5277,-0.013628,-0.32875,0.27847,-0.13017,-0.10023,11.811,0.18574,-2.7776,2.0273,0.27177,-0.9959
0.22,2.6486,-0.016496,-0.33927,0.29993,-0.12466,-0.10923,11.832,0.22079,-2.7166,2.0052,0.27722,-1.0219
0.23,2.7696,-0.019758,-0.34955,0.32107,-0.11884,-0.11833,11.853,0.25861,-2.6574,1.9818,0.28241,-1.047
0.24,2.8907,-0.023438,-0.35964,0.34188,-0.1127,-0.1275,11.873,0.29907,-2.5999,1.9586,0.28734,-1.0712
0.25,3.0118,-0.027555,-0.36955,0.36238,-0.10625,-0.13673,11.893,0.34198,-2.5441,1.9367,0.29203,-1.0947
0.26,3.1331,-0.032128,-0.37933,0.38261,-0.099481,-0.14602,11.914,0.38717,-2.4898,1.9167,0.29652,-1.1176
0.27,3.2544,-0.037179,-0.38899,0.4026,-0.092403,-0.15535,11.934,0.43446,-2.437,1.8998,0.30082,-1.1398
0.28,3.3758,-0.042726,-0.39858,0.42237,-0.085014,-0.16471,11.953,0.48367,-2.3857,1.8868,0.30498,-1.1615
0.29,3.4973,-0.04879,-0.40811,0.44197,-0.077316,-0.17409,11.973,0.53462,-2.3357,1.8785,0.30902,-1.1827
0.3,3.6189,-0.05539,-0.41763,0.46141,-0.069311,-0.18349,11.992,0.58713,-2.2871,1.8759,0.31296,-1.2034
0.31,3.7406,-0.062544,-0.42715,0.48076,-0.060998,-0.19289,12.011,0.64102,-2.2398,1.8796,0.31679,-1.2237
0.32,3.8624,-0.070269,-0.43672,0.50008,-0.052381,-0.20228,12.03,0.69609,-2.1938,1.8902,0.32038,-1.2436
0.33,3.9843,-0.078578,-0.44635,0.51946,-0.043459,-0.21166,12.048,0.75212,-2.1494,1.9079,0.32363,-1.2632
0.34,4.1063,-0.087488,-0.45608,0.53899,-0.034236,-0.22101,12.066,0.80893,-2.1065,1.9333,0.32641,-1.2825
0.35,4.2284,-0.097014,-0.46594,0.55873,-0.024711,-0.23033,12.084,0.8663,-2.0653,1.9667,0.3286,-1.3015
0.36,4.3505,-0.10717,-0.47596,0.57877,-0.014887,-0.2396,12.102,0.92404,-2.0258,2.0085,0.33008,-1.3203
0.37,4.4727,-0.11797,-0.48616,0.59919,-0.0047643,-0.24883,12.119,0.98194,-1.9881,2.059,0.33074,-1.3388
0.38,4.595,-0.12943,-0.49657,0.62008,0.0056547,-0.258,12.136,1.0398,-1.9524,2.1187,0.33046,-1.3572
0.39,4.7174,-0.14157,-0.50724,0.64151,0.016369,-0.2671,12.152,1.0974,-1.9188,2.1874,0.32922,-1.3755
0.4,4.8399,-0.15439,-0.51817,0.66356,0.027379,-0.27612,12.168,1.1547,-1.8873,2.2647,0.32698,-1.3936
0.41,4.9624,-0.16791,-0.52942,0.68633,0.038682,-0.28506,12.184,1.2113,-1.8583,2.3505,0.32374,-1.4117
0.42,5.0849,-0.18214,-0.541,0.70989,0.050278,-0.29389,12.2,1.2671,-1.8318,2.4445,0.31948,-1.4296
0.43,5.2075,-0.19709,-0.55294,0.73434,0.062166,-0.3026,12.215,1.322,-1.808,2.5464,0.31417,-1.4476
0.44,5.3302,-0.21277,-0.56529,0.75974,0.074344,-0.3112,12.23,1.3757,-1.7871,2.6559,0.30781,-1.4655
0.45,5.4529,-0.22919,-0.57807,0.78619,0.086813,-0.31966,12.244,1.4281,-1.7692,2.7727,0.30036,-1.4834
0.46,5.5756,-0.24637,-0.5913,0.81376,0.099576,-0.32798,12.258,1.479,-1.7544,2.8966,0.29188,-1.5014
0.47,5.6984,-0.26432,-0.60503,0.84252,0.11264,-0.33612,12.272,1.5283,-1.7427,3.0272,0.28245,-1.5196
0.48,5.8211,-0.28305,-0.61928,0.87252,0.12602,-0.34409,12.286,1.576,-1.7341,3.164,0.27216,-1.5383
0.49,5.9439,-0.30256,-0.63409,0.90383,0.13972,-0.35185,12.299,1.6219,-1.7285,3.3067,0.26108,-1.5576
0.5,6.0666,-0.32287,-0.64949,0.93651,0.15376,-0.35939,12.313,1.666,-1.7261,3.455,0.24933,-1.5776
0.51,6.1893,-0.34399,-0.66551,0.97064,0.16813,-0.36668,12.326,1.7082,-1.7267,3.6085,0.23697,-1.5985
0.52,6.312,-0.36592,-0.68219,1.0063,0.18285,-0.37372,12.339,1.7484,-1.7304,3.7667,0.22411,-1.6205
0.53,6.4346,-0.38868,-0.69955,1.0434,0.19794,-0.38048,12.352,1.7865,-1.7371,3.9293,0.21083,-1.6436
0.54,6.5571,-0.41228,-0.71763,1.0822,0.2134,-0.38691,12.365,1.8228,-1.7466,4.0958,0.19723,-1.6682
0.55,6.6796,-0.43672,-0.73648,1.1227,0.22927,-0.39295,12.378,1.8573,-1.7588,4.2656,0.1834,-1.6943
0.56,6.802,-0.46201,-0.75613,1.1649,0.24555,-0.39857,12.391,1.8904,-1.7733,4.4384,0.16946,-1.7222
0.57,6.9242,-0.48816,-0.77661,1.2088,0.26226,-0.40371,12.403,1.9221,-1.79,4.6135,0.15549,-1.752
0.58,7.0463,-0.51517,-0.79797,1.2546,0.27943,-0.40832,12.415,1.9526,-1.8086,4.7905,0.1416,-1.7838
0.59,7.1682,-0.54305,-0.82025,1.3022,0.29708,-0.41235,12.427,1.9822,-1.829,4.9688,0.12789,-1.8179
0.6,7.29,-0.57181,-0.84347,1.3518,0.31522,-0.41576,12.437,2.011,-1.8509,5.148,0.11444,-1.8545
0.61,7.4116,-0.60144,-0.86769,1.4033,0.33385,-0.41844,12.447,2.0394,-1.8741,5.3276,0.10131,-1.8935
