t, elevL, elevR, throttle
0,0.19141,0.19141,5.0797
0.01,0.21362,0.20759,5.0912
0.02,0.23584,0.22377,5.1028
0.03,0.25806,0.23996,5.1144
0.04,0.28027,0.25614,5.1259
0.05,0.30249,0.27232,5.1375
0.06,0.32471,0.2885,5.149
0.07,0.34692,0.30469,5.1606
0.08,0.36914,0.32087,5.1722
0.09,0.39136,0.33705,5.1837
0.1,0.41357,0.35324,5.1953
0.11,0.43579,0.36942,5.2068
0.12,0.45801,0.3856,5.2184
0.13,0.48022,0.40178,5.23
0.14,0.50244,0.41797,5.2415
0.15,0.52465,0.43415,5.2531
0.16,0.54687,0.45033,5.2646
0.17,0.56909,0.46651,5.2762
0.18,0.5913,0.4827,5.2877
0.19,0.61352,0.49888,5.2993
0.2,0.63574,0.51506,5.3109
0.21,0.65795,0.53124,5.3224
0.22,0.68017,0.54743,5.334
0.23,0.67936,0.56217,5.3398
0.24,0.65552,0.57548,5.3398
0.25,0.63168,0.58879,5.3398
0.26,0.60784,0.6021,5.3398
0.27,0.584,0.61542,5.3398
0.28,0.56016,0.62873,5.3398
0.29,0.53632,0.64204,5.3398
0.3,0.51248,0.65535,5.3398
0.31,0.48864,0.66866,5.3398
0.32,0.4648,0.68197,5.3398
0.33,0.44096,0.69528,5.3398
0.34,0.41712,0.70859,5.3398
0.35,0.39328,0.7219,5.3398
0.36,0.36944,0.73521,5.3398
0.37,0.3456,0.74852,5.3398
0.38,0.32176,0.76183,5.3398
0.39,0.29792,0.77514,5.3398
0.4,0.27408,0.78845,5.3398
0.41,0.25024,0.80176,5.3398
0.42,0.2264,0.81507,5.3398
0.43,0.20256,0.82838,5.3398
0.44,0.17872,0.84169,5.3398
0.45,0.15488,0.855,5.3398
0.46,0.12729,0.79069,5.3398
0.47,0.099706,0.72637,5.3398
0.48,0.07212,0.66206,5.3398
0.49,0.044534,0.59775,5.3398
0.5,0.016947,0.53343,5.3398
0.51,-0.010639,0.46912,5.3398
0.52,-0.038225,0.40481,5.3398
0.53,-0.065811,0.34049,5.3398
0.54,-0.093398,0.27618,5.3398
0.55,-0.12098,0.21187,5.3398
0.56,-0.14857,0.14755,5.3398
0.57,-0.17616,0.083239,5.3398
0.58,-0.20374,0.018925,5.3398
0.59,-0.23133,-0.045388,5.3398
0.6,-0.25892,-0.1097,5.3398
0.61,-0.2865,-0.17402,5.3398
0.62,-0.31409,-0.23833,5.3398
0.63,-0.34167,-0.30264,5.3398
0.64,-0.36926,-0.36696,5.3398
0.65,-0.39685,-0.43127,5.3398
0.66,-0.42443,-0.49558,5.3398
0.67,-0.45202,-0.5599,5.3398
0.68,-0.47546,-0.57564,5.3398
0.69,-0.49476,-0.54282,5.3398
0.7,-0.51406,-0.50999,5.3398
0.71,-0.53335,-0.47717,5.3398
0.72,-0.55265,-0.44434,5.3398
0.73,-0.57195,-0.41152,5.3398
0.74,-0.59124,-0.3787,5.3398
0.75,-0.61054,-0.34587,5.3398
0.76,-0.62984,-0.31305,5.3398
0.77,-0.64914,-0.28023,5.3398
0.78,-0.66843,-0.2474,5.3398
0.79,-0.68773,-0.21458,5.3398
0.8,-0.70703,-0.18175,5.3398
0.81,-0.72632,-0.14893,5.3398
0.82,-0.74562,-0.11611,5.3398
0.83,-0.76492,-0.083282,5.3398
0.84,-0.78422,-0.050458,5.3398
0.85,-0.80351,-0.017634,5.3398
0.86,-0.82281,0.01519,5.3398
0.87,-0.84211,0.048014,5.3398
0.88,-0.86141,0.080838,5.3398
0.89,-0.8807,0.11366,5.3398
0.9,-0.9,0.14649,5.3398
0.91,-0.83714,0.1143,5.3398
0.92,-0.77427,0.082109,5.3398
0.93,-0.71141,0.04992,5.3398
0.94,-0.64854,0.017732,5.3398
0.95,-0.58568,-0.014457,5.3398
0.96,-0.52281,-0.046645,5.3398
0.97,-0.45995,-0.078834,5.3398
0.98,-0.39708,-0.11102,5.3398
0.99,-0.33422,-0.14321,5.3398
1,-0.27135,-0.1754,5.3398
1.01,-0.20849,-0.20759,5.3398
1.02,-0.14563,-0.23978,5.3398
1.03,-0.082761,-0.27196,5.3398
1.04,-0.019897,-0.30415,5.3398
1.05,0.042968,-0.33634,5.3398
1.06,0.10583,-0.36853,5.3398
1.07,0.1687,-0.40072,5.3398
1.08,0.23156,-0.43291,5.3398
1.09,0.29443,-0.4651,5.3398
1.1,0.35729,-0.49728,5.3398
