t, x, y, z, roll, pitch, yaw, xdot, ydot, zdot, rolldot, pitchdot, yawdot
0,0,0,0,0,-0.19141,0,11.382,0,-4.5832,0,0,0
0.01,0.12002,-0.00059258,-0.019525,0.0052533,-0.18712,-0.0039701,11.411,0.020446,-4.4653,-0.14327,-0.036766,0.026857
0.02,0.24006,-0.001119,-0.038723,0.0095087,-0.18347,-0.0073097,11.436,0.03809,-4.3566,-0.27113,-0.072674,0.051798
0.03,0.3601,-0.0015801,-0.057591,0.01282,-0.18045,-0.010048,11.459,0.053049,-4.2566,-0.3841,-0.10769,0.074842
0.04,0.48014,-0.0019766,-0.076128,0.01524,-0.17802,-0.012214,11.479,0.065437,-4.1651,-0.4827,-0.14177,0.096009
0.05,0.60019,-0.0023095,-0.094331,0.016824,-0.17617,-0.013837,11.496,0.075369,-4.0817,-0.56745,-0.17488,0.11532
0.06,0.72023,-0.0025793,-0.1122,0.017625,-0.17486,-0.014947,11.51,0.082961,-4.0061,-0.63889,-0.20698,0.13279
0.07,0.84027,-0.0027871,-0.12972,0.017696,-0.17408,-0.015572,11.521,0.088327,-3.938,-0.69752,-0.23803,0.14844
0.08,0.9603,-0.0029335,-0.14691,0.017092,-0.17379,-0.015741,11.53,0.091583,-3.877,-0.74387,-0.268,0.16229
0.09,1.0803,-0.0030195,-0.16375,0.015866,-0.17398,-0.015484,11.537,0.092844,-3.8227,-0.77848,-0.29685,0.17436
0.1,1.2003,-0.0030457,-0.18024,0.014072,-0.17461,-0.01483,11.541,0.092224,-3.775,-0.80186,-0.32454,0.18467
0.11,1.3203,-0.0030129,-0.19638,0.011764,-0.17566,-0.013809,11.544,0.08984,-3.7333,-0.81453,-0.35104,0.19323
0.12,1.4403,-0.0029221,-0.21217,0.0089949,-0.17712,-0.012448,11.544,0.085806,-3.6974,-0.81702,-0.37629,0.20008
0.13,1.5602,-0.002774,-0.22761,0.005819,-0.17894,-0.010778,11.542,0.080237,-3.667,-0.80985,-0.40028,0.20522
0.14,1.6801,-0.0025694,-0.24268,0.00229,-0.18111,-0.0088276,11.539,0.073248,-3.6418,-0.79354,-0.42296,0.20867
0.15,1.8,-0.0023091,-0.2574,-0.0015384,-0.18361,-0.006626,11.534,0.064955,-3.6213,-0.76863,-0.44428,0.21047
0.16,1.9198,-0.0019938,-0.27176,-0.0056125,-0.1864,-0.0042024,11.527,0.055472,-3.6052,-0.73562,-0.46423,0.21061
0.17,2.0397,-0.0016245,-0.28575,-0.0098786,-0.18946,-0.001586,11.519,0.044916,-3.5933,-0.69505,-0.48274,0.20913
0.18,2.1594,-0.0012019,-0.29937,-0.014283,-0.19277,0.001194,11.51,0.0334,-3.5852,-0.64744,-0.4998,0.20604
0.19,2.2791,-0.00072688,-0.31263,-0.018771,-0.19631,0.0041085,11.499,0.02104,-3.5806,-0.59331,-0.51536,0.20137
0.2,2.3988,-0.00020013,-0.32551,-0.023291,-0.20004,0.0071283,11.488,0.0079516,-3.579,-0.53318,-0.52938,0.19513
0.21,2.5184,0.00037748,-0.33801,-0.027787,-0.20394,0.010224,11.475,-0.0057508,-3.5803,-0.46758,-0.54183,0.18734
0.22,2.638,0.0010052,-0.35014,-0.032207,-0.20799,0.013367,11.462,-0.019952,-3.584,-0.39703,-0.55267,0.17802
0.23,2.7575,0.0016821,-0.36188,-0.036496,-0.21216,0.016528,11.447,-0.034536,-3.5899,-0.32206,-0.56186,0.16718
0.24,2.877,0.0024075,-0.37325,-0.040601,-0.21643,0.019677,11.432,-0.049389,-3.5975,-0.24319,-0.56935,0.15486
0.25,2.9964,0.0031806,-0.38423,-0.044468,-0.22078,0.022785,11.417,-0.064395,-3.6067,-0.16093,-0.57513,0.14107
0.26,3.1157,0.0040006,-0.39482,-0.048043,-0.22517,0.025824,11.401,-0.07944,-3.6169,-0.075824,-0.57914,0.12582
0.27,3.235,0.0048665,-0.40501,-0.051273,-0.22958,0.028764,11.386,-0.094407,-3.628,0.011616,-0.58135,0.10914
0.28,3.3542,0.0057778,-0.41482,-0.054103,-0.23399,0.031575,11.369,-0.10918,-3.6395,0.10086,-0.58172,0.091052
0.29,3.4733,0.0067334,-0.42423,-0.056481,-0.23837,0.03423,11.353,-0.12365,-3.6511,0.1914,-0.58022,0.071566
0.3,3.5923,0.0077328,-0.43324,-0.058352,-0.2427,0.036698,11.337,-0.1377,-3.6626,0.2827,-0.5768,0.050705
0.31,3.7113,0.0087749,-0.44185,-0.059662,-0.24695,0.03895,11.321,-0.1512,-3.6735,0.37423,-0.57143,0.028488
0.32,3.8301,0.0098591,-0.45006,-0.060359,-0.2511,0.040957,11.306,-0.16406,-3.6835,0.46548,-0.56408,0.0049355
0.33,3.9489,0.010984,-0.45786,-0.060388,-0.25512,0.04269,11.291,-0.17615,-3.6924,0.55592,-0.55469,-0.019934
0.34,4.0676,0.01215,-0.46526,-0.059695,-0.25899,0.04412,11.276,-0.18735,-3.6997,0.64503,-0.54324,-0.046102
