t, affine_elevL, affine_elevR, affine_throttle
0,-0.0085631,0.0056586,-1.0606e-05
0.01,-0.016882,0.019025,-6.3379e-06
0.02,-0.025642,0.031475,-3.1052e-05
0.03,-0.034726,0.042934,-6.8509e-05
0.04,-0.043978,0.053342,-0.00010556
0.05,-0.053225,0.062671,-0.00013095
0.06,-0.062266,0.070893,-0.00013677
0.07,-0.070891,0.077995,-0.00011724
0.08,-0.078876,0.083955,-6.9347e-05
0.09,-0.085987,0.088746,7.4918e-06
0.1,-0.091991,0.09233,0.00011183
0.11,-0.096643,0.094645,0.00023959
0.12,-0.099716,0.095619,0.00038536
0.13,-0.10099,0.095145,0.00054122
0.14,-0.10028,0.093108,0.00069847
0.15,-0.097385,0.08936,0.00084679
0.16,-0.092162,0.083748,0.00097546
0.17,-0.084615,0.076118,0.0010738
0.18,-0.074913,0.066328,0.0011325
0.19,-0.06316,0.054254,0.001143
0.2,-0.04935,0.039832,0.0011017
0.21,-0.033943,0.023064,0.0010074
0.22,-0.018297,0.0041033,0.00086579
0.23,-0.0028444,-0.016557,0.00070331
0.24,0.012627,-0.037813,0.00057815
0.25,0.027726,-0.058835,0.00053199
0.26,0.042504,-0.079712,0.00055617
0.27,0.056871,-0.10037,0.00064855
0.28,0.070713,-0.12063,0.00080873
0.29,0.08384,-0.14025,0.0010351
0.3,0.096046,-0.15896,0.0013256
0.31,0.10709,-0.17633,0.0016752
0.32,0.1167,-0.19193,0.0020779
0.33,0.1246,-0.20521,0.0025235
0.34,0.13043,-0.21553,0.0029986
0.35,0.13385,-0.22223,0.003485
0.36,0.1345,-0.22457,0.0039583
0.37,0.13206,-0.22192,0.0043889
0.38,0.12629,-0.21377,0.0047402
0.39,0.11709,-0.19971,0.0049707
0.4,0.10452,-0.17966,0.0050355
0.41,0.088924,-0.15473,0.0048914
0.42,0.070874,-0.12572,0.0044995
0.43,0.05123,-0.092529,0.0038346
0.44,0.030981,-0.059847,0.0028876
0.45,0.011267,-0.03131,0.0016749
0.46,-0.0061135,-0.0032441,0.0003113
0.47,-0.020202,0.02736,-0.0010957
0.48,-0.031698,0.060706,-0.0025452
0.49,-0.041276,0.093981,-0.0040314
0.5,-0.049541,0.12574,-0.0055394
0.51,-0.057016,0.15497,-0.0070446
0.52,-0.064137,0.18042,-0.0085135
0.53,-0.071183,0.20118,-0.0099028
0.54,-0.078293,0.21668,-0.011163
0.55,-0.085351,0.22628,-0.012238
0.56,-0.092049,0.22947,-0.013068
0.57,-0.097793,0.22574,-0.013594
0.58,-0.10182,0.2148,-0.013756
0.59,-0.10322,0.1966,-0.013505
0.6,-0.10122,0.17176,-0.012812
0.61,-0.095315,0.14175,-0.011678
0.62,-0.085528,0.10881,-0.010146
0.63,-0.072506,0.075826,-0.0083069
0.64,-0.057512,0.04669,-0.0062862
0.65,-0.041972,0.023618,-0.0042237
0.66,-0.027185,0.0072117,-0.0022474
0.67,-0.014432,0.00072234,-0.0004535
0.68,-0.0041601,0.00023273,0.0011045
0.69,0.0040443,-0.0019352,0.0024355
0.7,0.010337,-0.007988,0.0035539
0.71,0.014731,-0.016853,0.0044736
0.72,0.017325,-0.027319,0.0052127
0.73,0.018335,-0.038926,0.0057899
0.74,0.018011,-0.050871,0.0062229
0.75,0.016635,-0.06255,0.006527
0.76,0.014501,-0.073477,0.0067151
0.77,0.01189,-0.083214,0.0067977
0.78,0.0090673,-0.091396,0.0067823
0.79,0.0062643,-0.09772,0.006675
0.8,0.0036761,-0.10192,0.0064801
0.81,0.0014524,-0.10379,0.0062007
0.82,-0.00030368,-0.10314,0.0058392
0.83,-0.0015305,-0.099837,0.0053976
0.84,-0.0022136,-0.093813,0.0048782
0.85,-0.0023889,-0.085066,0.0042834
0.86,-0.0020922,-0.073687,0.0036163
0.87,-0.001385,-0.05987,0.0028811
0.88,-0.00038361,-0.04395,0.0020829
0.89,0.00090534,-0.026369,0.0012279
0.9,0.0021038,-0.007648,0.00032123
0.91,0.0019868,0.0099408,-0.00054914
0.92,-0.00010965,0.024752,-0.0013142
0.93,-0.0032682,0.036839,-0.0019779
0.94,-0.0073483,0.046398,-0.0025476
0.95,-0.012499,0.053666,-0.0030314
0.96,-0.01853,0.058901,-0.0034367
0.97,-0.025237,0.06235,-0.0037699
0.98,-0.032436,0.064228,-0.0040356
0.99,-0.039828,0.064711,-0.0042363
1,-0.047067,0.06394,-0.0043727
1.01,-0.053775,0.062028,-0.0044437
1.02,-0.059551,0.059072,-0.0044471
1.03,-0.063986,0.055165,-0.0043798
1.04,-0.066684,0.05041,-0.0042384
1.05,-0.06727,0.044929,-0.0040201
1.06,-0.065435,0.038875,-0.0037231
1.07,-0.060965,0.032428,-0.0033477
1.08,-0.053822,0.025806,-0.0028967
1.09,-0.044242,0.019273,-0.0023779
1.1,-0.032741,0.013074,-0.0018037
1.11,-0.020278,0.0075353,-0.0011932
1.12,-0.0079769,0.0028155,-0.00057127
1.13,0.0025295,-0.00074171,2.4188e-05
1.14,0.011696,-0.0046769,0.00052438
1.15,0.019606,-0.0089849,0.00092464
1.16,0.025928,-0.01313,0.0012312
1.17,0.031008,-0.017207,0.0014508
1.18,0.034752,-0.02094,0.0015905
1.19,0.037039,-0.024061,0.0016581
1.2,0.037979,-0.026517,0.0016619
1.21,0.037695,-0.028287,0.0016105
1.22,0.036288,-0.029336,0.001513
1.23,0.033916,-0.029688,0.0013789
1.24,0.03076,-0.029388,0.0012175
1.25,0.027014,-0.028497,0.0010384
1.26,0.022878,-0.027082,0.00085019
1.27,0.018546,-0.025214,0.00066136
1.28,0.014203,-0.022964,0.00047923
1.29,0.010009,-0.020399,0.00031011
1.3,0.0060999,-0.017588,0.00015909
1.31,0.0025806,-0.0146,2.9952e-05
1.32,-0.00047593,-0.011514,-7.4924e-05
1.33,-0.0030279,-0.0084208,-0.00015441
1.34,-0.0050439,-0.0054627,-0.00020864
1.35,-0.0068613,-0.002739,-0.00023917
1.36,-0.0095191,4.2302e-05,-0.00024974
1.37,-0.013281,0.0032145,-0.00024206
1.38,-0.017246,0.0067333,-0.00021642
1.39,-0.021094,0.010477,-0.00017432
1.4,-0.024906,0.014283,-0.00011805
1.41,-0.028484,0.017962,-5.0694e-05
1.42,-0.03164,0.021316,2.4256e-05
1.43,-0.034271,0.024154,0.0001029
1.44,-0.036283,0.026307,0.0001812
1.45,-0.037585,0.027644,0.0002551
1.46,-0.03811,0.028079,0.0003208
1.47,-0.037815,0.027578,0.00037486
1.48,-0.036674,0.026167,0.00041446
1.49,-0.03469,0.023931,0.00043754
1.5,-0.031896,0.021009,0.00044283
1.51,-0.028357,0.017588,0.00042998
1.52,-0.024176,0.013894,0.00039944
1.53,-0.019493,0.010164,0.00035242
1.54,-0.014479,0.006636,0.00029066
1.55,-0.0093321,0.0035555,0.00021626
1.56,-0.0042531,0.0010202,0.00013145
1.57,0.00055093,-0.00078532,3.8373e-05
1.58,0.0049758,-0.0021693,-6.0927e-05
1.59,0.0092047,-0.0036702,-0.00016379
1.6,0.013129,-0.0051872,-0.00026769
1.61,0.016591,-0.006654,-0.00036997
1.62,0.019506,-0.0080201,-0.00046774
1.63,0.021839,-0.0092488,-0.00055809
1.64,0.023601,-0.010327,-0.00063824
1.65,0.024839,-0.011253,-0.00070566
1.66,0.02562,-0.012036,-0.00075814
1.67,0.026022,-0.01269,-0.00079394
1.68,0.026119,-0.013227,-0.00081176
1.69,0.025973,-0.013656,-0.00081083
1.7,0.025626,-0.013972,-0.0007909
1.71,0.025093,-0.014159,-0.00075233
1.72,0.024363,-0.014186,-0.00069597
1.73,0.023391,-0.01401,-0.00062336
1.74,0.02211,-0.013572,-0.00053658
1.75,0.020427,-0.012794,-0.0004384
1.76,0.018228,-0.011618,-0.00033221
1.77,0.01539,-0.0099867,-0.00022206
1.78,0.011784,-0.0077686,-0.00011268
1.79,0.0072884,-0.0049682,-9.371e-06
1.8,0.0018132,-0.0016598,8.1868e-05
