t, elevL, elevR, throttle
0,0.19141,0.19141,5.0797
0.01,0.33555,0.098326,5.1362
0.02,0.47968,0.0052438,5.1927
0.03,0.62382,-0.087838,5.2492
0.04,0.76796,-0.18092,5.3056
0.05,0.84824,-0.20354,5.3398
0.06,0.83119,-0.11874,5.3398
0.07,0.81413,-0.033944,5.3398
0.08,0.79707,0.050854,5.3398
0.09,0.78002,0.13565,5.3398
0.1,0.75646,0.19978,5.3398
0.11,0.7312,0.2585,5.3398
0.12,0.70595,0.31721,5.3398
0.13,0.68069,0.37593,5.3398
0.14,0.65474,0.42803,5.3398
0.15,0.62581,0.45165,5.3398
0.16,0.59688,0.47527,5.3398
0.17,0.56795,0.49889,5.3398
0.18,0.53903,0.52251,5.3398
0.19,0.51388,0.53775,5.3398
0.2,0.49141,0.54704,5.3398
0.21,0.46895,0.55633,5.3398
0.22,0.44649,0.56563,5.3398
0.23,0.42403,0.57492,5.3398
0.24,0.41449,0.5781,5.3398
0.25,0.40521,0.58116,5.3398
0.26,0.39593,0.58422,5.3398
0.27,0.38665,0.58727,5.3398
0.28,0.38156,0.58902,5.3398
0.29,0.38341,0.58861,5.3398
0.3,0.38525,0.5882,5.3398
0.31,0.3871,0.58778,5.3398
0.32,0.38894,0.58737,5.3398
0.33,0.39503,0.58545,5.3398
0.34,0.40237,0.5831,5.3398
0.35,0.40971,0.58075,5.3398
0.36,0.41705,0.5784,5.3398
0.37,0.42458,0.57591,5.3398
0.38,0.43305,0.5727,5.3398
0.39,0.44152,0.5695,5.3398
0.4,0.44999,0.56629,5.3398
0.41,0.45846,0.56309,5.3398
0.42,0.46639,0.55993,5.3398
0.43,0.47393,0.55682,5.3398
0.44,0.48146,0.5537,5.3398
0.45,0.48899,0.55058,5.3398
0.46,0.49652,0.54747,5.3398
0.47,0.50258,0.54527,5.3398
0.48,0.50858,0.5431,5.3398
0.49,0.51459,0.54094,5.3398
0.5,0.52059,0.53877,5.3398
0.51,0.52606,0.53718,5.3398
0.52,0.53057,0.5366,5.3398
0.53,0.53508,0.53602,5.3398
0.54,0.53959,0.53544,5.3398
0.55,0.5441,0.53486,5.3398
0.56,0.54764,0.53564,5.3398
0.57,0.55087,0.53686,5.3398
0.58,0.55411,0.53808,5.3398
0.59,0.55734,0.5393,5.3398
0.6,0.56041,0.54074,5.3398
0.61,0.56257,0.54348,5.3398
0.62,0.56472,0.54622,5.3398
0.63,0.56688,0.54896,5.3398
0.64,0.56904,0.5517,5.3398
0.65,0.57064,0.55494,5.3398
0.66,0.57179,0.55861,5.3398
0.67,0.57295,0.56228,5.3398
0.68,0.5741,0.56595,5.3398
0.69,0.57525,0.56962,5.3398
0.7,0.57533,0.57358,5.3398
0.71,0.57534,0.57755,5.3398
0.72,0.57535,0.58153,5.3398
0.73,0.57537,0.58551,5.3398
0.74,0.57488,0.58943,5.3398
0.75,0.57342,0.59327,5.3398
0.76,0.57197,0.5971,5.3398
0.77,0.57051,0.60093,5.3398
0.78,0.56905,0.60476,5.3398
0.79,0.56617,0.60832,5.3398
0.8,0.56278,0.61178,5.3398
0.81,0.55938,0.61523,5.3398
0.82,0.55599,0.61869,5.3398
0.83,0.55228,0.62208,5.3398
0.84,0.54646,0.62507,5.3398
0.85,0.54063,0.62806,5.3398
0.86,0.5348,0.63105,5.3398
0.87,0.52898,0.63404,5.3398
0.88,0.52165,0.63674,5.3398
0.89,0.51298,0.63918,5.3398
0.9,0.5043,0.64162,5.3398
0.91,0.49563,0.64406,5.3398
0.92,0.48695,0.6465,5.3398
0.93,0.47551,0.64825,5.3398
0.94,0.46383,0.64994,5.3398
0.95,0.45215,0.65163,5.3398
0.96,0.44047,0.65332,5.3398
0.97,0.42799,0.65464,5.3398
0.98,0.41377,0.65515,5.3398
0.99,0.39956,0.65567,5.3398
1,0.38534,0.65618,5.3398
1.01,0.37112,0.65669,5.3398
1.02,0.35615,0.65577,5.3398
1.03,0.34088,0.65428,5.3398
1.04,0.3256,0.65279,5.3398
1.05,0.31033,0.65129,5.3398
1.06,0.2952,0.6494,5.3398
1.07,0.28124,0.64432,5.3398
1.08,0.26728,0.63923,5.3398
1.09,0.25332,0.63415,5.3398
1.1,0.23936,0.62906,5.3398
1.11,0.22719,0.62041,5.3398
1.12,0.21676,0.60828,5.3398
1.13,0.20632,0.59615,5.3398
1.14,0.19589,0.58402,5.3398
1.15,0.18545,0.5719,5.3398
1.16,0.17894,0.54447,5.3398
1.17,0.17284,0.51541,5.3398
1.18,0.16674,0.48634,5.3398
1.19,0.16065,0.45728,5.3398
1.2,0.15553,0.41893,5.3398
1.21,0.15272,0.35883,5.3398
1.22,0.14991,0.29874,5.3398
1.23,0.1471,0.23865,5.3398
1.24,0.14428,0.17856,5.3398
1.25,0.14282,0.11612,5.3398
1.26,0.14194,0.052663,5.3398
1.27,0.14106,-0.010796,5.3398
1.28,0.14018,-0.074255,5.3398
1.29,0.14035,-0.13686,5.3398
1.3,0.15095,-0.19096,5.3398
1.31,0.16154,-0.24507,5.3398
1.32,0.17214,-0.29917,5.3398
1.33,0.18274,-0.35328,5.3398
1.34,0.18851,-0.32034,5.3122
1.35,0.18921,-0.19601,5.2557
1.36,0.18992,-0.071682,5.1992
1.37,0.19062,0.052648,5.1427
1.38,0.19133,0.17698,5.0862
