t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.16062,-0.27647,-0.092052,-0.37188,1.1655,-3.3226,-0.032686,-0.27374,0.027236,0.042102,0.020198,-0.45356,0.13303,0.22835,-0.11589,-0.22594,1.6233,2.0058,0.10675,0.15232,-0.088606,-0.075449,0.014477,0.31605,-0.048392,-0.022435,-0.028291,-0.032418,0.16491,-0.1847,-0.033514,-0.012456,-0.0024611,0.00092006,-0.00016401,-0.0061125
0.01,0.176,-0.30964,-0.090626,-0.3921,1.1707,-3.6963,-0.038467,-0.30156,0.040315,0.05042,0.022786,-0.50651,0.12026,0.21111,-0.11708,-0.24136,1.5851,1.8385,0.096477,0.13979,-0.087915,-0.073632,0.012966,0.29247,-0.047807,-0.022907,-0.027877,-0.032458,0.16076,-0.18719,-0.033204,-0.012617,-0.0023502,0.00090166,-0.00012957,-0.0064411
0.02,0.17762,-0.31718,-0.080444,-0.37736,1.0728,-3.7609,-0.038522,-0.30365,0.047912,0.054671,0.023471,-0.51642,0.102,0.18824,-0.11025,-0.23647,1.4504,1.634,0.081796,0.12465,-0.081411,-0.068318,0.010823,0.26146,-0.047148,-0.023245,-0.027537,-0.032562,0.15769,-0.18847,-0.032825,-0.012656,-0.002333,0.00083617,-8.7395e-05,-0.0065924
0.03,0.16158,-0.28993,-0.062872,-0.32465,0.87905,-3.4167,-0.031883,-0.27297,0.046032,0.052137,0.021428,-0.46933,0.080991,0.1574,-0.09611,-0.21304,1.2341,1.3625,0.063738,0.10434,-0.068915,-0.058862,0.0084758,0.2189,-0.046437,-0.023403,-0.027284,-0.032745,0.15574,-0.18807,-0.032381,-0.012528,-0.0024328,0.00070832,-4.2781e-05,-0.0064897
0.04,0.12836,-0.22907,-0.041386,-0.24151,0.62123,-2.685,-0.02076,-0.21237,0.035027,0.042385,0.016691,-0.36872,0.060975,0.12121,-0.077659,-0.17814,0.97798,1.0412,0.045209,0.080102,-0.052754,-0.046575,0.0063817,0.16803,-0.045703,-0.023373,-0.02712,-0.033005,0.15485,-0.18584,-0.031891,-0.012222,-0.002651,0.00051578,-6.6576e-07,-0.0061073
0.05,0.099921,-0.17471,-0.02608,-0.17524,0.43067,-2.0411,-0.011333,-0.16,0.023211,0.032739,0.012461,-0.27999,0.055845,0.10456,-0.074344,-0.17699,0.91882,0.87808,0.03601,0.068031,-0.045676,-0.041936,0.006062,0.14407,-0.04496,-0.023219,-0.027034,-0.033327,0.15483,-0.18241,-0.031397,-0.011786,-0.0029539,0.00028157,3.7646e-05,-0.0055338
0.06,0.10502,-0.17729,-0.024122,-0.17516,0.42628,-2.0708,-0.0069074,-0.16099,0.018193,0.03322,0.012582,-0.28267,0.077679,0.12669,-0.10715,-0.26238,1.2951,1.0198,0.040655,0.080194,-0.05775,-0.054661,0.0089952,0.17421,-0.044262,-0.023118,-0.026932,-0.0335,0.15455,-0.17937,-0.030967,-0.011345,-0.0032537,7.933e-05,6.84e-05,-0.0049971
0.07,0.10768,-0.17739,-0.020526,-0.16909,0.40096,-2.0689,-0.0026394,-0.15969,0.012978,0.033686,0.012324,-0.28171,0.095647,0.1394,-0.1354,-0.33795,1.6102,1.0764,0.041122,0.086698,-0.065466,-0.06436,0.011624,0.19163,-0.043622,-0.02309,-0.026791,-0.033462,0.15375,-0.17685,-0.030599,-0.010909,-0.0035284,-8.1683e-05,9.1455e-05,-0.0045162
0.08,0.11072,-0.17956,-0.016174,-0.16208,0.36862,-2.0885,0.0013933,-0.16026,0.0080516,0.034906,0.012042,-0.28418,0.11165,0.1481,-0.1613,-0.40687,1.8939,1.0977,0.039691,0.09137,-0.070968,-0.072681,0.014114,0.20412,-0.043035,-0.023119,-0.026613,-0.033214,0.1525,-0.1747,-0.030281,-0.010469,-0.0037733,-0.00020838,0.00010821,-0.0040678
0.09,0.11197,-0.1803,-0.0105,-0.15056,0.32001,-2.0886,0.0052945,-0.15958,0.0034048,0.036197,0.011494,-0.28452,0.12374,0.15173,-0.18173,-0.46003,2.1116,1.0807,0.03652,0.093733,-0.073536,-0.078562,0.016167,0.2101,-0.042497,-0.023192,-0.026401,-0.032768,0.15083,-0.17277,-0.030001,-0.010019,-0.0039842,-0.00030683,0.0001201,-0.0036344
