t, affine_elevL, affine_elevR, affine_throttle
0,0.00010868,-7.2231e-05,6.8068e-07
0.01,-0.0064639,0.0044973,-3.6869e-05
0.02,-0.011013,0.006953,-8.1714e-05
0.03,-0.01008,0.0060451,-9.1136e-05
0.04,-0.0042259,0.0025706,-4.8649e-05
0.05,0.0020648,-0.001473,2.5502e-05
0.06,0.0047925,-0.0042692,4.9276e-05
0.07,0.0046625,-0.0047908,3.8329e-05
0.08,0.0028066,-0.0031794,1.8115e-05
0.09,0.00041754,-0.00050783,1.4552e-06
0.1,-0.0011423,0.001353,-5.5679e-06
0.11,-0.0014488,0.0015852,-3.2085e-06
0.12,-0.00097102,0.00091267,4.8513e-07
0.13,-0.00028469,0.00015243,1.4251e-06
0.14,-2.2053e-05,5.829e-05,-1.6679e-06
0.15,5.1949e-05,0.00010723,-4.373e-06
0.16,0.000174,-2.5597e-05,-5.1125e-06
0.17,0.00023801,-0.00015826,-4.227e-06
0.18,0.00012256,-0.0001105,-1.8235e-06
0.19,-0.00015871,0.00014465,1.4039e-06
0.2,-0.00014282,0.00014339,1.9359e-06
0.21,2.8596e-05,-3.5877e-06,2.5561e-07
0.22,0.0001447,-0.00011271,-1.5122e-06
0.23,-3.1995e-07,-1.5187e-06,-2.4829e-07
0.24,-0.00017072,0.00014098,2.0069e-06
0.25,-9.6647e-05,8.2011e-05,1.2643e-06
0.26,4.7658e-05,-3.8169e-05,-7.065e-07
0.27,9.083e-05,-7.6026e-05,-1.4918e-06
0.28,-8.6916e-05,7.1828e-05,9.9989e-07
0.29,-0.00015237,0.00012657,2.0327e-06
0.3,-8.6667e-05,7.0789e-05,1.1247e-06
0.31,3.4442e-06,-5.5277e-06,-2.133e-07
0.32,1.0913e-05,-1.0143e-05,-3.8252e-07
0.33,-6.7982e-05,5.9167e-05,7.0008e-07
0.34,-7.6566e-05,6.5749e-05,7.7952e-07
0.35,-4.4542e-05,3.7047e-05,3.5023e-07
0.36,-1.091e-05,8.0223e-06,-5.7921e-08
0.37,-1.3739e-05,1.2649e-05,-3.4685e-09
0.38,-2.9639e-05,2.7538e-05,1.5243e-07
0.39,-3.5047e-05,3.1886e-05,1.9848e-07
0.4,-3.0812e-05,2.7661e-05,1.8854e-07
0.41,-1.7615e-05,1.5872e-05,8.1632e-08
0.42,-2.1109e-06,2.4354e-06,-1.3052e-07
0.43,-7.6085e-06,8.1114e-06,-1.1038e-07
0.44,-2.186e-05,2.1562e-05,5.0755e-08
0.45,-2.8117e-05,2.7128e-05,1.6686e-07
0.46,-9.1636e-06,8.604e-06,1.1746e-08
0.47,8.8939e-06,-8.3444e-06,-1.9006e-07
0.48,-2.991e-06,3.9501e-06,-1.0804e-07
0.49,-2.1738e-05,2.2316e-05,6.3375e-08
0.5,-2.302e-05,2.2915e-05,1.1713e-07
0.51,5.7935e-06,-6.0475e-06,-7.1508e-08
0.52,1.1765e-05,-1.1336e-05,-1.3727e-07
0.53,-5.1727e-06,6.0935e-06,-5.0612e-08
0.54,-2.1017e-05,2.1745e-05,5.4802e-08
0.55,-1.2543e-05,1.2661e-05,5.5589e-08
0.56,1.3655e-05,-1.3694e-05,-4.7551e-08
0.57,9.9401e-06,-9.4719e-06,-5.7867e-08
0.58,-6.076e-06,6.889e-06,-1.4584e-08
0.59,-1.433e-05,1.5053e-05,3.2879e-08
0.6,2.3325e-06,-1.9405e-06,3.7376e-08
0.61,1.3136e-05,-1.271e-05,1.636e-08
0.62,5.7684e-06,-5.096e-06,8.7069e-09
0.63,-5.0326e-06,5.8858e-06,2.0092e-08
0.64,-5.5568e-06,6.5186e-06,4.7152e-08
0.65,8.8653e-06,-7.8384e-06,6.9494e-08
0.66,9.8884e-06,-8.9406e-06,6.5108e-08
0.67,3.0684e-06,-2.1319e-06,6.0527e-08
0.68,-2.1796e-06,3.2767e-06,6.7385e-08
0.69,2.9073e-06,-1.3711e-06,8.6504e-08
0.7,9.7652e-06,-8.0935e-06,9.8199e-08
0.71,6.5971e-06,-5.2361e-06,1.0114e-07
0.72,1.0883e-06,9.6297e-08,1.0523e-07
0.73,2.499e-07,1.2138e-06,1.1284e-07
0.74,8.4866e-06,-6.3505e-06,1.2055e-07
0.75,9.3488e-06,-7.3601e-06,1.2932e-07
0.76,3.7313e-06,-2.2276e-06,1.3483e-07
0.77,-8.2318e-07,2.1333e-06,1.3711e-07
0.78,2.817e-06,-1.0623e-06,1.4329e-07
0.79,1.1378e-05,-9.0977e-06,1.5993e-07
0.8,7.7835e-06,-5.9369e-06,1.6548e-07
0.81,-1.2084e-07,1.4042e-06,1.5443e-07
0.82,-3.0921e-06,4.2549e-06,1.4603e-07
0.83,7.5031e-06,-5.706e-06,1.7747e-07
0.84,1.2501e-05,-1.0608e-05,2.0744e-07
0.85,4.675e-06,-3.396e-06,1.9102e-07
0.86,-4.5313e-06,5.2718e-06,1.5306e-07
0.87,-3.4496e-06,4.2352e-06,1.4913e-07
0.88,1.1656e-05,-1.0304e-05,2.2223e-07
0.89,1.1043e-05,-9.9637e-06,2.3741e-07
0.9,5.1874e-07,-7.9189e-08,1.9481e-07
0.91,-7.2955e-06,7.3671e-06,1.4555e-07
0.92,1.5166e-06,-1.1801e-06,1.7491e-07
0.93,1.2537e-05,-1.2066e-05,2.414e-07
0.94,8.9488e-06,-8.9206e-06,2.4967e-07
0.95,-1.6651e-07,-2.8489e-07,2.1535e-07
0.96,-4.5647e-06,4.0508e-06,1.6913e-07
0.97,3.107e-06,-3.3553e-06,1.6122e-07
0.98,1.0164e-05,-1.0789e-05,2.3008e-07
0.99,1.0512e-05,-1.1958e-05,3.1811e-07
1,6.5345e-06,-8.3851e-06,3.3569e-07
1.01,1.5966e-07,-1.007e-06,1.7589e-07
1.02,-1.3994e-06,1.7916e-06,1.3796e-08
1.03,6.9933e-06,-7.9866e-06,1.747e-07
1.04,1.5436e-05,-1.8758e-05,4.1686e-07
1.05,1.4211e-05,-1.7891e-05,4.4542e-07
1.06,-3.7798e-06,5.3523e-06,-2.9065e-08
1.07,-3.5796e-06,5.8399e-06,-5.5613e-08
1.08,1.6145e-05,-2.0714e-05,5.0801e-07
1.09,3.0784e-05,-4.153e-05,9.585e-07
