t, k1_1, k1_2, k1_3, k1_4, k1_5, k1_6, k1_7, k1_8, k1_9, k1_10, k1_11, k1_12, k2_1, k2_2, k2_3, k2_4, k2_5, k2_6, k2_7, k2_8, k2_9, k2_10, k2_11, k2_12, k3_1, k3_2, k3_3, k3_4, k3_5, k3_6, k3_7, k3_8, k3_9, k3_10, k3_11, k3_12
0,0.13303,-0.22835,-0.11589,0.22595,1.6233,-2.0058,0.10675,-0.15231,-0.088604,0.075448,0.014477,-0.31605,0.16062,0.27646,-0.092051,0.37188,1.1655,3.3225,-0.032685,0.27373,0.027233,-0.042101,0.020197,0.45355,-0.048392,0.022435,-0.028291,0.032418,0.16491,0.1847,-0.033513,0.012456,-0.0024611,-0.00092002,-0.000164,0.0061124
0.01,0.12002,-0.21079,-0.11683,0.24081,1.5819,-1.836,0.096326,-0.1396,-0.087761,0.073499,0.012938,-0.29206,0.17578,0.30926,-0.090504,0.3916,1.1691,3.6917,-0.03842,0.30118,0.040267,-0.050358,0.022756,0.5059,-0.047807,0.022907,-0.027877,0.032458,0.16076,0.18719,-0.033204,0.012617,-0.0023503,-0.00090161,-0.00012957,0.006441
0.02,0.102,-0.18823,-0.11024,0.23647,1.4504,-1.6339,0.081792,-0.12464,-0.081408,0.068315,0.010823,-0.26145,0.17762,0.31716,-0.08044,0.37735,1.0728,3.7607,-0.038519,0.30364,0.047907,-0.054668,0.023469,0.51639,-0.047148,0.023244,-0.027538,0.032562,0.15769,0.18847,-0.032825,0.012656,-0.002333,-0.00083611,-8.7388e-05,0.0065923
0.03,0.081985,-0.15892,-0.097313,0.21581,1.2491,-1.3749,0.064379,-0.10529,-0.069664,0.059501,0.0085898,-0.22095,0.16269,0.29183,-0.063369,0.32695,0.88571,3.4392,-0.032086,0.27477,0.046304,-0.052466,0.021576,0.47239,-0.046437,0.023403,-0.027284,0.032745,0.15574,0.18807,-0.032381,0.012528,-0.0024329,-0.00070826,-4.2778e-05,0.0064896
0.04,0.059996,-0.11961,-0.07639,0.17519,0.96237,-1.0281,0.044589,-0.079094,-0.051979,0.04591,0.0062702,-0.16583,0.12718,0.22706,-0.040902,0.23914,0.61453,2.6612,-0.020581,0.21049,0.034756,-0.042033,0.016533,0.3655,-0.045703,0.023373,-0.02712,0.033005,0.15486,0.18584,-0.031891,0.012222,-0.0026511,-0.00051571,-6.6381e-07,0.0061071
0.05,0.056118,-0.10505,-0.074717,0.17784,0.92338,-0.88218,0.036185,-0.068347,-0.045899,0.04213,0.0060926,-0.14477,0.10023,0.17522,-0.0262,0.17585,0.43238,2.0472,-0.011365,0.16047,0.023263,-0.032827,0.012501,0.2808,-0.04496,0.023219,-0.027034,0.033327,0.15483,0.18241,-0.031397,0.011786,-0.0029539,-0.00028156,3.7647e-05,0.0055338
0.06,0.07559,-0.12342,-0.10422,0.25539,1.26,-0.99361,0.039571,-0.07814,-0.056204,0.053254,0.0087477,-0.16955,0.10227,0.17291,-0.023197,0.17014,0.41237,2.0191,-0.0067385,0.15698,0.017848,-0.032457,0.01224,0.27576,-0.044263,0.023118,-0.026932,0.0335,0.15455,0.17937,-0.030967,0.011345,-0.0032537,-7.9335e-05,6.8399e-05,0.0049971
0.07,0.097041,-0.14158,-0.13743,0.34279,1.6342,-1.0938,0.041783,-0.088079,-0.066456,0.065303,0.011793,-0.19481,0.10958,0.18036,-0.021091,0.17238,0.40992,2.1038,-0.0026855,0.16238,0.013123,-0.034213,0.01255,0.28636,-0.043622,0.02309,-0.026791,0.033462,0.15376,0.17686,-0.030599,0.010909,-0.0035284,8.1702e-05,9.1456e-05,0.0045163
0.08,0.11179,-0.14831,-0.16151,0.40737,1.8963,-1.0993,0.039748,-0.091503,-0.07106,0.072774,0.014132,-0.20443,0.11092,0.17988,-0.016222,0.1624,0.36946,2.0922,0.0013955,0.16054,0.0080583,-0.034963,0.012065,0.28467,-0.043035,0.023119,-0.026613,0.033214,0.1525,0.1747,-0.030281,0.010469,-0.0037733,0.00020839,0.00010821,0.0040678
0.09,0.12368,-0.15167,-0.18164,0.45981,2.1105,-1.0803,0.036505,-0.093698,-0.073499,0.078527,0.016159,-0.21002,0.11207,0.18045,-0.010519,0.1507,0.32037,2.0903,0.0052984,0.15971,0.0034037,-0.036225,0.011504,0.28475,-0.042497,0.023192,-0.026401,0.032768,0.15083,0.17277,-0.030001,0.01002,-0.0039842,0.00030684,0.0001201,0.0036344
0.1,0.13089,-0.15119,-0.19511,0.4923,2.2471,-1.0392,0.032283,-0.094427,-0.073249,0.0817,0.017583,-0.21087,0.11406,0.18328,-0.0043196,0.1391,0.26824,2.1125,0.0092336,0.161,-0.00092538,-0.038163,0.010989,0.28836,-0.041996,0.023294,-0.026166,0.032158,0.14888,0.17097,-0.029748,0.0095584,-0.0041606,0.0003837,0.00012885,0.0032028
0.11,0.13498,-0.14944,-0.20424,0.51043,2.3338,-0.99677,0.027861,-0.095122,-0.071563,0.08339,0.018578,-0.21046,0.11585,0.18628,0.0023676,0.12653,0.21134,2.1353,0.013277,0.16263,-0.0050341,-0.040332,0.010422,0.29229,-0.04152,0.023412,-0.025919,0.031429,0.14681,0.16922,-0.029513,0.009086,-0.004306,0.00044541,0.00013627,0.0027641
0.12,0.13643,-0.14687,-0.20963,0.51612,2.3781,-0.95582,0.023515,-0.09581,-0.068861,0.083835,0.019185,-0.2091,0.11687,0.1883,0.0093418,0.11283,0.15044,2.1462,0.017319,0.16364,-0.0088299,-0.042409,0.0097785,0.29482,-0.041066,0.023541,-0.025662,0.03059,0.14462,0.16747,-0.029291,0.0086058,-0.0044188,0.00049362,0.00014281,0.0023185
0.13,0.13498,-0.14308,-0.21074,0.5088,2.3745,-0.91329,0.019332,-0.095993,-0.065169,0.082831,0.01934,-0.2059,0.11757,0.18965,0.016208,0.099225,0.090128,2.1496,0.021314,0.16437,-0.012277,-0.044339,0.0091347,0.29649,-0.040631,0.023675,-0.025394,0.029644,0.14232,0.16571,-0.029077,0.008122,-0.0044982,0.00052939,0.00014855,0.0018673
0.14,0.13172,-0.13874,-0.20905,0.49303,2.3401,-0.87219,0.015527,-0.095903,-0.061153,0.080923,0.019178,-0.20165,0.11839,0.19056,0.022579,0.086799,0.034915,2.1494,0.02524,0.16505,-0.015384,-0.046066,0.0085604,0.29775,-0.040212,0.023814,-0.025114,0.028592,0.1399,0.16392,-0.028867,0.0076383,-0.0045456,0.00055338,0.00015338,0.0014127
